"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40"
"17","34","A     Computer and electronic product manufacturing","KS334W0",17123,17287,18048,18799,19166,19242,18886,18702,18778,19036,19075,18827,18609,20378,19970,22316,22846,21914,20689,19515,19891,19438,19708,19721,19243,19689,19947,21811,21848,22713,22953,22734,22547,22701,23240,24294,25142
"18","36","A     Electrical equipment, appliance, and component manufacturing","KS335W0",4808,4849,4846,4879,4821,4757,4880,4932,4931,4937,4936,4875,4780,4952,4905,5004,5030,4913,4808,4640,4607,4601,4473,4493,4433,4365,4361,4336,4333,4377,4339,4300,4269,4225,4246,4197,4264
"19","37","A     Transportation equipment manufacturing","KS336W0",42588,41416,41147,41409,43186,46383,47787,49376,48823,47214,48273,48474,47498,43783,41521,39121,37656,37885,38473,38689,36382,36215,35776,38154,38348,38196,37762,37308,36899,36743,36274,36907,37228,36709,37457,38653,37978
"20","38","D       Motor vehicle and parts manufacturing","KS3MVW0",7190,7190,8086,7269,7620,6514,6238,7095,7706,6964,7068,7221,6973,7368,7303,7274,7005,6943,6665,6283,5984,6538,6539,6540,6799,6646,6732,6792,7016,6919,6810,6743,6838,6939,6556,6609,6545
"21","39","D       Other transportation equipment manufacturing","KS3OTW0",35382,34204,33009,34115,35528,39886,41574,42284,41119,40250,41206,41255,40525,36414,34219,31849,30652,30942,31806,32398,30388,29690,29246,31610,31549,31545,31030,30519,29894,29832,29470,30167,30393,29770,30904,32053,31439
"22","40","A     Furniture and related product manufacturing","KS337W0",1361,1327,1355,1365,1430,1462,1497,1469,1468,1459,1422,1510,1561,1583,1588,1569,1600,1562,1477,1446,1494,1531,1544,1485,1592,1548,1518,1443,1493,1503,1454,1478,1528,1383,1382,1378,1527
"23","41","A     Miscellaneous durable goods manufacturing","KS339W0",3706,3704,3648,3660,3713,3691,3622,3559,3609,3633,3734,3688,3674,3771,3913,3887,3845,3795,3822,3723,3628,3663,3644,3779,4253,3940,3603,3899,3935,3593,3823,3971,3925,4019,3972,4002,3772
"24","42","A   Nondurable goods industries","KS30NW0",26394,26840,27838,28626,28212,28428,27974,28007,28570,29390,28729,29400,28967,29370,29364,29546,28951,28484,29052,28684,29136,29489,30487,29223,29835,29583,29702,29189,29885,29814,28753,28618,28748,27578,27112,27418,27682
"25","43","A     Food manufacturing","KS311W0",4749,4843,4892,4894,4552,4573,4540,4595,4676,4649,4659,4732,4768,4847,4783,4839,4738,4647,4627,4616,4598,4596,4648,4746,4759,4741,4701,4626,4633,4695,4770,4900,4965,4822,4640,5006,4918
"26","44","A     Beverage and tobacco product manufacturing","KS312W0",894,998,1391,1524,1643,1651,1259,1516,1574,1553,1308,1437,1527,1721,1749,1913,1846,2001,2146,2127,2234,2125,2195,2085,1983,1935,2106,2078,2009,2124,2205,2100,2135,2230,2071,2694,2637
"27","45","A     Textile mills","KS313W0",1676,1683,1672,1662,1653,1656,1681,1636,1610,1577,1582,1632,1595,1625,1555,1517,1505,1480,1417,1357,1304,1264,1199,1266,1263,1317,1299,1287,1279,1256,1250,1219,1182,1130,1135,1089,1123
"28","46","A     Textile product mills","KS314W0",761,780,804,837,838,825,804,796,792,844,839,860,884,886,920,878,845,836,832,836,814,781,748,719,752,729,748,723,722,718,686,688,684,670,664,641,631
"29","47","A     Apparel manufacturing","KS315W0",1642,1701,1702,1795,1675,1679,1685,1636,1584,1703,1734,1813,1874,1833,1832,1731,1644,1468,1363,1300,1283,1343,1303,1355,1344,1329,1357,1367,1352,1323,1329,1252,1240,1192,1263,1277,1276
"30","48","A     Leather and allied product manufacturing","KS316W0",336,340,328,334,334,314,304,318,298,301,319,319,307,316,318,298,302,271,270,261,254,265,247,242,224,205,207,227,216,213,212,208,214,209,199,180,198
"31","49","A     Paper manufacturing","KS322W0",1588,1571,1609,1627,1589,1495,1464,1501,1550,1562,1608,1606,1588,1610,1600,1527,1459,1444,1473,1517,1576,1657,1674,1646,1671,1638,1653,1584,1618,1656,1693,1712,1773,1702,1690,1625,1644
"32","50","A     Printing and related support activities","KS323W0",1181,1192,1415,1378,1225,1368,1376,1259,1380,1457,1329,1422,1389,1346,1344,1295,1262,1239,1228,1169,1178,1349,1293,1287,1350,1159,1173,1203,1117,1147,1230,1181,1135,1138,1146,1034,1023
"33","51","A     Petroleum and coal product manufacturing","KS324W0",3757,3848,4118,4213,4369,4313,4195,3927,3735,3551,3597,3773,3593,3791,3762,3747,3762,3776,4079,4001,4019,4049,3998,3795,3906,3474,3484,3428,3647,2974,2814,2724,3015,2558,2666,2454,2344
"34","52","A     Chemical manufacturing","KS325W0",7791,7807,7859,8341,8426,8605,8620,8624,8979,9682,9341,9455,9175,9187,9339,9587,9364,9144,9495,9391,9662,9950,11020,9999,10470,10888,10911,10650,11277,11694,10574,10624,10333,10105,9797,9725,10215
"35","53","A     Plastics and rubber product manufacturing","KS326W0",2106,2172,2199,2183,2184,2197,2268,2304,2390,2413,2377,2349,2259,2199,2155,2212,2231,2192,2169,2148,2237,2139,2142,2080,2113,2159,2052,2016,1984,2047,2069,2090,2073,1952,1912,1913,1946
