"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"1","[Billions of chained (2000) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1990 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 25, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2009 7:01:45 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Gross domestic product","A191RX1",7112.1,7130.3,7130.8,7076.9,7040.8,7086.5,7120.7,7154.1,7228.2,7297.9,7369.5,7450.7,7459.7,7497.5,7536,7637.4,7715.1,7815.7,7859.5,7951.6,7973.7,7988,8053.1,8112,8169.2,8303.1,8372.7,8470.6,8536.1,8665.8,8773.7,8838.4,8936.2,8995.3,9098.9,9237.1,9315.5,9392.6,9502.2,9671.1,9695.6,9847.9,9836.6,9887.7,9875.6,9905.9,9871.1,9910,9977.3,10031.6,10090.7,10095.8,10126,10212.7,10398.7,10467,10543.6,10634.2,10728.7,10796.4,10875.8,10946.1,11050,11086.1,11217.3,11291.7,11314.1,11356.4,11357.8,11491.4,11625.7,11620.7,11646,11727.4,11712.4,11522.1,11360.5
"10","2","Personal consumption expenditures","A002RX1",4757.1,4773,4792.6,4758.3,4738.1,4779.4,4800.1,4795.9,4875,4903,4951.8,5009.4,5027.3,5071.9,5127.3,5172.9,5230.3,5268,5305.7,5358.7,5367.2,5411.7,5458.8,5496.1,5544.6,5604.9,5640.7,5687.6,5749.1,5775.8,5870.7,5931.4,5996.8,6092.1,6165.7,6248.8,6311.3,6409.7,6476.7,6556.8,6661.3,6703.3,6768,6825,6853.1,6870.3,6900.5,7017.6,7042.2,7083.5,7123.2,7148.2,7184.9,7249.3,7352.9,7394.3,7475.1,7520.5,7585.5,7664.3,7697.5,7766.4,7838.1,7864.9,7947.4,8002.1,8046.3,8119.9,8197.2,8237.3,8278.5,8298.2,8316.1,8341.3,8260.6,8170.5,8198
"11","3","  Durable goods","B003RX1",470.9,455.3,450.5,437.4,424.6,426.9,433.6,426.5,443.1,446.6,456.4,465.8,470.4,486.2,492.1,505.1,517.3,523.3,529.1,547.9,537.3,543.5,559.7,570,576.1,595.2,600.1,612.3,629.9,627.9,656.7,673.2,676.2,707.5,727.2,770.3,767.4,803.6,820.7,826.4,872.8,851.3,863.8,865.4,879.5,878.9,885.6,958.7,948.4,956.9,983.4,970.4,971.4,1009.8,1049.6,1051.4,1066.2,1071.3,1091.5,1110.1,1111.6,1143.7,1158.9,1123.3,1173.1,1178.3,1188.4,1200.7,1227.3,1242.3,1249.4,1250.6,1237,1228.3,1180.1,1108.6,1134.1
"12","4","    Motor vehicles and parts","A165RX1",271.8,258.3,254.6,239.7,224.2,222.6,232,227.6,240.2,242.5,245.8,251.3,248,259.9,259.5,269.5,278,274.1,272.1,280.7,267.7,268.2,274.7,278.4,281.4,285.8,285.9,288.3,300.8,290.8,309.4,317.7,310.3,333.9,340,371.7,355.1,380.2,382.5,371.9,403.3,376.1,383.2,383.5,392.6,388.6,392.7,449.4,422.1,422.5,445.6,425.9,424.8,442.3,454.8,446.4,448.9,445.7,450.9,457.8,447.9,464.3,469,418.1,435.4,437.3,439.4,439.6,449.5,451.3,443.5,442.6,430.2,407.2,376.9,334.6,349.6
"13","5","    Furniture and household equipment","A166RX1",122.2,120.2,119,118.1,118.8,121.9,122.6,121.1,124.6,125.6,128.9,132,136.2,139.8,142.8,145.6,148.7,154.2,158.8,165.3,166.2,169.5,176.1,181.5,183.2,192.7,195.6,202,206.4,212.7,220.2,225.8,233.5,238.6,249,257.6,266.1,275.1,285.7,296.1,306.7,311.3,315.9,317.8,323.8,328.1,332.2,343,356.9,363.5,365.2,371.6,373.3,388.7,410,419.1,429.1,438.8,451.7,460.8,470.7,482,497,514,537.9,544.6,553.8,564.5,580.3,588.3,600.8,606.6,609.3,629.6,616.2,602.2,608.1
"14","6","    Other","A167RX1",94.6,92.2,92,92.1,90.6,90,88,86.4,88.3,88.7,91.5,92.4,94.4,95.8,98.3,99.4,100.4,103.1,104.9,108.5,108.3,110.1,112.9,113.5,115,119.2,120.7,123.6,124.8,125.1,128.3,130.9,132.7,136.2,138.9,142.5,146.6,149,152.9,158.4,162.9,163.9,164.7,164.1,163.3,162.6,161.2,165.6,170.3,172.1,172.7,174.4,174.9,180.6,187.5,189.9,193,192.9,195.9,198.7,202,206.1,203.5,209,218.7,216.6,216.7,219.8,222,227.7,232.9,230.8,229.4,230.8,228.1,217.7,220.9
"15","7","  Nondurable goods","B004RX1",1483.2,1486.4,1491,1475.3,1474,1485.6,1486.5,1475.9,1500.6,1498.7,1508.6,1532.6,1530.5,1544.4,1559.6,1566.8,1582,1597,1610.6,1626,1628,1636.2,1642.2,1648,1657.5,1677,1686.5,1700.7,1710.8,1711.4,1736.2,1743,1765.4,1787.2,1799.7,1825.5,1849.2,1867.9,1873.7,1915.7,1917.2,1944,1955,1972.7,1975.2,1974.7,1986.5,2010.3,2026.8,2033.4,2035,2053.1,2072.5,2084.2,2123,2132.5,2156.7,2164.9,2181.4,2207.5,2220.7,2243.7,2260.1,2286.3,2310.8,2328.7,2342,2359.8,2380.1,2391.5,2398.6,2400.2,2397.9,2420.7,2376.3,2318.6,2316.4
"16","8","    Food","A168RX1",777.6,787.4,789.9,782.6,779.7,786.5,786.4,780.7,789.5,780.6,783.1,798.5,795.2,799.6,806.2,807.6,810.8,821.9,825.2,829.5,826.6,826.5,827.3,828,830.7,835.3,834.2,838.7,844.7,841.9,848.8,845.7,852.9,862.7,869.6,877.1,878.4,889,894.5,912.4,916.1,925.6,927.8,931.2,937.1,938.3,940.6,945,950.2,954.5,954.4,959.5,969.4,970.3,985.3,985.8,1000.8,1003.4,1008.9,1024.7,1033,1040.9,1053.3,1063.7,1077.8,1090.3,1093.3,1099.1,1102.5,1110.1,1110.9,1118.7,1122.4,1133.6,1112.3,1069,1061.5
"17","9","    Clothing and shoes","A169RX1",191,188.1,187.7,185.8,187.8,190.8,190,186.3,194.2,197.3,201.4,204,203.1,206.9,208.6,211,215.5,215,218.6,224.9,224.1,225.7,229.8,230,232.1,237.8,241.6,243.2,242.9,240.8,248.5,251.7,258.3,263.2,262.1,268.8,278.9,282.3,284.7,284.9,291.3,296.4,301.1,302.1,300.5,301.8,302.9,309.8,315.9,317,315.7,324.4,323.9,332.2,340.8,340.1,349.5,345.6,350.2,357.5,362.4,371.5,371.6,383.7,390.2,391,396.1,400.4,409.4,412.2,416.6,413.2,416.3,427.2,412.2,402.3,402.1
"18","10","    Gasoline, fuel oil, and other energy goods","A173RX1",159.6,158.7,160.5,155,154.4,156.7,158.6,157.2,159.5,163.2,163.8,164.7,164.1,166.1,169.1,168.2,170.5,169.5,170.2,168.5,172.7,174.2,172.3,172.6,175.3,176.7,176.6,176.2,177.2,179.8,180.5,181.2,184.9,185.5,185.2,189.6,193.2,193.5,188.9,195.1,191.6,190.2,189.1,195.2,196.4,188.4,191.1,197.7,195.9,197.6,198.7,197.5,197.2,196.8,199.3,201,200.9,201.8,201.1,200.9,198.8,200.9,201.4,200.8,197.6,195.6,196.1,196.7,199.3,198,197.9,197,194,190.8,184.1,187.9,191
