"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"18","11","    Less: Consumption of fixed capital","A753RC1",6.9,6.7,6.3,5.6,5.2,5.3,5.2,5.3,5.9,6.1,6,6.3,7,7.9,7.9,8.2,8.5,9.8,12.4,14.6,15.9,17,19.6,20.8,21.7,22.9,24.1,26.9,29.3,30.9,31,32.6,33.3,34.1,36,37.5,40.4,44.6,48.3,52.6,59.1,65,70.1,78.1,86.8,102.4,120.6,132.8,150.7,173.8,200.7,229.7,261,288.8,298.6,318.8,343.6,356.8,374.9,397.8,429.7,456.1,487.7,501.7,516.1,555.6,591,620.9,665.2,708.4,760.6,827.3,900.5,897.5,921.8,970.7,1045.6
"19","12","    Equals: Net nonresidential","A593RC1",4.1,1.9,-1,-2.7,-2.6,-1.9,-1,0.4,1.6,-0.5,0.1,1.4,2.7,-1.6,-2.5,-0.8,2.1,7.5,11.1,12.2,9,10.7,12.3,11.1,13.4,11.8,15,17.6,18.2,11.6,15.5,16.8,15.4,18.9,20,25.4,34.4,40.8,38.1,40.8,45.6,44.1,44.1,50.7,66.5,67,53.1,59.5,78,106.7,133.2,132.7,159,137.7,118.6,170.8,182.6,163.1,149.2,166,178,166.3,110.4,110.4,150.5,175.8,219,254.5,303.5,344.1,373.3,404.8,276.3,168.8,155.5,184.7,220.1
"20","13","      Structures","B009RC1",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.3,2.2,1.8,2.4,3.3,7.4,8.1,9.5,9.2,10,12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.2,282.2,313.2,322.6,279.2,277.2,300.8,338.6
"21","14","      Less: Consumption of fixed capital","B188RC1",2.4,2.4,2.2,1.9,1.9,1.9,1.9,2,2.2,2.2,2.1,2.2,2.4,2.7,2.9,3,3.2,3.5,4.3,4.9,5,5.1,5.9,6.2,6.5,6.6,6.9,7.8,8.4,8.5,9,9,9.2,9.5,9.8,10.2,10.8,11.7,12.5,13.6,15,16.5,18.3,20.5,23.5,27.7,32.1,34.6,38.8,43.9,51,57.7,69.1,78.4,78.1,80.8,85.6,88.8,89.9,96.2,102.9,107.1,111.2,112.6,116.4,124.8,128.7,133.7,142.3,152.5,159.9,167.9,194.5,194.5,203.3,223.8,260.6
"22","15","      Equals: Net structures","A594RC1",3,2.1,0.4,-0.5,-0.8,-0.7,-0.5,-0.1,0.5,-0.1,0.1,0.4,0.8,-0.5,-1.1,-0.6,0.2,3.8,3.8,4.6,4.2,4.8,6.1,6,7,7.2,8.2,10.4,10.5,9.1,9.1,10.6,10.6,11.3,11.4,13.6,17.5,19.7,19,19.9,22.7,23.8,24.3,26.6,31.5,33.5,29.2,31.4,35.8,49.6,66.7,78.5,98.2,99.1,76.2,96.6,109,87.8,84.3,86.6,90.8,95.9,72.4,60,60.7,61.9,78.6,90.9,108.1,122.7,122.3,145.3,128.1,84.7,73.9,77,78
"23","16","      Equipment and software","B010RC1",5.5,4.2,2.6,1.5,1.4,2.1,2.8,3.9,4.8,3.4,3.9,5.2,6.4,4.1,3.7,5,7.3,9.9,15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187,216.2,226.2,252.7,248.9,262.9,312.2,331.7,343.3,349.9,381,414,419.5,414.6,439.6,489.4,544.6,602.8,650.8,718.3,777.3,851.7,918.9,854.2,787.1,800.2,854.5,927.1
"24","17","      Less: Consumption of fixed capital","B189RC1",4.4,4.4,4.1,3.7,3.3,3.4,3.3,3.4,3.7,3.9,3.9,4.1,4.6,5.2,5,5.2,5.4,6.3,8,9.6,10.8,11.9,13.7,14.5,15.2,16.2,17.1,19.1,20.9,22.4,21.9,23.6,24.2,24.7,26.3,27.4,29.6,32.9,35.8,39,44,48.4,51.7,57.6,63.3,74.7,88.5,98.3,111.9,129.9,149.6,172,191.9,210.4,220.5,238,258,268,285,301.7,326.8,349,376.5,389.1,399.6,430.8,462.4,487.2,522.9,555.9,600.6,659.4,706,703,718.5,746.8,785
"25","18","      Equals: Net equipment and software","A747RC1",1.1,-0.2,-1.4,-2.2,-1.9,-1.3,-0.5,0.5,1.1,-0.5,0,1.1,1.9,-1.2,-1.4,-0.2,1.9,3.7,7.3,7.7,4.9,5.9,6.2,5.2,6.4,4.6,6.8,7.2,7.7,2.5,6.4,6.2,4.9,7.6,8.5,11.9,16.9,21.1,19.1,20.9,22.9,20.3,19.7,24.1,35,33.5,23.9,28.2,42.2,57.1,66.6,54.2,60.8,38.5,42.4,74.2,73.7,75.3,64.9,79.3,87.2,70.5,38,50.4,89.8,113.8,140.4,163.6,195.4,221.4,251,259.5,148.2,84.1,81.7,107.6,142.1
"26","19","    Residential","A011RC1",4,2.4,1.8,0.8,0.6,0.9,1.3,1.7,2.1,2.1,3,3.5,4.1,2.2,1.4,1.4,1.7,7.8,12.1,15.6,14.6,20.5,18.4,18.6,19.4,21.1,25,23.6,22.2,22.3,28.1,26.3,26.4,29,32.1,34.3,34.2,32.3,32.4,38.7,42.6,41.4,55.8,69.7,75.3,66,62.7,82.5,110.3,131.6,141,123.2,122.6,105.7,152.9,180.6,188.2,220.1,233.7,239.3,239.5,224,205.1,236.3,266,301.9,302.8,334.1,349.1,385.8,424.9,446.9,469.3,503.9,572.4,675.3,770.4
"27","20","    Less: Consumption of fixed capital","A754RC1",1.6,1.6,1.4,1.2,1.1,1.3,1.2,1.3,1.5,1.5,1.5,1.6,1.8,2,2.1,2.3,2.4,2.7,3.4,3.9,4.1,4.4,5,5.3,5.6,5.9,6.2,6.7,7,7.2,7.6,8,8.3,8.6,8.9,9.4,10.1,10.8,11.6,12.7,14.1,15.1,16.6,18.9,21.1,24.2,27.1,29.7,33.6,39,45,51.4,56.9,61,63.5,66.8,70.4,75.1,80.3,85.7,92.3,95.5,99.1,105.6,108.6,119.5,122.3,127.9,135.1,142.8,153.7,163.6,175,182.9,196.5,234.8,307
"28","21","    Equals: Net residential","A748RC1",2.4,0.8,0.4,-0.4,-0.5,-0.3,0.1,0.4,0.6,0.6,1.5,1.9,2.3,0.3,-0.7,-0.9,-0.7,5.1,8.7,11.8,10.5,16.1,13.4,13.3,13.8,15.2,18.8,16.9,15.2,15.1,20.5,18.3,18.1,20.4,23.2,24.9,24.1,21.4,20.7,26,28.6,26.3,39.1,50.7,54.2,41.8,35.6,52.8,76.7,92.6,96,71.8,65.7,44.7,89.3,113.8,117.7,145.1,153.3,153.6,147.2,128.5,106,130.7,157.3,182.4,180.5,206.2,214,243.1,271.1,283.3,294.3,321.1,375.9,440.6,463.4
"29","22","  Change in private inventories","A014RC1",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,4,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.1,30.8,72,70.8,66.9,56.5,-31.7,11.9,14.3,57.3,21.3
"30","23","Gross government investment \1\","A782RC1",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219,221.4,232.7,244.9,252.2,262.4,286.8,304.5,324,344.3,356,371.4,397.1
"31","24","Less: Consumption of fixed capital","A264RC1",1,0.9,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.2,8.9,10.1,10.8,10.7,9.7,8.7,8,8.7,9.6,10.5,11.2,11.8,12.8,13.6,13.9,14.5,15,15.6,16.5,17.5,18.1,18.9,20.1,21.6,23.1,24.8,26.7,28.3,29.5,31.4,35.9,40,42.6,45.7,49.5,54.5,61.8,70.1,77.1,81.7,87,92.7,99.5,106.7,114.1,122.2,130.9,139.1,144.6,151.8,158.6,165,169.3,174.1,179,187,197,206,211.6,218.2,230.8,252.2
"32","25","Equals: Net government investment","A889RC1",1.9,2.2,2.1,1.3,1,1.6,1.7,2.9,2.5,2.8,3.1,2.8,8.8,25,32.8,27.7,14,-7.3,-6.1,-2.7,1,1.8,9,12.7,13.5,11.4,9.2,10.1,10.7,12.6,14.8,13.2,15.8,16.8,16.2,16.5,16.7,19.7,21.4,20.5,18.5,16.9,13.5,13.2,15.5,20.4,23.1,23.7,21.8,27.6,34,38.4,36.8,35.2,41.2,52.4,66.1,73.7,77.6,72.1,75.5,84.8,81.2,78.5,67.3,62.7,67.7,75.6,78,83.4,99.8,107.5,118,132.6,137.7,140.7,144.8
"33","26","          Federal","A890RC1",0,0.1,0.1,0.2,0.4,0.7,0.9,0.9,0.9,0.8,0.7,1.2,7.7,24.9,33.4,28.5,14.6,-7.4,-7.1,-4.6,-2.3,-1.9,4.5,8.1,8.4,5.1,2.3,2.4,2.1,3.1,5.1,3.7,5.4,5.9,4,3.3,2.1,3.4,3.6,1.2,-0.5,-1.3,-4.8,-4.6,-3.4,-1.6,-0.2,1.2,1.6,2.6,4.6,6.2,8.1,9.9,15.6,19.8,26.3,28.8,30.6,20.6,19.5,20.6,16.1,14.1,5.4,-1.8,-3.1,-0.9,-9.3,-7,-4.1,-7.7,-7.2,-0.8,3.3,7.3,10.7
"34","27","            National defense","B891RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0.1,0.1,0.1,0.1,0.6,6.7,24.3,33,28.4,14.4,-7.3,-7.3,-5,-3.1,-2.9,3.7,7.3,7.8,4.5,2.1,2,1.4,2.2,4.2,2.6,3.8,4,1.6,0.3,-1.2,0.2,1.4,-0.6,-1.8,-2.6,-6.3,-6.3,-5.2,-3.7,-2.7,-1.8,-1.7,-2.2,0.1,0.8,2.6,5.5,10.1,13.9,20,22.7,23.4,15.2,13.6,13.5,8,4.3,-4.3,-8.1,-10.4,-9.2,-15.4,-14.6,-12.1,-11.4,-10.2,-5.1,-1.2,3,4.4
"35","28","            Nondefense","B892RC1",0.1,0.2,0.2,0.3,0.5,0.7,1,0.8,0.7,0.7,0.6,0.6,1,0.6,0.5,0,0.2,-0.1,0.2,0.4,0.8,1,0.9,0.9,0.7,0.5,0.2,0.4,0.6,0.9,0.9,1.2,1.6,2,2.4,3,3.3,3.2,2.3,1.7,1.4,1.3,1.5,1.7,1.8,2.1,2.5,2.9,3.3,4.7,4.6,5.4,5.5,4.3,5.5,5.9,6.3,6.1,7.2,5.4,5.9,7.1,8.1,9.8,9.7,6.3,7.3,8.3,6.1,7.7,8,3.7,3,4.4,4.5,4.4,6.3
"36","29","          State and local","A893RC1",1.9,2.2,1.9,1.1,0.6,0.9,0.8,2,1.6,2,2.3,1.7,1,0.1,-0.6,-0.7,-0.6,0.1,1,1.9,3.2,3.7,4.4,4.6,5.1,6.3,7,7.7,8.7,9.5,9.7,9.5,10.4,10.9,12.1,13.2,14.6,16.2,17.8,19.4,19,18.2,18.3,17.8,18.9,22,23.4,22.6,20.2,25,29.3,32.2,28.7,25.3,25.5,32.6,39.7,45,47,51.5,56,64.2,65.2,64.5,61.9,64.6,70.8,76.5,87.3,90.3,103.9,115.3,125.2,133.4,134.5,133.3,134.1
"37","30","  Structures","A760RC1",2.6,2.9,2.7,1.9,1.7,2.3,2.3,3.7,3.3,3.6,3.9,3.7,6.3,12.1,7,3.3,2.5,1.7,3,4.6,6.3,7,9.5,11.1,11.7,12.1,12,13.4,14.9,16.5,16.9,16.6,18,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,120.8,124.9,134.4,144.7,155,159.3,175.3,189.3,205.3,220.2,227.4,233.1,248.9
"38","31","  Less: Consumption of fixed capital","A894RC1",0.7,0.7,0.7,0.6,0.7,0.8,0.8,0.9,1,1,1,1.1,1.3,1.7,2,2,2,2.3,2.7,3,3,2.9,3.5,3.7,3.9,3.9,4.1,4.6,5,5.2,5.4,5.5,5.8,6.1,6.4,6.8,7.2,7.8,8.4,9.2,10.2,11.5,12.8,13.9,15.6,19.1,21.5,22.3,23.5,25.2,28.3,32.5,36.7,39.6,40.4,41.3,42.8,45,47.7,49.9,52.4,54.9,56.8,58.5,61.2,64.6,68.2,71.5,75.8,79.4,83.8,89.4,95.6,99.1,103.5,111.5,127.4
"39","32","  Equals: Net structures","A895RC1",1.9,2.2,2.1,1.4,1,1.5,1.5,2.8,2.4,2.6,2.9,2.6,5,10.5,5,1.3,0.5,-0.6,0.3,1.6,3.3,4.1,6,7.4,7.8,8.2,7.9,8.8,9.9,11.3,11.5,11.1,12.3,12.6,13.5,14.3,15.6,17.3,18,19.4,18.7,17.7,18.5,17.7,18.7,21.2,23,22.6,20.7,26.3,29.5,32.8,29.6,25.4,25.3,31.2,38.3,44,47.9,49.1,49.6,57.8,60.1,61.3,59.6,60.3,66.2,73.2,79.3,79.9,91.5,99.9,109.7,121.1,123.9,121.5,121.5
"40","33","            Federal","A896RC1",0,0.1,0.2,0.3,0.4,0.5,0.7,0.8,0.8,0.7,0.6,1,3.9,10.3,5.6,1.9,1.1,-0.7,-0.6,-0.1,0.3,0.5,1.8,3,2.9,2.1,1.2,1.3,1.6,2.1,2.1,2,2.3,2.1,1.9,1.7,1.7,1.7,1,0.7,0.6,0.3,0.9,0.9,1.1,0.8,1.1,1.2,1.5,2.4,1.8,2.5,2.5,1.9,2.6,2.7,4,4.8,6.3,3.5,2,2.5,1.8,3.2,3.5,3,3.3,3.5,0.2,0,-0.7,-3.6,-4.2,-3.1,-2.4,-3.9,-4.3
"41","34","              National defense","B897RC1",0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0.5,3.4,10,5.3,1.9,1.1,-0.4,-0.7,-0.5,-0.5,-0.4,1,2.2,2.2,1.6,0.9,0.8,0.9,1.1,1.1,0.8,0.9,0.5,0.1,-0.3,-0.4,-0.4,-0.5,-0.5,-0.4,-0.7,-0.4,-0.6,-0.7,-1.1,-1.2,-1.5,-1.5,-1.5,-2,-1.7,-2,-1.4,-0.6,-0.6,0.5,0.8,1.4,1,-0.4,-0.8,-2.5,-2,-2.5,-2,-1.8,-1.6,-2.7,-3.6,-3.9,-4.2,-4.8,-5.1,-4.4,-4.9,-5.3
"42","35","              Nondefense","B898RC1",0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.7,0.6,0.6,0.5,0.4,0.5,0.3,0.3,0,0,-0.2,0.1,0.4,0.8,0.9,0.8,0.8,0.7,0.6,0.2,0.5,0.7,1,1,1.2,1.4,1.6,1.7,1.9,2.1,2.1,1.4,1.3,1,1,1.3,1.5,1.8,1.9,2.3,2.7,3,3.9,3.8,4.3,4.5,3.3,3.1,3.3,3.5,4,4.9,2.5,2.4,3.3,4.3,5.3,6,5,5.1,5.1,2.9,3.5,3.2,0.5,0.5,1.9,2,1,0.9
"43","36","            State and local","B899RC1",1.8,2.1,1.9,1.1,0.6,0.9,0.8,2,1.6,1.9,2.3,1.7,1.1,0.2,-0.5,-0.6,-0.5,0.1,0.9,1.8,3.1,3.6,4.2,4.4,4.9,6.1,6.8,7.5,8.3,9.2,9.3,9.1,10,10.5,11.6,12.6,14,15.5,17.1,18.6,18.2,17.4,17.5,16.8,17.6,20.4,22,21.4,19.3,23.8,27.7,30.3,27.1,23.5,22.8,28.5,34.4,39.1,41.5,45.6,47.6,55.3,58.3,58.1,56.1,57.4,62.9,69.6,79.1,79.9,92.2,103.6,113.9,124.3,126.4,125.4,125.9
