"","Table 8#8B# Motor Vehicle Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146"
"11","3","        Truck output \1\","A716RC",7.3,6.8,6.4,6.8,7.7,8.7,8.4,9.1,9.3,9.1,10.1,10,8.8,8.6,8.8,6.9,9.7,10.2,10.7,11.1,13,14,12.5,15,16.7,16.7,17.4,17.5,18.3,17.7,19,20,15.6,15.6,17.1,17.8,20.2,22.8,25.1,23.9,28.6,28.9,32.1,33,31.1,35.3,37.1,41.2,43.5,38.5,34.8,31.5,27.7,22.9,23.9,27.8,27.2,29.9,28.1,29.5,30.4,32,28.8,26.7,30.6,35.8,40.8,49,52.1,53.7,54.9,59.8,58.7,64.8,69.2,69.9,62.8,67.5,66.6,65.6,66.3,69.8,72.2,73.2,72.6,72.3,74.5,82,84.2,82,81.4,79.7,75.6,81.3,78.8,72.4,62.9,72.1,77.1,77.4,82.3,86,88.2,100.3,100.9,100.9,103.9,114.3,124.5,124.1,132,135.7,136.6,137.9,140.2,144.4,142.7,150.6,153.2,151.4,160.3,158.3,169.3,180.2,181.1,183.7,174.4,211,213.9,211,226.1,223.5,225,224.8,211.5,204.9,193.6,197.9,203.2,215,217.7,224.4,244.9
"12","4","Final sales of domestic product","AB60RC",33.7,36.5,36.3,35.2,40.3,40.7,43.2,43.4,45.1,43.8,44.2,43.4,39.4,40.7,40.5,31.5,45.1,47,48.1,50.9,52,54.1,55.1,59,65.2,63.5,62,57.5,54.2,55.4,60.1,52.7,53.2,54.4,62.5,66,72.4,74.3,78.6,81.2,91.9,92.2,91.4,94.6,92.9,107.8,105.6,108.8,110.6,101.5,107.3,100.7,98.8,76.5,86.9,90.4,102.4,94.9,105.4,87.4,96.8,94.6,94.9,106.1,104,120.4,131.6,143.4,148.4,154.5,152.2,158.1,170.3,172.1,191.8,166.4,167.8,176.7,200.6,181.9,158,176.1,196.3,176.9,197.7,194.9,191.1,198.1,195.4,202.3,211.4,189.4,209.1,193,192.1,179.8,173.5,173.4,180.4,177.1,187.4,197,201.4,216.4,201.1,225.2,226.4,244.9,260.4,251.2,256.9,260,256.4,255.4,268,273.5,276.8,278.2,279.1,284.5,285.8,273.1,296.6,301.9,298.9,319.6,301.8,335.3,321.3,330.1,339.5,341.4,350,329.9,330.5,306.4,319.8,317.1,316.1,364.4,320.4,312.6,353.8
"13","5","  Personal consumption expenditures","AB61RC",23.8,26.4,26,25.6,29.2,29.8,31.9,31.6,32.3,31.6,32,31.6,29,30,30,24,34,35.2,36.2,38,38.8,40.3,41.2,44.1,48.1,46.7,44.7,41,37.5,38.2,42,35.5,37.5,38,44.6,47.9,54.3,55.3,56.7,58.8,65,65.3,66.4,68.3,66.3,77.3,75.6,76.3,76.1,69.8,74,71,72.9,55.9,64.7,67.1,75.8,69.1,76.9,65.7,75.6,74.8,76.5,84.4,83.2,97.5,102.2,111,117,120.9,120.4,126,135.9,138.2,157,137.9,141.4,151,176.8,162.1,140.5,155.6,172.3,160.3,170.8,167.1,161.9,168.8,169.4,171.4,178.4,162,176.1,165.4,161.8,152.6,139,137.5,146.3,144.2,152,154.9,159.1,165.5,162.5,174.3,178.1,189.8,192.9,189.7,190.9,197.1,194,195.6,198.8,198.6,202.1,204.6,200.3,199.3,209.3,196.5,213.8,215.1,214.8,229.5,225.1,249.1,242.5,254.2,258.7,260.2,274.3,264.4,272.1,259.1,276,276.8,278.3,322.6,290.6,287.5,321.8
"14","6","    New motor vehicles","AB67RC",19.8,22.2,21.5,20.8,25,25.3,26.8,26.8,27.1,26.6,27.1,26.5,24.3,25,25.2,19.3,29.2,29.8,30.6,32.5,33.2,34.6,35.2,37.8,41.5,40.2,38.2,34.9,31.5,31.9,35.1,28.3,31,30.8,36.8,39.7,45.4,45.6,46.7,48.9,54.3,55.5,55.8,57.8,56.2,66.5,63.9,64.5,64.4,58.4,62.3,60.4,61.3,46.1,54.3,55.6,63.7,56.3,63.7,52.9,62.5,62,62.2,70.3,68.9,82.9,85.9,93.7,98.3,99.9,96.3,104.1,112,113.7,132.1,113.6,117.6,128.4,153.2,137,117.6,129.6,141.3,126.6,140.5,137.9,134.2,140.3,139.5,139.2,149.4,129.2,146,136.2,132.5,123.9,109.2,110.9,116,115.5,123.2,124.5,127.7,131.4,126.6,136,138.3,148.6,147.9,149.4,148.4,153,145.6,145.2,145.4,150.8,152.5,150.6,147.7,149.8,152.7,146,160.8,162.9,160.4,179.7,169.3,189.3,186.7,196,201,201.2,215.5,206.4,212.3,198.2,212.8,214.7,217.4,266.2,235.1,228.8,262.9
"15","7","      Autos","A136RC",18.8,21.2,20.4,19.8,23.6,23.9,25.4,25.2,25.4,24.9,25.3,24.8,22.8,23.5,23.6,17.9,27.4,27.7,28.1,29.6,29.9,31,31.7,33.8,36.7,35.6,33.5,29.9,27.1,27.2,29.9,23.8,26.9,26.1,31.1,33.2,37.7,37.4,37.5,39.9,43.4,44.6,44.8,44.8,43.4,51.4,49.2,50,51,47,50.3,48.7,52.3,38.6,46.4,48.2,56,47.8,54.4,44.6,51.3,51.5,51.7,58.8,56.5,66.8,67.5,73.3,76.9,77.6,74.2,79.9,82.5,84.1,97.7,80.7,87.6,94.2,112.5,101.5,84.5,90.8,101.9,87.9,100.4,96.9,92.6,96.8,94.5,93.6,100.5,82.9,97,90.4,89,82.3,71.2,71.5,73.2,73.2,78.7,76.6,77.2,79.6,75.4,81,83.4,88.4,86,86.7,86.6,86.7,80.9,81.5,81.7,84.8,82.9,82.8,80.4,81.4,83.1,77.2,85,84.5,84,90.5,84.7,92.3,91.9,97.8,101.1,102.8,109.9,106.4,106.7,98.9,104.2,102.4,100,117.2,104.1,102.2,109.6
"16","8","      Light trucks","B704RC",1,1.1,1.1,1.1,1.3,1.4,1.5,1.7,1.8,1.7,1.7,1.8,1.5,1.5,1.6,1.4,1.8,2.1,2.5,2.9,3.3,3.6,3.4,4,4.8,4.6,4.7,5,4.4,4.7,5.2,4.4,4.1,4.7,5.7,6.5,7.7,8.2,9.1,9,10.8,10.9,11.1,13,12.7,15,14.6,14.5,13.4,11.4,12,11.7,9,7.4,7.9,7.4,7.7,8.5,9.4,8.3,11.2,10.5,10.5,11.5,12.4,16.1,18.4,20.4,21.4,22.3,22.2,24.3,29.5,29.5,34.4,32.9,29.9,34.1,40.8,35.5,33.1,38.8,39.4,38.7,40.1,41,41.6,43.5,45,45.5,48.9,46.3,49,45.8,43.5,41.6,38,39.4,42.8,42.3,44.5,47.9,50.5,51.8,51.2,55,54.9,60.2,61.9,62.7,61.8,66.3,64.7,63.7,63.7,66.1,69.6,67.8,67.3,68.4,69.6,68.7,75.8,78.4,76.5,89.2,84.7,97,94.8,98.1,99.9,98.5,105.6,100,105.6,99.3,108.7,112.3,117.3,149,131,126.6,153.3
"17","9","    Net purchases of used autos","A137RC",4,4.1,4.5,4.7,4.2,4.5,5.1,4.7,5.1,4.9,5,5,4.6,5,4.9,4.7,4.8,5.4,5.5,5.5,5.6,5.7,6.1,6.3,6.5,6.5,6.5,6,6,6.4,6.9,7.2,6.6,7.2,7.8,8.2,8.9,9.7,10.1,9.9,10.7,9.8,10.5,10.5,10.2,10.8,11.7,11.8,11.6,11.4,11.7,10.6,11.6,9.8,10.4,11.6,12.1,12.9,13.2,12.8,13.1,12.8,14.3,14.1,14.3,14.6,16.3,17.3,18.7,21,24.1,21.8,23.9,24.5,24.9,24.4,23.8,22.6,23.6,25.1,22.9,25.9,31.1,33.7,30.3,29.2,27.7,28.5,29.9,32.2,29,32.9,30.1,29.1,29.3,28.7,29.8,26.6,30.2,28.7,28.8,30.4,31.4,34.1,35.9,38.3,39.8,41.2,45.1,40.3,42.5,44.1,48.4,50.4,53.4,47.7,49.6,54,52.7,49.5,56.6,50.5,53,52.2,54.3,49.8,55.7,59.7,55.8,58.2,57.7,59,58.8,57.9,59.8,61,63.1,62.1,60.9,56.4,55.5,58.7,59
"18","10","  Private fixed investment","AB62RC",9.3,9.5,9.7,9.4,11.1,11.5,12.2,12.9,13.3,13.6,13.7,13.5,12.2,12.1,12,9.6,13.3,14.1,15.1,16.2,16.7,17.3,16.9,18.5,20.4,20.4,20.3,19.4,19.9,20.3,20.9,18.9,16.5,16.6,18.9,19.7,21.4,22.3,24.4,24.6,29.3,30.4,30.1,32.6,33.2,37.8,37,39.2,40,38.1,38.8,35.2,34,28.7,31.8,32.2,34.7,35.2,37.3,34,35.6,34.8,34.2,34.5,37.2,40.2,45.1,51.8,53.2,55.9,55.1,55.9,57.8,60,62.9,60.5,59,61.3,63.7,59,56.7,61.3,61.6,55.8,62.4,62.8,61.9,65.9,60.5,62.4,60.4,55.5,60.2,59.2,61.8,59.9,59.6,61.4,64.7,64.6,65.4,68.9,69.2,74.2,72.7,81.5,80.7,88.3,98.8,100.1,105.8,111.2,108.2,104.4,108.1,111.4,113.6,118.3,124.9,126.3,127.4,125.8,131.2,134,135.3,142.8,131.9,150.7,153,153.2,162.1,161.4,163,152.9,149.2,135.1,133.2,127.7,124.3,125.7,114.9,119.9,125
"19","11","    New motor vehicles","AB68RC",11,11.6,11.9,11.4,13.3,13.6,14.4,15.2,15.5,15.9,16.1,16,14.5,14.8,14.5,11.3,16,16.3,17.4,18.3,18.6,19.5,19.2,21.3,23.4,23.3,23.1,21.8,22.4,23.1,24.5,22.3,19.9,20.3,23.2,24,25.8,27,29,29.2,34.3,35.4,34.8,37.4,38,43.2,42.5,45,46.2,44.3,45.6,41.3,40.8,34.4,38.3,39.3,42.5,42.3,45.5,41.1,43.2,42.8,42.7,43.2,45.2,48.2,53.7,61.8,65.3,69.7,71.1,70.8,74.5,76.8,81.5,75.3,73.6,76.3,79.5,73,70.2,76.5,80.3,76.6,80.9,81.3,81.9,85.3,78.6,84.2,80.6,73.7,78.2,77,81.6,80,78.7,81,86.3,84.5,84.7,91.3,91.4,98.6,97.1,110.8,107.8,117.1,127.9,128.5,135.1,142.3,141.8,137.4,143.4,145,147.2,153.9,161.1,158.5,163.8,160.5,164.7,167,168.6,178.7,165.1,188.7,187.7,187.9,198.7,198.3,201.1,188.1,185.1,172.2,172.3,165.2,159.9,159.3,147.5,155.1,161.5
"20","12","      Autos","B139RC",6.1,6.8,6.9,6.7,7.7,7.8,8.4,8.7,8.6,8.8,8.8,8.6,7.9,8.4,8,5.9,9.7,9.4,9.9,9.9,9.5,9.8,10.1,11.4,12,12.3,12,10.3,10.8,11.1,12.6,11.1,10.7,11.7,13.8,13.9,14.9,15.2,15.5,16.4,18.6,19.3,18.9,19.7,19.7,22.7,22.6,22.9,23.4,22,23.3,20.2,22,18.2,20.6,22.3,24.8,23.2,26.6,22.5,23.4,24.3,25.6,26,26.4,28.5,31.7,35.8,37.9,40.2,41.4,39.7,42.1,43.3,47.9,39.2,42.7,45.1,48.3,42.7,40.4,43.1,46.6,43.8,48,48.6,48.7,49,44.4,49.2,47,42.3,45.8,46,50.4,50,50.6,51.8,55.6,52.3,51.6,54.7,52.8,57.2,54,63,58.6,63.2,69.5,70.3,73.3,75.8,71.8,69.3,72.9,71,72.2,77.1,79.8,73.6,79,76.6,77,74.8,75.1,77.5,69.1,80.5,76.9,78,80.4,80,82.7,75.4,75.5,74.8,75.5,72.1,68.9,65.8,62.5,66.4,69.8
"21","13","      Trucks","B705RC",5,4.8,5,4.8,5.6,5.7,6,6.5,6.9,7.1,7.3,7.4,6.6,6.4,6.5,5.4,6.2,7,7.5,8.5,9.1,9.7,9.2,9.9,11.4,11.1,11.2,11.5,11.6,12.1,11.9,11.2,9.1,8.6,9.4,10.1,11,11.8,13.5,12.9,15.7,16.1,15.9,17.7,18.2,20.5,19.9,22.1,22.8,22.3,22.3,21.1,18.8,16.2,17.8,17,17.6,19.2,18.9,18.6,19.8,18.5,17.1,17.2,18.8,19.7,22.1,26,27.4,29.5,29.6,31.1,32.4,33.5,33.6,36,30.9,31.1,31.2,30.3,29.8,33.4,33.8,32.8,32.9,32.7,33.2,36.3,34.2,35.1,33.7,31.4,32.4,31,31.1,29.9,28.1,29.2,30.7,32.2,33.1,36.6,38.6,41.3,43.1,47.8,49.2,53.8,58.5,58.2,61.8,66.6,70,68.1,70.5,74,75.1,76.8,81.3,84.9,84.7,83.9,87.8,92.2,93.5,101.2,96,108.2,110.8,109.9,118.3,118.3,118.4,112.7,109.6,97.4,96.8,93.1,91.1,93.5,85,88.7,91.8
"22","14","        Light trucks","B196RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,14.6,15,15.2,16.3,16,16.8,17.3,15.8,16,16.4,15.1,17.5,17.1,17.1,16.8,16.3,17.8,18.5,19,19.6,21.3,21.4,23,23,26.3,26.2,29,33.8,33.4,35.4,38.7,39.2,38.5,40.8,43.5,47.4,49.1,53.7,58.9,60,59.5,62,64.4,64.3,70.8,62.4,71.5,73.9,72.9,79.9,79.2,80.9,77.3,77.8,70,71.8,69.5,68.4,71.2,64,65.7,66
"23","15","        Other","B197RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,18.8,18.8,17.7,16.6,16.7,16.3,18.9,18.4,19.1,17.3,16.3,14.9,13.9,14,13.1,11.8,11.4,12.2,13.2,13.5,15.3,17.2,18.3,20.1,21.5,23,24.8,24.7,24.8,26.3,27.9,30.8,29.6,29.7,30.5,27.7,27.7,27.5,26,24.7,24.5,25.8,27.8,29.2,30.4,33.6,36.7,37,37,38.4,39.1,37.5,35.4,31.9,27.4,25,23.6,22.7,22.3,21,23,25.7
"24","16","    Net purchases of used autos","B140RC",-1.8,-2.2,-2.2,-2,-2.1,-2.1,-2.2,-2.2,-2.3,-2.4,-2.4,-2.5,-2.3,-2.7,-2.5,-1.6,-2.6,-2.2,-2.3,-2.2,-2,-2.2,-2.3,-2.8,-3,-3,-2.8,-2.3,-2.5,-2.9,-3.6,-3.4,-3.4,-3.7,-4.4,-4.3,-4.5,-4.7,-4.6,-4.6,-5,-5,-4.7,-4.8,-4.7,-5.4,-5.5,-5.8,-6.2,-6.2,-6.8,-6.1,-6.8,-5.7,-6.5,-7.1,-7.8,-7.1,-8.2,-7.1,-7.6,-8,-8.5,-8.7,-8.1,-8,-8.6,-10,-12.1,-13.9,-15.9,-14.9,-16.6,-16.8,-18.6,-14.7,-14.6,-15,-15.8,-14,-13.5,-15.3,-18.7,-20.8,-18.5,-18.5,-19.9,-19.3,-18.1,-21.8,-20.2,-18.1,-18,-17.8,-19.8,-20.1,-19.1,-19.7,-21.6,-19.9,-19.3,-22.4,-22.2,-24.3,-24.4,-29.3,-27,-28.8,-29.1,-28.5,-29.3,-31.2,-33.6,-32.9,-35.4,-33.6,-33.6,-35.6,-36.2,-32.2,-36.3,-34.8,-33.6,-33,-33.3,-35.9,-33.2,-38,-34.7,-34.8,-36.6,-36.9,-38.1,-35.2,-35.9,-37.1,-39,-37.6,-35.7,-33.5,-32.6,-35.2,-36.6
"25","17","  Gross government investment","AB64RC",1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.6,1.6,1.7,2,2.2,1.9,2.3,2.5,2.5,2.4,2.4,2.5,2.5,2.6,2.8,2.9,3.1,3.3,3.3,3.2,3.4,3.4,3.8,3.8,4.1,4.3,4.1,4.5,4.6,4.6,4.3,4.8,4.9,5.2,5.2,5,4.8,5,4.8,4.7,5.2,4.5,5.6,6.2,6.7,7.4,8.9,7.7,8,8.7,8.9,8.2,7.9,7.5,8.6,9.3,7.4,7.4,7.3,9,6.7,8.6,7.7,8.5,7.8,9.7,10.1,12,9.3,11.1,9.7,11.1,11.1,13.3,9.1,9.6,8.7,10.1,10.9,9.5,13.9,9.5,12.2,11,9.7,9.6,9.8,12,9.9,9.5,10.9,10.3,12.2,12.1,10.1,9.9,11.3,10.9,11.4,13,10.5,10.8,13.5,11.4,13.1,12.2,11.3,13,14.8,13.9,12.8,12.9,14.2,13.8,13.7,13.3,14.2,13.7,12.7,12.4
