"","Table 2#3# Real Personal Consumption Expenditures by Major Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"1","[Billions of chained (1996) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1987 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 20, 2002 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/23/2002 8:44:33 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Personal consumption expenditures","A002RX",4049.7,4101.5,4147,4155.3,4228,4256.8,4291.6,4341.4,4357.1,4374.8,4413.4,4429.4,4466,4478.8,4495.6,4457.7,4437.5,4469.9,4484.3,4474.8,4544.8,4566.7,4600.5,4665.9,4674.9,4721.5,4776.9,4822.3,4866.6,4907.9,4944.5,4993.6,5011.6,5059.6,5099.2,5132.1,5174.3,5229.5,5254.3,5291.9,5350.7,5375.7,5462.1,5507.1,5576.3,5660.2,5713.7,5784.7,5851.4,5932.8,6000.1,6073.6,6151.9,6198.2,6256.8,6288.8,6326,6348,6370.9,6464,6513.8,6542.4,6609.9
"10","2","Durable goods","B003RX",435.2,453.8,472.8,459,481.7,481.5,474.9,488.1,485.6,492.5,502.7,486,506.7,489.3,483.5,468.8,452.6,454,460.2,452.8,468.7,471.4,482.1,493.8,495.4,513.3,524.7,539.9,546.9,551.7,557.7,574.3,570.4,577.4,590.7,595.7,601.7,620.4,618.1,625.7,641.5,636.5,670.5,680.9,692.5,719.7,727.1,767.3,777.6,804.2,824.1,844.2,879.5,871.3,888.5,876.5,900.6,912.4,922.6,992,975.9,980.7,1032.4
"11","3","  Motor vehicles and parts","A165RX",223.7,241.8,260.3,243.8,261.8,256.7,247,253.9,253.2,253.8,265,243.4,262.6,248.6,244.4,228.9,210.8,208.2,216.1,211.9,221.6,222.4,225.9,233.1,228.6,241.1,244,255,258.2,253.3,251.4,257.5,250.7,252.2,256.4,254.4,257,259.6,255.2,253.4,262.9,250.8,271.8,273.7,274.7,292.7,287.2,313.2,309,322.9,326.9,329.5,347.3,333.8,343.6,329.1,345.1,349.5,352.8,400.4,370,369.1,407.6
"12","4","  Furniture and household equipment","A166RX",130.6,131.8,135,135.7,138.9,141.6,142.4,146.2,147.7,150.5,150.4,150.9,153.7,151.3,149.7,148.7,149.7,153.5,154.5,152.8,157.5,158.8,162.9,166.7,170.8,174.9,180,184.1,187.1,193.1,198.6,206.4,207.7,211.1,218.1,224.6,226.1,237.2,238.7,245.5,250.5,257.6,266.5,273.2,281.3,286.9,297.9,307.2,317.8,328.6,340.8,353.1,366,372.2,377.1,380.6,386,392.8,399.5,413.6,428.2,435.2,441.4
"13","5","  Other","A167RX",88.4,90,88.9,88.4,91.9,92.9,93.7,96.5,92.5,95.7,96.4,98.1,98.7,96.2,96,96,94.5,93.9,91.8,90.1,92.1,92.5,95.5,96.4,97.6,99.4,102.7,103.2,103.9,106.7,108.8,111.2,112.5,114.5,116.6,116.7,118.7,123.6,124.1,126.7,128.1,128.5,132.3,134.3,137,140.2,142.8,147,151.6,153.4,157.7,163.5,167.8,168.6,170.7,171.3,173.1,174.2,175,178.9,184.2,184.1,187
"14","6","Nondurable goods","B004RX",1266,1275,1276,1281,1295.8,1307.4,1321.4,1336,1341,1341.8,1354.7,1366.4,1370.2,1372.6,1375.9,1359.8,1358.9,1368.7,1369.4,1358.9,1381.2,1379.1,1388.1,1410.3,1410.2,1425.5,1438.1,1447.4,1465.3,1477.6,1490.9,1506.5,1514.3,1525.3,1531.7,1544.6,1553.9,1569.9,1578.6,1593.9,1605.6,1608.2,1631.7,1634.1,1656.3,1680.5,1693.6,1715.3,1736.1,1756.7,1767.7,1799.9,1809.7,1831.6,1840.9,1853.1,1863.7,1862.3,1868.3,1885,1921.4,1920.9,1925.8
"15","7","  Food","A168RX",663.3,664,663.6,667.6,678.4,687.9,695.2,701.2,702,699.3,704.2,708.7,716.2,725.7,727.4,720.4,718,724,724.5,719.2,726.8,718.7,721.3,735.6,738.6,743.2,747.9,750.8,756,764.7,767.2,771.6,773.4,776,778,780.6,784.5,785.5,785.3,788.5,794,792.8,797.8,793.2,804,816.8,824,832.8,831.9,842.2,847.3,866,870.8,880.5,880.7,883.9,889.1,887.4,884.3,887.1,901.4,899.2,897.9
"16","8","  Clothing and shoes","A169RX",180.7,181.6,184.1,183,185.3,184.3,188.7,192.9,194,196.6,201.4,202.2,200.3,197,196.8,194.7,196.9,200,199.2,195.3,203.5,206.8,211.1,213.8,212.6,218,220.2,223.3,227.6,227.3,232.2,239.2,240.1,242.4,246.3,248.4,250.7,257.8,261.6,264.3,267.1,265.2,275,279.1,286.1,290.6,289.3,295.8,307.9,311.6,314.1,314.7,322.3,327.9,332.3,335.1,334.3,334.7,337.1,344.8,355.8,355.1,355.3
"17","9","  Gasoline, fuel oil, and other energy goods","A173RX",125.5,128.9,126,127.8,128.4,130,129.7,130.7,130.9,130,129.3,132.9,127.9,126.8,127.7,122.4,121.3,122.6,123.6,122,123.4,126.1,126.3,127,126.7,128.8,131.4,130.8,132.5,131.6,132.8,132.8,134.4,136,135.7,137.7,138.5,139.6,140,140.7,140.7,143.5,144.2,143.9,143.8,146,147.3,147.2,148.8,152,150.7,152.7,147.7,150.1,150.1,150.8,151.3,148.3,151.9,153.4,157.2,156.5,157.5
