"","Table 6#22B# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"30","23","    Miscellaneous manufacturing industries","B1743C0B",63,68,65,74,80,88,97,115,124,135,148,149,141,146,157,140,150,160,157,168,205,239,260,276,288,311,392,472,432,499,507,617,789,1029,1386,1412,1733,1814,1809,1704
"31","24","  Nondurable goods","A1744C0B",1802,2046,2205,2501,2769,3129,3665,4247,4555,4981,5425,5713,5870,6259,7200,7732,8153,8720,9266,9825,10592,11547,12220,13165,14226,15079,16008,17593,19622,23768,25862,29834,34369,43915,54131,60645,66659,74040,72493,72307
"32","25","    Food and kindred products","B1745C0B",371,430,463,516,546,559,617,698,721,783,948,1008,1040,1096,1272,1304,1397,1479,1679,1637,1761,1971,2120,2266,2404,2655,2812,3050,3256,3997,4290,4753,5349,6810,8326,9126,9756,10464,12175,11897
"33","26","    Tobacco manufactures","B1746C0B",11,13,14,15,14,17,19,21,24,27,31,37,40,42,51,59,60,61,67,71,71,117,157,174,201,238,286,313,335,386,439,506,584,876,1091,1244,1514,2034,443,487
"34","27","    Textile mill products","B1747C0B",156,174,193,210,223,242,258,290,306,327,320,321,329,366,401,421,449,467,501,547,568,629,692,730,809,903,923,939,909,1006,1043,1185,1239,1378,1529,1466,1827,1783,1782,1812
"35","28","    Apparel and other textile products","B1748C0B",41,48,48,54,56,59,64,72,73,74,83,88,87,95,118,115,129,141,166,183,202,214,229,226,297,296,306,318,347,415,423,454,508,653,716,743,944,967,1063,1015
"36","29","    Paper and allied products","B1749C0B",122,140,154,179,204,234,275,338,370,419,464,474,496,541,653,665,722,735,773,840,902,960,1014,1070,1180,1266,1302,1463,1703,1932,2174,2181,2620,2953,3438,3575,4362,5205,5357,5814
"37","30","    Printing and publishing","B1750C0B",80,95,107,122,131,143,154,182,201,223,250,270,304,320,386,422,468,491,528,573,633,740,729,818,853,988,1028,1143,1227,1382,1099,1402,1710,2493,3295,3535,4036,4719,4752,4799
"38","31","    Chemicals and allied products","B1751C0B",277,327,369,432,539,660,784,916,973,1045,1127,1257,1259,1370,1651,1751,1800,1946,1995,2098,2294,2494,2679,2896,3230,3225,3515,3936,4598,5316,5537,6512,7267,8976,10396,11430,11372,13676,11589,12907
"39","32","    Petroleum and coal products","B1752C0B",655,731,767,861,932,1078,1341,1549,1686,1856,1944,1999,2042,2136,2326,2622,2750,3001,3121,3396,3662,3803,3926,4237,4471,4630,4888,5379,6174,8095,9690,11410,13683,18083,23463,27444,30605,32636,32576,30763
"40","33","    Rubber and miscellaneous plastics products","B1753C0B",67,63,67,86,96,110,126,151,166,189,218,219,228,251,298,314,323,341,371,409,430,536,588,661,681,761,841,929,940,1100,1021,1281,1257,1502,1665,1899,2020,2278,2524,2613
"41","34","    Leather and leather products","B1754C0B",22,25,23,26,28,27,27,30,35,38,40,40,45,42,44,59,55,58,65,71,69,83,86,87,100,117,107,123,133,139,146,150,152,191,212,183,223,278,232,200
"42","35","Transportation and public utilities","A1755C0B",2199,2309,2539,3009,3287,3736,4031,4621,4925,5253,5443,5922,6198,6480,7353,7862,8371,9045,9947,10764,11776,12774,13870,15654,18053,19700,21759,23930,25642,28308,31464,34795,38889,48757,51650,62141,65752,77911,78414,85919
"43","36","  Transportation","A1756C0B",1349,1400,1463,1783,1965,2231,2207,2460,2517,2603,2568,2663,2693,2740,3207,3278,3478,3741,4207,4595,5003,5339,5687,5921,6222,6353,7031,7255,7615,8358,9335,10572,11916,15502,14225,16122,17538,20913,20392,20823
"44","37","    Railroad transportation","B1757C0B",901,898,932,1159,1305,1473,1396,1527,1491,1469,1361,1305,1225,1161,1418,1425,1538,1644,1844,1848,1895,2022,2170,2291,2359,2243,2465,2546,2902,2980,3398,3706,3990,6339,4661,5364,4979,5448,4576,4577
"45","38","    Local and interurban passenger transit","B1758C0B",121,136,125,133,135,138,121,141,150,146,141,133,129,147,163,154,169,178,213,245,254,230,251,292,282,166,177,172,187,186,226,238,299,314,359,398,651,820,833,857
"46","39","    Trucking and warehousing","B1759C0B",112,133,152,198,212,233,262,325,379,407,410,500,524,519,601,612,635,705,777,823,861,1008,1092,1174,1335,1542,1785,1823,1782,2123,2383,2786,3136,3094,3303,3647,4218,5410,5601,6163
"47","40","    Water transportation","B1760C0B",77,91,92,105,112,121,123,136,138,145,183,204,212,201,231,251,266,279,274,309,356,317,322,327,331,358,369,439,492,562,537,776,830,1025,1020,1338,1510,1830,1511,1038
"48","41","    Transportation by air","B1761C0B",85,85,89,95,103,144,173,179,197,261,301,344,421,507,567,567,553,607,754,968,1233,1334,1397,1421,1431,1527,1676,1697,1642,1714,1855,2059,2421,2832,3136,3558,4047,5309,5912,6131
"49","42","    Pipelines, except natural gas","B1762C0B",31,33,49,56,60,69,74,80,84,79,87,91,96,102,104,133,173,169,174,185,192,219,247,247,296,284,166,162,161,307,387,378,420,551,665,665,743,492,365,318
"50","43","    Transportation services","B1763C0B",22,24,24,37,38,53,58,72,78,96,85,86,86,103,123,136,144,159,171,217,212,209,208,169,188,233,393,416,449,486,549,629,820,1347,1081,1152,1390,1604,1594,1739
"51","44","  Communication","A1764C0B",323,345,413,449,471,517,579,647,688,768,839,954,1047,1156,1285,1684,1893,2099,2321,2531,2817,3062,3471,4438,5698,6471,7098,8088,8861,9930,10814,12007,13622,16561,19262,24573,24305,28593,27162,31179
"52","45","    Telephone and telegraph","B1765C0B",312,326,390,424,445,485,534,586,627,691,765,878,961,1064,1182,1573,1772,1983,2186,2360,2618,2838,3254,4218,5451,6217,6833,7803,8554,9538,10319,11416,12932,15447,17800,22739,22592,26998,25972,29748
"53","46","    Radio and television","B1766C0B",11,19,23,25,26,32,45,61,61,77,74,76,86,92,103,111,121,116,135,171,199,224,217,220,247,254,265,285,307,392,495,591,690,1114,1462,1834,1713,1595,1190,1431
"54","47","  Electric, gas, and sanitary services","B1767C0B",527,564,663,777,851,988,1245,1514,1720,1882,2036,2305,2458,2584,2861,2900,3000,3205,3419,3638,3956,4373,4712,5295,6133,6876,7630,8587,9166,10020,11315,12216,13351,16694,18163,21446,23909,28405,30860,33917
"55","48","Wholesale trade","B1768C0B",254,322,378,441,465,488,538,668,736,793,765,788,846,842,940,976,1015,1119,1253,1328,1615,1855,2040,2207,2637,2908,3482,3863,4514,5120,6568,7980,9354,11316,12841,13209,15329,17557,17950,18511
"56","49","Retail trade","B1769C0B",496,578,651,715,760,808,868,1013,1106,1233,1252,1367,1486,1573,1745,1824,1962,2124,2282,2569,2637,3049,3372,3785,4461,4798,5258,5867,6388,7269,8718,10513,12187,14745,16972,18815,21681,24980,26231,27480
"57","50","Finance, insurance, and real estate","A1770C0B",519,633,675,789,853,963,1099,1262,1397,1607,1760,1919,2165,2327,2567,2701,3067,3286,3501,3730,4129,4666,4837,5186,5886,6651,7409,8121,8684,9740,11498,12649,13771,17132,19573,23557,26596,31875,35784,40323
"58","51","  Banking","A1771C0B",73,83,91,101,112,125,144,174,193,222,248,327,361,397,428,463,574,632,691,819,1058,1258,1348,1524,1857,2334,2929,3402,3795,4420,5451,6129,6716,8360,8809,10439,11873,14680,17559,19458
"59","52","    Federal Reserve banks","B1772C0B",1,1,1,2,3,3,3,3,3,4,4,5,6,6,6,6,6,6,5,5,6,5,5,6,6,9,9,11,10,12,13,14,19,20,52,79,88,100,114,124
"60","53","    Commercial and mutual banks","B1773C0B",72,82,90,99,109,122,141,171,190,218,244,322,355,391,422,457,568,626,686,814,1052,1253,1343,1518,1851,2325,2920,3391,3785,4408,5438,6115,6697,8340,8757,10360,11785,14580,17445,19334
"61","54","  Credit agencies other than banks","B1774C0B",16,17,20,25,27,34,41,49,55,70,88,25,27,30,33,35,44,48,53,63,81,97,104,118,143,180,226,263,293,341,421,474,519,646,678,803,913,1130,1352,1498
"62","55","  Security and commodity brokers","B1775C0B",2,3,3,3,3,3,4,4,6,5,6,7,8,9,16,11,14,17,18,20,33,47,62,66,76,94,90,112,124,162,194,259,293,573,857,1222,1474,1835,1429,1624
"63","56","  Insurance carriers","B1776C0B",29,36,45,64,75,90,101,114,129,138,148,166,200,203,240,264,290,298,339,356,395,518,594,676,770,924,1028,1101,1186,1365,1733,1931,1992,2340,2571,3817,4485,4968,5617,7379
"64","57","  Insurance agents, brokers, and service","B1777C0B",4,5,6,7,7,10,12,14,17,18,21,23,26,33,34,37,38,40,42,45,59,67,71,79,91,100,122,143,162,216,239,299,347,479,719,796,917,980,1047,1020
"65","58","  Real estate","B1778C0B",381,437,490,573,610,681,775,873,956,1097,1195,1302,1462,1550,1689,1787,1989,2118,2241,2258,2369,2567,2503,2541,2720,2704,2716,2801,2789,2919,3130,3139,3399,3880,4444,4829,5316,5943,6265,6107
"66","59","  Holding and other investment offices","B1779C0B",14,52,20,16,19,20,22,34,41,57,54,69,81,105,127,104,118,133,117,169,134,112,155,182,229,315,298,299,335,317,330,418,505,854,1495,1651,1618,2339,2515,3237
"67","60","Services","A1780C0B",303,375,400,462,496,565,644,763,944,1090,1141,1355,1530,1636,1888,2136,2296,2539,2743,2933,3279,3877,4256,4517,5107,5978,6398,6771,7229,8660,10801,12278,14380,17022,21467,23670,26972,30681,32547,34717
"68","61","  Hotels and other lodging places","B1781C0B",82,91,98,108,110,117,132,151,168,198,197,226,246,267,298,317,340,375,398,427,438,485,568,554,617,672,707,695,660,774,860,1005,1064,1390,1716,1661,1837,2008,2249,2188
"69","62","  Personal services","B1782C0B",47,55,60,67,70,76,75,88,99,108,124,139,149,172,183,201,206,209,235,263,285,293,313,350,381,362,411,406,432,467,490,539,640,656,924,931,1090,1192,1173,1246
"70","63","  Business services","B1783C0B",47,58,72,90,104,119,134,163,218,267,298,338,371,422,501,579,578,686,739,810,960,1267,1326,1337,1451,1809,1931,2052,2089,2624,3036,3704,4587,5428,6487,7803,9596,10898,11468,11920
"71","64","  Auto repair, services, and parking","B1784C0B",25,32,40,55,66,93,114,139,203,244,258,333,390,361,437,517,627,683,741,728,847,1007,1048,1194,1340,1541,1658,1656,1798,2052,2751,3353,3480,3428,4065,4206,4276,5476,6056,6569
"72","65","  Miscellaneous repair services","B1785C0B",4,5,6,6,7,10,12,13,17,22,12,17,16,19,23,23,31,31,31,34,42,39,55,42,50,57,72,81,100,120,129,161,229,296,357,378,448,493,497,478
"73","66","  Motion pictures","B1786C0B",54,83,71,79,80,86,101,117,131,117,98,108,102,107,123,129,131,153,168,178,201,212,280,243,267,343,334,327,342,406,978,757,756,871,1018,1027,872,923,880,1201
"74","67","  Amusement and recreation services","B1787C0B",29,34,35,36,38,40,51,61,72,89,107,141,202,216,251,257,268,262,268,250,295,280,285,320,379,467,471,512,570,649,573,662,854,1036,1632,1718,1938,2056,1755,2234
"75","68","  Other services","A1788C0B",15,17,18,21,21,24,25,31,36,45,47,53,54,72,72,113,115,140,163,243,211,294,381,477,622,727,814,1042,1238,1568,1984,2097,2770,3917,5268,5946,6915,7635,8469,8881
"76","69","    Health services","B1789C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,50,61,75,102,95,136,190,231,286,377,446,544,680,830,978,1119,1413,2006,2762,3323,4205,4762,5291,5609
"77","70","    Legal services","B1790C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0,5,11,16,23,51,41,48,61,87,109,145,201,352,405,444,544,610,627
"78","71","    Educational services","B1791C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,14,19,27,33,35,44,46,54,61,45,62,87,88,108,129,133,164,229,266,301,369,337,401
"79","72","    Other \1\","B1792C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,52,64,69,114,83,123,142,189,266,266,272,395,423,589,811,740,1079,1546,1925,1952,1965,1960,2231,2244
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81"," 1. Consists of social services, membership organizations, and miscellaneous professional services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","  Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
