"","Table 7#10# Chain-Type Quantity and Price Indexes for Exports an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146"
"11","2","Exports of goods \1\","B253RA",14.49,14.48,14.25,14.49,14.98,15.2,16.25,15.85,13.72,17.38,16.94,17.52,17.85,18.29,18.33,18.56,18.22,18.19,19.48,16.86,19.59,19.13,20.25,21.6,23.56,24.71,24.69,26.11,26.58,27.66,26.14,26.55,26.44,25.22,25.71,27.08,26.77,27.12,27.64,27.88,27.33,28.04,28.32,27.15,27.52,31.34,31.54,32.82,32.84,33.08,34.62,37.24,38.42,39.1,38.42,38.27,38.6,38.55,37.4,38.01,35.78,36.19,34.37,32.44,32.92,33.14,33.71,35.02,34.87,35.69,36.87,38.02,37.65,37.51,37.04,38.14,38.25,38.98,39.6,41.22,40.77,42.5,45.05,47.24,50.12,51.5,52.3,54.72,56.38,59.32,58.68,60.57,62.8,64.03,62.95,64.55,65.53,68.16,68.2,70.48,71.39,72.11,72.66,74.77,73.49,75.18,73,78.06,77.3,80.86,83.57,87,88.91,89.98,93.26,95.73,96.89,97.92,99.81,105.39,108.8,114.13,117.53,117.58,117.52,114.9,115.06,120.12,117.3,118.64,122.38,126.82,128.89,133.8,139.88,137.33,135.19,129.39,122.89,120.4,119.36,123.84,125.08
"12","3","  Foods, feeds, and beverages","B638RA",29.46,29.18,28.47,30.02,31.17,27.33,28.01,28.75,19.48,31.54,28.71,33.13,32.23,32.85,35.79,35.31,33.54,31.53,35.66,31.86,34.41,37.78,40.31,44,50.8,52.16,47.25,52.39,48.13,47.06,42.97,43.41,49.78,41.39,47.2,53.71,52.36,54.94,54.8,55.86,53.46,54.01,54.54,55.76,58.41,74.46,69.29,66.9,61.06,67.98,74.91,81.46,74.55,80.44,86.36,80.39,84.47,78.3,80.68,85.04,77.82,84.95,74.72,71.14,75.71,72.02,76.11,71.18,71.09,68.92,71.73,75.32,65.24,59.53,58.22,61.23,63.52,57.84,64.71,65.88,60.43,63.48,79.06,66.71,75.81,74.06,72.87,73.59,81.24,80.33,74.51,82.58,84.83,81.41,76.48,76.73,79.55,77.06,82.49,86.5,89.25,87.23,95,97.07,94.62,93.45,86.21,92.71,85.43,82.22,92.13,106.53,103.65,101.6,102.97,97.96,101.71,97.6,96.72,103.98,98.7,97.59,99.12,105.13,104.04,97.74,92.5,102.29,96.65,102.05,107.87,105.32,105.83,107.11,115.05,108.11,113.1,112.84,109.12,113.67,114.08,110.45,106.97
"13","4","  Industrial supplies and materials","B639RA",28.27,27.96,27.1,27.51,28.54,30.85,34.78,31.93,24.93,36.08,35,35.86,37.42,37.63,35.56,37.03,34.59,34.17,36.38,28.33,36.64,32.37,34.59,38.57,40.91,43.05,44.53,46.42,46.83,48.44,43.66,41.07,39.78,38.33,38.7,40.65,40.98,41.51,43.27,44.29,42.66,44.01,44.54,40.28,41.41,46.95,50.87,50.27,51.15,51.94,56.32,57.6,59.9,64.6,62.31,59.49,59.7,55.61,55.35,59.07,58.42,56.87,54.41,53.08,51.37,52.51,53.9,54.18,53.25,55.5,56.92,57.13,56.39,54.39,55.44,56.99,56.91,56.41,58.87,60.99,57.68,59.29,59.68,62.35,65.22,65.69,68.42,70.11,73.05,77.44,77.55,76.33,77.85,78.23,78.67,82.02,84.74,85.7,84.13,84.57,86.51,87.15,85.95,85.31,84.13,83.61,82.47,85.33,84.03,88.21,91.13,91.26,93.41,93.54,96.82,98.3,98.42,97.57,99.81,104.2,104.45,109.1,110.89,109.99,109.67,106.91,105.79,107.44,104.53,107.08,108.62,114.59,116.28,117.38,122.53,122.24,118.41,115.47,112.66,113.29,112.39,117.52,115.6
"14","5","    Durable goods","B686RA",32.67,32.39,28.71,29.55,31.8,36.2,39.17,38.18,30.33,42.05,43.7,44.62,47.38,48.07,44.48,42.85,37.11,35.62,33.14,31.81,36.12,34.08,36.75,39.24,45.39,49.51,51.67,51.88,50.68,52.98,44.1,41.97,39.25,39.55,39.26,40.48,39.88,40.75,43.67,43.94,40.69,42.07,40.83,38.76,43.39,49.77,51.25,51.78,54.58,55.01,58.61,62.06,70.98,74.79,66.43,61.37,59.09,57.41,51.62,53.14,50.11,49.72,47.63,45.83,45.19,47.81,49.23,49.22,48.04,48.66,47.61,49.67,47.71,49.26,48.54,47.44,49.49,48.93,48.6,52.18,51.62,54.7,54.07,56.63,61.16,66.38,66.56,70.29,76.98,78.74,79.68,78.77,80.25,79.31,79.22,82.3,82.3,86.93,85.81,82.7,82.81,81.6,83.15,81.65,79.91,78.31,78.65,79.46,78.52,81.81,86.81,87.95,91.56,93.61,97.84,94.61,95.71,99.25,101.79,103.26,104.76,109.49,110.48,111.49,115.24,109.85,107.83,110.69,110.2,112.82,115.13,122.05,129.38,132.44,133.77,134.5,129.3,122.76,117.09,115.1,114.84,121.59,119.61
"15","6","    Nondurable goods","B687RA",26.27,25.96,26.48,26.68,27.11,28.41,32.84,29.06,22.43,33.37,30.93,31.78,32.75,32.73,31.39,34.41,33.57,33.67,38.21,26.79,37.13,31.73,33.74,38.48,38.95,40.13,41.29,44.02,45.21,46.5,43.7,40.86,40.27,37.95,38.65,40.97,41.77,42.13,43.32,44.73,43.88,45.22,46.63,41.26,40.69,45.85,50.99,49.83,49.76,50.73,55.53,55.75,54.8,59.97,60.66,58.91,60.35,55.05,57.51,62.34,62.85,60.73,58.06,56.96,54.72,55.14,56.52,56.95,56.13,59.19,61.84,61.15,61,57.25,59.17,62.02,60.87,60.41,64.38,65.7,60.9,61.76,62.69,65.41,67.42,65.37,69.46,70.05,70.98,76.77,76.43,75.05,76.58,77.67,78.41,81.91,86.05,85.06,83.24,85.65,88.61,90.31,87.51,87.39,86.55,86.7,84.61,88.76,87.22,91.93,93.58,93.11,94.43,93.5,96.26,100.39,99.97,96.61,98.7,104.72,104.28,108.89,111.11,109.14,106.52,105.24,104.63,105.59,101.29,103.82,104.93,110.38,109.03,109.09,116.23,115.42,112.32,111.27,109.99,112.06,110.81,115.02,113.14
"16","7","  Capital goods, except automotive","B640RA",6.28,6.4,6.29,6.37,6.47,6.31,6.82,6.51,6.13,7.15,7.19,7.17,7.34,7.69,7.81,8.09,7.94,7.98,8.61,7.77,8.62,8.53,8.88,9.32,10.32,10.91,11.59,12.08,12.87,14.06,13.99,15.13,14.69,14.37,13.92,13.94,13.92,14.13,14.06,14.04,13.78,14.06,13.9,13.5,14.05,15.31,16.27,17.42,18.28,18.11,18.7,20.62,21.52,22.56,21.84,22.45,22.23,23.15,21.6,21.74,20.62,20.46,19.36,18.05,18.55,18.67,18.57,19.88,19.73,20.56,21.08,22.45,22.74,23.37,22.44,23.57,24.12,25.17,25.06,26.16,25.99,27.54,30.08,32.43,34.78,36.39,36.81,39.55,40.17,43.76,44.62,44.87,48.48,49.98,48.88,49.75,50.12,54.71,54.07,57.28,58.16,58.32,58.06,61.4,60.63,62.92,60.85,66.53,68.17,71.68,73.53,76.46,79.4,83.64,88.94,93.27,95.5,97.54,99.21,107.75,114.04,122.3,128.1,126.94,127.67,124.57,127.39,132.51,130.38,130.44,137.41,142.03,143.35,156.12,163.97,159.96,157.81,144.04,133.34,126.71,124.79,129.4,132.98
"17","8","    Civilian aircraft, engines, and parts","B688RA",9,9.74,13.94,15.48,16.89,18.86,25.64,21.6,21.06,14.33,16.53,20.02,20.95,24.21,17.99,19.26,25.52,25.24,23.47,24.78,23.43,20.22,20.56,20.78,25.03,28.52,30.06,28.95,35.81,38.16,30.83,43.09,38.08,33.25,33.77,26.01,25.54,32.6,30.63,28.29,19.2,26.83,21.04,24.76,40.6,49.88,59.56,73.31,72.68,67.91,77.9,75.34,81.25,88.12,83.73,95.97,79.83,92.85,71.03,71.22,62.67,56.53,45.73,43.71,64.21,61.71,41.36,52.19,46.64,49.95,43.45,54.73,60.75,66.03,58.22,68.16,68.51,69.38,72.13,74.46,74.58,66.55,82.88,83.56,90.03,105.98,88.59,101.67,101.99,122.08,129.15,109.58,135.58,143.08,128.88,124.26,123.35,147.98,133.13,153.46,159.51,139.93,122.15,136.01,120.3,130.8,95.84,123.1,120.03,118.64,99.05,102.04,87.31,91.28,88.84,85.54,87.31,96.18,97.06,119.45,123.08,132.33,134.77,129.37,150.26,148.43,174.66,190.78,172.9,151.77,159.31,158.25,130.43,151.97,142.09,136.09,155.66,150.28,144.43,131.17,133.9,135.55,151.37
"18","9","    Computers, peripherals, and parts \2\","B850RA",0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.11,0.12,0.13,0.14,0.16,0.18,0.21,0.25,0.26,0.28,0.27,0.27,0.28,0.29,0.32,0.36,0.39,0.42,0.48,0.5,0.57,0.61,0.67,0.78,0.89,1.02,1.13,1.18,1.32,1.56,1.81,2.05,2.38,2.59,2.67,2.68,2.76,2.83,2.78,3.06,3.1,3.29,3.73,4.17,4.72,5.23,5.74,6.62,7.77,8.35,8.62,8.85,8.75,9.08,9.8,10.55,11.31,12.28,12.81,14.58,16.42,18.08,19.6,20.39,21.44,23,20.98,23.1,24.54,25.67,27.55,27.23,28.77,28.85,31.15,32.1,33.34,34.98,35.33,38.45,40.43,42.35,42.97,43.83,46.82,49.53,51.8,54.56,58.4,63.12,66.83,70.35,79.52,87.81,95.68,96.81,100.75,106.76,120.07,131.66,139.42,134.26,131.39,134,137.85,145.1,145.4,153.64,160.99,164.57,176.89,194.42,207.1,202.36,198.54,173.48,162.63,154.95,146.04,145.85,145.57
"19","10","    Other","B689RA",11.97,12.14,11.55,11.52,11.62,11.14,11.55,11.27,10.43,13.08,12.83,12.38,12.5,12.75,13.31,13.66,12.87,12.98,14.43,12.47,14.18,14.28,14.89,15.67,17.18,17.89,18.92,19.76,20.46,22.31,22.73,23.76,23.38,23.15,22.21,22.72,22.57,22.25,22.11,22.13,22.05,21.91,21.79,20.62,20.22,21.42,22.04,22.65,23.93,23.88,23.79,26.83,27.37,28.13,26.65,26.38,27.2,27.72,26.71,26.83,25.68,25.54,24.55,22.28,20.83,20.75,21.77,22.42,22.17,22.4,22.81,23.48,23.18,23.5,22.89,23.42,23.72,24.73,23.76,24.57,23.99,26.08,27.2,29.71,31.7,32.07,33.87,35.75,37.6,39.72,39.56,41.45,43.01,44.49,43.85,45.62,45.34,48.67,49.1,50.59,50.93,52.51,53.74,56.04,56.89,58.49,59.39,62.91,64.98,69.36,73.69,76.05,81.43,85.91,91.37,95.89,96.8,97.98,99.26,105.96,111.04,118.33,124.3,124.78,122.49,118.02,116.17,118.76,119.18,121.87,128.64,134.56,139.82,149.98,160.65,157.2,150.77,137.15,125.48,120.52,118.71,124.73,126.15
"20","11","  Automotive vehicles, engines, and parts","B641RA",20.18,20.61,21.56,20.91,23.11,26.05,25.6,27.85,25.75,28.34,28.05,28.78,25.5,30.27,27.88,24.7,30.11,31.69,32.02,29.01,31.79,33.52,35.37,37.17,39.39,41.31,39.29,41.86,43.44,43.82,46.07,47.19,43.01,47.61,48.8,50.66,48.96,50.23,49.77,49.75,49.8,52.78,48.39,49.21,47.44,53.08,49.36,55.64,52.76,51.08,49.47,53.5,46.71,42.14,40.18,45.14,42.1,45.86,44.82,39.61,35.92,38.52,36.2,30.64,32.37,35.81,36.43,41.54,41.85,41.09,45.3,44.22,44.29,46.85,49.43,47.11,44.99,48.22,45.04,46.34,46.83,48.54,48.05,55.54,57.89,58.36,59.39,60.5,61.97,60.58,57.53,60.85,60.32,64.13,62.37,58.1,59.14,65.32,69.84,67.12,69.32,74.87,77.26,80.1,81.28,83.63,80.46,88.62,85.76,89.86,91.08,97.14,99.92,93.51,95.35,95.72,96.07,97.83,104.76,101.34,107.57,111.7,116.72,115.75,116.92,109.2,102.2,112.93,111.21,113.3,115.01,116.41,124.67,121.12,120.04,116.99,109.8,115.33,115.39,111.16,110.26,120.04,122.83
"21","12","  Consumer goods, except automotive","B642RA",10.32,9.59,9.7,9.93,10.09,10.96,11.23,10.67,10.45,12.35,11.9,11.3,12.17,11.34,12.08,13.18,11.78,11.91,13.98,11.25,14.52,13.27,14.73,14.67,16.15,17.63,17.78,18.16,21.58,23.02,21.55,20.59,19,18.46,20.71,21.76,21.61,22.24,22.43,23.86,23.2,23.62,26.15,24.55,25.67,29.43,28.06,29.44,28.29,28.83,28.96,32.3,41.59,34.95,32.76,34.15,35.01,35.88,34.16,32.52,30.45,32.38,31.78,29.22,28.57,28.05,27.74,28.89,27.84,28.23,28.02,28.59,27.73,27.38,26.41,27.83,28.12,29.72,30.52,32.59,32.06,35.49,36.25,38.48,40.72,45.06,46.3,49.68,57.86,61.19,58.6,64.79,65.69,70.06,67.78,71.19,72.63,69.49,69.36,73.47,74.32,75.83,77.31,78.69,78.62,80.39,80.4,82.21,82.44,87.18,89.52,92.58,91.59,92.81,93.83,94.48,97.8,98.55,99.86,103.79,107.04,110.57,110.32,110.56,111.43,114.28,115.17,114.17,112.1,113.03,115.27,119.8,123.63,125.33,130.13,127.11,130.99,129.71,121.55,119.81,117.51,120.66,122.79
"22","13","    Durable goods","B690RA",10.22,9.43,9.35,9.7,9.76,11.1,11.53,10.42,11.28,13.09,13.09,12.54,12.08,10.17,12.21,13.97,10.73,11.28,12.67,11.76,15.04,14.12,14.9,15.47,16.44,18.07,18.6,19.62,23.72,26.27,23.32,21.43,19.61,19.26,21.25,22.28,23.12,22.74,24.89,25.65,24.52,24.58,26.4,24.81,28.76,33.52,29.77,31.69,29.99,30.66,29.68,34.61,48.17,35.07,32.49,33.88,33.13,34.2,32.65,30.66,27.6,29.04,29.29,24.12,23.45,23.89,22.64,24.02,23.79,23.75,23.05,23.73,22.69,23.37,21.61,23.04,22.68,25.16,25.76,29.43,27.7,31.9,31.36,34.78,37.44,42.8,42.97,47.44,60.85,65.75,58.41,67.11,69.21,74.1,70.07,70.2,72.57,70.56,69.21,73.88,75.33,75.96,76.19,78.15,79.16,82.17,81.41,83.44,82.33,87.87,87.54,91.75,92.68,93.11,92.18,93.59,96.36,98.13,100.65,104.86,106.28,112.11,112.28,110.74,113.03,115.97,117.35,116.37,110.32,114.83,117.92,125.5,129.66,128.04,133.21,128.96,135.19,134.95,124.84,120.65,119.61,123.76,125.5
"23","14","    Nondurable goods","B691RA",10.21,9.53,9.78,9.91,10.14,10.66,10.81,10.66,9.64,11.59,10.83,10.22,11.99,12.03,11.75,12.37,12.41,12.19,14.76,10.58,13.78,12.29,14.29,13.7,15.62,16.93,16.71,16.51,19.29,19.75,19.57,19.45,18.08,17.39,19.8,20.84,19.85,21.33,19.9,21.83,21.59,22.29,25.33,23.76,22.45,25.29,26.01,26.89,26.32,26.73,27.9,29.58,34.09,34.67,32.85,34.21,36.91,37.57,35.69,34.46,33.51,36,34.39,34.99,34.36,32.69,33.49,34.36,32.37,33.27,33.6,34.05,33.4,31.89,31.8,33.21,34.23,34.85,35.87,36.11,36.93,39.52,41.73,42.62,44.4,47.61,50.04,52.19,54.56,56.14,58.83,62.21,61.8,65.59,65.28,72.3,72.71,68.33,69.52,73.02,73.24,75.7,78.52,79.28,78.06,78.51,79.32,80.9,82.55,86.44,91.61,93.47,90.45,92.5,95.56,95.41,99.3,98.98,99.04,102.69,107.83,108.97,108.26,110.38,109.76,112.52,112.89,111.88,113.93,111.16,112.5,113.9,117.37,122.51,126.91,125.18,126.61,124.24,118.13,118.97,115.32,117.42,119.96
"24","15","  Other","B643RA",28.82,28.88,28.32,28.94,29.43,29.35,29.66,33.48,34.79,33.77,32.58,37.21,40.88,37.74,41.51,38.91,41.13,42.14,41.09,39.96,44.3,44.78,46.91,47.3,47.94,48.34,45.23,46.6,46.46,48.09,42.3,47.37,48.19,44.19,41.79,48.17,44.62,38.53,46.02,42.75,46.87,47.7,55.59,50.79,40.58,42.85,34.86,43.47,45.7,38.13,36.1,40.67,51.38,40.84,42.19,42.45,48.14,55.82,52.52,54.18,42.91,41.03,46.96,47.96,49.72,48.57,50.3,57.59,61.36,64.17,65.97,68.21,76.76,78.1,73.93,75.09,70.87,74.1,74.52,78.96,92.16,89.15,90.95,97.04,97.72,100.23,98.36,103.01,86.55,89.06,85.97,96.81,95,92,94.59,105.38,101.24,102.99,100.29,103.7,95.33,94.11,93.24,94.25,81.72,88.75,86.18,92.11,83.4,90.72,93.12,94.33,96.51,93.76,90.55,101.89,92.4,101.39,99.69,106.52,110.23,113.19,113.49,118.84,111.38,116.73,123.62,137.06,129.75,129.02,123.19,135.48,130.14,124.86,137.3,143.06,136.03,133.74,127.84,134.17,139.16,143,142.46
