"","Table 6#3C# Wage and Salary Accruals by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"29","22","        Motor vehicles and equipment","B4122C0C",29775,31666,32139,31173,30847,33279,36899,42347,44838,46773,48371,51558,54741,56015,51167
"30","23","        Other transportation equipment","B4123C0C",39126,40322,42260,43735,42425,41381,38208,36826,36090,37099,40137,43375,43375,42954,43615
"31","24","        Instruments and related products","B4124C0C",30587,33584,34501,34999,35822,35775,35648,35957,36929,39455,41372,44170,45974,48993,48311
"32","25","        Miscellaneous manufacturing industries","B4125C0C",7689,8454,8773,8931,9045,9579,9973,10524,10836,11194,11819,12390,12998,13577,13488
"33","26","      Nondurable goods","A4126C0C",185878,197984,205669,214441,219916,230346,236969,245672,253103,258782,271141,282777,289266,301992,294216
"34","27","        Food and kindred products","B4127C0C",36599,38401,39609,41351,43172,44737,46157,47588,49489,50558,52659,55078,56619,59780,60977
"35","28","        Tobacco products","B4128C0C",1916,2052,2096,2043,2045,2124,1984,2061,2208,2199,2375,2188,2168,2321,2464
"36","29","        Textile mill products","B4129C0C",13112,13487,13908,13788,13946,14898,15307,15834,15686,15612,16102,16148,15709,15520,13990
"37","30","        Apparel and other textile products","B4130C0C",15050,15725,16181,16190,16375,17011,17022,17396,17277,16778,16754,16462,15757,15085,14010
"38","31","        Paper and allied products","B4131C0C",20115,21214,22081,23024,23430,24525,25249,26208,27029,27566,28437,28985,29663,30154,29399
"39","32","        Printing and publishing","B4132C0C",35567,38997,40413,42581,43077,44503,45815,48181,50081,51835,54831,58080,60196,63280,61773
"40","33","        Chemicals and allied products","B4133C0C",35699,39153,41199,43856,45744,48194,49701,50692,52432,54422,57901,61659,64397,69950,67159
"41","34","        Petroleum and coal products","B4134C0C",6407,6405,6533,6971,7364,7745,7733,7762,7773,7754,8116,8475,8288,8070,8317
"42","35","        Rubber and miscellaneous plastics products","B4135C0C",19206,20234,21262,22236,22416,24217,25574,27517,28762,29817,31721,33523,34345,35730,34208
"43","36","        Leather and leather products","B4136C0C",2207,2316,2387,2401,2347,2392,2427,2433,2366,2241,2245,2179,2124,2102,1919
"44","37","    Transportation and public utilities","A4137C0C",153929,162138,169012,179390,184823,192586,200010,212013,221484,231564,247831,266520,291871,312956,317673
"45","38","      Transportation","A4138C0C",80391,85793,90462,95514,98253,103048,106764,113644,119175,125584,133757,145060,155015,163976,167777
"46","39","        Railroad transportation","B4139C0C",11582,11201,11076,10729,10880,11517,11219,11231,11272,11543,11756,12602,12656,12415,12383
"47","40","        Local and interurban passenger transit","B4140C0C",4589,4999,5324,5658,5969,6357,6727,7286,7723,8366,8862,9541,10185,10814,11291
"48","41","        Trucking and warehousing \2\","B4141C0C",33656,32007,33370,34715,35138,37036,39085,42502,44830,47074,50688,54694,58645,61625,62623
"49","42","        Water transportation","B4142C0C",4886,5038,5249,5620,5969,5955,6002,6235,6322,6463,6889,7311,7588,8100,8392
"50","43","        Transportation by air \2\","B4143C0C",18588,24643,26792,29440,30588,31871,32843,34488,36183,38839,41092,45129,49281,52887,54721
"51","44","        Pipelines, except natural gas","B4144C0C",723,774,769,831,893,979,958,929,868,816,827,844,850,865,925
"52","45","        Transportation services","B4145C0C",6367,7131,7882,8521,8816,9333,9930,10973,11977,12483,13643,14939,15810,17270,17442
"53","46","      Communications","A4146C0C",41535,42907,43357,46811,47635,48861,50945,55516,58628,62060,69025,74901,87644,96406,95286
"54","47","        Telephone and telegraph","B4147C0C",32563,33653,33760,36179,36975,37651,39085,42616,43806,46612,52329,56012,66277,73142,71216
"55","48","        Radio and television","B4148C0C",8972,9254,9597,10632,10660,11210,11860,12900,14822,15448,16696,18889,21367,23264,24070
"56","49","      Electric, gas, and sanitary services","B4149C0C",32003,33438,35193,37065,38935,40677,42301,42853,43681,43920,45049,46559,49212,52574,54610
"57","50","    Wholesale trade","B4150C0C",155821,170812,182435,189402,191999,201198,204874,218925,234445,246699,266391,288747,309254,332293,325688
"58","51","    Retail trade","B4151C0C",225687,242105,255053,264791,269487,283343,292587,310961,328984,345115,365711,392550,420523,449515,465818
"59","52","    Finance, insurance, and real estate","A4152C0C",177061,191282,197090,207758,214841,231779,253269,261933,272961,300446,327411,368061,395757,434720,459937
"60","53","      Depository institutions","B4153C0C",49553,52778,55070,57101,56821,58899,61369,63905,65579,69505,73726,80039,83358,84543,90230
"61","54","      Nondepository institutions","B4154C0C",10183,10752,11032,11785,12457,14709,18144,18086,18323,21267,25405,32861,34787,35473,42046
"62","55","      Security and commodity brokers","B4155C0C",29262,30261,28015,29044,31293,39101,47828,47835,51907,64026,71315,83772,95771,120994,124161
"63","56","      Insurance carriers","B4156C0C",37697,40656,43214,47010,50501,52980,55786,58119,60168,63367,67229,73491,77637,80274,83936
"64","57","      Insurance agents, brokers, and service","B4157C0C",16462,18578,19566,20976,21750,22219,23334,25032,26360,28034,30395,31909,33701,35800,38956
"65","58","      Real estate","B4158C0C",25675,28385,29712,30296,29963,30839,32509,34557,35416,37978,41565,46464,49811,53588,57620
"66","59","      Holding and other investment offices","B4159C0C",8229,9872,10481,11546,12056,13032,14299,14399,15208,16269,17776,19525,20692,24048,22988
"67","60","    Services","A4160C0C",476698,529656,582653,644429,673876,731651,776738,822309,897776,960212,1047877,1151341,1250487,1380070,1434418
"68","61","      Hotels and other lodging places","B4161C0C",19569,21550,23375,25141,25366,26343,27479,28897,30514,32321,34575,37180,40453,43495,43722
"69","62","      Personal services","B4162C0C",13687,14810,15613,16695,17074,17968,18682,19167,20182,21244,22477,23868,25313,26784,28563
"70","63","      Business services","B4163C0C",74322,83903,94170,104758,105987,116622,129502,143241,165205,190630,223096,264150,309610,363879,355624
"71","64","      Auto repair, services, and parking","B4164C0C",15019,16289,17404,18895,18475,19224,20586,22114,23885,26211,28133,30181,32594,35172,36637
"72","65","      Miscellaneous repair services","B4165C0C",6727,7605,8421,9073,8098,8601,9132,8707,9644,10443,10870,11616,11856,12256,12844
"73","66","      Motion pictures","B4166C0C",6861,7295,8229,9597,9661,9945,11155,12242,14409,15599,17732,19152,19779,21052,21435
"74","67","      Amusement and recreation services","B4167C0C",13719,15194,16546,19022,20039,22317,24481,26170,29077,31670,34722,37871,41316,45082,45929
"75","68","      Health services","B4168C0C",151811,167261,183667,205776,224982,247660,258809,271636,289614,303697,319481,335777,349595,368492,396845
"76","69","      Legal services","B4169C0C",31255,35901,38808,42409,43560,46514,47392,48381,53680,47851,54931,59690,63581,69846,75067
"77","70","      Educational services","B4170C0C",24860,27302,29539,31657,34140,36917,39047,41293,43786,46493,49601,53986,57978,63057,68314
"78","71","      Social services and membership organizations","A4171C0C",39967,45281,49822,54747,59228,63060,68199,73491,78067,82818,87956,94288,101619,109876,116749
"79","72","        Social services","B4172C0C",17173,19304,21756,24457,27075,29955,32428,35109,37970,40468,43606,47763,51339,56420,62197
"80","73","        Membership organizations","B4173C0C",22794,25977,28066,30290,32153,33105,35771,38382,40097,42350,44350,46525,50280,53456,54552
"81","74","      Other services \3\","B4174C0C",71349,79125,88321,97485,98358,106609,111842,116180,128150,139550,152577,169942,184404,207845,221113
"82","75","      Private households","B411RC0C",7552,8140,8738,9174,8908,9871,10432,10790,11563,11685,11726,13640,12389,13234,11576
"83","76","  Government","A553RC0C",422222,450872,479694,516754,545570,567673,584873,603895,622702,641004,664258,692717,724167,768941,810847
"84","77","    Federal","A4177C0C",138279,146074,151048,160290,168675,173387,174529,174923,174590,175561,177133,179496,184222,195598,197378
"85","78","      General government","A4178C0C",113501,119447,123669,130579,137892,140589,142301,141239,140132,140104,141026,142513,146475,154845,157914
"86","79","        Civilian","B4179C0C",61383,65666,68302,72303,76486,79619,83454,84612,84556,85294,86121,87614,90174,96000,95609
"87","80","        Military \4\","B4180C0C",52118,53781,55367,58276,61406,60970,58847,56627,55576,54810,54905,54899,56301,58845,62305
"88","81","      Government enterprises","B4181C0C",24778,26627,27379,29711,30783,32798,32228,33684,34458,35457,36107,36983,37747,40753,39464
"89","82","    State and local","A4182C0C",283943,304798,328646,356464,376895,394286,410344,428972,448112,465443,487125,513221,539945,573343,613469
"90","83","      General government","A4183C0C",263792,283192,305532,331751,350954,367319,382757,399784,417871,434766,455682,480474,505640,537090,572373
"91","84","        Education","B4184C0C",137198,147422,159048,172583,182863,190470,198842,207472,218102,228486,240923,255411,269529,287229,305171
"92","85","        Other \1\","B4185C0C",126594,135770,146484,159168,168091,176849,183915,192312,199769,206280,214759,225063,236111,249861,267202
"93","86","      Government enterprises \1\","B4186C0C",20151,21606,23114,24713,25941,26967,27587,29188,30241,30677,31443,32747,34305,36253,41096
"94","87","Rest of the world","A4187C0C",-1356,-867,-1285,-2307,-2751,-3336,-3706,-4415,-4508,-4550,-4871,-4996,-5745,-5875,-6163
"95","88","  Receipts from the rest of the world","B4188C0C",994,995,1017,1172,1290,1425,1434,1543,1761,1756,1802,1934,2210,2341,2382
"96","89","  Less:  Payments to the rest of the world \5\","B4189C0C",2350,1862,2302,3479,4041,4761,5140,5958,6269,6306,6673,6930,7955,8216,8545
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98"," 1. Beginning with 2001, reflects the reclassification of employees of Indian tribal governments from the private sector in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","accordance with the Consolidated Appropriations Act of 2001.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100"," 2. Reflects the reclassification of air couriers from trucking and warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101"," 3. Consists of museums, botanical and zoological gardens; engineering and management services; and services, not elsewhere ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103"," 4. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104"," 5. Beginning with 1993, includes estimates of foreign professional workers and undocumented Mexican migratory workers employed ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
