"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"20","12","      Motor vehicle and parts manufacturing","S3MV0",23197,23009,23270,22944,23502,23719,22656,23007,23199,23161,23619,24858,24937,25145,25286,25124,23956,23681,23041,22212,21889,22791,23343,23655,23529,23408,23419,24242,24790,25364,26164,26184,27302,27118,26692,27474,28075,29038,29260,29373,29612,29211,29060,28870,29161,29307,28072,25839,24953,23388,23088,23588,25719,25706,25921,26563,27584,28385,29107,29204,26970,28253,29710,31641,30906,31369,32519,33160,32795,31362,30596,29533,35087,35209
"21","13","      Other transportation equipment manufacturing","S3OT0",45231,45068,44633,45707,48928,51757,53923,55840,55239,53987,55554,55267,54689,52101,50047,47007,46162,45571,46774,47159,46591,45530,44505,45901,45331,45209,44786,44605,44024,44870,44576,44642,46413,46162,48592,49473,51172,53265,54596,54876,56927,59211,60339,63970,65763,65507,65403,64488,64465,65954,64995,66779,68578,70218,72377,75538,79625,80802,80860,81894,82855,84282,86081,87060,87979,87861,88468,89117,95417,99412,103269,108411,107338,108339
"22","14","    Furniture and related product manufacturing","S3370",6900,7029,7029,7128,7077,7203,7185,7127,7187,7283,7378,7632,7879,7945,8008,7961,8217,7932,7682,7377,7376,7403,7663,7803,7914,7923,7971,8140,8392,8544,8829,8772,9006,8942,9241,9372,9620,9642,9599,9527,9547,9630,9499,9506,9523,9699,9607,8943,8525,8167,8082,8016,8175,8402,8313,8289,8494,8425,8412,8320,8380,8497,8522,8693,8868,8740,8801,8965,9058,9142,9272,9206,9337,9339
"23","15","    Miscellaneous durable goods manufacturing","S3390",14233,14056,14136,14498,14513,14458,14787,14578,14695,14962,15317,15641,16150,16193,16782,16834,17266,17342,16866,16675,16422,16515,16647,16543,16991,17251,17401,17664,18105,18200,18613,18644,18954,19349,20260,20846,21505,21897,22385,22744,23137,23393,23375,23850,23735,23244,24232,24346,24133,24174,24125,24374,24888,25395,26196,26846,27562,27902,27959,27654,27674,27843,27993,28395,28466,27968,28199,28385,29019,28618,28734,28823,28448,28697
"24","16","  Nondurable goods manufacturing industries","N378RC0",159662,161166,162218,164269,162685,161860,160465,159037,159629,162766,167192,172967,176415,179577,181543,183451,183474,180720,176056,170715,170170,171623,177736,180205,185288,183825,184115,188285,191474,196842,202399,206059,215067,215558,223677,229670,232857,241389,242265,241257,245774,255902,264708,285127,307864,333471,312045,245935,239457,245113,247428,257151,269781,260747,270232,290741,313236,321772,315491,316881,317556,303072,314889,315908,322797,315694,318456,316027,324545,322675,314751,290838,287678,291424
"25","17","    Food manufacturing","S3110",32068,32101,32178,32391,31899,32075,31891,31848,31783,32106,33035,33205,34469,34477,34254,35261,35288,35519,35526,35096,34757,35199,36366,36283,37321,37267,38430,39738,40421,40682,39898,39779,40314,40445,40896,41881,41384,41594,42691,44226,45469,47829,49096,51296,52936,53888,50953,47556,47027,47794,47177,50372,50612,50504,53202,55924,58352,59487,59097,59079,60823,60261,62477,63255,62796,62524,61223,61526,64311,64622,63730,62568,61293,61868
"26","18","    Beverage and tobacco product manufacturing","S3120",11352,11648,11481,11700,11854,11644,11221,11686,11511,11616,11320,11689,11847,11927,12053,12114,12324,12580,12748,13201,12825,13255,13294,13021,12611,12908,13049,13328,13040,13283,14004,13674,13533,13627,13571,13941,13715,13773,14508,14568,14697,14586,14372,14929,15111,15056,14892,14896,15087,15242,15715,16412,16289,16140,15852,16509,16386,16560,16729,16832,13883,15488,17171,18743,18704,18793,18760,18843,19077,19465,19490,19567,24616,24878
"27","19","    Textile mills","S3130",6973,6990,6970,6941,7006,7034,7034,6921,6897,6824,6822,6821,6757,6770,6734,6731,6527,6179,5970,5703,5707,5557,5577,5609,5720,5792,5770,5766,5686,5716,5625,5535,5630,5623,5667,5766,5827,5797,5832,5710,5599,5604,5663,5802,5794,5610,5717,5554,5181,5053,4813,4785,4889,4919,5043,5221,5442,5639,5733,5605,5592,5485,5393,5377,5366,5375,5334,5289,5365,5382,5326,5287,5206,5196
"28","20","    Textile product mills","S3140",3861,3977,4026,4034,4101,3975,3875,3716,3783,3843,3843,3915,3987,4138,4276,4435,4493,4397,4329,4307,4032,3860,3681,3401,3503,3519,3477,3458,3469,3546,3591,3557,3700,3698,3662,3848,3821,3895,3965,3956,3873,3911,3910,3987,3989,3899,4055,3952,3519,3377,3296,3278,3368,3487,3622,3765,3900,3973,3930,3783,3602,3611,3614,3720,3759,3776,3799,3860,3904,3852,3780,3738,3923,3865
"29","21","    Apparel manufacturing","S3150",8643,8875,8970,8971,9092,8951,8853,8755,8895,8999,9110,9089,8986,8779,8803,8921,8656,8174,7489,7087,7187,7190,7259,7282,7391,7386,7261,7292,7151,7214,7281,7233,7375,7266,7336,7245,7137,7104,7250,7466,7448,7625,7570,7640,7723,7767,7810,8147,7972,7923,7928,7766,7767,7775,7971,8170,8524,8684,8672,8593,8562,8556,8467,8692,8512,8588,8477,8392,8810,8664,8803,8800,8871,8909
"30","22","    Leather and allied product manufacturing","S3160",1589,1646,1637,1655,1622,1679,1678,1581,1585,1613,1628,1613,1643,1644,1668,1594,1650,1619,1564,1447,1433,1373,1421,1450,1466,1461,1460,1469,1439,1427,1400,1494,1488,1475,1528,1535,1490,1546,1623,1677,1720,1717,1723,1774,1805,1925,1817,1780,1747,1728,1665,1609,1659,1662,1716,1744,1900,1955,1959,1968,1977,2013,2038,2081,2153,2210,2194,2222,2326,2351,2382,2395,2297,2324
"31","23","    Paper manufacturing","S3220",15513,15690,16064,16540,16612,16501,16464,15928,15699,15423,15707,15920,16302,16842,16986,17029,16946,16680,15956,15558,15564,15591,16069,16561,16340,16590,16566,16497,16567,17198,17746,18069,18412,18543,18762,18967,19435,19745,19925,19811,19848,19545,19565,20066,20561,21531,22036,21451,20206,18715,18226,18015,18471,19422,19624,19889,20208,20275,20381,20088,19511,19505,19459,19784,19764,19816,19990,20004,20207,20419,20391,20240,21128,20953
"32","24","    Printing and related support activities","S3230",6283,6668,6635,6912,6717,6618,6780,6447,6386,6305,6213,6548,6724,6558,6751,6852,7048,6902,6536,6115,6154,6366,6246,6344,6300,6205,6254,6271,6262,6463,6611,6654,6633,6815,7031,7024,6997,7233,7412,7310,7158,7025,7061,7254,7532,7591,7501,7548,6877,6242,6023,5960,5976,6196,6284,6472,6567,6487,6539,6436,6490,6372,6189,6273,6367,6605,7107,6505,6477,6427,6370,6550,6471,6506
"33","25","    Petroleum and coal product manufacturing","S3240",12240,11558,11617,11399,9810,9236,8758,8232,8735,9857,11685,14092,14816,15637,15572,15501,14999,14579,13333,11566,12179,13527,14813,15829,17886,15745,15469,17373,18587,19796,22151,22546,26403,25657,30772,31574,32601,37281,34505,32576,33927,38297,44276,55532,71898,90215,70717,25421,26032,35136,38176,44706,50728,39501,43379,53118,65416,66327,60435,64917,68388,53382,58730,54798,56283,49913,53890,51398,53207,53062,46637,29739,21244,23946
"34","26","    Chemical manufacturing","S3250",44970,45553,46311,47346,47492,47653,47746,47903,48185,49578,50484,52440,53240,54464,56164,56757,57096,56398,55552,54050,54269,53736,56179,56658,58152,58113,58097,58856,60370,62379,63835,66344,69333,70521,72701,74877,76913,79466,80154,80136,82119,85248,86711,91232,94119,99048,98869,85036,82785,81353,81846,81867,86435,87282,89367,95332,100805,104898,104552,102750,101005,100584,103660,105065,109983,109110,108645,108509,110979,108927,108183,103161,104591,104744
"35","27","    Plastics and rubber product manufacturing","S3260",16170,16460,16329,16380,16480,16494,16165,16020,16170,16602,17345,17635,17644,18341,18282,18256,18447,17693,17053,16585,16063,15969,16831,17767,18598,18839,18282,18237,18482,19138,20257,21174,22246,21888,21751,23012,23537,23955,24400,23821,23916,24515,24761,25615,26396,26941,27678,24594,23024,22550,22563,22381,23587,23859,24172,24597,25736,27487,27464,26830,27723,27815,27691,28120,29110,28984,29037,29479,29882,29504,29659,28793,28038,28235
"36","28","Merchant wholesale industries","N802RC0",246541,251990,254611,259338,263579,264077,266746,269436,273107,274335,280262,287571,293244,297924,299548,305173,302978,301353,296541,291053,290632,292705,298444,297523,299086,297219,299610,308053,316537,322813,331692,340624,351775,355780,363562,372518,379278,392929,400678,407793,416060,420478,428459,445792,458445,475714,476152,443534,424924,412166,399827,409203,413155,416664,437607,460439,475844,491821,490566,496543,503697,506686,526994,529737,533688,532424,534906,545393,559841,568779,573029,578290,580474,594214
"37","29","  Durable goods merchant wholesale industries","N803RC0",155642,160508,161341,163670,167317,167651,170577,171856,174479,176184,178520,183575,185742,190154,190721,192178,189754,184742,180017,175210,173291,173596,175222,173463,175027,174864,174448,178208,185111,191649,200398,206295,212764,215965,218656,225883,231129,241257,247217,250409,255137,255261,255231,259574,267437,275696,280461,267379,250000,236838,229076,226233,230566,232087,238515,246847,253625,263323,268885,272139,278025,283016,288102,294123,297811,296100,301448,308708,314138,321764,329553,331559,335614,338571
"38","30","    Motor vehicles, parts, and supplies wholesalers","S42110",21431,22295,22674,22229,23335,22312,22999,23055,23546,24255,25328,25882,26694,27511,26669,27175,26494,25814,25917,25598,25663,26472,27246,27436,27794,28384,27774,29030,29377,29325,31081,31234,31488,33847,33910,34589,35904,36783,36468,36607,37873,37893,38110,38178,38776,40174,41803,42741,37345,34849,33792,33712,34773,33868,34621,36298,38628,40676,42512,43395,42918,44751,45047,45138,45058,45373,45172,46983,49108,50033,51713,51407,54627,57561
"39","31","    Furniture and home furnishings wholesalers","S42120",4641,4833,4939,4988,4967,5195,5250,5312,5431,5542,5564,5689,5774,6065,6115,6342,6394,6104,6047,5896,5856,6064,6260,6305,6408,6569,6512,6725,6851,6940,7110,7289,7463,7462,7724,7990,7926,8237,8423,8552,8695,8659,8669,8675,8781,8547,8396,8335,7686,7092,6724,6531,6336,6691,7053,7134,7169,7227,7094,7201,7435,7440,7584,7629,7765,7931,8346,8349,8523,8673,8872,8864,9081,9321
"40","32","    Lumber and other construction materials wholesalers","S42130",5446,5662,5693,5822,5737,5621,5446,5545,5713,5995,6011,6202,6327,6374,6198,6463,6354,6148,6365,6428,6444,6450,6641,6742,7120,7312,7585,8296,9014,9966,10752,10847,12036,11496,11063,11989,12231,12579,12607,12088,11749,11338,11163,11241,10590,11267,11440,10549,9470,8479,8306,8243,8743,8914,8569,8892,9130,9025,9258,9105,9069,9430,9660,9986,10532,10287,10476,11171,11466,11631,11986,11959,11313,12161
"41","33","    Professional and commercial equipment wholesalers","S42140",24172,25682,26158,26077,26591,25469,24816,24301,24840,24699,24392,25348,24665,24420,25050,24654,23106,22343,21148,20712,19849,19888,19588,19029,18930,18379,18674,18925,19412,19957,20183,20592,20520,20911,20765,21234,21715,22160,23114,23709,23935,24175,24387,24571,24910,25060,25453,24999,23570,22243,21565,22358,22795,23860,24040,24899,24632,25402,26379,26288,26691,27162,27358,28199,28788,29037,29072,29415,30548,31166,32186,32345,32732,31926
"42","34","      Computers and software wholesalers","S42430",14543,15742,16123,15859,16078,15206,14413,14564,14574,14632,14198,14818,13840,13399,13887,13069,11994,11080,10304,9966,9619,9673,9444,9011,9081,9066,8933,9389,9542,10010,9795,10006,10095,9984,10009,9858,10027,9793,10175,10333,10105,10136,10240,9977,10100,10013,10195,9994,9182,8888,8734,9785,10199,11069,11159,11590,10975,11712,12329,11946,12002,12073,12099,12459,12775,12847,12859,12981,13441,14183,14598,14394,14396,14012
"43","35","      Other professional and commercial equipment wholesalers","S424X0",9629,9940,10035,10218,10513,10263,10403,9737,10266,10067,10194,10530,10825,11021,11163,11585,11112,11263,10844,10746,10230,10215,10144,10018,9849,9313,9741,9536,9870,9947,10388,10586,10425,10927,10756,11376,11688,12367,12939,13376,13830,14039,14147,14594,14810,15047,15258,15005,14388,13355,12831,12573,12596,12791,12881,13309,13657,13690,14050,14342,14689,15089,15259,15740,16013,16190,16213,16434,17107,16983,17588,17951,18336,17914
"44","36","    Metal and mineral (except petroleum) wholesalers","S42150",13676,13964,13979,14028,14184,14096,14095,13926,13489,13926,13952,14432,15244,15372,15195,14568,14122,13759,13333,12888,12985,13384,14066,13826,13800,13594,13664,14548,17438,18442,20668,22759,23561,22609,22907,23966,25349,28901,30686,30757,31682,31795,30394,31266,35569,41046,39225,30674,27633,24983,25051,24652,26871,26855,27342,29805,31966,33305,32933,33115,34342,33034,33738,34374,34412,32785,33221,34242,34355,36780,37296,36772,35357,34516
"45","37","    Electrical goods wholesalers","S42160",21338,21218,21036,21033,21449,22060,22422,22763,23059,23348,24191,25539,25948,27093,27985,28818,28872,27694,25823,23988,23362,23008,23407,22676,22860,23102,23002,22652,23489,24466,24822,25456,26465,26936,27283,27631,28339,29315,30967,31431,31710,32344,32635,33924,34420,35292,36710,35626,32856,30785,29938,30214,30694,31465,32661,32894,32866,33768,34602,35092,35886,36325,36412,38507,38622,38528,39706,40215,39075,40225,41514,41697,44164,43799
"46","38","    Hardware and plumbing and heating equipment wholesalers","S42170",9125,9415,9498,9490,9801,10045,10044,10343,10410,10474,10468,10619,10755,11296,11370,11621,11438,11260,11325,11020,10995,11151,11351,11353,11913,11760,11686,11997,12272,12860,13495,13878,14423,14692,14879,15656,16089,16540,17120,17678,18118,18541,18583,18620,18271,18253,18790,18050,17243,16747,16043,15705,15512,15453,16090,16330,16876,17387,17400,17714,17737,18085,18089,18212,18559,18579,18612,18803,19578,20096,20614,21326,21813,21994
"47","39","    Machinery, equipment, and supplies wholesalers","S42180",40109,42215,41567,43531,44747,46149,48045,49406,50327,50523,50778,51527,51522,52493,52990,52960,53524,53216,52121,51037,50705,49685,49377,48843,48598,47858,47447,47300,48382,50215,51418,53135,55184,56585,58032,59493,59996,62485,63897,64775,65875,66063,66649,68246,70042,69643,73057,73450,72111,68979,65549,62852,62156,63582,65369,66707,69236,71746,73972,75362,78123,81831,84790,86329,88230,88260,90492,93410,95955,97079,99260,101484,102367,103041
"48","40","    Miscellaneous durable goods wholesalers","S42190",15704,15224,15797,16472,16506,16704,17460,17205,17664,17422,17836,18337,18813,19530,19149,19577,19450,18404,17938,17643,17432,17494,17286,17253,17604,17906,18104,18735,18876,19478,20869,21105,21624,21427,22093,23335,23580,24257,23935,24812,25500,24453,24641,24853,26078,26414,25587,22955,22086,22681,22108,21966,22686,21399,22770,23888,23122,24787,24735,24867,25824,24958,25424,25749,25845,25320,26351,26120,25530,26081,26112,25705,24160,24252
"49","41","  Nondurable goods merchant wholesale industries","N804RC0",90899,91482,93270,95668,96262,96426,96169,97580,98628,98151,101742,103996,107502,107770,108827,112995,113224,116611,116524,115843,117341,119109,123222,124060,124059,122355,125162,129845,131426,131164,131294,134329,139011,139815,144906,146635,148149,151672,153461,157384,160923,165217,173228,186218,191008,200018,195691,176155,174924,175328,170751,182970,182589,184577,199092,213592,222219,228498,221681,224404,225672,223670,238892,235614,235877,236324,233458,236685,245703,247015,243476,246731,244860,255643
"50","42","    Paper and paper products wholesalers","S42210",6748,6735,7285,7622,7752,7584,7327,7265,7221,7252,7510,7618,8006,8143,8215,8482,8205,7910,7491,7344,7042,7228,7228,7442,7318,7479,7276,7468,7599,8170,8538,8691,8646,8920,9021,9306,9429,9698,9866,9737,9420,9621,9827,10108,10290,10356,10785,10711,9945,9574,9368,9397,9432,9970,9915,10201,10083,10289,9999,10243,10028,10395,10280,10433,10265,10497,10378,10556,10479,10682,10507,10580,10539,10668
"51","43","    Drugs and druggists' sundries wholesalers","S42220",12690,13025,13836,14120,15061,15153,15358,16238,16662,17996,18774,19933,21217,22194,23162,24643,25278,27932,30126,31794,32353,32560,32304,33303,33272,32892,33431,34110,34552,33999,34126,34654,34859,34559,34127,34236,34731,35645,35948,35662,35349,36758,37215,37668,37772,37565,38655,38966,39389,38765,38920,40010,40515,41900,42418,42755,43048,43453,44538,44974,45360,45327,46832,46787,47979,49966,50868,52952,55523,57988,59417,63679,65404,68302
"52","44","    Apparel, piece goods, and notions wholesalers","S42230",11890,12238,12249,12986,13015,13184,13150,13219,13153,12370,12108,12519,12441,12264,12510,12566,13252,13401,12840,12509,12526,12685,13619,13527,13661,13904,13369,13370,13406,13180,14091,14204,14712,15124,15354,15647,15750,15654,15786,15805,15905,16092,16276,16332,16978,16373,16473,16969,16477,15484,14464,13781,14083,14486,16403,16990,17775,18836,19118,18982,18758,18585,17466,17688,18322,17937,17981,18642,19136,19425,20328,19976,20739,22420
"53","45","    Grocery and related products wholesalers","S42240",16705,16784,16708,17481,17223,17599,17466,17380,17727,17341,18112,18613,18380,18147,18511,18730,18541,18266,17756,17535,18028,18906,18615,18676,18900,18176,18862,18725,18600,18914,18829,19256,19733,19545,20284,21312,20885,21283,22353,22773,24471,24912,24769,25716,25822,26814,27668,27388,26079,26010,25854,26410,27041,27762,27834,28802,30336,30350,31725,32002,31899,32433,32188,33139,33769,33378,34400,33794,34891,35212,35938,36262,35920,36528
"54","46","    Farm product raw material wholesalers","S42250",13760,13564,13184,13480,13345,12954,12522,12481,12204,11985,12707,12226,13584,13076,12450,13839,13222,13305,13689,13460,13194,13265,16004,14848,14019,14388,15654,18318,19258,17142,13776,12847,14586,14859,14797,14718,14640,15660,16069,20537,19622,20280,25969,30980,34609,37778,30809,22551,23423,25311,20900,26772,24161,24507,33675,41568,42738,43899,38422,36823,39059,39692,49589,44090,41948,41732,35470,36501,40478,37488,33057,36398,33479,35740
