"","Table 5#5#6U# Private Fixed Investment in Equipment  by Type, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"18","11","    Office and accounting equipment","B936RX0",3732,3885,4888,5301,8236,8492,8706,9084,4544,4864,3798,3518,3192,3841,2770,2876
"19","12","  Industrial equipment","A680RX0",182758,198543,183902,171550,172237,169098,183613,199067,205315,195454,152067,151312,183258,199788,194763,208929
"20","13","    Fabricated metal products","C263RX0",16375,17065,16789,14886,16257,16369,17585,19816,21363,22207,17473,16101,18546,21273,20346,20951
"21","14","    Engines and turbines","A668RX0",6696,8633,13101,13936,12274,5857,6886,8599,12712,12759,9936,7046,10289,13248,11394,9526
"22","15","      Steam engines","BA13RX0",4054,6259,10498,11709,9825,3244,3836,5077,8840,9035,7669,4538,6855,9469,8018,5569
"23","16","      Internal combustion engines","BA14RX0",2598,2367,2649,2314,2488,2511,2933,3410,3848,3710,2267,2502,3427,3760,3362,3966
"24","17","    Metalworking machinery","C271RX0",33132,33759,28641,25922,25622,25722,27826,29070,29610,28922,20683,20205,25577,29554,29931,30920
"25","18","    Special industry machinery, n.e.c.","C272RX0",40603,46132,40899,35880,33721,32401,33878,36033,36358,33286,25247,24482,35022,33710,33324,38187
"26","19","    General industrial, including materials handling, equipment","C273RX0",58351,61876,56461,55925,59433,61231,67775,72151,70955,66583,53052,56019,64386,71465,68385,77139
"27","20","    Electrical transmission, distribution, and industrial apparatus","C276RX0",26249,29509,26971,24159,24417,27056,29217,33098,34247,31693,25677,27410,29516,30683,31476,32221
"28","21","  Transportation equipment","A681RX0",208382,204130,184928,167241,154811,176468,197915,212585,203585,156855,70566,136926,183041,218927,243142,271765
"29","22","    Trucks, buses, and truck trailers","C279RX0",103029,95413,77565,71862,74349,94488,111863,124089,106186,71363,23826,64570,97193,110021,123485,143766
"30","23","      Light trucks (including utility vehicles) \2\","W178RX0",86665,83947,73023,65064,69317,85643,101555,114606,104671,64066,4752,90562,146286,163619,195359,226438
"31","24","      Other trucks, buses, and truck trailers \2\","W179RX0",42647,36543,25984,26067,25413,34228,40398,43407,32631,26002,19075,24345,33051,38123,38538,45236
"32","25","    Autos \2\","C280RX0",49468,51713,51931,52100,46840,44687,49793,54188,54479,40279,17322,41018,46045,64399,69950,70976
"33","26","    Aircraft","C281RX0",46212,47932,49756,36436,25657,28357,25916,23562,30227,30000,17703,22081,27921,29240,32983,37373
"34","27","    Ships and boats","C282RX0",4077,4669,4206,4849,5150,5680,5429,4925,6308,7106,5166,5158,4719,5434,6733,7866
"35","28","    Railroad equipment","C283RX0",10378,9864,7544,6596,5984,6279,7871,8908,9219,9521,6548,6665,10360,14593,15138,16824
"36","29","  Other equipment","A682RX0",166894,175773,173689,172595,184047,198411,217238,227186,225445,216654,174183,188529,203244,224346,224960,225263
"37","30","    Furniture and fixtures","A667RX0",46252,49616,46360,44277,44539,45794,47936,48505,45470,42591,31520,31655,34720,36267,37287,38347
"38","31","      Household furniture","BA15RX0",2487,2622,2600,2757,2847,2985,3178,3260,2985,2703,2141,2359,2190,2306,2402,2542
"39","32","      Other furniture","BA16RX0",43774,47005,43767,41522,41693,42808,44758,45244,42485,39889,29380,29297,32526,33957,34881,35802
"40","33","    Agricultural machinery","C268RX0",16436,18093,19177,21949,23717,25978,27244,25414,25315,28274,28804,26935,29879,41314,43917,36636
"41","34","      Farm tractors","BA17RX0",5100,6345,6003,7668,8602,10120,10871,10237,10732,11210,11462,10421,11899,19487,20458,17338
"42","35","      Other agricultural machinery","W213RX0",11340,11729,13169,14270,15105,15852,16369,15174,14588,17065,17342,16513,17983,21884,23514,19351
"43","36","    Construction machinery","C269RX0",29447,29704,26294,24294,25474,29361,36169,40624,38442,35875,20216,31241,31635,34909,32612,36934
"44","37","      Construction tractors","BA18RX0",3391,3324,2600,2118,2215,2224,2966,3374,3074,3225,656,2342,1825,1118,2105,2516
"45","38","      Other construction machinery","W214RX0",26074,26396,23701,22175,23259,27134,33203,37250,35365,32652,19560,28892,29804,33768,30526,34445
"46","39","    Mining and oilfield machinery","C270RX0",7820,7728,8753,5682,6963,8003,10587,15034,19530,19097,15603,17660,21891,28316,27787,28991
"47","40","    Service industry machinery","C570RX0",22470,23208,24006,23249,24110,25428,27284,27578,27795,25938,23948,26645,28000,29475,26681,27445
"48","41","    Electrical equipment, n.e.c.","A670RX0",4689,4901,5278,5661,5906,7002,6590,6447,5470,5396,4092,4484,4425,5279,5818,5694
"49","42","      Household appliances","BA19RX0",928,984,1024,1068,1083,1071,1045,1084,883,789,654,1037,709,745,816,880
"50","43","      Miscellaneous electrical","BA20RX0",3767,3924,4260,4599,4828,5932,5546,5365,4587,4607,3438,3447,3716,4535,5003,4814
"51","44","    Other","C286RX0",39987,42662,43907,47036,52815,56361,61118,63412,63348,59495,50000,49914,52686,48469,50644,50918
"52","45","  Less: Sale of equipment scrap, excluding autos","C287RX0",7147,6736,5470,5781,5702,7093,7543,8785,9421,10301,8590,8897,6498,6228,5953,4818
"53","46","Residential equipment","B013RX0",7157,7617,7755,7988,8483,9453,9867,10063,9772,9252,8316,8814,9228,9365,10057,10620
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. The quantity index for computers can be used to accurately measure the real growth rate of this component.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","However, because computers exhibit rapid changes in prices relative to other prices in the economy,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","the chained-dollar estimates should not be used to measure the component's relative importance or its",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","contribution to the growth rate of more aggregate series; accurate estimates of these contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","are shown in table 5.5.2 and real growth rates are shown in table 5.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes net purchases of used vehicles; additional detail is available in table 7.2.6U.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
