"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"14","6","  Services","DSERRA3",29.717,30.082,30.321,30.696,31.022,31.217,31.57,31.73,31.947,32.268,32.573,33.086,33.652,34.063,34.525,35.143,35.596,35.894,36.134,36.271,36.216,36.57,36.75,37.119,37.466,37.931,38.114,38.65,39.101,39.36,39.839,40.39,40.871,41.03,41.474,41.873,42.542,43.183,43.492,43.719,44.164,44.439,44.616,45.001,45.052,44.748,45.244,45.92,45.836,46.139,46.1,46.136,46.306,46.61,47.049,47.836,48.464,49.083,49.786,50.294,50.542,50.968,51.632,52.221,53.164,53.647,54.369,54.806,54.996,55.307,55.753,56.354,57.018,57.56,58.051,58.643,59.351,59.865,60.66,61.212,61.528,61.756,62.234,62.876,63.15,63.937,64.429,64.252,64.296,64.864,65.025,65.41,66.326,66.751,67.493,68.276,68.56,68.963,69.732,70.198,70.745,71.209,71.727,72.051,72.394,73.048,73.569,73.985,74.709,75.206,75.608,76.053,76.671,77.191,78.109,78.904,79.782,80.755,81.736,82.305,83.001,83.939,84.947,85.988,87.289,88.303,89.122,89.904,90.327,90.71,90.954,91.359,91.951,92.436,92.761,93.125,93.503,93.971,94.614,95.168,96.052,96.633,97.294,98.359,98.978,99.7,100.384,100.937,101.67,102.421,102.945,103.731,104.34,104.756,105.11,105.512,106.014,106.007,105.655,105.803,105.37,104.919,104.797,104.936,104.952,105.366,105.775,106.155
"15","7","Gross private domestic investment","B006RA3",23.602,23.414,23.955,22.665,21.956,22.024,22.401,21.103,23.844,24.582,24.906,24.127,25.833,27.414,27.804,27.948,29.723,31.113,29.896,31.04,29.059,28.915,27.284,27.543,22.705,21.917,23.773,24.426,26.956,28.105,28.158,28.353,29.748,32.047,33.794,32.84,33.491,35.791,36.895,37.735,37.729,37.642,36.909,36.222,35.959,32.715,30.221,33.294,36.603,34.86,37.024,35.588,31.88,31.852,31.48,28.677,29.698,32.564,34.754,38.413,42.434,43.865,44.884,44.148,42.692,43.429,42.949,44.629,44.537,43.548,42.183,42.249,43.539,43.6,43.644,47.048,44.397,45.477,45.769,46.375,48.152,47.59,47.03,46.548,47.006,47.019,45.912,43.009,41.258,41.05,42.072,43.683,42.712,45.525,45.996,47.452,48.567,48.948,48.914,51.495,53.717,56.847,55.825,58.428,59.022,57.435,56.882,58.483,59.254,62.323,65.466,65.288,66.812,71.078,72.342,73.497,77.005,76.084,78.264,80.781,83.324,83.033,85.118,88.138,86.908,92.924,91.471,91.512,86.671,86.393,84.571,79.696,82.373,83.36,83.533,83.473,83.469,83.955,87.002,90.22,90.691,94.63,95.857,97.833,99.911,98.124,99.205,102.761,104.258,104.098,102.643,99.712,98.798,101.054,100.309,97.874,95.494,93.629,90.563,80.735,70.41,66.901,68.8,73,77.811,82.474,85.4,80.23
"16","8","  Fixed investment","B007RA3",23.208,23.31,23.698,23.099,23.016,22.505,22.905,22.927,23.44,24.41,24.872,25.551,26.7,27.17,27.47,28.748,29.962,30.222,30.134,29.831,29.126,28.707,28.202,26.603,24.973,24.623,25.237,25.709,26.774,27.231,27.517,28.932,29.978,31.651,32.061,32.639,32.913,35.302,36.316,37.091,37.373,37.083,37.756,37.404,36.875,33.668,34,35.351,35.61,35.845,35.849,35.718,34.636,33.425,32.494,32.441,33.15,34.43,36.488,38.625,39.837,41.475,42.36,43.12,43.453,43.999,43.645,44.469,44.533,44.427,44.177,44.471,43.59,44.37,45.314,45.308,45.249,46.134,46.312,46.776,47.242,47.307,48.13,47.337,47.926,46.818,46.312,44.993,43.452,43.387,43.532,43.614,44.065,45.798,46.494,47.942,48.221,49.3,50.174,52.403,53.099,54.376,54.916,56.419,57.707,57.488,58.247,59.461,60.964,62.947,64.403,65.479,66.758,68.196,70.823,71.431,73.582,76.146,77.595,79.967,81.449,83.356,85.295,85.777,88.286,90.505,90.824,91.097,90.552,89.137,88.203,85.988,85.225,84.887,84.739,84.054,84.066,86.215,88.992,90.584,90.404,93.189,95.166,96.779,97.968,99.704,100.975,101.352,103.67,103.186,101.88,100.499,100.254,101.176,100.875,99.653,98.082,96.94,93.924,87.437,78.38,76.316,76.447,76.198,76.826,80.219,80.517,81.465
"17","9","    Nonresidential","B008RA3",19.781,19.995,20.535,20.412,20.293,20.182,20.285,19.53,19.708,20,20.08,20.51,21.199,21.55,21.887,23.031,24.107,25.092,25.513,25.713,25.685,25.628,25.329,24.621,23.111,22.507,22.714,22.925,23.339,23.624,24.141,24.622,25.578,26.317,26.868,27.767,28.042,30.407,31.493,32.532,33.239,33.14,34.172,34.258,34.634,32.876,33.124,33.82,34.365,35.058,35.912,36.776,35.906,34.622,33.453,32.78,32.167,32.56,34.032,36.236,37.417,39.278,40.571,41.55,42.033,42.631,41.979,42.7,42.113,41.059,40.459,40.874,39.75,40.703,42.014,41.916,42.238,43.277,43.504,43.962,44.705,45.341,46.64,45.952,46.562,45.758,46.05,45.17,44.004,43.582,43.17,42.942,42.749,44.445,45.343,46.707,47.004,48.255,48.793,50.841,51.347,52.384,53.366,55.729,58.007,58.41,58.801,59.984,61.473,63.24,65.345,67.112,68.825,70.533,74.129,74.725,77.309,80.139,81.347,84.031,85.98,88.39,90.931,91.216,94.608,98.098,99.182,99.566,98.619,96.029,94.445,91.453,89.315,87.869,87.417,85.771,85.385,87.682,89.679,90.845,90.124,92.555,95.095,97.197,98.086,99.516,100.919,101.479,105.759,107.643,108.811,109.44,111.257,114.234,116.829,118.45,119.026,118.533,115.899,108.673,97.501,95.618,95.216,94.879,96.677,100.592,103.019,104.347
"18","10","      Structures","B009RA3",72.087,72.659,76.085,75.553,74.959,74.192,74.462,73.588,73.404,73.214,72.951,72.76,74.662,75.081,75.247,76.445,78.942,81.408,83.248,82.482,82.018,81.68,78.135,77.186,73.213,70.455,70.853,70.901,72.812,72.592,73.329,73.558,73.307,76.049,77.201,77.757,77.607,85.196,90.815,94.614,94.087,95.449,99.899,102.958,104.548,102.253,102.762,105.785,105.721,109.705,112.472,120.746,116.906,113.096,106.861,104.435,100.175,95.42,97.652,100.37,106.076,111.401,114.917,116.107,121.028,120.962,118.457,119.932,116.932,105.913,102.136,102.76,100.357,101.537,105.766,107.774,103.705,105.858,104.428,104.166,105.845,104.65,108.318,107.653,110.021,109.482,109.081,104.163,101.92,99.143,92.709,90.827,89.684,89.69,90.466,91.574,89.242,89.101,89.531,91.2,87.474,92.472,92.365,93.307,95.652,97.565,98.275,97.447,99.185,101.358,102.607,107.828,108.777,107.813,111.88,112.649,111.433,117.435,117.481,117.294,116.811,115.395,115.306,116.684,118.937,123.869,128.533,129.064,125.506,125.954,126.665,114.639,108.414,102.546,97.994,96.553,95.591,98.449,98.237,97.78,97.21,98.337,99.325,99.414,101.195,100.812,98.696,99.297,103.696,109.068,111.771,112.185,115.08,122.401,129.246,131.584,131.551,133.949,132.731,129.672,113.638,107.399,103.911,95.31,90.761,90.649,89.848,90.837
"19","11","      Equipment and software","B010RA3",11.415,11.558,11.741,11.678,11.624,11.592,11.66,11.053,11.23,11.514,11.612,12.029,12.486,12.773,13.074,14.036,14.805,15.491,15.701,15.977,15.999,15.979,16.086,15.496,14.462,14.177,14.335,14.535,14.729,15.029,15.451,15.894,16.853,17.27,17.682,18.504,18.792,20.26,20.686,21.275,22.045,21.78,22.277,21.986,22.17,20.678,20.868,21.203,21.772,21.973,22.494,22.292,21.895,21.059,20.675,20.298,20.229,21.269,22.506,24.441,24.916,26.147,27.029,27.895,27.733,28.373,28.028,28.584,28.376,28.784,28.67,29.024,28.17,29.015,29.816,29.428,30.345,31.146,31.594,32.124,32.68,33.541,34.404,33.759,34.067,33.274,33.651,33.434,32.503,32.461,32.985,33.021,32.984,34.829,35.691,37.013,37.702,39.101,39.627,41.628,42.796,43.133,44.245,46.734,48.895,49.018,49.337,50.827,52.211,53.834,56.015,57.069,58.861,61.025,64.415,64.96,68.262,70.354,71.781,75.033,77.474,80.698,83.799,83.833,87.455,90.561,90.774,91.116,90.82,87.473,85.295,84.704,83.663,83.42,84.101,82.405,82.19,84.323,86.955,88.594,87.831,90.653,93.669,96.41,96.994,99.041,101.697,102.268,106.542,107.101,107.681,108.414,109.783,110.948,111.756,113.069,113.906,112.151,108.89,99.775,90.745,90.786,91.716,94.895,99.408,105.067,108.898,110.377
"20","12","    Residential","B011RA3",35.12,34.743,34.459,31.939,32.003,29.87,31.462,34.779,36.635,40.332,42.319,43.959,46.891,47.811,47.922,49.634,51.303,48.693,46.627,44.399,41.143,39.349,38.052,33.045,31.004,31.67,33.876,35.358,38.973,40.094,39.44,44.467,45.808,51.049,50.887,50.215,50.468,52.892,53.626,53.438,52.189,51.214,50.606,48.694,44.968,36.649,37.275,40.917,40.186,38.824,35.829,32.159,30.305,29.349,29.256,31.398,36.749,41.103,45.174,47.083,48.391,49.287,48.814,48.864,48.713,49.102,49.725,50.908,53.084,56.03,56.893,56.791,56.641,56.89,56.718,56.996,55.763,56.205,56.24,56.734,56.362,54.693,54.097,52.96,53.5,51.442,48.519,45.832,43.105,44.124,45.952,46.96,49.356,51.244,51.361,53.106,53.348,53.976,55.839,58.651,59.895,61.879,61.204,60.401,59.06,57.161,58.929,60.265,61.85,64.462,64.284,63.62,63.835,64.643,64.939,65.606,66.775,68.782,70.847,72.544,72.975,73.76,74.373,75.283,75.872,75.355,74.032,74.096,74.435,75.482,75.89,75.245,77.254,79.149,79.61,80.826,81.607,83.465,87.722,90.101,90.904,94.324,95.284,96.032,97.773,100.049,101.073,101.105,100.031,95.502,89.988,85.194,81.468,78.895,73.633,67.526,62.228,59.929,56.206,50.934,45.515,43.089,44.185,44.092,42.67,45.177,41.719,42.008
"21","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Exports","B020RA3",10.432,12.77,12.464,12.896,13.007,13.58,13.535,13.66,13.712,13.684,14.246,13.052,14.434,14.014,14.86,15.491,16.626,17.428,17.486,18.345,18.579,19.483,18.432,18.913,19.047,18.493,18.181,19.209,19.076,19.268,19.828,20.029,19.708,20.239,20.396,19.741,20.206,22.312,22.557,23.452,23.472,23.534,24.381,25.916,26.639,27.141,27.084,26.919,27.428,27.576,26.989,27.114,25.939,26.095,24.939,23.797,24.181,24.254,24.62,25.116,25.641,26.279,26.859,27.405,27.424,27.325,26.924,27.735,28.612,28.923,29.584,30.686,30.71,31.928,33.304,34.535,36.449,37.458,38.152,39.317,40.473,42.234,42.697,43.368,45.263,45.878,46.213,46.601,46.935,48.624,49.738,50.872,51.779,51.78,52.905,53.175,53.296,53.948,53.772,55.492,56.023,57.871,60.082,61.412,62.541,63.403,66.16,67.115,67.96,69.1,69.659,74.025,75.435,78.423,80.245,80.099,80.476,79.549,79.18,82.166,81.534,82.472,84.635,86.756,88.251,90.757,92.971,92.239,91.029,88.058,83.525,81.17,82.468,84.706,85.296,84.427,83.647,83.384,85.636,89.629,91.743,93.175,93.869,96.006,97.788,99.88,99.908,102.424,106.415,108.2,108.353,112.882,114.659,116.567,120.914,124.286,126.025,130.003,128.343,120.649,111.229,110.941,114.174,120.569,123.858,126.592,128.679,131.662
"24","16","    Goods","B253RA3",9.439,11.954,11.653,12.051,12.277,12.579,12.612,12.771,12.534,12.512,13.401,11.596,13.474,13.157,13.931,14.861,16.206,17.001,16.986,17.96,18.284,19.032,17.985,18.264,18.192,17.347,17.686,18.632,18.416,18.658,19.012,19.182,18.802,19.287,19.482,18.679,18.935,21.565,21.699,22.575,22.594,22.757,23.814,25.624,26.429,26.904,26.433,26.32,26.554,26.515,25.721,26.146,24.607,24.889,23.642,22.315,22.646,22.796,23.184,24.081,23.967,24.537,25.358,26.173,25.952,25.881,25.564,26.328,26.394,26.899,27.324,28.437,28.133,29.327,31.089,32.594,34.581,35.538,36.088,37.761,38.409,40.604,40.744,41.367,43.242,43.618,43.832,43.992,45.182,46.212,47.301,48.043,49.178,49.33,50.782,51.419,50.909,51.557,51.188,53.596,53.609,55.524,58.359,59.918,61.315,62.343,64.735,65.63,67.008,67.721,68.978,72.718,75.234,78.736,81.04,81.158,81.379,79.457,79.601,82.784,81.164,82.077,84.748,87.531,89.481,92.282,96.201,94.766,93.505,89.278,84.401,82.474,82.415,85.3,85.692,83.666,84.02,83.984,85.593,89.498,90.938,92.454,93.619,95.09,97.036,100.224,99.956,102.784,107.085,109.021,109.069,112.488,115.94,118.095,121.704,124.609,127.5,131.899,130.445,120.753,108.793,107.76,112.474,120.484,124.495,127.939,129.762,133.387
"25","17","    Services","B646RA3",13.303,14.853,14.546,15.068,14.743,16.278,15.949,15.945,17.041,16.997,16.365,17.364,16.989,16.232,17.262,16.859,17.204,17.971,18.282,18.644,18.511,19.974,18.972,20.269,21.281,22.04,18.941,20.243,20.481,20.457,21.843,22.162,22.103,22.788,22.775,22.759,24.031,23.895,24.569,25.49,25.513,25.142,25.039,25.308,25.652,26.242,27.892,27.518,29.124,30.034,30.333,29.24,29.589,29.246,28.502,28.102,28.663,28.447,28.706,27.704,30.547,31.394,31.067,30.638,31.508,31.329,30.667,31.611,35.09,34.783,36.175,37.233,38.28,39.559,39.693,40.029,41.647,42.789,43.938,43.383,46.197,46.491,47.998,48.814,50.74,52.091,52.792,53.864,51.652,55.266,56.432,58.671,58.908,58.471,58.674,57.932,59.798,60.467,60.822,60.659,62.607,64.264,64.763,65.464,65.855,66.257,70.015,71.136,70.545,72.82,71.53,77.509,76.082,77.753,78.356,77.551,78.335,79.871,78.249,80.757,82.5,83.493,84.445,84.989,85.405,87.216,85.437,86.35,85.265,85.229,81.497,78.146,82.584,83.326,84.373,86.177,82.783,82,85.725,89.921,93.587,94.828,94.433,98.1,99.508,99.094,99.795,101.603,104.897,106.339,106.729,113.773,111.753,113.108,119.127,123.554,122.674,125.697,123.586,120.424,116.551,117.905,117.933,120.822,122.533,123.708,126.38,127.936
"26","18","  Imports","B021RA3",9.841,11.783,11.63,11.502,11.465,11.691,11.664,11.845,11.706,12.589,12.867,11.995,13.748,13.259,13.535,14.145,14.799,14.372,13.975,14.079,13.602,14.322,14.072,13.932,12.534,11.531,12.49,13.157,13.981,14.586,15.182,15.684,16.427,16.578,16.347,16.579,17.691,17.747,17.979,18.225,18.176,18.274,17.995,18.388,18.402,17.066,15.839,16.689,17.402,17.428,17.229,17.724,17.218,16.937,17.723,17.027,17.417,18.756,20.217,21.209,22.914,23.874,24.491,25.209,24.653,25.864,25.614,26.618,26.594,27.727,28.495,28.714,28.543,29.254,29.823,30.509,30.366,30.017,30.726,31.662,31.809,31.96,31.916,32.494,33.524,33.468,33.333,32.439,32.07,32.64,33.558,34.3,34.549,35.117,35.671,36.525,37.316,38.087,38.588,40.139,41.074,42.604,43.803,45.035,46.023,46.46,46.62,47.216,48.751,49.842,51.458,52.473,54.714,56.551,58.635,59.9,62.147,63.571,64.428,66.512,68.206,70.38,72.933,74.682,77.711,80.08,82.877,82.815,81.607,79.177,77.26,76.339,78.252,80.894,82.229,83.707,82.696,83.881,84.856,87.996,90.235,93.849,95.213,97.626,98.187,99.266,99.874,102.673,104.613,105.774,107.04,106.917,108.133,109.354,110.69,107.624,107.24,108.019,107.988,101.204,90.78,88.266,92.752,93.874,96.401,103.613,107.718,104.215
"27","19","    Goods","B255RA3",8.066,10.215,10.006,9.752,9.77,9.848,9.818,10.093,10.043,11.012,11.401,10.388,12.21,11.634,12.13,12.699,13.358,13.019,12.818,12.912,12.301,13.012,12.788,12.559,11.095,10.147,11.202,11.832,12.678,13.312,13.9,14.396,15.179,15.291,15.108,15.324,16.39,16.458,16.651,16.865,16.833,16.939,16.653,17.078,17.1,15.73,14.422,15.238,15.885,15.894,15.744,16.256,15.647,15.21,16.085,15.234,15.69,16.996,18.452,19.484,20.913,21.769,22.225,22.801,22.088,23.388,23.306,24.413,24.224,25.758,26.297,26.469,26.048,26.569,27.207,27.687,27.601,27.327,28.005,28.933,29.021,29.141,28.961,29.561,30.439,30.326,30.108,29.207,29.027,29.509,30.676,31.411,31.861,32.648,33.312,34.174,35.099,35.895,36.351,37.858,38.79,40.507,41.91,43.387,44.223,44.833,44.929,45.435,47.052,48.235,49.87,51.082,53.281,55.307,57.321,58.611,60.778,62.203,62.913,65.227,67.005,69.357,72.072,73.999,76.863,79.286,82.087,82.109,80.873,77.635,76.148,75.466,76.952,80.222,81.704,82.758,81.848,83.985,84.326,87.293,89.369,93.263,94.778,97.23,98.071,99.234,99.901,102.794,104.376,105.665,107.1,106.476,108.25,109.518,110.886,107.458,106.567,107.78,107.501,98.908,87.429,85.015,90.324,91.691,94.321,102.69,106.881,102.904
"28","20","    Services","B656RA3",20.807,21.523,21.706,22.349,21.967,23.115,23.112,22.695,22.001,22.369,21.99,21.941,23.311,23.363,22.255,23.117,23.738,22.765,21.141,21.298,21.782,22.456,22.007,22.596,21.994,20.712,20.718,21.566,22.1,22.388,22.947,23.42,23.724,24.165,23.588,23.906,25.213,25.165,25.667,26.138,25.961,25.982,25.805,25.841,25.754,25.012,24.782,25.729,26.866,27.053,26.477,26.717,27.236,28.367,28.217,28.999,28.733,30.09,31.316,31.791,35.51,37.173,39.031,40.789,41.652,41.855,40.276,40.32,41.593,39.703,42.055,42.602,44.284,46.364,46.343,48.52,47.965,47.087,47.941,48.823,49.399,49.762,50.809,51.14,53.226,53.61,54.095,53.324,51.58,52.727,51.821,52.563,51.411,50.442,50.226,50.993,50.848,51.427,52.215,54.005,54.922,55.163,54.966,54.554,56.524,55.801,56.371,57.529,58.486,58.955,60.417,60.197,62.666,63.336,65.819,66.928,69.63,71.037,72.724,73.493,74.695,75.855,77.492,78.236,82.182,84.23,86.983,86.424,85.375,87.568,83.234,80.989,85.198,84.434,84.976,88.739,87.206,83.371,87.636,91.684,94.787,96.949,97.531,99.741,98.816,99.441,99.73,102.012,105.888,106.358,106.715,109.276,107.509,108.471,109.642,108.535,111.006,109.302,110.634,113.727,108.622,105.533,105.915,105.772,107.766,108.916,112.601,111.547
"29","21","Government consumption expenditures and gross investment","B822RA3",53.674,53.45,53.525,52.739,52.455,51.777,52.001,52.002,51.16,50.996,50.964,50.584,50.768,51.083,50.03,50.344,50.839,50.536,49.887,50.254,51.305,51.651,51.728,51.908,52.544,52.14,53.057,53.507,53.64,53.052,52.773,52.732,53.21,53.763,53.861,53.688,53.775,55.227,55.667,56.172,55.667,56.255,56.337,56.704,57.616,57.795,56.998,56.94,57.696,57.825,57.694,58.225,58.167,58.506,58.906,59.923,60.373,60.889,61.946,60.899,61.512,62.838,63.302,64.659,65.4,66.867,68.603,69.013,69.759,71.242,72.854,72.436,72.732,73.192,73.194,74.08,73.721,73.914,73.871,75.372,74.909,76.069,76.786,77.194,78.385,78.501,78.478,79.257,79.579,79.857,79.478,79.144,79.745,79.651,80.06,80.083,79.239,79.18,79.101,79.491,78.48,78.81,80.192,79.5,79.816,80.083,79.907,79.013,79.519,80.661,80.583,81.266,81.411,82.116,82.208,82.344,81.849,83.628,84.402,85.157,85.593,85.95,87.061,88.438,87.714,88.884,88.604,88.874,90.188,92.061,91.893,93.525,94.958,95.87,96.646,97.293,97.091,98.534,98.824,98.895,99.366,99.73,100.094,99.482,99.577,99.685,100.59,100.147,101.147,101.232,101.386,101.67,101.552,102.401,103.292,103.606,104.191,105.042,106.4,106.787,105.977,107.569,107.991,107.613,107.185,108.228,109.27,108.852
"30","22","  Federal","B823RA3",72.285,71.132,71.182,69.277,67.908,65.781,64.808,64.455,61.946,61.053,60.796,58.915,59.155,60.101,56.86,56.673,57.611,56.718,54.311,54.354,56.066,55.977,56.258,56.671,56.034,55.584,56.97,57.115,56.588,56.466,56.306,56.45,56.919,57.857,58.191,57.621,57.823,59.202,59.411,59.932,60.013,60.755,60.661,60.647,62.588,64.162,63.297,63.511,64.826,66.761,66.689,67.403,67.508,68.12,69.141,71.185,72.042,73.574,75.639,72.99,73.614,75.924,75.634,78.144,78.977,80.904,83.617,83.585,83.141,85.792,89.039,87.657,88.179,89.403,89.498,90.829,88.361,87.461,86.806,89.413,87.583,89.554,90.416,89.962,91.312,91.421,90.605,91.401,92.11,92.371,90.65,88.871,88.899,88.81,89.824,89.87,87.106,85.876,84.97,85.415,82.358,81.893,84.14,81.83,81.63,81.307,80.754,77.722,79.341,80.472,79.053,78.825,77.764,79.142,78.884,78.776,76.319,78.419,77.767,78.529,78.01,78.009,79.646,81.416,78.194,81.324,79.747,79.379,81.069,82.805,83.361,84.368,86.376,88.372,89.772,91.289,91.315,95.718,95.812,96.511,97.749,98.304,100.01,98.778,99.19,99.286,101.608,99.915,102.763,101.887,101.792,102.066,100.828,102.582,104.95,105.236,106.995,109.014,112.686,114.906,113.444,117.447,119.085,119.091,119.634,122.276,124.882,124.806
"31","23","    National defense","B824RA3",87.542,85.578,85.448,83.658,81.434,77.587,76.38,75.8,72.237,69.47,68.079,66.136,65.182,66.208,61.528,61.434,62.627,61.504,57.856,58.257,59.601,60.56,59.117,59.101,58.647,57.741,59.928,59.805,58.981,58.94,58.813,58.578,59.235,60.138,60.167,58.505,58.876,60.203,60.365,60.633,60.931,62.156,61.972,62.32,64.154,64.308,64.427,65.275,66.514,68.523,69.108,70.367,71.161,73.141,74.413,76.541,76.996,78.776,79.314,81.355,81.609,82.477,82.148,85.65,86.242,88.731,92.308,92.727,92,95.469,99.187,96.41,97.831,100.183,101.665,101.522,100.432,99.576,98.608,100.687,97.426,99.502,100.711,99.703,99.921,99.639,97.934,99.725,100.593,100.318,97.631,94.314,92.843,92.91,94.185,93.464,89.785,88.463,87.26,88.097,83.683,83.726,86.484,82.395,82.174,82.028,81.047,78.495,80.026,81.117,79.396,78.886,76.352,78.151,77.772,78.199,73.543,76.359,77.308,76.7,75.772,75.81,78.056,79.904,75.179,78.647,77.03,77.09,78.447,79.544,80.267,81.374,83.128,85.041,86.482,88.476,87.785,95.191,94.066,95.929,97.359,97.871,100.708,98.201,99.068,99.826,102.492,98.614,101.115,101.384,100.892,102.963,101.066,103.103,105.645,105.655,107.419,109.23,114.255,115.707,113.195,117.684,120.237,119.477,119.582,121.732,124.233,123.574
"32","24","    Nondefense","B825RA3",43.058,43.445,43.841,41.734,41.994,43.084,42.558,42.633,42.116,44.732,46.601,44.851,47.411,48.209,47.823,47.446,47.879,47.44,47.544,46.854,49.34,47.09,50.917,52.216,51.189,51.648,51.428,52.111,52.184,51.9,51.673,52.584,52.674,53.69,54.645,56.288,56.154,57.654,57.968,59.024,58.653,58.392,58.483,57.706,59.889,64.479,61.525,60.399,61.893,63.69,62.222,61.777,60.409,58.097,58.601,60.5,62.243,63.26,68.597,55.785,57.162,62.704,62.463,62.786,64.182,64.907,65.768,64.745,64.914,65.826,68.094,69.688,68.284,67.097,64.23,68.713,63.309,62.313,62.316,66.056,67.239,68.991,69.123,69.827,73.559,74.492,75.544,74.264,74.647,76.02,76.293,77.719,80.891,80.465,80.931,82.583,81.701,80.665,80.369,80.014,79.718,78.223,79.429,80.729,80.565,79.878,80.19,76.197,77.99,79.198,78.389,78.73,80.646,81.173,81.154,79.976,81.924,82.594,78.732,82.245,82.544,82.461,82.879,84.496,84.278,86.733,85.239,84.015,86.369,89.387,89.607,90.416,92.933,95.098,96.42,96.976,98.458,96.789,99.352,97.687,98.537,99.178,98.599,99.955,99.436,98.176,99.796,102.592,106.163,102.927,103.653,100.203,100.325,101.492,103.5,104.363,106.119,108.578,109.383,113.223,113.952,116.946,116.687,118.283,119.738,123.41,126.236,127.383
"33","25","  State and local","B829RA3",42.268,42.623,42.713,42.625,43.021,43.251,44.228,44.451,44.653,44.952,45.063,45.642,45.792,45.695,46.068,46.717,46.928,47.009,47.503,48.085,48.713,49.339,49.286,49.317,50.778,50.401,51.025,51.675,52.238,51.342,50.983,50.821,51.31,51.614,51.56,51.645,51.657,53.172,53.768,54.268,53.375,53.869,54.066,54.683,54.936,54.218,53.456,53.223,53.623,52.596,52.427,52.844,52.68,52.846,52.85,53.217,53.408,53.279,53.7,53.667,54.281,54.984,55.942,56.569,57.256,58.439,59.565,60.258,61.759,62.514,63.114,63.29,63.449,63.446,63.393,64.012,64.922,65.773,66.099,66.939,67.29,67.965,68.595,69.512,70.609,70.73,71.172,71.939,72.031,72.317,72.733,73.258,74.201,74.106,74.153,74.165,74.467,75.107,75.523,75.88,76.093,76.899,77.761,78.034,78.659,79.279,79.329,79.72,79.556,80.706,81.434,82.662,83.534,83.832,84.135,84.419,85.101,86.686,88.313,89.063,90.065,90.636,91.435,92.579,93.332,93.347,93.827,94.47,95.564,97.518,96.931,98.931,100.03,100.302,100.711,100.848,100.511,100.201,100.608,100.31,100.325,100.575,100.14,99.895,99.806,99.922,99.995,100.277,100.205,100.851,101.149,101.437,101.96,102.288,102.334,102.661,102.585,102.781,102.852,102.225,101.777,102.024,101.77,101.179,100.213,100.367,100.541,99.933
