"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"13","5","    Mining","J734RC1",9,9.1,9.3,9.5,9.8,10.2,10.6,11.1,11.1,10.8,10.9,10.3,11.8,11.6,11.9,12.3,12.8,13.2,14.4,15.7,17.7,20.3,22.3,22.2,24.9,24.5,24.6,25.5,26.1,25.2,26,27.5,29.3,32.6,33,32.3,29.6,36.1,35.8,38.5,37,40.5,44.8,47.7,53.5,60.6,67.2,76.9,84,85.6,93.5,93.7,88.8,85.2,77.5,71.5,66.5,63.6,62.9,63.5,65.6,68.9,67.8,66,64.9,61.8,59.1,55.7,50.1,44.4,41.1,36,38.1,42.6,44,47.8
"14","6","    Construction","J735RC1",44,45.7,46.5,46,47,47,48.2,49.6,50,52.4,53.4,54.9,56.7,57.5,58.6,60.4,64.2,65.4,67.1,67.9,70.8,70.7,70.3,70.7,70,68.6,70.5,73,77.5,80.2,82,83.8,85.2,89,90.7,93.3,96.1,105,109.5,112,113.7,117.6,121.1,123.2,125.6,121.5,123.4,129.9,129.1,125.5,125,124.1,123.7,125.1,123.9,125,127.8,128.3,132.3,136.9,145.4,152.8,155,157.9,164.1,165.3,168.9,172.6,180,184.2,188.1,192.6,195.6,200.5,202.8,207
"15","7","    Manufacturing","J426RC1",235.4,235.9,238.8,237.2,231,234.4,232.8,223.2,238.8,241.8,241.4,247.6,257.6,263.5,269.4,281.1,295.4,299.6,301.6,308.3,309.2,314,324.2,320.1,308.4,322.5,345.9,355.9,375.9,379.7,385.3,389.7,405.9,429,444.9,456.8,455.8,487.8,497.9,514.8,528.2,532,538.1,544.2,556,533.1,541.7,577.9,599.1,611.3,629.2,607.9,596.3,600.6,602.7,580.8,589.5,609.2,635.7,663.5,687.9,695.9,697.4,704,703.6,708.3,726.7,732.7,718.6,714.1,708.7,734.3,736.9,757.2,787,800.4
"16","8","      Durable goods","J428RC1",141.8,140.7,142,140.7,133.9,136.3,134.2,124.8,138,139.6,137.9,142.8,150.3,155.2,158.1,167.1,177.3,179.8,181.4,183.2,181.9,182.4,187.5,187.7,177.9,182.3,195.8,199.7,213.7,218.7,222.2,225.4,237.2,250.1,260,270.4,269.9,290.8,296.6,308.2,315.8,315.8,313.7,314,318.3,301,308.8,335.1,343.5,351.3,348.8,338.9,330.7,336.2,331.1,311.1,325.1,336.3,354.2,375.2,399.6,401.8,410.4,414.4,410.9,413.3,416.8,421.4,420.2,419.1,419.4,432.4,443.8,446.6,456.6,456.6
"17","9","      Nondurable goods","J427RC1",93.5,95.2,96.8,96.5,97.1,98.1,98.7,98.4,100.8,102.2,103.5,104.8,107.3,108.2,111.3,113.9,118.1,119.7,120.3,125.1,127.3,131.6,136.7,132.4,130.5,140.3,150.1,156.2,162.2,161.1,163.2,164.2,168.7,178.9,184.9,186.4,185.9,197,201.2,206.7,212.4,216.2,224.4,230.2,237.7,232.2,232.9,242.8,255.6,260.1,280.4,269,265.6,264.4,271.6,269.7,264.4,272.9,281.5,288.4,288.2,294.1,287,289.6,292.7,294.9,309.9,311.3,298.4,295,289.3,301.9,293.1,310.5,330.5,343.8
"18","10","    Transportation and public utilities","J737RC1",68.1,70,70.6,71.4,72.8,73.2,75.8,76.2,79.5,81.9,82.8,83.5,87,89.2,91,94.6,96.1,97.7,100.6,101.8,102.8,105.9,108.5,109.7,110.4,112.8,120.2,124.6,127.7,132.8,136.7,138.2,141.3,146.5,151.8,154.8,157.3,166.4,169.2,174.8,175.4,176.3,178,184.2,188.7,189.9,197.2,207.9,206.2,211.8,224.3,227.6,232,235.6,233.5,233.7,239.4,253,254,263.7,271.6,277.9,280.4,282.6,282.7,285.6,289.4,291.4,298.7,303.1,305.4,306.2,311.5,323.2,323.5,328.7
"19","11","      Transportation","J429RC1",30.4,31.6,31.7,32.2,32.5,32.2,34,33.6,35,36.5,37.2,37.2,39.3,39.6,40.6,42.7,44,44.4,45.5,46.8,48.8,50.3,50.9,49.3,47.4,46.9,51.2,53.6,55.8,57.9,60.4,59.7,62,64.6,66.6,67.6,66.6,74.3,75.5,78.3,79,79.7,80.5,84.4,84.7,82.2,84,88.5,88.3,88.1,90.4,89.6,88.1,89.1,85.9,86.5,87.5,94,97.7,101.2,105.8,107.9,108.9,107.9,107.7,109.1,110.1,110.9,114.9,118.5,120.7,122.4,123.6,127.2,128.1,132.1
"20","12","      Communication","J430RC1",19.9,20.4,20.6,21,21.6,22.3,22.8,23.1,23.7,24,23.7,24.3,25.6,26.2,26.9,27.5,27.9,28.7,29.9,29.9,30.3,31.2,31.6,32.9,32.3,33.5,35,35.6,36.6,37.7,38.8,39.8,39.8,41.7,42.1,44.4,46.2,47.7,48.6,49.2,49.9,51.4,52.1,52.7,55,56.1,59.3,62.9,63.5,64.4,67.7,69.2,70.5,72.3,73.3,73.7,76.7,78.9,74.3,78.4,79.8,81.6,80.3,80.8,81.9,84.4,86.8,88.4,91.3,91,91.5,91.2,91.1,93.6,95.7,95.8
"21","13","      Electric, gas, and sanitary services","J431RC1",17.8,18,18.4,18.2,18.8,18.8,19,19.4,20.7,21.3,21.9,22,22.1,23.4,23.5,24.5,24.2,24.5,25.2,25.1,23.7,24.5,26,27.5,30.7,32.3,34.1,35.4,35.3,37.2,37.4,38.7,39.5,40.3,43.1,42.9,44.5,44.3,45.1,47.3,46.5,45.2,45.4,47.1,48.9,51.6,53.9,56.5,54.3,59.4,66.1,68.8,73.4,74.2,74.3,73.5,75.2,80.1,82,84.1,86,88.4,91.3,93.9,93.1,92.1,92.5,92.1,92.5,93.5,93.2,92.6,96.8,102.5,99.7,100.8
"22","14","    Wholesale trade","J433RC1",62.2,63.5,64.7,66.3,66.8,67.5,68.8,69.8,71.5,72.1,74.8,76.4,78.5,80.5,83.4,85.6,89.3,88.8,91.9,97.4,98.7,104.6,103.3,109,110.7,110.8,114.1,117.1,119.6,119.3,120.8,122.5,124.9,132.8,139,134.8,141.2,147.9,152.6,157.7,162.1,167.7,171.8,175.6,176.5,176.7,178.1,185.9,194.3,196.3,198.2,207.2,202,203.1,202.7,203.6,204.5,212.7,218.8,225.6,240.1,244.3,253.5,258.3,258.4,258.5,261.6,260.3,265.1,268.1,279.1,276.9,281.5,283.3,289.5,291
"23","15","    Retail trade","J434RC1",86.9,89.2,90.9,91.6,93.1,94.9,96.4,97.1,100.3,101.7,105.5,107.9,108.9,110.5,112.5,118.9,120.9,122.8,125.8,128.1,127.2,129.7,132,131.9,137.3,142.8,148.6,153.3,160.1,162.3,166.4,169.4,172.7,178.5,185.5,190.4,194.3,203,204.4,211.6,215.3,218,221.1,226.4,221.8,223.2,230.6,233.1,246.8,248.3,252.6,250.8,255.2,261.8,265.2,274,281.3,287.9,296.8,303.1,317,327.5,330.1,330.7,342.3,348,355.6,356.3,370.9,372.3,382.2,382.8,390.4,396.1,405.9,410.7
"24","16","    Finance, insurance, and real estate","J435RC1",112,113.6,115.6,117.4,118.6,120.3,124.5,128,130.4,134.6,139.2,141.5,144.5,144.3,150.2,154.1,157.8,160.2,162.6,166.5,169.5,173.5,179.6,184.5,190.6,192.9,196.9,201.9,206.1,211,216.2,221.3,225.5,234.6,243,251.8,260.6,270.5,277.3,285.1,292.3,298,304.6,318.8,334.7,334.8,338.8,369,374.6,380.3,399.8,405.9,408.9,422.4,429,441.3,455,468.1,483.7,496.8,502.6,519.1,541.3,557,568.7,575.7,576.2,591.5,618.8,628,628.8,633.2,644,661.4,682,699
"25","17","    Services","J437RC1",100.4,103.2,106.4,109.3,110.4,112.8,115.3,117.5,120.2,121.9,124.4,127.5,131.3,134.9,138.7,143.4,148,152.3,156.5,159.9,163.5,167.2,171.6,175.4,181.1,185.2,190.6,196,202.8,209.1,215.2,223,229.6,237.5,246.5,255.3,266.5,275.2,282.4,289.4,300.4,308.7,318.9,328.7,337.8,352.5,362.7,372.4,387.5,392.1,403.9,411.3,422,431.1,442.8,449.9,461.9,474.7,488.7,504.7,524.2,537,550.5,563.6,579.3,591.1,604.3,616.5,638.2,647.8,660.9,676,704.4,719.9,739.1,772.7
"26","18","  Government","B436RC1",113.8,116.3,121.9,124.2,128.6,130.7,132.9,134.5,139.7,142.9,145.7,147.8,153.4,155.2,158.4,164.4,166.2,168.8,172,176.4,180.6,184.7,187.9,193.8,199.3,204.8,209,214.4,220.2,224,227.6,234,238,242.7,247.2,255.3,259.5,264,270.3,277.7,283,286.2,292.3,302.2,308.7,316.9,323.7,336.9,344.4,351.5,355.9,368.7,374.7,381.2,386.5,396.4,402.8,409.1,414.2,419.3,438.8,446.9,455.6,462.9,477.9,485.8,494.3,502.8,508.8,515.6,522.6,533.9,541.6,548.3,554.3,563.2
"27","19","Rest of the world","A192RC1",6.3,6.2,5.9,6,6.3,6.6,6.6,6.1,7.4,8,7.3,7.7,8.2,8.1,8.9,9,10.7,11.6,13.9,14.3,17.1,16.4,15.3,13.3,11.4,11.7,13,16,15.7,16.6,17.1,17.9,20.8,20.7,20.9,18.8,22.1,18.7,20.9,24.6,25.7,29.5,36.1,36.5,38,35.8,34.4,28.5,31.4,30,32.7,37.6,36,40.9,35,34.1,34.1,36.7,37.9,39.7,37,37.5,37.4,33.2,26.3,28.7,24.2,27,23.6,16.4,18.5,12,14.1,18.5,18,20
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
