"","Table 1#4#4# Price Indexes for Gross Domestic Product, Gross Dom","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 25, 2011 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/24/2011 8:54:40 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","Gross domestic product","B191RG3",23.11,24.328,25.545,26.647,28.124,30.669,33.577,35.505,37.764,40.413,43.773,47.776,52.281,55.467,57.655,59.823,61.633,63.003,64.763,66.99,69.52,72.213,74.762,76.537,78.222,79.867,81.533,83.083,84.554,85.507,86.766,88.648,90.654,92.113,94.099,96.769,100,103.263,106.301,108.598,109.618,110.67
"9","2","Less: Exports of goods and services","B020RG3",32.771,34.027,35.283,36.928,41.784,51.478,56.738,58.6,60.987,64.703,72.49,79.843,85.744,86.138,86.478,87.28,84.609,83.342,85.451,89.876,91.373,91.993,93.212,92.833,92.808,93.842,95.997,94.727,93.103,90.972,90.408,91.999,91.627,91.253,93.216,96.517,100,103.447,106.902,111.874,105.877,110.317
"10","3","Plus: Imports of goods and services","B021RG3",22.254,23.57,25.017,26.77,31.423,44.957,48.699,50.165,54.586,58.44,68.434,85.24,89.822,86.794,83.541,82.82,80.1,80.097,84.948,89.011,90.956,93.563,92.783,92.856,92.144,93.009,95.557,93.891,90.627,85.748,86.25,89.963,87.762,86.784,89.796,94.144,100,104.144,107.531,118.685,105.987,112.828
"11","4","Equals: Gross domestic purchases","B712RG3",22.563,23.778,25,26.112,27.623,30.459,33.3,35.208,37.586,40.252,43.797,48.408,52.864,55.859,57.817,59.854,61.553,62.948,64.923,67.159,69.706,72.54,74.917,76.724,78.339,79.962,81.674,83.15,84.397,84.962,86.304,88.463,90.123,91.422,93.55,96.4,100,103.38,106.428,109.813,109.614,111.087
"12","5","Less: Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6","Equals: Final sales to domestic purchasers","B713RG3",22.421,23.632,24.849,25.959,27.467,30.284,33.114,35.025,37.407,40.074,43.603,48.192,52.616,55.629,57.582,59.609,61.337,62.75,64.716,66.979,69.527,72.371,74.75,76.562,78.177,79.806,81.524,83.023,84.294,84.896,86.257,88.436,90.098,91.396,93.537,96.389,100,103.384,106.435,109.823,109.649,111.134
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","B190RG3",22.968,24.182,25.394,26.494,27.968,30.493,33.389,35.32,37.582,40.232,43.576,47.557,52.029,55.233,57.414,59.573,61.414,62.802,64.552,66.807,69.338,72.04,74.592,76.371,78.057,79.707,81.379,82.953,84.449,85.443,86.72,88.623,90.631,92.089,94.089,96.759,100,103.266,106.308,108.608,109.647,110.719
"16","8","  Implicit price deflator for final sales to domestic purchasers","A713RD3",22.409,23.62,24.835,25.945,27.453,30.269,33.097,35.006,37.391,40.057,43.585,48.172,52.555,55.571,57.522,59.547,61.275,62.686,64.708,66.97,69.518,72.361,74.74,76.552,78.175,79.804,81.522,83.021,84.294,84.896,86.257,88.436,90.098,91.396,93.537,96.389,100,103.384,106.435,109.823,109.649,111.135
