"","Table 5#5#5# Private Fixed Investment in Equipment and Software ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"17","10","    Photocopy and related equipment","C285RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.9,1.1,1.4,1.2,1.3,1.5,1.7,2,2.5,3,3.5,4,4.4,4.3,5.2,5.5,6.4,7.2,7.4,7.3,9.1,8.8,9.3,9.7,10.7,11.7,11.4,12,12.6,14.5,15.3,14.2,13.6,12.6,12.5,10.4,9.6,6.6,6.9
"18","11","    Office and accounting equipment","B936RC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.5,0.6,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1,1.3,1.3,1.2,1.2,1,0.9,1,1,1,1.3,1.3,1.2,1.4,1.2,1.1,1.3,1.9,2.6,2.3,2.7,2.8,4.2,5.2,5.7,6.1,4.7,7.6,8.6,8.3,9.7,6.3,5.6,6.1,5,4.6,5.1,5.6,5.7,5.8,5.9,5.8,5.2,4,4.1,4.7,5
"19","12","  Industrial equipment","A680RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4.6,4.6,3.7,4.5,5.7,5.9,6.7,7.1,7.3,8.8,9.6,8.2,8.5,9.4,8.8,9.3,10,11.4,13.7,16.2,16.9,17.3,19.1,20.3,19.5,21.4,26,30.7,31.3,34.1,39.4,47.7,56.2,60.7,65.5,62.7,58.9,68.1,72.5,75.4,76.7,84.2,93.3,92.1,89.3,93,102.2,113.6,129,136.5,140.4,146.4,147,159.2,146.2,137.5
"20","13","    Fabricated metal products","C263RC1",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.5,0.4,0.5,0.7,0.8,0.8,0.9,0.8,0.9,1.1,1,0.9,0.9,0.9,0.8,0.9,1,1.2,1.4,1.4,1.7,2.1,2.6,2.8,3,3.7,4.5,5.3,6.1,6.2,7.1,8.8,9.2,9.9,9.5,9.1,8.7,8.6,8,7.1,8,9,9.2,9.4,9.6,9.3,10,10.8,12.1,10.5,11,11.8,12.4,12.4,12.7
"21","14","    Engines and turbines","A668RC1",0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.4,0.4,0.6,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.8,0.9,1.1,1.3,1.5,1.7,1.7,1.8,1.7,1.8,1.7,1.8,1.9,1.9,2.3,2,1.8,1.9,2.2,1.9,2.5,2.7,3.3,3.1,3.8,3.7,3.5,3.9,3.3,4,3.7,4.4,5.5,7.1,10.7,10
"22","15","    Metalworking machinery","C271RC1",0.2,0.1,0.1,0,0,0.1,0.1,0.2,0.2,0.1,0.2,0.4,0.6,0.6,0.5,0.5,0.6,0.7,0.8,0.6,0.4,0.7,1,1.1,1.4,1.6,1.3,1.8,1.9,1.2,1.3,1.5,1.4,1.6,1.9,2,2.6,3.3,4.2,3.9,4,4,3.1,3.7,4.9,6.1,6.1,6.4,7.3,9.3,11.6,13.3,14.1,12.2,9.3,11.3,12.5,13.1,12.5,13.9,16.7,16,15.7,16.9,18.7,22.3,26.4,27.5,29.7,30.1,29.3,30,25.4,23.2
"23","16","    Special industry machinery, n.e.c.","C272RC1",0.4,0.3,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.5,0.7,1.1,1.2,1,1.2,1.4,1.2,1.3,1.2,1.4,1.7,1.7,1.5,1.7,1.9,1.9,2,2.1,2.4,3.1,3.5,3.3,3.5,3.7,3.9,3.8,4.2,4.8,5.4,5.2,5.5,6.1,8.2,9.4,10.5,11.3,11.9,12.4,14.4,15.8,17.1,18.7,20.9,23.7,22.6,21.3,21.8,24.3,26.4,31.2,32.8,32.8,33.4,32.9,36.4,30.5,27.7
"24","17","    General industrial, including materials handling, equipment","C273RC1",0.5,0.4,0.3,0.2,0.2,0.2,0.3,0.4,0.5,0.3,0.4,0.4,0.5,0.3,0.4,0.6,0.9,0.9,1.3,1.3,1,1.1,1.4,1.3,1.5,1.5,1.9,2.2,2.3,2.1,2.2,2.5,2.3,2.5,2.9,3.4,3.9,4.6,4.3,4.3,5,5.3,5.2,5.5,6.9,8.3,8.5,9.4,12,14.8,17.2,18,19,18.1,16.8,20.3,21.9,24.2,23.6,26,27,27.4,25.8,27.4,32.2,35.4,39.9,42,44.3,47.3,45.7,48.6,44.3,42.3
"25","18","    Electrical transmission, distribution, and industrial apparatus","C276RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.7,0.7,0.6,0.8,1.1,1.2,1.4,1.4,1.4,1.8,2,1.7,1.8,1.9,1.9,1.9,1.9,2.1,2.4,2.9,2.9,2.9,3.1,3.3,3.1,3.3,4,4.7,4.6,4.9,6.1,6.5,7.4,7.9,8.9,9,9.5,11.5,11.5,11.2,12.3,12.8,13.7,14,13.3,13.7,14.2,15.7,17.4,18.2,19.3,20.1,21.8,24.7,22.7,21.5
"26","19","  Transportation equipment","A681RC1",2.1,1.6,0.9,0.5,0.5,0.8,1.1,1.5,1.7,1.1,1.4,1.9,2.4,1,0.9,1,1.7,3,4.9,5.5,5.7,6.4,6.6,5.7,6.6,6,7.5,7.4,8.3,6.1,8.3,8.5,8,9.8,9.4,10.6,13.2,14.5,14.3,17.6,18.9,16.2,18.4,21.8,26.6,26.3,25.2,30,39.3,47.3,53.6,48.4,50.6,46.8,53.5,64.4,69,70.5,68.1,72.9,67.9,70,71.5,74.7,89.4,107.7,116.1,123.2,135.5,144,167.6,160.8,141.3,128
"27","20","    Trucks, buses, and truck trailers","C279RC1",0.5,0.4,0.2,0.1,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.6,0.1,0.1,0.3,0.9,1.2,1.7,2.1,1.8,2.1,2.4,1.9,1.8,1.7,2.4,2.5,2.3,2.1,2.6,2.6,2.7,3.4,3.6,3.7,4.7,5.4,4.9,5.9,7.2,6.2,7.2,9.4,11.2,11.6,9.2,12.1,16.2,19.9,21.8,17.1,18.1,17.8,20.8,28.2,32,28.4,28.8,29.1,28.5,23.7,22,26.3,37.2,51,58.6,64.6,73.2,79.4,89.5,81.8,64.7,62.2
"28","21","      Light trucks (including utility vehicles)","W178RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,12,10.8,9.7,9.9,10.2,15.2,25.9,29.7,39,49.4,49,54.4,50.8,42.3,39.7
"29","22","      Other trucks, buses, and truck trailers","W179RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,17.1,17.8,14,12.2,16.1,21.9,25.1,29,25.6,23.8,30.4,35.1,31,22.4,22.5
"30","23","    Autos","C280RC1",1.1,0.7,0.5,0.3,0.3,0.4,0.6,0.8,0.8,0.5,0.7,0.9,1.2,0.3,0.3,0.2,0.2,1,1.8,2,2.5,3.2,2.6,2.2,3.2,3.3,4,3.2,3.6,2.6,3.7,3.8,3.5,4.3,4,4.2,5.1,4.8,4.6,6,6.3,5.3,7.4,7.9,8.9,8.3,8.6,10.9,14.2,16.6,15.9,14.3,16.7,16.6,21.9,25.6,26.5,29.8,26.4,29.5,26.1,29.1,31.3,30.5,33.3,41.1,37.1,37.9,38.3,34.4,37.9,36.5,33.8,33.4
"31","24","    Aircraft","C281RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.5,0.4,0.9,0.8,0.8,0.8,0.5,0.8,1.3,1.8,2.5,3.7,2.8,2.4,1.3,1.9,3,2.4,2.3,2.4,3.4,4.3,7,8,7.7,7.1,7.3,6.7,7.2,9,9.7,10.4,8.5,12.1,13.4,13.7,13.4,9.1,13.3,12.9,15.5,20.8,30.3,32.6,35.2,24.4
"32","25","    Ships and boats","C282RC1",0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.3,0.6,0.3,0.2,0.2,0.3,0.4,0.3,0.2,0.3,0.4,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.8,0.9,0.9,0.9,1.1,1.7,1.6,2.3,2.3,2.5,2.6,3.2,3.5,4.5,3.1,1.9,1.7,1.3,1.5,1.8,1.6,1.5,1.6,1.6,1.2,2.2,1.8,1.8,2.3,2.7,2.8,2.8,3.4,2.9,3.5
"33","26","    Railroad equipment","C283RC1",0.4,0.4,0.1,0,0,0.1,0.1,0.2,0.4,0.1,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.6,1.1,1.1,0.9,1.2,1.1,1,0.6,0.7,0.9,1.3,0.6,0.6,0.9,0.6,0.9,1,1.4,1.7,2,1.8,1.3,1.8,1.5,1.6,1.5,1.8,2.4,2.8,2.4,2.9,3.9,5.7,5.6,3.5,2.2,1.5,2.2,2,1.7,1.4,2.2,3.3,3.4,3.2,3,3.4,4.6,5.3,5.4,5.8,6.5,7.1,6.5,4.5,4.4
"34","27","  Other equipment","A682RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,4.2,5.4,4.7,5.1,5.6,5.7,5.7,5.4,6.4,6.9,6.8,7,7.7,7.2,7.2,7.7,9.1,10.2,11.5,13.2,12.8,13.4,14.9,16.2,16.7,19.4,23.7,26.5,28.6,31.3,37.8,45.6,52.1,52.2,59.3,53.2,52,60,61.7,62.5,66.5,72,83,83.1,72.9,74,84.1,92.3,99.9,105.8,116.9,127.5,129.3,134.6,130.6,129.6
"35","28","    Furniture and fixtures","A667RC1",0.4,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.5,0.7,0.7,0.6,0.7,0.9,0.9,0.9,1,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.6,1.8,1.9,2.2,2.3,2.3,2.7,2.7,2.6,3.4,3.9,3.9,3.7,4.2,5.6,6.9,8,9,10,11,12.2,14.5,15.7,16.7,18.4,18.8,21.6,21,18.9,20.9,21.4,22.6,24.5,25.5,29.8,32.7,34.5,36.3,32.8,30.6
"36","29","    Agricultural machinery","C268RC1",0.4,0.4,0.2,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.3,0.4,0.6,0.4,0.2,0.6,0.7,0.5,1,1.5,1.6,1.7,1.8,1.7,1.6,1.4,1.6,1.4,1.4,1.8,1.9,1.6,1.6,1.8,2.2,2.5,2.7,3.3,3.4,3.3,3.4,4,3.9,4.8,6.4,6.8,8.5,8.8,9.5,10.7,12.7,11.6,12.6,9.5,8.5,9.1,7.3,6.8,7.2,9.8,12,13.6,11.4,10.2,11.9,13.4,13.9,14.1,16.2,16.9,12.4,13.7,14.6,16.6
"37","30","    Construction machinery","C269RC1",0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4,0.5,0.6,0.8,0.6,0.7,0.8,0.9,0.8,0.7,1,1.3,1,1.1,1.3,1.1,1.1,1.1,1.5,1.9,2.2,2.5,2.3,2.5,2.9,2.9,3,3.7,4.6,5.5,5.5,5.6,8.1,10.6,10.8,9.3,9.7,6.5,7.3,10,10.9,10.8,10.4,10.6,13.6,14.1,9.4,9.4,12.2,14,15.8,18.1,19.5,22.4,22.9,23.2,20.3,21
"38","31","    Mining and oilfield machinery","C270RC1",0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.6,0.6,0.6,0.4,0.5,0.5,0.4,0.4,0.5,0.6,0.7,0.7,0.6,0.6,0.7,0.9,1.1,0.9,1.1,1.7,2.7,3,3.6,3.6,3.9,4.5,7.6,5.6,3.2,2.8,2.5,1.3,1.2,1.5,1.9,1.8,1.4,1.3,2.5,2.5,2.5,2.7,3.6,3.6,5.4,5.3,6.2,4.8
"39","32","    Service industry machinery","C570RC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.5,1,1.4,0.9,1,0.9,1,1.1,1.1,1.2,1.4,1.5,1.3,1.3,1.3,1.3,1.4,1.4,1.5,1.8,2.1,2.1,2.3,2.6,2.7,2.8,2.9,3.1,3.3,3.1,3.7,4.2,5,5.9,6.5,7,7.3,7.6,9.1,9.9,10.2,11.2,11.7,12.9,11.7,11.2,11.1,11.9,13.1,14.2,14.8,14.8,16.5,17.5,17.5,17.5,16.6
"40","33","    Electrical equipment, n.e.c.","A670RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.3,0.4,0.4,0.5,0.5,0.6,0.8,0.8,0.9,1,1.1,1.6,2.1,2.5,2.8,2.4,2.5,2.8,2.9,3.1,3.2,3.6,3.6,3.3,2.8,2.9,2.9,3,3.3,3.2,3.6,4.4,4.3,4.6,4.9,5
"41","34","    Other","C286RC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,1,1.1,1.2,1.3,1.4,1.6,1.7,2,1.8,2,2.2,2.5,2.7,3.1,3.8,4.5,4.3,4.9,5.8,7,8.6,8.8,9.7,10.9,10.8,11.8,12.5,13.6,14.8,16,17.5,17.7,17.8,18.2,21.4,23.7,25.6,27.4,29.3,31.1,32.2,33.9,34.3,35.1
"42","35","  Less: Sale of equipment scrap, excluding autos","C287RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.5,0.5,0.4,0.4,0.5,0.6,0.4,0.4,1.1,2.2,1.3,1.7,1.5,2.4,4.2,3.9,4.1,2.1,1.6,1.9,1.8,1.8,2.5,3,2.8,2.8,2.1,2,4,4.3,5.1,4.8,4.8,4,3.3,3.4,2.4,2.5
"43","36","Residential equipment","B013RC1",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.9,1,1.1,1.3,1.5,1.7,1.9,1.9,2.1,2.4,2.7,3.2,3.4,3.6,3.7,4.2,4.7,5.1,5.5,5.8,6.1,6.1,6,5.7,5.9,6.1,6.2,6.3,6.3,6.3,6.6,7,7.4,7.4,7.6
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","  Private fixed investment in equipment and software","A327RC1",5.6,4.2,2.7,1.5,1.5,2.1,2.9,4,4.9,3.5,4,5.3,6.6,4.1,3.7,5,7.3,10.1,15.6,17.6,16,18.2,20.2,20.1,21.9,21.2,24.3,26.8,29,25.4,28.9,30.3,29.6,32.8,35.4,39.9,47.1,54.7,55.6,60.7,68,69.8,72.7,83.2,100,110.1,114.3,128.6,156.5,189.7,219.4,229.6,256.3,252.6,267.1,317,336.7,348.8,355.7,387.1,420.2,425.5,420.3,445.5,495.5,550.9,609.1,657.1,724.6,783.9,858.7,926.2,859.4,821.4
"46","38","  Less: Dealers' margin on used equipment","B549RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.1,1.5,1.8,2.1,2.5,2.7,2.7,3.1,3.2,3.3,3.5,4,4.4,4.7,4.3,4.3,5,5.6,6.3,7,8.2,9,10,10.3,10.4,10.2
"47","39","        Net purchases of used equipment from government","B550RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,0.6,0.3,0.1,0.1,0.2,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.6,0.4,0.5,0.5,0.5
