"","Table 1#7#4# Price Indexes for Gross Domestic Product, Gross Nat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","Less: Income payments to the rest of the world","A655RG3",12.179,12.487,12.815,13.138,13.404,13.632,13.753,13.805,13.836,13.845,13.848,13.879,13.954,14.067,14.24,14.455,14.901,15.042,15.089,14.972,14.852,14.845,14.863,14.889,15.124,15.191,15.215,15.221,15.112,15.08,15.072,15.115,15.242,15.355,15.47,15.606,15.709,15.855,15.99,16.14,16.369,16.472,16.543,16.551,16.441,16.465,16.53,16.629,16.901,17.07,17.15,17.2,17.334,17.331,17.396,17.314,17.273,17.362,17.445,17.511,17.692,17.731,17.783,17.863,17.838,17.84,17.889,18.014,18.069,18.17,18.247,18.352,18.533,18.622,18.743,18.909,19.121,19.314,19.475,19.69,19.77,19.832,20.007,20.252,20.547,20.806,21.078,21.395,21.681,22.016,22.355,22.603,22.871,23.222,23.363,23.601,24.017,24.377,24.659,24.824,25.178,25.392,25.571,25.932,26.188,26.687,27.226,27.948,28.502,29.098,29.934,30.586,31.37,31.713,32.292,32.718,32.993,33.329,33.795,34.346,34.813,35.528,36.178,36.811,37.367,38.369,39.124,39.984,40.753,41.602,42.511,43.354,44.352,45.364,46.382,47.635,48.994,49.785,50.919,51.966,52.691,53.253,53.949,54.502,54.781,55.267,55.713,56.09,56.674,57.132,57.588,58.07,58.656,58.94,59.027,59.766,60.202,60.491,61.133,61.751,62.216,62.586,63.194,63.808,64.32,64.976,65.696,66.249,66.989,67.697,68.056,68.639,69.561,70.396,71.271,72.256,72.824,73.221,73.831,74.406,75.19,75.765,76.209,76.604,76.993,77.264,77.456,77.885,78.346,78.817,79.543,80.015,80.405,80.774,81.092,81.442,81.886,82.089,82.501,83,83.539,83.771,83.967,84.317,84.364,84.546,84.791,85.029,85.371,85.803,86.208,86.655,87.498,87.976,88.4,88.86,89.429,89.939,90.109,90.213,90.553,91.207,91.614,92.125,93.045,93.197,93.712,94.151,95.164,96.155,96.839,97.701,98.593,99.334,100.561,101.512,102.209,103.109,103.825,103.989,104.877,105.752,106.354,107.407,108.36,109.557,110.733,109.596,109.378,109.395,109.72,NA
"12","4","Equals: Gross national product","A001RG3",13.382,13.579,13.809,14.091,14.249,14.407,14.662,14.658,14.616,14.523,14.401,14.399,14.346,14.404,14.696,14.946,15.458,15.548,15.599,15.8,15.817,15.884,16.003,16.06,16.074,16.112,16.166,16.22,16.288,16.313,16.303,16.323,16.388,16.479,16.598,16.708,16.872,17.03,17.223,17.327,17.529,17.65,17.788,17.883,18.034,18.112,18.158,18.178,18.247,18.29,18.35,18.426,18.465,18.542,18.627,18.706,18.73,18.767,18.816,18.865,18.974,19.022,19.074,19.142,19.196,19.215,19.25,19.365,19.435,19.501,19.597,19.687,19.773,19.86,19.947,20.07,20.194,20.385,20.575,20.756,20.858,20.986,21.178,21.41,21.642,21.884,22.095,22.401,22.627,22.929,23.261,23.553,23.879,24.223,24.414,24.724,25.097,25.434,25.688,25.892,26.315,26.468,26.71,27.025,27.379,27.837,28.368,28.855,29.447,30.105,31.041,31.998,32.738,33.215,33.836,34.434,34.823,35.191,35.664,36.275,36.884,37.475,37.994,38.637,39.273,40.033,40.726,41.557,42.32,43.348,44.244,45.118,46.105,47.134,48.208,49.567,50.873,51.781,52.735,53.658,54.411,55.083,55.848,56.441,56.927,57.345,57.931,58.351,59.075,59.607,60.093,60.446,61.135,61.455,61.756,62.133,62.445,62.752,63.145,63.6,64.104,64.47,64.977,65.442,65.967,66.604,67.392,67.939,68.65,69.337,69.811,70.253,71.107,71.931,72.6,73.203,73.984,74.5,75.061,75.485,75.908,76.358,76.698,77.136,77.616,78.042,78.411,78.82,79.253,79.637,80.082,80.506,80.988,81.352,81.698,82.118,82.562,82.868,83.276,83.656,84.08,84.452,84.689,85.007,85.133,85.342,85.66,85.887,86.25,86.614,86.917,87.275,87.937,88.383,88.907,89.358,89.975,90.601,90.89,91.143,91.466,91.868,92.277,92.822,93.497,93.775,94.3,94.809,95.621,96.438,97.142,97.861,98.771,99.442,100.471,101.316,102.075,102.983,103.766,104.237,105.329,106.028,106.46,107.075,107.581,108.067,109.138,109.149,109.647,109.648,109.76,NA
"13","5","Less: Consumption of fixed capital","A262RG3",16.378,16.945,17.563,17.983,18.172,18.401,18.709,18.852,19,18.934,18.845,18.83,18.732,18.81,19.14,19.713,20.336,20.724,21.004,21.175,21.183,21.254,21.399,21.453,21.528,21.588,21.559,21.554,21.554,21.656,21.68,21.75,21.704,21.777,22.061,22.403,22.86,23.227,23.538,23.835,24.154,24.362,24.523,24.589,24.477,24.547,24.694,24.855,24.991,25.09,25.169,25.184,25.168,25.153,25.136,25.129,25.133,25.131,25.161,25.189,25.253,25.268,25.344,25.432,25.44,25.479,25.492,25.508,25.556,25.601,25.66,25.737,25.836,25.958,26.081,26.206,26.332,26.534,26.699,26.883,27.05,27.241,27.482,27.739,28.037,28.284,28.548,28.875,29.203,29.571,29.909,30.32,30.765,31.122,31.382,31.577,32.191,32.698,33.093,33.432,33.75,34.01,34.332,34.699,35.063,35.578,36.216,36.971,37.97,39.214,40.655,42.097,43.507,44.604,45.506,46.202,46.679,47.245,47.906,48.694,49.662,50.563,51.438,52.416,53.424,54.475,55.577,56.664,57.825,59.138,60.525,61.945,63.402,65.016,66.634,68.354,70.123,71.729,73.173,74.472,75.656,76.535,77.062,77.21,77.092,77.046,77.179,77.292,77.563,77.798,77.975,78.169,78.305,78.453,78.744,79.081,79.418,79.822,80.124,80.359,80.522,80.737,81.131,81.617,82.309,82.915,83.462,83.989,84.428,84.861,85.298,85.734,86.17,86.594,87.053,87.507,87.937,88.222,88.425,88.471,88.365,88.322,88.196,88.113,88.701,89.127,89.451,89.701,89.895,90.198,90.559,91.044,91.546,91.868,92.015,92.064,91.914,91.785,91.739,91.725,91.762,91.757,91.636,91.528,91.258,91.092,91.005,90.973,90.987,91.118,91.293,91.579,91.949,92.25,92.51,92.703,92.858,92.984,93.055,93.092,93.118,93.173,93.25,93.366,93.532,93.748,94.061,94.458,95.029,95.788,96.663,97.601,98.465,99.436,100.513,101.586,102.589,103.61,104.369,105.008,105.549,105.9,106.19,106.455,106.663,107.171,107.95,108.969,108.706,107.43,106.468,106.422
"14","6","        Private","A024RG3",16.388,17.249,17.921,18.415,18.736,18.999,19.215,19.382,19.505,19.585,19.625,19.628,19.591,19.735,20.053,20.535,21.18,21.663,21.998,22.189,22.237,22.298,22.372,22.455,22.551,22.629,22.689,22.732,22.76,22.776,22.78,22.773,22.756,22.861,23.081,23.421,23.861,24.266,24.631,24.962,25.257,25.479,25.626,25.701,25.702,25.754,25.859,26.017,26.23,26.382,26.473,26.502,26.47,26.443,26.421,26.4,26.385,26.381,26.388,26.405,26.434,26.453,26.463,26.462,26.45,26.455,26.478,26.517,26.574,26.64,26.715,26.798,26.889,26.995,27.116,27.25,27.397,27.555,27.723,27.901,28.092,28.306,28.544,28.805,29.086,29.377,29.676,29.984,30.298,30.646,31.029,31.442,31.885,32.193,32.372,32.428,33.08,33.624,34.066,34.408,34.655,34.92,35.204,35.504,35.822,36.311,36.962,37.767,38.717,39.839,41.131,42.594,44.226,45.548,46.571,47.301,47.749,48.344,49.081,49.954,50.956,51.972,52.999,54.037,55.08,56.189,57.357,58.579,59.851,61.19,62.596,64.066,65.599,67.203,68.877,70.623,72.441,74.101,75.603,76.947,78.136,78.958,79.428,79.56,79.362,79.278,79.304,79.435,79.669,79.884,80.076,80.243,80.385,80.607,80.907,81.285,81.743,82.115,82.401,82.602,82.724,83.003,83.438,84.024,84.76,85.425,86.021,86.549,87.009,87.457,87.894,88.322,88.74,89.158,89.577,90.001,90.431,90.728,90.893,90.929,90.838,90.695,90.501,90.256,90.788,91.208,91.521,91.73,91.838,92.046,92.349,92.743,93.222,93.518,93.637,93.586,93.37,93.215,93.118,93.076,93.084,93.015,92.87,92.651,92.362,92.139,91.978,91.877,91.832,91.879,92.014,92.231,92.525,92.775,92.986,93.164,93.313,93.419,93.487,93.518,93.517,93.549,93.612,93.708,93.835,94.076,94.429,94.891,95.458,96.105,96.828,97.627,98.498,99.45,100.477,101.574,102.633,103.504,104.191,104.7,105.034,105.298,105.495,105.627,105.697,106.082,106.777,107.783,107.396,106.012,104.991,104.952
"15","7","        Government","A264RG3",14.953,15.101,15.592,15.864,15.827,15.976,16.412,16.508,16.709,16.379,16.047,15.991,15.756,15.68,16.011,16.764,17.304,17.455,17.594,17.713,17.628,17.72,18.015,17.998,18.021,18.038,17.821,17.713,17.658,17.933,17.998,18.224,18.122,18.124,18.523,18.848,19.316,19.579,19.754,19.958,20.31,20.475,20.659,20.7,20.341,20.448,20.683,20.84,20.796,20.77,20.817,20.802,20.82,20.836,20.83,20.852,20.899,20.901,20.978,21.031,21.164,21.172,21.384,21.659,21.709,21.822,21.812,21.777,21.801,21.799,21.818,21.878,21.99,22.14,22.261,22.358,22.428,22.721,22.869,23.058,23.159,23.284,23.521,23.755,24.082,24.207,24.372,24.734,25.079,25.479,25.686,26.07,26.496,26.963,27.422,27.975,28.466,28.855,29.11,29.428,29.927,30.159,30.576,31.129,31.623,32.206,32.782,33.357,34.471,36.07,37.953,39.292,39.937,40.261,40.737,41.303,41.863,42.314,42.701,43.183,44.011,44.495,44.818,45.568,46.426,47.25,48.09,48.669,49.403,50.594,51.891,53.101,54.252,55.882,57.265,58.869,60.43,61.806,63.017,64.124,65.277,66.371,67.112,67.319,67.515,67.618,68.162,68.205,68.614,68.925,69.044,69.335,69.448,69.311,69.566,69.738,69.618,70.137,70.495,70.851,71.171,71.14,71.371,71.481,71.999,72.379,72.736,73.254,73.607,73.979,74.406,74.868,75.361,75.802,76.394,76.952,77.375,77.615,77.949,78.028,77.873,78.19,78.31,78.812,79.594,80.031,80.388,80.787,81.293,81.94,82.511,83.33,83.916,84.337,84.586,85.027,85.139,85.116,85.276,85.378,85.531,85.791,85.775,86.14,85.953,86.036,86.278,86.552,86.831,87.347,87.708,88.318,89.043,89.588,90.084,90.357,90.544,90.763,90.851,90.919,91.082,91.251,91.397,91.617,91.983,92.066,92.177,92.242,92.835,94.164,95.816,97.465,98.291,99.366,100.695,101.648,102.358,104.162,105.287,106.611,108.234,109.043,109.82,110.785,111.724,112.871,114.089,115.174,115.561,114.844,114.188,114.104
"16","8","          General government","A265RG3",15.484,15.671,16.166,16.438,16.382,16.519,16.952,17.048,17.28,16.924,16.574,16.523,16.28,16.195,16.521,17.315,17.874,18.013,18.152,18.28,18.183,18.283,18.586,18.541,18.583,18.599,18.331,18.226,18.179,18.479,18.541,18.788,18.686,18.676,19.089,19.43,19.91,20.175,20.343,20.56,20.94,21.094,21.288,21.338,20.958,21.062,21.31,21.473,21.448,21.441,21.492,21.477,21.493,21.503,21.496,21.518,21.576,21.578,21.661,21.714,21.86,21.86,22.095,22.394,22.45,22.572,22.558,22.504,22.534,22.525,22.543,22.605,22.716,22.873,22.997,23.096,23.156,23.458,23.611,23.807,23.903,24.033,24.285,24.53,24.863,24.987,25.152,25.516,25.865,26.282,26.483,26.866,27.307,27.785,28.26,28.834,29.341,29.719,29.952,30.239,30.759,30.985,31.425,32.005,32.502,33.1,33.691,34.277,35.416,37.031,38.892,40.224,40.8,41.078,41.561,42.135,42.735,43.174,43.583,44.075,44.966,45.446,45.677,46.477,47.394,48.184,48.996,49.532,50.252,51.449,52.737,53.923,55.063,56.767,58.117,59.775,61.417,62.857,64.076,65.31,66.621,67.742,68.464,68.683,68.88,68.975,69.583,69.643,70.079,70.351,70.414,70.712,70.77,70.595,70.896,71.039,70.837,71.347,71.706,72.031,72.394,72.293,72.481,72.571,73.107,73.421,73.725,74.239,74.609,74.927,75.304,75.797,76.319,76.707,77.287,77.941,78.415,78.654,78.983,79.1,78.939,79.229,79.299,79.807,80.609,81.011,81.442,81.808,82.257,82.943,83.549,84.451,85.03,85.425,85.621,86.034,86.155,86.116,86.264,86.343,86.472,86.69,86.632,86.98,86.719,86.815,87.059,87.31,87.584,88.125,88.488,89.053,89.775,90.254,90.739,90.963,91.141,91.362,91.421,91.447,91.531,91.648,91.766,92.005,92.375,92.424,92.512,92.488,93.027,94.267,95.867,97.455,98.327,99.352,100.673,101.648,102.363,104.119,105.245,106.539,108.193,108.934,109.619,110.534,111.394,112.543,113.692,114.679,115.012,114.338,113.744,113.742
"17","9","          Government enterprises","A266RG3",11.455,10.912,11.519,11.918,12.19,12.597,13.213,13.322,13.14,13.065,12.891,12.764,12.585,12.595,13.043,13.466,13.885,14.19,14.345,14.388,14.418,14.441,14.685,14.979,14.798,14.834,15.155,15.005,14.844,14.876,14.987,15.01,14.886,15.031,15.337,15.544,15.949,16.24,16.525,16.62,16.724,17.028,17.141,17.083,16.898,17.046,17.189,17.308,17.048,16.825,16.843,16.817,16.872,16.938,16.949,16.979,16.919,16.917,16.948,17,17.031,17.114,17.135,17.212,17.208,17.249,17.273,17.417,17.395,17.448,17.477,17.532,17.666,17.761,17.867,17.96,18.119,18.362,18.473,18.625,18.78,18.873,19.007,19.168,19.467,19.611,19.788,20.162,20.505,20.797,21.063,21.482,21.816,22.22,22.588,23.013,23.413,23.913,24.342,24.896,25.262,25.535,25.811,26.204,26.687,27.194,27.694,28.209,29.189,30.721,32.771,34.175,35.249,35.852,36.293,36.819,37.142,37.664,37.929,38.363,38.831,39.341,40.194,40.665,41.188,42.212,43.214,44.036,44.848,46.014,47.369,48.714,49.926,51.154,52.719,54.025,55.148,56.184,57.351,57.777,58.087,59.037,59.88,60.024,60.213,60.355,60.561,60.515,60.78,61.3,61.715,61.97,62.384,62.448,62.455,62.789,63.115,63.691,64.042,64.572,64.65,65.011,65.494,65.716,66.136,66.896,67.564,68.098,68.365,69.047,69.772,70.051,70.382,71.138,71.808,71.802,71.931,72.181,72.549,72.409,72.283,72.762,73.177,73.644,74.317,74.956,74.892,75.484,76.308,76.739,77.115,77.483,78.11,78.678,79.221,79.816,79.882,79.945,80.167,80.397,80.682,81.175,81.38,81.834,82.041,82.052,82.284,82.683,82.988,83.375,83.721,84.571,85.313,86.207,86.756,87.283,87.516,87.726,87.962,88.246,88.817,89.253,89.547,89.666,90.016,90.271,90.5,91.009,91.876,93.645,95.564,97.513,98.113,99.436,100.802,101.649,102.332,104.378,105.496,106.975,108.438,109.593,110.838,112.052,113.404,114.538,116.115,117.705,118.373,117.427,116.449,115.931
"18","10","Equals: Net national product","A027RG3",13,13.161,13.352,13.62,13.774,13.924,14.173,14.156,14.097,14.002,13.879,13.877,13.829,13.885,14.171,14.39,14.888,14.952,14.985,15.186,15.204,15.269,15.385,15.441,15.451,15.486,15.547,15.605,15.678,15.697,15.684,15.699,15.773,15.864,15.969,16.058,16.196,16.335,16.516,16.602,16.792,16.904,17.039,17.136,17.309,17.387,17.423,17.431,17.493,17.531,17.588,17.669,17.712,17.797,17.889,17.975,18,18.04,18.091,18.141,18.253,18.303,18.352,18.417,18.474,18.492,18.528,18.651,18.721,18.788,18.886,18.976,19.06,19.143,19.227,19.348,19.47,19.658,19.848,20.027,20.122,20.244,20.429,20.657,20.881,21.12,21.324,21.626,21.84,22.133,22.461,22.741,23.054,23.393,23.576,23.893,24.242,24.561,24.8,24.99,25.418,25.561,25.794,26.101,26.451,26.899,27.416,27.875,28.426,29.026,29.91,30.814,31.487,31.902,32.493,33.077,33.455,33.802,34.254,34.843,35.414,35.973,36.455,37.062,37.66,38.386,39.037,39.838,40.558,41.551,42.395,43.213,44.149,45.114,46.129,47.445,48.698,49.533,50.434,51.314,52.019,52.667,53.453,54.092,54.64,55.105,55.736,56.185,56.953,57.513,58.028,58.396,59.138,59.474,59.775,60.155,60.463,60.759,61.16,61.637,62.176,62.556,63.073,63.535,64.041,64.679,65.49,66.037,66.776,67.488,67.965,68.406,69.303,70.168,70.859,71.476,72.296,72.837,73.437,73.903,74.385,74.891,75.282,75.778,76.246,76.671,77.044,77.471,77.93,78.323,78.776,79.193,79.672,80.041,80.408,80.871,81.384,81.74,82.202,82.628,83.096,83.513,83.793,84.161,84.335,84.589,84.957,85.215,85.621,86.014,86.334,86.7,87.398,87.864,88.421,88.905,89.582,90.275,90.594,90.876,91.24,91.689,92.143,92.747,93.493,93.779,94.333,94.858,95.702,96.527,97.208,97.897,98.813,99.443,100.466,101.278,102.004,102.896,103.683,104.13,105.299,106.047,106.5,107.164,107.714,108.197,109.312,109.174,109.787,109.984,110.261,NA
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RG3",13.018,13.176,13.366,13.634,13.788,13.938,14.189,14.172,14.114,14.019,13.895,13.893,13.844,13.9,14.187,14.408,14.908,14.972,15.003,15.205,15.223,15.289,15.405,15.461,15.471,15.505,15.566,15.624,15.698,15.716,15.703,15.717,15.79,15.881,15.985,16.075,16.213,16.352,16.534,16.62,16.81,16.923,17.058,17.155,17.328,17.406,17.441,17.449,17.511,17.548,17.605,17.686,17.728,17.813,17.906,17.993,18.018,18.057,18.107,18.157,18.268,18.319,18.367,18.432,18.489,18.507,18.542,18.665,18.736,18.803,18.901,18.991,19.073,19.157,19.24,19.361,19.483,19.671,19.862,20.04,20.136,20.257,20.443,20.671,20.895,21.133,21.338,21.64,21.855,22.149,22.477,22.757,23.07,23.408,23.592,23.909,24.257,24.575,24.814,25.005,25.434,25.576,25.808,26.114,26.462,26.91,27.427,27.886,28.441,29.043,29.928,30.835,31.504,31.919,32.508,33.091,33.467,33.812,34.263,34.852,35.425,35.981,36.462,37.07,37.669,38.393,39.043,39.843,40.562,41.558,42.402,43.221,44.159,45.126,46.142,47.457,48.707,49.542,50.439,51.317,52.025,52.675,53.463,54.101,54.647,55.111,55.742,56.19,56.959,57.52,58.038,58.407,59.153,59.483,59.774,60.155,60.467,60.768,61.173,61.651,62.186,62.56,63.079,63.541,64.048,64.686,65.499,66.043,66.78,67.489,67.962,68.4,69.296,70.165,70.854,71.468,72.289,72.832,73.437,73.904,74.391,74.898,75.29,75.783,76.244,76.665,77.036,77.46,77.921,78.313,78.769,79.184,79.663,80.028,80.395,80.857,81.37,81.725,82.189,82.616,83.087,83.506,83.786,84.158,84.332,84.588,84.957,85.214,85.621,86.013,86.333,86.698,87.398,87.864,88.419,88.904,89.583,90.277,90.593,90.876,91.242,91.694,92.148,92.754,93.497,93.785,94.337,94.862,95.706,96.531,97.213,97.901,98.817,99.446,100.464,101.274,101.999,102.892,103.678,104.129,105.296,106.045,106.5,107.162,107.711,108.192,109.304,109.181,109.804,109.996,110.269,110.473
