"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","      Gross investment \2\","A782RA3",7.931,7.896,8.141,8.74,10.507,11.059,11.369,12.726,13.538,15.303,17.136,17.085,15.237,15.85,16.973,16.744,19.719,24.191,27.938,32.509,31.994,31.939,32.2,33.03,34.782,36.128,35.739,34.428,35.647,34.382,31.918,31.163,31.206,32.287,29.798,28.625,29.816,29.855,31.478,31.02,31.248,30.457,31.146,31.408,32.487,32.444,34.734,35.741,38.523,37.394,37.255,35.415,35.391,35.187,36.873,36.728,39.916,38.013,39.548,41.277,41.559,40.879,41.94,41.579,40.769,40.372,42.936,41.53,41.871,42.124,42.283,42.412,41.509,41.889,43.829,43.838,46.024,44.609,46.853,48.378,49.888,48.057,48.804,48.506,47.686,48.258,47.939,46.691,47.882,44.731,44.555,40.795,41.994,40.866,41.509,41.288,37.738,37.203,37.299,35.773,34.838,35.135,33.157,35.061,37.102,35.754,34.301,35.072,36.606,38.361,37.372,36.789,38.203,35.077,38.348,40.278,41.42,38.318,37.739,36.654,37.626,38.426,37.317,36.224,35.628,40.63,41.837,43.059,39.752,41.899,44.819,44.658,46.472,44.373,42.397,42.833,44.277,42.469,41.541,42.442,40.855,42.438,41.784,43.609,43.669,44.367,46.412,47.215,48.948,50.256,50.894,54.004,54.364,57.817,60.24,59.66,60.611,62.319,66.078,64.284,65.028,66.798,68.203,67.661,65.319,66.804,66.518,67.541,67.475,68.427,70.41,70.447,73.37,73.292,73.315,74.736,72.966,74.344,74.402,74.336,76.409,75.246,74.037,72.979,71.276,72.527,71.688,72.239,68.182,69.747,73.059,71.833,72.633,73.345,71.872,71.795,73.094,74.814,75.812,76.867,78.002,77.481,77.692,75.706,75.262,78.854,82.947,82.614,83.242,84.927,86.28,88.941,89.356,87.873,88.559,88.765,90.005,95.079,90.155,94.67,96.422,96.863,98.335,98.624,98.144,98.801,101.576,101.094,100.551,101.901,101.338,99.379,98.397,99.563,100.358,101.682,101.893,104.434,103.237,103.507,104.434,106.773,107.401,107.728,107.521,110.955,111.602,110.777,108.298,113.431,115.3,113.802
"12","4","        Structures","A760RA3",11.045,12.374,13.83,15.491,16.079,17.897,19.271,19.851,21.482,24.209,27.456,27.961,27.573,29.09,29.363,30.421,31.284,34.662,35.801,36.546,38.455,38.668,38.808,39.968,41.15,40.368,40.434,42.256,44.738,43.346,44.156,43.402,44.324,44.605,42.832,42.374,43.302,44.28,44.875,44.903,46.997,46.474,46.834,47.927,51.172,51.072,53.144,55.597,55.912,55.517,53.464,50.046,50.874,52.762,54.887,55.695,59.693,55.469,56.494,60.41,58.482,58.782,58.439,59.656,60.695,60.89,64.669,61.88,63.175,65.145,65.336,65.181,64.58,67.143,70.522,71.521,72.409,71.386,71.213,73.605,75.409,73.596,72.16,73.676,74.311,76.479,76.664,76.153,74.625,73.98,71.468,66.943,65.741,65.163,68.071,66.814,66.001,66.228,65.176,65.759,64.685,61.676,61.387,63.352,64.019,61.979,61.963,62.661,62.999,64.834,61.214,59.261,63.324,58.537,60.593,64.614,67.714,61.847,57.991,55.809,57.849,59.435,57.338,55.975,54.573,64.763,66.839,66.969,59.686,64.067,66.634,67.793,69.755,65.854,62.448,61.294,65.091,58.998,55.54,57.408,54.596,53.896,53.864,55.371,53.999,53.263,55.738,54.587,56.679,58.663,60.738,61.511,62.126,65.813,67.163,65.763,69.195,69.652,70.728,68.027,71.003,71.1,71.868,72.816,70.635,73.392,71.725,72.662,70.888,71.614,72.052,74.144,77.817,76.208,76.28,78.343,77.102,78.06,79.027,81.649,84.766,81.516,77.569,77.229,76.711,79.54,79.969,79.872,75.812,77.385,80.633,81.46,81.825,82.716,81.36,80.789,80.466,83.461,85.94,90.206,92.612,90.681,88.489,84.035,83.274,87.471,92.726,92.139,93.714,92.667,93.285,96.917,99.18,95.988,96.613,96.806,98.685,106.313,97.525,105.03,106.979,105.58,106.388,107.829,107.115,106.445,109.979,107.994,107.06,107.84,104.597,100.888,100.142,99.824,99.234,100.8,99.109,101.871,100.851,100.201,102.259,104.046,104.244,104.5,102.641,104.611,104.726,102.491,101.364,106.908,109.127,107.743
"13","5","        Equipment and software","A871RA3",4.714,3.932,3.478,3.377,5.487,5.207,4.837,6.41,6.607,7.511,8.22,7.879,5.599,5.614,6.941,6.075,9.53,13.726,18.237,24.138,22.348,22.153,22.437,22.921,24.677,27.023,26.435,23.532,23.802,22.852,19.022,18.421,17.99,19.291,16.911,15.583,16.674,16.2,18.068,17.433,16.601,15.82,16.556,16.315,16.022,16.014,17.964,17.997,21.534,20.24,21.13,20.487,20.024,18.778,19.887,19.28,21.387,21.076,22.551,22.797,24.156,23.109,24.673,23.573,21.979,21.356,22.755,22.357,22.131,21.44,21.552,21.808,20.934,20.072,20.854,20.318,22.785,21.412,24.585,25.343,26.412,24.908,26.745,25.484,23.988,23.545,22.995,21.545,24.109,20.014,21.251,18.566,21,19.728,18.901,19.33,14.649,13.732,14.547,11.968,11.289,13.346,10.884,12.391,14.825,14.117,12.062,12.722,14.723,16.163,17.04,17.466,16.908,15.268,19.042,19.344,19.043,18.138,19.765,19.525,19.681,19.869,19.54,18.761,18.755,19.779,20.266,22.036,21.748,22.154,24.973,23.912,25.428,24.8,24.025,25.578,25.155,26.671,27.696,27.8,27.255,30.402,29.334,31.241,32.36,34.06,35.61,37.784,39.108,39.809,39.329,43.908,44.049,47.034,50.074,50.155,49.051,51.616,57.264,56.362,55.195,58.284,60.156,58.338,56.018,56.267,57.241,58.274,59.757,60.847,64.101,62.252,64.283,65.628,65.605,66.336,64.202,65.875,65.084,62.532,63.496,64.344,65.765,64.11,61.42,61.112,59.139,60.269,56.482,57.936,61.088,57.944,59.104,59.596,58.113,58.567,61.465,61.802,61.182,58.759,58.417,59.411,62.225,63.086,63.081,65.877,68.482,68.451,67.893,72.792,74.986,76.363,74.464,75.2,75.959,76.19,76.57,78.132,78.516,78.844,80.282,83.303,85.701,84.334,84.203,86.791,88.42,90.15,90.171,92.362,95.959,96.809,95.465,99.098,102.258,103.179,106.755,108.912,107.401,109.387,108.143,111.541,113.007,113.46,116.58,122.957,124.684,126.819,121.488,125.664,126.765,125.047
"14","6","Federal","B823RA3",25.544,25.597,25.611,24.718,25.559,27.116,27.669,29.169,29.756,30.874,30.534,29.021,27.64,28.254,27.251,30.451,36.413,44.208,51.849,56.15,58.6,60.92,62.487,63.469,65.942,68.018,66.162,65.201,61.731,58.425,55.519,54.873,53.552,52.337,52.889,50.91,50.53,51.855,50.911,52.735,53.672,52.858,53.05,53.793,51.864,53.53,53.321,54.566,53.666,54.95,56.085,55.268,52.782,52.58,54.212,54.41,54.339,54.847,56.387,57.381,59.488,59.733,61.53,61.199,59.714,59.161,62.445,60.783,60.473,60.07,59.598,58.76,58.02,58.132,60.48,62.158,63.579,65.262,67.904,68.469,73.163,72.103,73.249,73.097,74.368,73.771,73.136,72.689,72.285,71.132,71.182,69.277,67.908,65.781,64.808,64.455,61.946,61.053,60.796,58.915,59.155,60.101,56.86,56.673,57.611,56.718,54.311,54.354,56.066,55.977,56.258,56.671,56.034,55.584,56.97,57.115,56.588,56.466,56.306,56.45,56.919,57.857,58.191,57.621,57.823,59.202,59.411,59.932,60.013,60.755,60.661,60.647,62.588,64.162,63.297,63.511,64.826,66.761,66.689,67.403,67.508,68.12,69.141,71.185,72.042,73.574,75.639,72.99,73.614,75.924,75.634,78.144,78.977,80.904,83.617,83.585,83.141,85.792,89.039,87.657,88.179,89.403,89.498,90.829,88.361,87.461,86.806,89.413,87.583,89.554,90.416,89.962,91.312,91.421,90.605,91.401,92.11,92.371,90.65,88.871,88.899,88.81,89.824,89.87,87.106,85.876,84.97,85.415,82.358,81.893,84.14,81.83,81.63,81.307,80.754,77.722,79.341,80.472,79.053,78.825,77.764,79.142,78.884,78.776,76.319,78.419,77.767,78.529,78.01,78.009,79.646,81.416,78.194,81.324,79.747,79.379,81.069,82.805,83.361,84.368,86.376,88.372,89.772,91.289,91.315,95.718,95.812,96.511,97.749,98.304,100.01,98.778,99.19,99.286,101.608,99.915,102.763,101.887,101.792,102.066,100.738,102.558,104.871,105.57,107.654,109.698,113.152,114.946,113.693,116.801,119.057,119.08
"15","7","    Consumption expenditures","B957RA3",31.197,31.291,31.288,29.83,29.607,31.765,32.608,33.677,34.114,34.981,33.513,31.683,31.598,32.109,29.922,34.462,39.548,46.323,53.046,54.249,58.384,61.398,63.019,63.979,65.893,67.424,65.718,66.552,61.775,58.516,57.4,57.178,56.104,53.892,56.451,54.838,53.748,55.544,52.651,55.523,57.485,57.06,56.691,57.999,55.084,57.316,55.561,56.842,53.447,56.025,57.288,57.107,54.141,54.52,55.745,56.195,54.286,55.629,56.883,57.905,59.972,60.793,62.611,62.654,62.118,61.685,64.694,63.943,63.36,63.38,62.713,61.401,61.196,61.788,64.346,66.785,67.085,70.304,72.042,72.563,78.315,78.242,78.453,79.056,81.653,81.3,80.866,81.07,79.304,80.116,79.576,78.798,75.917,73.765,72.913,72.126,71.289,70.526,69.549,68.639,69.492,69.632,67.002,66.012,65.715,65.117,63.057,62.843,64.253,63.187,63.467,63.607,62.996,63.345,63.068,63.009,62.448,62.833,61.893,62.131,62.568,63.559,64.126,63.963,64.199,65.082,64.997,65.063,65.737,66.564,64.967,65.71,67.286,69.637,68.788,68.586,70.307,72.031,71.724,72.429,73.066,72.615,74.431,76.151,76.765,78.054,79.974,75.935,76.356,78.97,79.014,80.34,81.465,82.551,84.604,84.758,84.575,86.967,88.753,87.547,88.404,88.636,88.184,90.537,89.072,87.916,87.126,90.332,88.048,90.387,90.439,90.729,91.64,91.392,90.43,91.528,93.104,92.576,90.856,89.253,89.027,88.737,89.838,90.12,87.667,86.419,85.93,86.311,84.414,83.565,85.263,83.32,82.796,82.598,82.395,78.928,79.82,80.979,79.699,80.491,79.656,81.184,80.123,80.4,77.52,79.487,78.124,79.515,79.152,78.217,79.801,81.624,78.705,82.464,80.484,80.319,82.324,83.848,84.33,85.311,87.336,88.929,89.986,91.93,92.026,96.506,96.379,97.058,98.547,98.827,100.235,99.094,99.754,99.425,101.426,99.394,102.313,100.957,101.292,101.024,99.804,101.119,103.511,104.322,106.25,107.351,110.659,111.933,111.206,113.899,115.958,116.66
"16","8","    Gross investment","B787RA3",7.626,7.563,7.669,8.458,12.273,12.053,11.777,14.325,15.27,17.006,19.931,19.439,14.423,15.29,17.728,16.979,24.856,34.845,44.352,56.527,54.252,54.507,55.77,56.726,60.517,63.919,61.82,55.994,56.466,53.293,45.604,43.814,41.882,43.647,38.335,35.484,37.193,37.109,41.693,40.458,38.468,36.639,38.343,37.472,38.443,38.358,42.569,43.586,49.717,47.247,47.915,45.426,44.486,42.703,45.322,44.783,49.897,47.992,50.201,51.032,53.083,51.676,53.268,51.909,47.843,46.992,50.776,46.617,47.117,45.505,45.653,46.3,44.023,42.683,44.221,43.406,48.222,44.991,50.247,50.909,51.97,47.891,51.906,49.384,46.337,44.997,43.746,41.194,45.213,37.819,39.765,34.28,37.94,36.008,34.683,35.735,27.88,26.593,28.766,23.762,22.003,25.314,20.612,22.858,27.434,25.725,22.476,23.299,25.794,28.76,29.008,30.261,29.589,26.591,33.295,34.093,33.695,31.92,34.3,34.126,34.683,35.392,34.945,33.052,33.129,36.058,37.228,39.24,37.321,37.742,42.716,40.124,43.258,42.056,41.181,42.858,42.656,45.267,46.037,46.758,44.95,49.35,47.482,50.594,52.281,54.633,57.162,59.714,61.125,62.234,60.675,67.683,67.332,72.533,77.808,76.997,75.464,79.129,88.432,86.328,85.406,90.942,93.468,90.236,83.34,83.621,83.599,83.454,83.705,83.96,88.485,84.656,87.988,89.728,89.599,88.979,85.613,89.582,87.889,85.31,86.561,87.456,88.021,86.917,82.684,81.566,78.638,79.392,70.683,72.128,77.031,72.959,74.349,73.413,71.153,70.361,75.605,76.599,74.497,68.982,66.725,67.277,71.271,69.096,68.955,71.751,74.977,72.297,70.918,76.049,77.963,79.433,74.563,74.105,74.853,73.314,73.152,76.11,77.084,78.23,80.12,84.596,88.114,86.959,86.542,90.434,91.964,92.787,92.354,94.754,98.452,96.596,95.299,98.315,102.86,103.527,105.875,108.431,105.276,109.41,107.319,112.805,114.534,114.398,117.6,126.61,131.123,136.747,131.612,137.79,141.501,136.432
"17","9","      Structures","B801RA3",4.048,30.434,48.123,65.76,71.764,74.563,79.437,73.483,81.335,87.124,118.433,123.163,106.727,121.314,118.912,133.223,161.018,198.528,218.809,240.458,260.792,271.938,285.021,286.459,297.144,282.617,265.741,257.011,260.461,235.72,226.159,215.228,193.422,183.166,167.023,158.513,157.658,173.929,194.876,194.682,193.603,189.417,197.202,190.968,214.313,213.703,225.079,242.856,237.564,236.952,220.125,197.884,200.402,211.494,222.676,234.315,255.601,232.794,223.754,230.823,225.343,235.608,212.713,225.869,211.737,219.367,243.438,183.352,204.123,200.471,201.751,207.713,194.877,201.718,206.105,211.15,218.115,208.957,202.987,193.106,176.691,155.497,167.302,163.078,158.647,150.966,149.958,153.678,145.793,147.317,145.241,134.781,126.622,130.613,135.181,138.082,144.315,150.305,164.195,159.601,155.127,153.009,149.609,146.164,156.998,151.509,158.684,159.214,148.785,159.743,140.185,146.411,149.79,145.805,151.861,155.663,155.981,151.954,146.38,149.439,151.802,157.352,159.095,151.046,154.559,175.71,184.073,173.276,154.944,154.4,162.15,153.274,165.303,164.674,170.86,158.942,163.782,164.952,153.088,162.43,152.914,145.675,146.493,149.801,154.477,154.869,161.684,155.118,152.511,159.467,156.89,160.304,160.558,173.039,183.997,177.766,186.986,185.733,190.549,184.465,197.768,207.778,205.443,204.883,170.968,176.381,167.079,157.237,147.805,145.263,149.723,150.584,158.398,157.016,156.431,138.611,133.448,146.576,141.935,160.822,162.759,163.819,150.464,169.526,168.669,163.097,171.273,165.909,149.113,148.151,155.345,170.881,172.742,162.352,165.633,155.114,163.436,169.728,160.841,145.95,147.237,144.519,152.112,128.072,144.721,144.907,149.361,136.127,140.86,135.519,131.653,130.208,116.131,111.062,110.989,100.499,99.173,103.515,104.213,109.511,115.141,117.346,121.323,123.233,126.88,131.122,133.625,126.485,120.999,118.029,114.294,97.469,100.52,93.638,101.298,104.544,97.745,102.749,100.412,113.731,113.107,122.426,123.577,122.043,119.108,125.729,136.339,149.567,152.558,157.967,172.782,159.489
"18","10","      Equipment and software","B872RA3",6.776,5.398,4.591,4.387,7.571,7.192,6.646,9.363,9.803,11.113,12.158,11.471,7.698,7.75,10.076,8.693,14.402,21.591,29.282,39.399,36.21,35.855,36.32,37.128,40.065,44.059,43.035,38.057,38.304,36.706,30.097,29.029,28.401,30.568,26.528,24.351,25.954,25.045,28.164,27.038,25.269,23.81,24.971,24.493,24.18,24.129,27.406,27.414,33.311,31.079,32.539,31.389,30.404,28.226,30.05,28.97,32.561,31.972,34.427,34.827,36.965,35.169,37.766,35.87,32.884,31.729,33.963,33.189,32.605,31.323,31.394,31.685,30.264,28.682,29.863,28.846,32.904,30.402,35.588,36.732,38.6,35.968,39.051,36.942,34.353,33.533,32.423,29.833,34.047,27.012,28.968,24.42,28.345,26.291,24.766,25.566,17.769,16.203,17.466,13.018,11.639,14.674,10.731,12.925,16.486,15.223,11.839,12.557,15.467,17.585,18.998,19.81,18.958,16.318,22.458,22.985,22.565,21.099,23.739,23.374,23.769,24.101,23.559,22.245,22.093,23.569,24.158,26.8,26.138,26.589,30.965,29.021,31.287,30.135,28.812,31.371,30.802,33.334,34.974,35.01,33.893,38.839,36.903,39.781,41.131,43.457,45.493,48.531,50.146,50.744,49.371,56.177,55.806,60.108,64.604,64.26,61.938,65.784,74.916,73.27,71.189,76.061,78.907,75.582,71.457,71.253,72.088,72.865,74.031,74.544,78.887,74.756,77.511,79.489,79.41,80.504,77.455,80.365,79.034,74.421,75.555,76.399,78.335,75.25,70.841,70.218,66.274,67.625,60.066,61.705,66.193,60.237,61.525,61.607,58.838,59.102,63.851,64.248,62.947,58.611,56.006,56.907,60.394,60.798,58.698,61.757,64.785,63.421,61.309,67.646,70.248,72.065,68.422,68.564,69.417,69.07,69.072,71.826,72.834,73.397,74.75,79.519,82.953,81.366,80.367,84.192,85.567,87.55,87.858,91.055,95.895,96.406,94.438,99.078,103.122,103.363,107.292,109.425,106.125,108.605,106.238,111.009,112.841,112.967,117.335,126.802,130.156,134.326,127.609,133.942,135.522,132.016
"19","11","  National defense","B824RA3",31.436,29.376,30.894,31.105,31.023,30.767,30.306,31.82,32.659,33.252,33.158,31.069,29.815,30.075,32.052,36.49,46.253,57.332,69.12,75.329,77.918,82.119,84.015,85.514,88.146,88.851,87.687,86,80.234,76.861,72.895,70.391,70.015,67.475,68.187,65.896,65.645,67.397,67.18,69.335,69.727,70.307,70.885,70.028,69.252,69.937,69.907,70.429,68.471,67.637,69.36,68.473,67.262,66.276,68.396,67.605,69.396,68.962,70.943,72.173,74.862,74.047,75.231,74.353,72.589,71.841,74.401,72.52,71.463,70.08,69.847,68.412,66.894,66.584,68.92,71.525,74.143,75.702,80.666,82.713,87.664,87.721,89.921,88.963,91.161,91.079,89.282,88.483,87.542,85.578,85.448,83.658,81.434,77.587,76.38,75.8,72.237,69.47,68.079,66.136,65.182,66.208,61.528,61.434,62.627,61.504,57.856,58.257,59.601,60.56,59.117,59.101,58.647,57.741,59.928,59.805,58.981,58.94,58.813,58.578,59.235,60.138,60.167,58.505,58.876,60.203,60.365,60.633,60.931,62.156,61.972,62.32,64.154,64.308,64.427,65.275,66.514,68.523,69.108,70.367,71.161,73.141,74.413,76.541,76.996,78.776,79.314,81.355,81.609,82.477,82.148,85.65,86.242,88.731,92.308,92.727,92,95.469,99.187,96.41,97.831,100.183,101.665,101.522,100.432,99.576,98.608,100.687,97.426,99.502,100.711,99.703,99.921,99.639,97.934,99.725,100.593,100.318,97.631,94.314,92.843,92.91,94.185,93.464,89.785,88.463,87.26,88.097,83.683,83.726,86.484,82.395,82.174,82.028,81.047,78.495,80.026,81.117,79.396,78.886,76.352,78.151,77.772,78.199,73.543,76.359,77.308,76.7,75.772,75.81,78.056,79.904,75.179,78.647,77.03,77.09,78.447,79.544,80.267,81.374,83.128,85.041,86.482,88.476,87.785,95.191,94.066,95.929,97.359,97.871,100.708,98.201,99.068,99.826,102.492,98.614,101.115,101.384,100.892,102.963,100.952,103.059,105.546,105.668,107.76,109.597,114.668,115.732,114.219,118.014,120.419,119.36
"20","12","    Consumption expenditures","B997RA3",40.066,37.39,38.05,38.023,37,36.355,36.012,37.349,37.465,37.33,37.008,35.024,35.139,35.492,37.151,42.311,51.073,60.6,70.54,73.179,77.403,82.58,84.284,85.845,86.805,86.065,85.549,86.543,78.268,76.064,74.384,71.846,72.254,67.729,71.156,69.848,68.738,71.445,69.006,72.486,74.052,75.889,75.81,75.07,73.98,74.769,72.628,72.806,66.796,67.126,68.872,69.076,68.104,68.154,69.638,69.245,69.126,69.378,70.992,72.465,74.946,74.884,75.79,75.758,75.499,75.246,77.072,76.854,75.476,74.361,74.357,72.531,71.751,72.427,74.785,78.781,80.005,83.401,87.214,89.143,94.478,96.033,96.967,96.957,100.917,101.234,99.278,99.425,96.214,97.143,95.853,95.936,91.237,87.354,86.387,85.218,84.215,81.428,78.859,78.484,78.232,78.009,74.174,72.863,72.459,71.698,68.517,68.646,68.995,69.487,67.026,66.758,66.599,66.569,66.304,66.033,65.197,66.216,64.897,64.646,65.152,66.208,66.847,65.413,66.165,66.928,67.106,66.277,67.227,68.623,66.493,67.489,69.149,69.918,70.563,70.748,72.536,73.888,74.323,75.574,77.021,77.765,79.992,81.41,81.993,83.244,83.189,84.596,84.657,85.485,85.575,87.471,88.601,89.564,92.462,93.193,92.935,95.743,97.045,94.733,96.86,98.311,99.2,100.179,100.501,99.382,98.355,100.818,96.962,99.679,99.701,99.843,99.642,98.713,96.519,98.646,101.047,99.946,97.366,94.759,92.771,92.424,93.796,93.763,90.916,89.414,88.684,89.063,85.793,85.135,87.202,83.989,83.528,83.297,82.954,80.05,80.922,82.161,80.748,81.347,79.212,81.218,79.668,80.19,75.843,78.594,78.671,78.634,78.21,77.287,79.31,81.857,76.407,80.486,78.36,78.529,80.282,80.872,81.428,82.601,84.633,85.772,86.719,89.262,88.456,96.38,94.719,96.552,98.203,98.485,100.79,98.265,99.548,99.751,102.339,98.362,100.843,100.214,100.367,101.869,99.958,101.436,104.084,104.248,105.927,106.525,111.499,112.401,111.005,114.258,116.468,116.198
"21","13","    Gross investment","B788RA3",4.413,4.308,8.599,9.532,12.259,13.178,12.386,14.349,17.284,20.032,20.649,18.327,13.041,13.041,15.891,18.054,30.148,45.016,61.246,76.839,74.749,76.005,78.266,79.502,86.631,91.354,88.459,79.288,81.072,74.511,64.204,61.922,59.283,62.758,55.354,50.313,52.637,51.561,57.739,55.994,53.012,49.977,52.357,51.22,51.391,51.712,57.819,59.252,68.948,64.787,66.297,62.394,60.597,56.744,60.536,58.639,65.809,63.417,66.319,66.78,69.909,66.968,68.88,65.621,59.594,57.436,61.966,55.277,55.237,53.119,52.207,52.062,48.358,45.019,47.158,45.206,52.157,47.762,56.169,58.515,62.028,57.245,63.488,59.471,55.758,54.353,53.136,49.145,55.818,44.315,48.062,39.959,46.203,42.561,40.546,41.903,29.674,27.042,29.813,22.537,19.282,23.876,17.445,20.881,26.533,24.475,19.859,21.003,25.21,27.478,29.322,30.102,28.725,25.043,35.148,35.511,34.733,31.228,34.948,34.776,35.895,36.249,34.302,32.008,31.105,34.174,34.265,38.109,36.207,36.788,43.122,41.263,43.65,41.669,39.947,43.133,42.306,46.599,47.694,48.936,47.328,53.72,51.498,56.108,56.056,59.699,62.393,66.701,67.709,68.725,66.774,76.451,74.886,83.424,89.647,88.715,85.981,92.159,106.128,101.409,99.722,106.114,110.302,105.003,97.399,97.803,97.144,97.375,97,95.986,102.755,96.346,98.528,101.338,102.024,102.156,95.601,99.352,96.224,89.497,90.627,92.768,93.507,89.339,81.631,81.238,77.721,80.831,70.851,74.379,80.464,72.165,73.123,73.399,69.306,68.607,73.381,73.749,70.507,64.253,59.655,60.305,66.1,66.016,59.804,62.927,68.576,64.903,61.253,66.495,69.92,67.918,67.282,67.279,68.56,67.994,67.048,71.062,72.745,73.439,73.485,80.149,84.629,83.206,83.268,87.325,89.681,91.733,91.684,93.724,100.116,97.726,95.764,100.344,103.543,100.348,102.97,109.641,104.551,110.675,107.966,114.652,115.949,115.744,120.844,131.867,137.614,139.865,137.493,145.286,149.128,142.177
"22","14","      Structures","B808RA3",-6.385,18.234,44.624,67.378,72.6,69.675,73.148,61.323,72.405,61.384,63.432,76.072,66.48,68.011,83.394,134.617,219.236,318.579,377.919,426.325,467.734,520.565,563.451,568.265,588.42,555.734,518.283,493.11,516.006,450.877,429.263,423.696,384.223,368.402,334.424,312.448,300.762,317.428,341.763,345.008,341.71,326.539,338.098,328.27,350.352,347.649,375.622,414.679,398.732,385.299,353.245,300.794,297.591,301.719,329.491,342.102,380.949,348.183,310.193,313.389,304.734,309.175,248.538,256.204,237.79,242.419,298.534,136.789,183.101,166.271,176.668,175.813,146.419,151.319,164.344,161.829,167.168,161.138,171.226,156.742,161.172,138.99,156.08,146.96,143.756,131.988,151.372,161.625,155.265,163.407,164.505,149.3,130.644,126.074,131.311,131.711,147.012,155.302,176.758,175.278,152.691,147.961,147.219,142.28,138.994,141.821,149.156,150.221,143.175,144.44,124.267,118.889,122.406,121.954,136.734,134.97,133.114,107.935,102.87,112.406,125.747,126.424,106.804,102.11,103.348,129.603,117.674,116.307,99.201,96.328,102.063,99.002,113.43,113.211,128.485,107.174,104.274,117.673,98.061,120.752,124.123,121.058,129.701,144.769,154.103,153.897,152.861,156.215,144.58,147.219,153.243,153.117,159.595,188.297,192.274,190.828,192.355,196.678,212.025,193.316,205.973,212.388,212.095,225.618,200.204,217.282,188.059,186.053,167.717,157.001,159.657,151.973,154.481,153.851,154.441,128.693,114.278,113.432,103.368,105.63,121.353,127.181,110.558,123.037,110.879,114.396,124.223,116.619,110.28,120.484,130.733,123.656,140.055,132.87,135.91,131.447,129.132,128.418,120.035,116.485,114.458,114.754,122.966,113.95,107.854,113.153,114.717,96.785,102.558,99.939,94.515,86.881,88.019,89.916,99.203,91.451,83.825,92.146,85.374,88.805,86.789,91.851,97.928,97.675,108.731,111.883,118.399,115.068,111.173,103.821,106.89,97.096,104.1,98.541,102.966,94.393,95.41,100.068,96.56,107.848,113.218,128.339,122.949,126.274,132.153,139.009,149.119,170.56,177.604,186.485,213.769,187.602
