"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"1","[Dollars]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 29, 2010  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2010 1:18:09 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8",NA,"Current dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","  Gross domestic product","A939RC0",850,740,616,470,449,522,576,653,712,663,703,768,950,1201,1452,1588,1594,1572,1694,1835,1791,1937,2199,2283,2377,2342,2509,2600,2692,2683,2860,2912,2965,3139,3263,3458,3700,4007,4188,4532,4856,5063,5425,5897,6522,7010,7583,8366,9216,10303,11382,12243,13594,14009,15084,16629,17683,18531,19504,20813,22160,23185,23635,24686,25616,26893,27813,29062,30526,31843,33486,35237,36049,36935,38310,40435,42664,44805,46611,47375,46372
"10","2","  Gross national product","A791RC0",856,746,620,473,451,524,578,656,715,666,706,770,953,1204,1455,1590,1596,1576,1701,1845,1800,1946,2211,2295,2389,2355,2524,2617,2710,2698,2876,2930,2984,3161,3287,3483,3727,4032,4215,4563,4886,5094,5462,5938,6582,7083,7643,8444,9308,10400,11524,12394,13738,14166,15242,16782,17794,18604,19576,20908,22265,23323,23753,24799,25736,26985,27924,29180,30612,31905,33585,35370,36231,37106,38546,40746,42992,45047,46994,47841,NA
"11","3","  Personal income","A792RC0",697,618,525,399,372,424,474,535,574,526,556,594,720,915,1112,1199,1227,1263,1324,1430,1387,1509,1672,1753,1828,1812,1912,2018,2093,2119,2215,2275,2334,2446,2533,2680,2858,3071,3261,3545,3839,4089,4348,4729,5240,5716,6180,6762,7411,8250,9149,10107,11227,11915,12598,13828,14661,15356,16160,17266,18422,19373,19846,20813,21393,22299,23260,24439,25648,27251,28321,30308,31133,31444,32244,33857,35398,37679,39381,40149,39261
"12","4","  Disposable personal income","A229RC0",683,605,517,393,366,417,465,525,559,512,545,581,703,879,990,1072,1088,1142,1187,1299,1275,1384,1496,1550,1620,1627,1713,1800,1866,1897,1976,2020,2077,2170,2245,2408,2562,2733,2894,3112,3324,3586,3859,4140,4615,5010,5497,5972,6514,7220,7956,8794,9726,10390,11095,12232,12911,13540,14146,15206,16134,17004,17532,18436,18909,19678,20470,21355,22255,23534,24356,25944,26805,27799,28805,30287,31318,33157,34445,35450,35659
"13","5","  Personal consumption expenditures","A794RC0",635,569,489,390,366,407,439,485,518,494,513,540,608,660,731,785,857,1021,1124,1194,1196,1267,1352,1399,1461,1478,1566,1615,1675,1701,1794,1836,1862,1947,2022,2144,2284,2446,2555,2780,2985,3161,3378,3669,4020,4362,4786,5279,5801,6413,7069,7710,8432,8938,9766,10580,11394,12036,12753,13670,14530,15331,15699,16491,17226,18033,18708,19553,20408,21432,22707,24185,25054,25819,26832,28228,29771,31174,32535,33231,32823
"14","6","    Goods","AGDSRC0",359,310,255,193,189,225,248,281,298,277,289,308,356,378,412,437,483,610,690,733,724,770,809,821,845,836,892,904,932,928,974,979,973,1013,1047,1106,1182,1270,1303,1418,1503,1554,1647,1781,1966,2111,2275,2505,2725,2981,3278,3512,3780,3873,4156,4500,4770,4968,5173,5457,5755,5961,5906,6085,6310,6629,6810,7110,7352,7641,8198,8707,8881,9058,9378,9854,10377,10773,11141,11164,10595
"15","7","      Durable goods","A795RC0",81,62,48,32,30,36,43,53,57,47,55,63,77,57,55,56,65,121,151,167,178,214,206,199,217,208,247,239,245,227,253,252,241,265,286,310,342,365,372,423,446,439,493,555,616,609,658,773,871,958,1005,994,1061,1090,1259,1447,1595,1751,1820,1939,1998,1987,1882,1978,2119,2305,2385,2507,2621,2825,3069,3243,3317,3443,3489,3617,3732,3789,3842,3593,3364
"16","8","      Nondurable goods","A796RC0",278,248,208,161,159,189,205,228,240,230,235,245,279,322,357,381,418,489,538,566,546,556,603,621,628,628,645,666,686,701,721,727,733,748,760,796,840,905,931,995,1057,1116,1154,1226,1350,1502,1617,1732,1854,2022,2273,2518,2719,2783,2897,3052,3175,3217,3353,3519,3757,3974,4024,4107,4191,4325,4426,4603,4731,4816,5129,5465,5564,5615,5888,6237,6645,6984,7299,7571,7231
"17","9","    Services","A797RC0",276,260,233,197,177,182,191,204,221,217,223,232,252,282,319,348,374,411,434,461,472,497,543,578,616,642,674,710,743,773,819,856,889,934,975,1038,1102,1176,1252,1362,1482,1607,1731,1888,2054,2251,2512,2774,3075,3432,3790,4198,4653,5065,5611,6080,6625,7068,7580,8213,8774,9370,9792,10406,10916,11403,11898,12443,13056,13791,14509,15478,16173,16760,17455,18374,19394,20401,21394,22067,22229
