"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2010    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2010 9:09:29 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","Gross domestic product","A191RX1",977,892.8,834.9,725.8,716.4,794.4,865,977.9,1028,992.6,1072.8,1166.9,1366.1,1618.2,1883.1,2035.2,2012.4,1792.2,1776.1,1854.2,1844.7,2006,2161.1,2243.9,2347.2,2332.4,2500.3,2549.7,2601.1,2577.6,2762.5,2830.9,2896.9,3072.4,3206.7,3392.3,3610.1,3845.3,3942.5,4133.4,4261.8,4269.9,4413.3,4647.7,4917,4889.9,4879.5,5141.3,5377.7,5677.6,5855,5839,5987.2,5870.9,6136.2,6577.1,6849.3,7086.5,7313.3,7613.9,7885.9,8033.9,8015.1,8287.1,8523.4,8870.7,9093.7,9433.9,9854.3,10283.5,10779.8,11226,11347.2,11553,11840.7,12263.8,12638.4,12976.2,13254.1,13312.2,12987.4
"9","2","Less: Exports of goods and services","A020RX1",38,31.4,26.1,20.4,20.6,22.8,24.1,25.3,31.9,31.5,33.3,37.9,38.8,25.6,21.6,23.2,32.5,70.3,80.1,63.1,62.5,54.7,67.1,64.2,59.9,62.8,69.5,80.9,88,76.1,83.9,98.5,99,104,111.5,124.6,128.1,137,140.1,151.1,158.4,175.5,178.4,191.8,228,246,244.5,255.1,261.3,288.8,317.5,351.7,356,328.8,320.3,346.4,357,384.4,425.7,493.9,550.6,600.2,640,684,706.4,768,845.7,916,1025.1,1048.5,1094.3,1188.3,1121.6,1099.2,1116.8,1222.8,1305.1,1422,1546.1,1629.3,1472.4
"10","3","Plus: Imports of goods and services","A021RX1",49.1,42.7,37.3,30.9,32.2,32.9,43.1,42.6,48,37.3,39.2,40.1,49.3,44.8,56.5,59.1,62.8,52.1,49.4,57.7,55.6,65.8,68.4,74.4,81.4,77.4,86.7,93.7,97.6,102.3,113,114.5,113.8,126.7,130.1,137,151.6,174.1,186.8,214.7,226.9,236.6,249.2,277.2,290.1,283.5,252,301.3,334.2,363.2,369.2,344.7,353.8,349.3,393.4,489.1,520.9,565.4,598.9,622.4,649.8,673,672,719.2,781.4,874.6,944.5,1026.7,1165,1301.1,1450.9,1639.9,1593.8,1648,1720.7,1910.8,2027.8,2151.2,2193.8,2123.5,1828
