"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","Less: Income payments to the rest of the world","A655RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,0.9,0.9,0.9,1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.9,1.8,1.8,1.9,1.9,1.9,2,2.1,2.2,2.2,2.3,2.3,2.4,2.5,2.6,2.6,2.7,2.8,2.9,3.1,3.2,3.2,3.2,3.2,3.4,3.7,4,4.1,4.2,4.8,5.4,6.1,6.4,6.6,6.5,6.4,6.2,5.9,6.1,6.7,7,7,7.6,7.8,8.5,9.6,10.8,11.4,11.9,12.6,13.9,15.2,15.5,15.5,14.9,15.1,14.6,15.6,15.6,15.4,15.4,15,16.2,17.2,19.2,20.4,23.8,25.3,29.1,31.9,34.7,37.3,41.6,45.6,43.8,40.5,49.8,54.3,59.7,63.2,59.1,62.3,66.3,66.4,62.9,59.8,62.1,67.4,70,77.8,85.7,89.9,88.9,86,85.6,85.6,86.4,92.6,95.4,90.4,95.1,97.8,102.4,107.4,113,119.6,122.7,131.9,138.9,147.3,156.2,152.7,148.9,153.2,153.1,157.8,152.2,148.7,140.8,137.8,125.6,123.9,126.5,121.5,118.7,115,123.8,120.5,136.8,136.7,151.2,168.6,183.6,189.2,196.6,208.8,203.8,201.5,208.7,218.6,227.8,246.5,251.6,262.3,263.8,263.9,269.9,271.9,269.9,270.4,281.1,303.6,311.6,330.5,349.6,346.8,344,317.8,286,281.1,199.6,246.7,278.9,280.5,251.6,279.5,277.1,289.1,292.8,307.6,348.6,359.5,413.8,428.7,455.1,475.3,544.5,578.5,640.9,679.7,695.5,724,776,759.1,725.1,685.3,711.6,664.8,607.4,479.7,478.6,469.1,510.5
"12","4","Equals: Gross national product","A001RC1",238.1,241.5,245.6,255.6,261.7,268.7,275.3,276.6,271.3,267.5,268.9,266.3,276.4,285.8,303.5,314.9,330.5,338.5,345.5,350.1,353.2,354.2,360.5,373.3,380.3,384,382.9,377.7,377.2,378,382.8,391.8,405,413.3,421.9,428.5,431.1,437,442.1,450.6,460.3,462.5,469.6,464,456.6,460.7,474.3,487.6,498.1,511.1,512.1,516.3,529.9,529.2,532.1,527,531.5,542.4,553,566.2,579.7,587.2,594.1,598.1,607,615.5,628.4,638.1,654.7,663.7,675.5,680.3,701.1,713.8,730.4,752.2,775.8,785,798.1,812.2,823,827.4,842.7,858.3,885.6,910.1,925.5,942.5,967.2,982.3,1002.3,1010.5,1023.4,1039.7,1057.1,1058.7,1105.5,1126.7,1146.3,1159.1,1198.3,1233.7,1258.2,1295.6,1345.8,1383.1,1404.6,1446.1,1463.6,1501.2,1528.9,1566.1,1580.8,1616.6,1675.4,1729.9,1787.7,1820.9,1854.8,1902.4,1959.3,2026,2086.9,2129.6,2171.2,2293.5,2356.1,2440.6,2489,2555.9,2635.8,2695.9,2762.1,2763.8,2819.6,2943.8,3082.8,3114.3,3209.7,3232.3,3220.9,3281.9,3309.4,3346.6,3415,3519,3625,3727.8,3844.4,3943.8,4013.3,4067.2,4143.5,4204.3,4282.5,4345.8,4406,4439.7,4509.8,4555.3,4625.2,4705.2,4782.5,4903.1,4974,5082.6,5163.9,5274.7,5383.9,5476.6,5558.4,5613.4,5738.3,5828.5,5877.2,5895.8,5918.1,5988.9,6057.2,6123.8,6221.4,6325.5,6416.8,6522.1,6581.1,6653,6724.8,6835.2,6944.6,7068.7,7153.8,7269.8,7339.2,7390.3,7473.1,7574.6,7676.6,7829.9,7919.3,8054.7,8160.1,8307.7,8433.1,8522.3,8626,8721.4,8856.8,9039,9171.4,9280.5,9430.1,9643.2,9740.5,9983.5,10048,10184.9,10206.2,10350.9,10332.2,10463.1,10549.7,10634.7,10749.1,10832.2,10940.2,11073.6,11321.2,11508.3,11707.8,11864.2,12047.3,12216.6,12486.3,12613,12848.7,12994.1,13264,13423.3,13514.8,13683.2,13859.5,14073.3,14318.3,14522.2,14544.9,14626.6,14707.5,14454.3,14277.9,14243.8,14363.7,14559.5
"13","5","Less: Consumption of fixed capital","A262RC1",25.6,26.3,27.1,27.6,27.9,28.3,28.7,28.9,29.2,29.2,29.1,29.2,29.1,29.4,30.1,31.2,32.5,33.5,34.3,34.9,35.4,35.9,36.6,37.2,37.9,38.5,38.9,39.3,39.8,40.4,40.8,41.4,41.7,42.2,43.1,44.2,45.5,46.6,47.7,48.6,49.6,50.5,51.3,51.9,52.3,52.9,53.6,54.2,54.8,55.3,55.6,55.9,56.2,56.4,56.7,57.1,57.5,57.9,58.4,58.9,59.6,60.1,60.9,61.7,62.3,63,63.7,64.4,65.1,65.9,66.8,67.7,68.8,70.1,71.3,72.7,74.1,75.7,77.2,78.8,80.4,82,83.8,85.6,87.5,89.4,91.3,93.5,95.6,98,100.3,102.9,105.6,107.8,109.4,110.5,113.8,116.7,119.2,121.3,123.5,125.6,128.2,131.3,134.6,138.4,142.7,147.4,153.1,159.7,167.2,174.7,182.1,188.1,193.4,197.9,201.4,205.5,210.2,215.6,222.1,228.4,234.8,241.8,249.2,257,265.4,274,283.3,293.4,304,314.8,326,337.9,349.9,362.5,375.3,387.7,399.5,410.9,422.1,431.3,438.2,442.6,445.1,448.4,453,457.9,464,470.6,477.5,485.2,493.3,501.1,509.5,517.9,525.9,534.5,542.7,550.7,558.4,566.2,575.1,584.6,595.5,605.9,616.2,626.5,636.4,646.4,656.5,666.6,676.8,686.6,696.1,705.3,713.8,721.3,728.3,734.1,738.7,743.2,746.3,749.2,762,773.3,783.6,793.2,802.2,812.7,824.3,837.5,851.4,864.1,875.7,886.7,896.2,906.3,917.7,929.9,943.5,957.1,970.3,984.3,997.3,1011.9,1027.9,1045,1063.2,1083.2,1104.2,1127.1,1151.6,1174.4,1195.8,1215.4,1233.5,1250,1264.4,1277.1,1288.3,1299.5,1310.5,1321.7,1333.2,1345.9,1360.4,1376.8,1396.7,1419.5,1444.4,1470.4,1495.7,1524.2,1556,1589.6,1618,1648.2,1675.2,1701.3,1726.7,1749.4,1771.2,1792.8,1813.6,1835.6,1858.2,1881,1883.6,1864,1850.7,1857.7
"14","6","        Private","A024RC1",14.6,15.7,16.6,17.4,18,18.6,19.1,19.6,20,20.4,20.7,21,21.2,21.6,22.2,23.1,24.1,24.9,25.6,26,26.3,26.6,26.9,27.3,27.7,28,28.4,28.7,29,29.3,29.6,29.9,30.2,30.7,31.3,32.1,33,34,34.8,35.6,36.3,37,37.6,38.2,38.7,39.2,39.6,40.1,40.5,40.9,41.1,41.3,41.4,41.5,41.6,41.9,42.2,42.5,42.8,43.1,43.5,43.9,44.3,44.7,45.1,45.6,46.1,46.7,47.2,47.9,48.6,49.4,50.3,51.3,52.3,53.5,54.7,55.9,57.1,58.3,59.6,60.9,62.2,63.6,65.1,66.6,68.2,69.8,71.6,73.4,75.4,77.5,79.8,81.4,82.5,83.1,86,88.5,90.8,92.8,94.5,96.4,98.7,101.3,104.1,107.4,111.1,115.2,119.8,124.8,130.4,136.4,143,148.6,153.3,157,159.7,163.2,167.3,172,177.5,183.1,189,195,201.3,208.1,215.3,223.1,231.3,239.9,248.7,257.9,267.4,277.1,287.2,297.5,308.1,318.4,328.4,338,347.3,354.7,360.1,363.6,365.2,367.6,370.7,374.6,379.3,384.4,390,396.2,402.8,409.4,416.1,422.8,429.6,436.1,442.3,448.3,454,460.5,467.7,475.7,484.4,493,501.4,509.6,517.6,525.6,533.6,541.6,549.5,557,564.2,571,577.4,583.2,588.3,592.8,596.6,599.4,601.3,602.3,612.7,622.3,631.2,639.4,646.8,655.4,665.3,676.3,688.6,699.9,710.3,719.8,728.3,737.8,748.1,759.3,771.4,783.5,795.8,808.1,820.6,834,848.3,863.5,879.6,897.1,916,936.2,957.7,978,997,1014.7,1031.2,1045.9,1059,1070.3,1079.8,1089.4,1098.8,1108.1,1117.4,1128.6,1141.5,1156.2,1172.8,1190.7,1209.8,1230.2,1251.9,1276.1,1302.9,1332.3,1357.4,1381.1,1403.2,1423.9,1443.1,1461.4,1478.7,1495.1,1510.6,1527,1544.4,1562.6,1561.3,1540.5,1525.5,1527.7
"15","7","          Domestic business","W276RC1",12.3,13.2,14,14.6,15.2,15.7,16.1,16.5,16.9,17.2,17.5,17.7,17.9,18.2,18.7,19.4,20.3,21,21.5,21.9,22,22.3,22.5,22.8,23.2,23.5,23.8,24,24.3,24.5,24.7,25,25.1,25.5,26,26.7,27.5,28.3,29,29.7,30.3,30.9,31.5,32,32.4,32.9,33.3,33.6,34,34.3,34.4,34.5,34.5,34.5,34.7,34.8,35,35.3,35.5,35.8,36.1,36.4,36.8,37.1,37.5,37.8,38.3,38.7,39.1,39.7,40.3,40.9,41.7,42.5,43.3,44.3,45.3,46.3,47.4,48.4,49.5,50.6,51.7,52.9,54.1,55.4,56.7,58.1,59.5,61,62.7,64.5,66.5,67.9,68.9,69.4,71.7,73.8,75.6,77.2,78.6,80.2,82,84,86.3,88.9,91.9,95.4,99.2,103.5,108.2,113.5,119.3,124.2,128.2,131.3,133.6,136.5,139.9,143.8,148.4,153,157.8,162.7,167.7,173.2,179.2,185.6,192.5,199.7,207.1,214.7,222.6,230.9,239.5,248.5,257.8,266.9,275.7,284.3,292.7,299.2,304,306.9,308.1,309.9,312.3,315.3,319,323.3,328.1,333.4,339.3,345.1,350.9,356.6,362.2,367.5,372.5,377.3,381.8,387,392.9,399.6,407,414.2,421.2,428,434.6,441.1,447.7,454.2,460.7,466.9,472.9,478.7,484.2,489,493,496.2,498.7,500.6,501.9,502.5,510.4,517.9,524.9,531.5,537.7,544.8,553,562.2,572.4,581.9,590.7,598.8,606.3,614.4,623.2,632.7,643,653.3,663.6,674.1,684.6,695.8,707.7,720.3,733.6,748.2,764.2,781.4,799.9,817.1,832.9,847.4,860.5,872.1,882.4,891.2,898.5,905.5,912,918.1,923.8,930.7,938.9,948.4,959.1,971.3,984.8,999.7,1016,1034.4,1054.9,1077.6,1096.7,1115,1132.4,1149,1164.8,1180.6,1196.4,1212.2,1228.1,1244.1,1260.3,1276.8,1277,1259.4,1246.9,1247.6
"16","8","            Capital consumption allowances","Y0000C1",9.1,9.8,10,10.6,11.1,11.5,12,12.5,13.1,13.4,13.7,14,14.4,14.6,15.2,15.5,16.2,16.9,17.4,18,18.3,18.6,18.9,19.4,19.9,20.6,21.3,22,22.2,22.7,23.1,23.8,24.4,25.1,26.4,26.7,27.5,27.8,27.9,28.3,29.1,29.8,30.6,31.3,31.3,31.2,31.6,32,32.6,33.4,33.5,34.1,34.7,35,35.4,35.6,36,36.5,36.8,37.1,40.2,40.6,41.2,41.6,42.1,43.1,43.7,44.5,45.3,45.6,46.4,46.9,47.9,48.9,50,50.6,51.7,52.9,53.8,55.1,55.9,57.1,58.5,59.6,60.7,62,63.1,64.6,66.6,68.1,69.6,70.9,72.1,73.2,74.3,75.6,76.4,78.6,80.6,82.2,84.9,87.2,89.3,91.8,93.3,95.4,97.4,101,103.2,106.1,109.4,111.5,114.6,117.5,119.7,121.9,123.7,126.2,129.8,134.1,138.4,143.6,149,153.5,157.6,162.4,167.9,173.9,180.6,186.8,192.8,198.7,204.2,211.6,220.7,231.2,250,264.3,278.4,284.6,295.9,304.8,314.4,322.4,335,344.4,354.2,357.9,367,389.4,402,415.5,431.7,442.7,451.1,456.7,455,456.9,459.2,462.7,466.7,472.1,478.1,484.2,492.2,498.5,504.4,509.9,514.5,519.2,524.2,527.5,516.9,520.1,522.8,525.1,526.7,528.8,531.1,533.8,537.2,541,536.4,550.6,556.3,563.1,570.8,579.4,589,599.3,610.2,621.8,634,645.7,656.9,667.6,677.8,689.7,703.3,718.6,735.6,751,764.9,777.2,788,801.3,817.2,835.7,856.7,875.9,893.4,909,922.9,937.4,952.5,968.4,983.3,996.5,1020.5,1075,1109.5,1113.4,1112.8,1107.7,1096.6,1131.2,1138.1,1135.3,1132.7,1134.9,1139.9,1147.8,953.2,962.4,970.3,976.7,980.9,1021.5,1048,1060.3,1083.4,1085.2,1090.6,1099.6,1322.5,1334.6,1346.2,1357.3,1267.6,1270.1,1269.7,1271.1
"17","9","            Less: Capital consumption adjustment","Y0004C1",-3.1,-3.4,-3.9,-4,-4.1,-4.2,-4.1,-4,-3.9,-3.8,-3.8,-3.7,-3.4,-3.6,-3.5,-3.9,-4.1,-4.1,-4.1,-3.9,-3.8,-3.7,-3.6,-3.4,-3.3,-2.9,-2.5,-2,-2.1,-1.8,-1.6,-1.2,-0.7,-0.4,0.4,0.1,0,-0.5,-1.1,-1.4,-1.3,-1.1,-0.8,-0.7,-1.1,-1.6,-1.7,-1.7,-1.4,-0.9,-0.9,-0.4,0.2,0.4,0.7,0.8,1,1.2,1.2,1.3,4,4.2,4.4,4.5,4.6,5.3,5.4,5.8,6.1,6,6.2,6,6.2,6.4,6.7,6.3,6.4,6.5,6.5,6.7,6.4,6.5,6.8,6.7,6.6,6.6,6.4,6.5,7.1,7,6.9,6.4,5.6,5.3,5.4,6.2,4.7,4.8,4.9,4.9,6.3,7,7.3,7.8,7.1,6.5,5.4,5.7,4.1,2.6,1.2,-2,-4.6,-6.6,-8.5,-9.5,-9.9,-10.3,-10,-9.7,-9.9,-9.4,-8.8,-9.2,-10.1,-10.8,-11.2,-11.7,-11.9,-12.9,-14.3,-16.1,-18.5,-19.3,-18.9,-17.3,-7.9,-2.6,2.7,0.3,3.3,5.6,10.5,15.5,26.9,34.5,41.9,42.6,47.9,66.1,73.9,82.1,92.4,97.5,100.2,100.2,92.8,89.4,86.7,85.4,84.9,85.1,85.1,84.6,85.2,84.3,83.2,81.9,79.9,78,76.5,73.3,56.2,53.2,49.9,46.4,42.5,39.8,38.1,37.6,38.4,40.4,34.6,48.1,45.9,45.2,45.9,47.9,51.4,54.5,57.2,59.6,61.6,63.8,66.2,68.8,71.5,75.3,80.1,85.8,92.6,97.8,101.3,103.2,103.4,105.6,109.5,115.4,123.1,127.7,129.2,127.7,123,120.3,119.6,121,122.8,124.4,138.1,183.8,211,208,200.8,189.7,172.9,200.5,199.2,186.9,173.6,163.6,155.1,148.1,-62.8,-72,-84.7,-100.9,-115.8,-93.5,-84.5,-88.7,-81.4,-95.4,-105.8,-112.7,94.5,90.5,85.9,80.5,-9.3,10.6,22.8,23.5
"18","10","          Households and institutions","W279RC1",2.3,2.5,2.6,2.8,2.9,2.9,3,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.5,3.6,3.8,3.9,4.1,4.2,4.2,4.3,4.4,4.4,4.5,4.6,4.6,4.7,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.7,5.8,5.9,6,6,6.1,6.2,6.2,6.3,6.4,6.4,6.5,6.6,6.7,6.8,6.9,6.9,7,7.1,7.1,7.2,7.2,7.3,7.4,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.4,8.5,8.7,8.8,9,9.2,9.4,9.5,9.7,9.9,10.1,10.3,10.5,10.7,10.9,11.2,11.5,11.8,12.1,12.4,12.7,13,13.3,13.5,13.7,13.7,14.3,14.7,15.2,15.5,15.9,16.3,16.7,17.3,17.9,18.5,19.2,19.9,20.6,21.3,22.1,22.9,23.7,24.4,25.1,25.6,26.1,26.7,27.4,28.2,29.1,30.1,31.2,32.4,33.6,34.9,36.2,37.5,38.8,40.2,41.6,43.1,44.7,46.2,47.7,49,50.3,51.5,52.7,53.7,54.7,55.5,56.2,56.7,57.1,57.7,58.4,59.2,60.2,61.1,62,62.7,63.5,64.3,65.2,66.2,67.4,68.6,69.8,71,72.2,73.5,74.8,76.1,77.4,78.8,80.2,81.6,83.1,84.5,85.9,87.4,88.8,90.1,91.2,92.3,93.2,94.2,95.3,96.6,97.8,98.8,99.5,99.8,102.3,104.4,106.3,107.9,109.1,110.6,112.3,114.1,116.2,118,119.6,120.9,122,123.4,124.8,126.5,128.4,130.3,132.2,134.1,136,138.2,140.6,143.2,146,148.9,151.8,154.8,157.8,160.9,164.1,167.3,170.7,173.8,176.6,179.1,181.3,183.9,186.8,190.1,193.7,197.9,202.6,207.9,213.7,219.4,225,230.5,235.9,241.7,248,254.7,260.7,266.1,270.8,274.9,278.3,280.8,282.3,282.9,282.6,282.9,284,285.8,284.4,281.1,278.6,280.1
"19","11","        Government","A264RC1",11,10.6,10.5,10.3,9.9,9.6,9.6,9.3,9.2,8.8,8.4,8.2,7.9,7.8,7.8,8.1,8.4,8.5,8.7,8.9,9.1,9.4,9.7,10,10.2,10.4,10.5,10.6,10.8,11.1,11.2,11.5,11.5,11.5,11.8,12.1,12.4,12.7,12.9,13.1,13.3,13.5,13.7,13.8,13.6,13.7,14,14.1,14.3,14.4,14.5,14.7,14.8,14.9,15.1,15.2,15.3,15.5,15.6,15.8,16.1,16.3,16.6,17,17.2,17.4,17.5,17.7,17.9,18,18.1,18.3,18.5,18.8,19,19.2,19.4,19.8,20.1,20.5,20.8,21.1,21.6,22,22.5,22.8,23.1,23.6,24.1,24.5,24.9,25.3,25.8,26.4,26.9,27.4,27.9,28.2,28.4,28.6,29,29.2,29.5,30,30.5,31,31.6,32.2,33.3,34.9,36.9,38.3,39.1,39.5,40.2,40.9,41.7,42.3,42.9,43.6,44.6,45.3,45.8,46.8,47.9,49,50.1,50.9,52,53.5,55.3,56.9,58.6,60.8,62.8,65,67.2,69.2,71.1,72.9,74.7,76.6,78.1,79,79.9,80.8,82.3,83.3,84.8,86.2,87.5,89.1,90.5,91.7,93.4,95.1,96.3,98.5,100.4,102.4,104.4,105.7,107.4,108.9,111,112.9,114.8,116.9,118.8,120.7,122.9,125,127.4,129.5,132,134.3,136.4,138.1,139.9,141.3,142.1,143.8,145,146.9,149.3,151,152.4,153.8,155.4,157.3,159,161.1,162.8,164.2,165.4,166.9,167.9,168.5,169.6,170.6,172.2,173.6,174.5,176.1,176.7,178,179.7,181.5,183.5,186,188.2,190.9,193.9,196.5,198.9,200.7,202.3,204,205.4,206.8,208.4,210.1,211.7,213.5,215.7,217.3,218.9,220.5,223.8,228.9,234.6,240.3,243.8,248.1,253.1,257.3,260.6,267.1,272,277.4,283.7,288,292.5,297.6,303,308.5,313.8,318.4,322.3,323.5,325.2,330
"20","12","          General government","A265RC1",10.6,10.2,10.1,9.8,9.5,9.2,9.1,8.8,8.7,8.3,8,7.7,7.4,7.3,7.3,7.6,7.8,7.9,8.1,8.3,8.5,8.7,9.1,9.3,9.5,9.8,9.8,9.9,10.1,10.3,10.5,10.7,10.7,10.8,11.1,11.3,11.6,11.8,12,12.2,12.4,12.6,12.8,12.8,12.6,12.8,13,13.1,13.3,13.4,13.5,13.6,13.7,13.9,14,14.1,14.2,14.3,14.4,14.6,14.9,15,15.4,15.7,15.9,16.1,16.2,16.4,16.5,16.6,16.7,16.9,17,17.3,17.5,17.6,17.8,18.2,18.5,18.8,19.1,19.4,19.8,20.2,20.6,20.8,21.1,21.6,21.9,22.4,22.6,23,23.5,23.9,24.4,24.8,25.2,25.4,25.6,25.6,26,26.1,26.4,26.8,27.1,27.6,28,28.5,29.5,30.8,32.4,33.6,34.2,34.5,35,35.7,36.3,36.8,37.3,37.9,38.8,39.4,39.7,40.6,41.5,42.4,43.3,44,44.8,46.1,47.6,48.9,50.3,52.2,53.8,55.7,57.6,59.4,60.9,62.5,64.2,65.8,67,67.8,68.6,69.4,70.7,71.6,72.9,74.1,75.2,76.6,77.8,78.8,80.4,81.9,82.9,84.8,86.6,88.3,90.1,91.2,92.7,94,95.8,97.4,99,100.9,102.5,104.2,105.9,107.9,110,111.8,113.9,116,117.9,119.4,120.9,122.1,122.8,124.1,125.1,126.6,128.6,129.9,131.2,132.3,133.5,135,136.5,138.4,139.7,140.8,141.6,142.8,143.6,144,144.9,145.6,146.7,147.8,148.4,149.7,150,151.1,152.5,153.9,155.5,157.6,159.4,161.5,164,166,167.9,169.4,170.6,172,173.1,174.2,175.4,176.6,177.9,179.3,181,182.2,183.4,184.4,187,191,195.6,200.1,203.1,206.6,210.7,214.3,217.4,222.8,227,231.5,236.8,240.3,244,248.3,252.9,257.6,262,265.6,269,270.4,272.4,277.1
"21","13","          Government enterprises","A266RC1",0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9,2,2,2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.7,2.8,2.9,3,3.1,3.2,3.2,3.3,3.5,3.6,3.7,3.9,4.1,4.4,4.7,4.9,5,5.1,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6.1,6.2,6.3,6.6,6.8,7,7.2,7.4,7.7,8,8.3,8.6,9,9.3,9.6,9.8,10.2,10.3,10.5,10.8,11,11.2,11.3,11.4,11.6,11.7,11.9,12.1,12.3,12.5,12.7,12.8,13,13.2,13.4,13.7,13.9,14.1,14.3,14.5,14.7,14.9,15.2,15.5,15.8,16,16.3,16.6,16.9,17.1,17.4,17.7,18.1,18.3,18.5,18.7,19,19.1,19.3,19.6,19.9,20.3,20.7,21,21.2,21.6,22,22.3,22.5,22.8,23.1,23.4,23.8,24.1,24.3,24.5,24.7,25,25.5,25.8,26.1,26.4,26.7,26.9,27.2,27.6,28,28.4,28.8,29.4,29.9,30.5,30.9,31.4,31.7,32,32.3,32.6,33.1,33.5,33.9,34.2,34.7,35.1,35.5,36.1,36.8,37.9,39,40.1,40.7,41.5,42.3,43,43.1,44.3,45,46,46.9,47.7,48.5,49.3,50.1,50.9,51.8,52.7,53.2,53.1,52.8,52.9
"22","14","Equals: Net national product","A027RC1",212.5,215.2,218.5,227.9,233.8,240.5,246.5,247.6,242.1,238.3,239.8,237.1,247.3,256.5,273.5,283.7,298,305.1,311.2,315.1,317.8,318.2,323.9,336.1,342.4,345.5,344,338.4,337.5,337.6,342,350.4,363.3,371.1,378.8,384.3,385.6,390.4,394.5,402,410.6,412,418.3,412.1,404.3,407.8,420.7,433.3,443.3,455.8,456.5,460.3,473.7,472.8,475.4,469.9,474.1,484.5,494.6,507.2,520.1,527.1,533.2,536.4,544.7,552.5,564.7,573.7,589.6,597.9,608.8,612.6,632.3,643.7,659.1,679.6,701.7,709.3,720.9,733.4,742.6,745.4,758.9,772.7,798.1,820.7,834.2,849,871.6,884.3,902,907.6,917.8,931.9,947.7,948.3,991.6,1010,1027.1,1037.8,1074.8,1108.1,1129.9,1164.3,1211.2,1244.7,1261.9,1298.7,1310.5,1341.5,1361.7,1391.4,1398.8,1428.5,1482,1532,1586.2,1615.4,1644.6,1686.8,1737.2,1797.6,1852.1,1887.7,1922,2036.4,2090.7,2166.6,2205.7,2262.5,2331.8,2381.1,2436.1,2425.9,2469.7,2581.3,2707.4,2726.6,2810.2,2821.4,2798.8,2850.6,2871.2,2904,2969.9,3070.6,3172,3269.9,3380.4,3473.2,3535.8,3582,3650.2,3703.2,3773,3827.8,3880.1,3905.1,3967,4004.5,4066.8,4139,4207.4,4318.4,4378.5,4476.7,4547.7,4648.2,4747.5,4830.3,4901.9,4946.8,5061.4,5141.9,5181,5190.5,5204.3,5267.6,5328.9,5389.8,5482.7,5582.3,5670.5,5772.9,5819.1,5879.7,5941.2,6042,6142.4,6256,6329.5,6432.4,6487.8,6526.2,6597.4,6687.9,6780.4,6923.6,7001.6,7124.8,7216.6,7350.6,7462.9,7538,7628.7,7709.5,7828.9,7994,8108.2,8197.4,8325.9,8516.1,8588.9,8809.1,8852.2,8969.4,8972.8,9100.9,9067.8,9186,9261.4,9335.2,9438.6,9510.5,9607,9727.8,9960.8,10131.5,10311.1,10444.7,10602.9,10746.1,10990.6,11088.9,11292.7,11404.4,11646,11775.2,11839.6,11981.9,12132.8,12324,12547.2,12729.4,12731.2,12791.1,12849.3,12573.3,12394.3,12379.8,12512.9,12701.8
