"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","  Goods","DGDSRA3",13.233,13.471,13.561,13.612,13.631,13.755,13.741,13.832,13.811,14.114,14.185,14.502,14.783,14.941,16.059,15.213,15.548,14.759,14.921,15.042,14.969,15.305,15.289,16.062,16.274,16.305,16.168,16.069,16.059,16.216,16.388,16.845,17.362,17.851,18.099,18.227,18.147,18.12,18.044,18.303,18.474,18.407,18.562,18.416,17.976,18.031,18.371,18.726,19.161,19.464,19.618,19.459,19.654,19.929,19.801,19.682,19.496,19.79,19.919,20.363,20.601,20.804,20.963,21.291,21.49,21.668,21.885,21.959,22.468,22.94,23.476,23.304,24.063,24.237,24.733,25.686,26.169,26.038,26.413,26.358,26.426,26.887,26.807,26.913,27.77,28.185,28.876,28.828,29.215,29.236,29.288,29.393,29.441,29.524,29.706,29.385,30.328,30.578,30.775,31.316,31.608,32.444,33.009,33.977,34.788,34.453,34.464,34.122,33.565,33.46,33.568,32.205,32.439,33.132,33.95,34.181,35.182,35.606,35.919,36.355,36.75,37.02,37.318,38.114,37.9,38.988,39.02,39.461,39.43,39.098,39.747,39.579,39.379,37.757,38.144,38.578,39.133,38.82,39.212,38.511,38.897,38.887,39.095,39.883,40.092,41.274,42.189,43.183,43.767,44.743,44.771,45.471,46.172,46.594,47.837,47.551,48.273,49.131,50.653,50.622,49.586,50.536,51.296,50.838,52.037,52.308,52.297,53.127,53.2,53.5,54.271,54.091,54.816,54.229,54.102,53.248,52.792,53.087,53.407,52.815,54.011,54.287,54.88,55.607,55.822,56.717,57.303,58.032,59.016,59.541,60.093,61.243,60.938,61.349,62.092,62.679,63.181,64.413,64.871,65.657,66.543,66.492,68.231,69.163,69.701,71.533,72.624,74.842,75.77,77.563,78.497,79.863,81.082,81.526,82.397,83.132,83.349,83.589,84.218,87.287,87.114,87.529,88.654,88.903,89.54,91.09,93.575,94.035,94.975,95.375,96.502,97.711,98.657,100.038,100.797,100.508,102.335,102.501,103.334,104.835,105.854,105.904,106.724,107.513,106.121,105.983,103.895,101.186,101.817,101.023,102.789,103.512
"12","4","    Durable goods","DDURRA3",4.542,4.637,4.702,5.008,4.982,5.016,5.1,5.028,4.936,5.364,5.62,5.844,6.067,6.119,7.569,6.633,6.842,5.861,5.754,5.736,5.769,5.881,5.532,6.486,6.704,6.665,6.623,6.438,6.238,6.54,6.568,6.972,7.598,8.01,8.27,8.052,7.684,7.694,7.559,7.802,7.944,7.757,7.704,7.614,7.107,6.999,7.144,7.406,7.807,8.101,8.258,7.864,8.116,8.301,8.235,8.028,7.587,7.745,7.934,8.318,8.498,8.726,8.79,9.177,9.36,9.561,9.679,9.832,10.215,10.481,10.827,10.495,11.471,11.49,11.882,12.383,12.972,12.455,12.863,12.858,12.615,13.157,13.052,13.085,13.898,14.194,14.833,14.745,15.023,14.983,14.94,14.882,14.654,14.823,14.878,13.889,15.379,15.729,16.148,16.838,17.223,17.656,18.11,19.069,20.283,20.044,19.866,19.402,18.947,19.049,19.159,17.336,17.706,18.05,19.177,19.735,20.722,20.816,21.052,21.384,22.168,22.691,23.025,23.508,22.885,24.591,24.26,24.452,24.163,23.616,24.274,23.649,23.277,20.767,21.688,22.349,22.983,22.089,22.761,21.126,21.803,21.883,22.059,23.066,23.3,24.998,25.959,27.239,28.267,28.923,28.932,29.871,30.909,31.276,33.279,32.133,32.789,33.947,36.843,36.259,34.108,35.507,36.974,35.975,37.678,37.691,37.2,38.163,37.994,38.501,39.371,38.175,39.787,38.472,38.082,37.033,36.013,36.194,36.75,36.151,37.57,37.831,38.638,39.406,39.788,41.08,41.538,42.537,43.55,44.019,44.482,46.046,45.091,45.55,46.836,47.649,48.167,49.699,50.051,51.028,52.411,52.242,54.571,55.964,56.433,59.31,61.022,64.644,64.804,67.921,69.575,70.44,74.402,73.063,74.327,74.873,76.143,76.105,77.026,83.497,82.541,83.409,85.851,84.719,84.8,88.116,91.652,92.244,93.265,93.919,95.768,97.34,97.992,100.733,101.917,99.359,103.327,103.064,104.216,105.647,107.074,107.634,109.001,110.464,107.931,106.354,103.083,97.401,98.345,96.947,101.561,101.651
"13","5","    Nondurable goods","DNDGRA3",21.561,21.93,22.032,21.743,21.814,22.027,21.892,22.178,22.262,22.323,22.126,22.487,22.774,23.038,23.436,22.916,23.338,22.997,23.481,23.756,23.56,24.107,24.53,24.89,25.045,25.16,24.929,24.965,25.205,25.137,25.454,25.882,26.151,26.634,26.813,27.357,27.666,27.596,27.615,27.836,28.004,28.11,28.5,28.314,28.059,28.314,28.831,29.227,29.608,29.853,29.967,30.152,30.228,30.558,30.379,30.4,30.581,30.99,31.014,31.435,31.696,31.823,32.07,32.25,32.427,32.537,32.835,32.793,33.355,33.991,34.655,34.722,35.054,35.389,35.919,37.251,37.522,37.878,38.15,38.044,38.472,38.758,38.722,38.897,39.662,40.15,40.79,40.799,41.252,41.342,41.497,41.775,42.133,42.107,42.409,42.905,43.08,43.178,43.09,43.383,43.526,44.703,45.319,46.175,46.453,46.061,46.276,46.094,45.476,45.174,45.271,44.463,44.548,45.535,45.981,45.869,46.799,47.517,47.881,48.385,48.353,48.35,48.59,49.633,49.845,50.229,50.619,51.271,51.498,51.399,52,52.275,52.249,51.542,51.415,51.617,52.073,52.304,52.42,52.621,52.718,52.627,52.851,53.394,53.567,54.198,55.022,55.692,55.834,57.054,57.098,57.537,57.889,58.34,58.82,59.344,60.097,60.632,60.758,61.252,61.332,61.8,61.851,61.926,62.594,63.092,63.527,64.189,64.48,64.577,65.225,65.964,65.879,65.951,66.058,65.395,65.426,65.81,65.921,65.355,66.327,66.607,67.003,67.675,67.743,68.281,68.957,69.437,70.366,70.923,71.534,72.293,72.553,72.909,73.168,73.546,74.022,74.973,75.506,76.118,76.581,76.623,77.856,78.404,78.983,79.959,80.548,81.65,83.158,83.939,84.338,86.066,85.323,87.027,87.619,88.475,87.959,88.379,88.807,89.576,89.94,90.055,90.311,91.455,92.435,92.864,94.686,95.066,95.962,96.217,96.921,97.925,99.045,99.65,100.174,101.132,101.793,102.191,102.851,104.383,105.177,104.961,105.507,105.973,105.165,105.738,104.219,102.929,103.405,102.911,103.295,104.318
"14","6","  Services","DSERRA3",11.719,11.888,11.862,11.801,11.927,12.114,12.179,12.302,12.38,12.443,12.417,12.454,12.609,12.928,13.128,13.211,13.572,13.664,13.835,13.869,14.041,14.26,14.45,14.656,14.806,14.983,15.075,14.963,15.102,15.364,15.631,15.821,16.006,16.123,16.289,16.613,16.773,16.934,17.112,17.335,17.402,17.552,17.681,17.875,17.858,18.116,18.359,18.469,18.708,18.986,19.241,19.473,19.649,19.868,19.845,20.037,20.237,20.533,20.595,20.958,21.156,21.472,21.657,21.931,22.017,22.258,22.648,22.957,23.327,23.652,23.961,24.289,24.565,24.936,25.278,25.707,25.974,26.257,26.474,26.763,27.01,27.272,27.644,27.877,28.314,28.76,29.131,29.454,29.717,30.082,30.321,30.696,31.022,31.217,31.57,31.73,31.947,32.268,32.573,33.086,33.652,34.063,34.525,35.143,35.596,35.894,36.134,36.271,36.216,36.57,36.75,37.119,37.466,37.931,38.114,38.65,39.101,39.36,39.839,40.39,40.871,41.03,41.474,41.873,42.542,43.183,43.492,43.719,44.164,44.439,44.616,45.001,45.052,44.748,45.244,45.92,45.836,46.139,46.1,46.136,46.306,46.61,47.049,47.836,48.464,49.083,49.786,50.294,50.542,50.968,51.632,52.221,53.164,53.647,54.369,54.806,54.996,55.307,55.753,56.354,57.018,57.56,58.051,58.643,59.351,59.865,60.66,61.212,61.528,61.756,62.234,62.876,63.15,63.937,64.429,64.252,64.296,64.864,65.025,65.41,66.326,66.751,67.493,68.276,68.56,68.963,69.732,70.198,70.745,71.209,71.727,72.051,72.394,73.048,73.569,73.985,74.709,75.206,75.608,76.053,76.671,77.191,78.109,78.904,79.782,80.755,81.736,82.305,83.001,83.939,84.947,85.988,87.289,88.303,89.122,89.904,90.327,90.71,90.954,91.359,91.951,92.436,92.761,93.125,93.503,93.971,94.614,95.168,96.052,96.633,97.294,98.359,98.978,99.7,100.384,100.937,101.67,102.421,102.945,103.731,104.641,105.068,105.403,105.477,105.953,106.047,105.697,105.837,105.761,105.809,106.014,106.281
"15","7","Gross private domestic investment","B006RA3",8.718,8.016,7.759,9.366,10.381,11.065,11.184,10.627,8.974,7.719,8.395,7.936,9.927,11.038,12.032,13.631,12.194,12.495,11.53,10.548,10.795,9.898,10.425,11.173,11.395,11.434,11.165,10.286,10.2,10.164,10.684,11.176,12.368,13.149,13.337,13.626,13.168,13.019,12.866,12.714,12.509,12.492,12.79,11.722,10.851,10.594,11.468,12.502,13.208,14.311,13.315,13.781,15.271,13.726,13.644,11.958,12.264,13.178,14.282,14.523,15.388,15.24,15.512,14.992,15.823,16.054,16.578,16.782,17.472,17.391,17.804,17.95,19.756,19.755,20.46,20.555,22.292,21.886,21.669,21.773,21.177,20.274,20.856,21.307,21.771,22.651,21.915,22.143,23.602,23.414,23.955,22.665,21.956,22.024,22.401,21.103,23.844,24.582,24.906,24.127,25.833,27.414,27.804,27.948,29.723,31.113,29.896,31.04,29.059,28.915,27.284,27.543,22.705,21.917,23.773,24.426,26.956,28.105,28.158,28.353,29.748,32.047,33.794,32.84,33.491,35.791,36.895,37.735,37.729,37.642,36.909,36.222,35.959,32.715,30.221,33.294,36.603,34.86,37.024,35.588,31.88,31.852,31.48,28.677,29.698,32.564,34.754,38.413,42.434,43.865,44.884,44.148,42.692,43.429,42.949,44.629,44.537,43.548,42.183,42.249,43.539,43.6,43.644,47.048,44.397,45.477,45.769,46.375,48.152,47.59,47.03,46.548,47.006,47.019,45.912,43.009,41.258,41.05,42.072,43.683,42.712,45.525,45.996,47.452,48.567,48.948,48.914,51.495,53.717,56.847,55.825,58.428,59.022,57.435,56.882,58.483,59.254,62.323,65.466,65.288,66.812,71.078,72.342,73.497,77.005,76.084,78.264,80.781,83.324,83.033,85.118,88.138,86.908,92.924,91.471,91.512,86.671,86.393,84.571,79.696,82.373,83.36,83.533,83.473,83.469,83.955,87.002,90.22,90.691,94.63,95.857,97.833,99.911,98.124,99.205,102.761,104.258,104.098,102.643,99.712,98.176,99.539,99.736,97.753,95.887,93.292,91.643,85.519,71.746,67.059,67.874,74.625
"16","8","  Fixed investment","B007RA3",9.329,9.082,9.39,10.216,10.561,10.551,10.438,10.317,9.727,9.418,9.395,9.732,10.349,11.309,12.153,11.9,11.458,10.931,10.754,10.643,10.769,10.918,10.248,11.028,11.471,11.533,11.542,11.417,11.237,11.421,11.878,12.143,12.634,13.176,13.468,13.481,13.194,13.3,13.279,13.187,13.187,13.06,13.191,12.95,12.148,11.803,11.972,12.709,13.489,13.926,14.096,13.909,14.394,14.105,13.727,13.67,13.499,13.698,14.027,14.5,14.81,15.259,15.382,15.307,15.486,16.204,16.624,17.155,17.809,17.761,18.045,18.177,19.005,19.537,20.066,20.517,21.284,21.009,21.002,20.365,19.887,20.396,20.596,21.239,21.751,21.64,21.959,22.499,23.208,23.31,23.698,23.099,23.016,22.505,22.905,22.927,23.44,24.41,24.872,25.551,26.7,27.17,27.47,28.748,29.962,30.222,30.134,29.831,29.126,28.707,28.202,26.603,24.973,24.623,25.237,25.709,26.774,27.231,27.517,28.932,29.978,31.651,32.061,32.639,32.913,35.302,36.316,37.091,37.373,37.083,37.756,37.404,36.875,33.668,34,35.351,35.61,35.845,35.849,35.718,34.636,33.425,32.494,32.441,33.15,34.43,36.488,38.625,39.837,41.475,42.36,43.12,43.453,43.999,43.645,44.469,44.533,44.427,44.177,44.471,43.59,44.37,45.314,45.308,45.249,46.134,46.312,46.776,47.242,47.307,48.13,47.337,47.926,46.818,46.312,44.993,43.452,43.387,43.532,43.614,44.065,45.798,46.494,47.942,48.221,49.3,50.174,52.403,53.099,54.376,54.916,56.419,57.707,57.488,58.247,59.461,60.964,62.947,64.403,65.479,66.758,68.196,70.823,71.431,73.582,76.146,77.595,79.967,81.449,83.356,85.295,85.777,88.286,90.505,90.824,91.097,90.552,89.137,88.203,85.988,85.225,84.887,84.739,84.054,84.066,86.215,88.992,90.584,90.404,93.189,95.166,96.779,97.968,99.704,100.975,101.352,103.67,103.186,101.88,100.499,99.838,100.726,100.626,99.564,97.969,97.291,95.199,89.964,79.514,76.895,76.647,77.585
"17","9","    Nonresidential","B008RA3",7.918,7.793,7.638,7.884,8.373,8.082,8.102,8.31,7.917,7.604,7.227,7.103,7.304,7.958,8.671,8.66,8.435,8.552,8.648,8.468,8.502,8.597,7.82,8.524,8.991,9.053,9.258,9.147,8.874,8.78,9.02,8.993,9.154,9.73,10.227,10.509,10.313,10.475,10.559,10.534,10.609,10.581,10.805,10.524,9.762,9.341,9.2,9.543,9.84,10.14,10.461,10.421,10.822,10.99,10.716,10.656,10.432,10.648,10.736,11.099,11.356,11.695,11.846,11.765,11.747,12.123,12.489,12.9,13.221,13.558,14.018,14.31,15.271,15.846,16.446,17.145,17.892,18.171,18.392,18.345,17.956,17.892,17.802,18.169,18.74,18.414,18.66,19.212,19.781,19.995,20.535,20.412,20.293,20.182,20.285,19.53,19.708,20,20.08,20.51,21.199,21.55,21.887,23.031,24.107,25.092,25.513,25.713,25.685,25.628,25.329,24.621,23.111,22.507,22.714,22.925,23.339,23.624,24.141,24.622,25.578,26.317,26.868,27.767,28.042,30.407,31.493,32.532,33.239,33.14,34.172,34.258,34.634,32.876,33.124,33.82,34.365,35.058,35.912,36.776,35.906,34.622,33.453,32.78,32.167,32.56,34.032,36.236,37.417,39.278,40.571,41.55,42.033,42.631,41.979,42.7,42.113,41.059,40.459,40.874,39.75,40.703,42.014,41.916,42.238,43.277,43.504,43.962,44.705,45.341,46.64,45.952,46.562,45.758,46.05,45.17,44.004,43.582,43.17,42.942,42.749,44.445,45.343,46.707,47.004,48.255,48.793,50.841,51.347,52.384,53.366,55.729,58.007,58.41,58.801,59.984,61.473,63.24,65.345,67.112,68.825,70.533,74.129,74.725,77.309,80.139,81.347,84.031,85.98,88.39,90.931,91.216,94.608,98.098,99.182,99.566,98.619,96.029,94.445,91.453,89.315,87.869,87.417,85.771,85.385,87.682,89.679,90.845,90.124,92.555,95.095,97.197,98.086,99.516,100.919,101.479,105.759,107.643,108.811,109.44,110.561,113.579,116.219,118.109,118.674,119.083,117.21,111.04,98.061,95.623,94.183,95.41
"18","10","      Structures","B009RA3",29.902,29.743,29.945,29.515,30.127,30.967,31.892,32.349,31.74,30.997,29.626,28.813,30.186,31.709,33.545,34.404,34.516,35.688,35.472,34.108,34.149,34.395,34.682,36.01,37.095,37.807,38.017,38.688,39.082,39.353,39.267,39.101,40.312,41.312,42.683,43.738,45.096,46.703,46.999,46.887,46.482,46.45,46.458,46.194,45.328,43.825,42.825,43.486,43.334,44.676,46.005,45.655,47.56,48.124,48.216,50.051,49.824,48.994,49.022,48.764,49.678,51.488,52.844,51.563,49.768,52.126,52.488,53.562,54.952,56.815,58.681,59.147,62.18,66.513,67.213,70.307,71.978,70.59,72.162,69.704,70.424,68.421,69.145,69.26,70.618,70.02,69.568,70.99,72.087,72.659,76.085,75.553,74.959,74.192,74.462,73.588,73.404,73.214,72.951,72.76,74.662,75.081,75.247,76.445,78.942,81.408,83.248,82.482,82.018,81.68,78.135,77.186,73.213,70.455,70.853,70.901,72.812,72.592,73.329,73.558,73.307,76.049,77.201,77.757,77.607,85.196,90.815,94.614,94.087,95.449,99.899,102.958,104.548,102.253,102.762,105.785,105.721,109.705,112.472,120.746,116.906,113.096,106.861,104.435,100.175,95.42,97.652,100.37,106.076,111.401,114.917,116.107,121.028,120.962,118.457,119.932,116.932,105.913,102.136,102.76,100.357,101.537,105.766,107.774,103.705,105.858,104.428,104.166,105.845,104.65,108.318,107.653,110.021,109.482,109.081,104.163,101.92,99.143,92.709,90.827,89.684,89.69,90.466,91.574,89.242,89.101,89.531,91.2,87.474,92.472,92.365,93.307,95.652,97.565,98.275,97.447,99.185,101.358,102.607,107.828,108.777,107.813,111.88,112.649,111.433,117.435,117.481,117.294,116.811,115.395,115.306,116.684,118.937,123.869,128.533,129.064,125.506,125.954,126.665,114.639,108.414,102.546,97.994,96.553,95.591,98.449,98.237,97.78,97.21,98.337,99.325,99.414,101.195,100.812,98.696,99.297,103.696,109.068,111.771,112.185,116.327,122.437,129.869,133.348,135.559,140.215,140.191,137.603,119.243,113.716,108.074,102.832
"19","11","      Equipment and software","B010RA3",4.483,4.388,4.24,4.487,4.865,4.542,4.484,4.628,4.336,4.125,3.908,3.865,3.931,4.374,4.844,4.768,4.565,4.573,4.674,4.627,4.653,4.716,4.018,4.523,4.842,4.839,5.002,4.85,4.582,4.48,4.693,4.683,4.726,5.145,5.467,5.627,5.349,5.361,5.412,5.399,5.496,5.474,5.667,5.445,4.86,4.615,4.571,4.813,5.076,5.23,5.402,5.393,5.59,5.689,5.451,5.265,5.093,5.336,5.408,5.734,5.884,6.035,6.061,6.089,6.21,6.35,6.634,6.902,7.069,7.214,7.464,7.678,8.268,8.423,8.885,9.243,9.758,10.114,10.178,10.341,9.939,10.05,9.911,10.224,10.613,10.376,10.632,11.002,11.415,11.558,11.741,11.678,11.624,11.592,11.66,11.053,11.23,11.514,11.612,12.029,12.486,12.773,13.074,14.036,14.805,15.491,15.701,15.977,15.999,15.979,16.086,15.496,14.462,14.177,14.335,14.535,14.729,15.029,15.451,15.894,16.853,17.27,17.682,18.504,18.792,20.26,20.686,21.275,22.045,21.78,22.277,21.986,22.17,20.678,20.868,21.203,21.772,21.973,22.494,22.292,21.895,21.059,20.675,20.298,20.229,21.269,22.506,24.441,24.916,26.147,27.029,27.895,27.733,28.373,28.028,28.584,28.376,28.784,28.67,29.024,28.17,29.015,29.816,29.428,30.345,31.146,31.594,32.124,32.68,33.541,34.404,33.759,34.067,33.274,33.651,33.434,32.503,32.461,32.985,33.021,32.984,34.829,35.691,37.013,37.702,39.101,39.627,41.628,42.796,43.133,44.245,46.734,48.895,49.018,49.337,50.827,52.211,53.834,56.015,57.069,58.861,61.025,64.415,64.96,68.262,70.354,71.781,75.033,77.474,80.698,83.799,83.833,87.455,90.561,90.774,91.116,90.82,87.473,85.295,84.704,83.663,83.42,84.101,82.405,82.19,84.323,86.955,88.594,87.831,90.653,93.669,96.41,96.994,99.041,101.697,102.268,106.542,107.101,107.681,108.414,108.285,110.007,110.615,111.829,111.685,110.258,107.577,99.808,89.143,88.036,88.37,92.3
"20","12","    Residential","B011RA3",14.61,13.883,16.011,19.105,18.877,19.979,19.342,17.91,16.564,16.277,17.672,19.843,22.094,24.236,25.569,24.364,23.07,19.963,18.689,18.862,19.355,19.712,19.514,20.562,20.882,20.941,20.147,19.974,20.183,21.497,22.809,24.246,26.046,26.431,25.867,24.769,24.115,23.972,23.501,23.133,22.802,22.252,21.952,21.92,21.053,21.105,22.644,25.057,27.908,28.899,28.353,27.526,28.316,25.987,25.199,25.165,25.263,25.354,26.723,27.62,28.118,28.997,28.973,28.935,29.98,32.137,32.732,33.728,35.795,33.993,33.437,32.827,32.942,33.199,33.329,32.608,33.348,30.673,29.676,26.563,25.764,28.693,30.131,31.886,32.081,32.892,33.482,33.9,35.12,34.743,34.459,31.939,32.003,29.87,31.462,34.779,36.635,40.332,42.319,43.959,46.891,47.811,47.922,49.634,51.303,48.693,46.627,44.399,41.143,39.349,38.052,33.045,31.004,31.67,33.876,35.358,38.973,40.094,39.44,44.467,45.808,51.049,50.887,50.215,50.468,52.892,53.626,53.438,52.189,51.214,50.606,48.694,44.968,36.649,37.275,40.917,40.186,38.824,35.829,32.159,30.305,29.349,29.256,31.398,36.749,41.103,45.174,47.083,48.391,49.287,48.814,48.864,48.713,49.102,49.725,50.908,53.084,56.03,56.893,56.791,56.641,56.89,56.718,56.996,55.763,56.205,56.24,56.734,56.362,54.693,54.097,52.96,53.5,51.442,48.519,45.832,43.105,44.124,45.952,46.96,49.356,51.244,51.361,53.106,53.348,53.976,55.839,58.651,59.895,61.879,61.204,60.401,59.06,57.161,58.929,60.265,61.85,64.462,64.284,63.62,63.835,64.643,64.939,65.606,66.775,68.782,70.847,72.544,72.975,73.76,74.373,75.283,75.872,75.355,74.032,74.096,74.435,75.482,75.89,75.245,77.254,79.149,79.61,80.826,81.607,83.465,87.722,90.101,90.904,94.324,95.284,96.032,97.773,100.049,101.073,101.105,100.031,95.502,89.988,85.194,81.521,78.764,73.932,67.745,62.355,59.738,57.208,53.549,47.478,44.436,46.403,46.833
"21","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Exports","B020RA3",6.537,6.455,6.127,5.433,5.185,4.7,4.811,4.641,5.197,5.152,4.722,4.087,4.02,4.069,4.174,4.512,4.738,5.204,5.332,5.282,5.563,4.951,4.561,4.592,4.514,4.542,4.724,4.569,4.364,4.991,4.83,5.053,5.24,5.118,5.454,5.479,5.739,6.125,6.329,6.613,7.044,6.836,6.644,6.445,5.805,5.833,5.852,5.833,6.219,6.426,6.63,6.453,7.261,7.722,7.527,7.683,7.631,7.525,7.484,7.715,7.696,8.435,7.963,7.791,7.974,8.907,8.431,8.854,9.397,9.552,9.478,9.761,8.708,10.343,9.75,10.457,10.273,10.724,10.321,10.661,10.867,10.768,10.506,10.805,11.119,11.341,12.007,11.854,10.432,12.77,12.464,12.896,13.007,13.58,13.535,13.66,13.712,13.684,14.246,13.052,14.434,14.014,14.86,15.491,16.626,17.428,17.486,18.345,18.579,19.483,18.432,18.913,19.047,18.493,18.181,19.209,19.076,19.268,19.828,20.029,19.708,20.239,20.396,19.741,20.206,22.312,22.557,23.452,23.472,23.534,24.381,25.916,26.639,27.141,27.084,26.919,27.428,27.576,26.989,27.114,25.939,26.095,24.939,23.797,24.181,24.254,24.62,25.116,25.641,26.279,26.859,27.405,27.424,27.325,26.924,27.735,28.612,28.923,29.584,30.686,30.71,31.928,33.304,34.535,36.449,37.458,38.152,39.317,40.473,42.234,42.697,43.368,45.263,45.878,46.213,46.601,46.935,48.624,49.738,50.872,51.779,51.78,52.905,53.175,53.296,53.948,53.772,55.492,56.023,57.871,60.082,61.412,62.541,63.403,66.16,67.115,67.96,69.1,69.659,74.025,75.435,78.423,80.245,80.099,80.476,79.549,79.18,82.166,81.534,82.472,84.635,86.756,88.251,90.757,92.971,92.239,91.029,88.058,83.525,81.17,82.468,84.706,85.296,84.427,83.647,83.384,85.636,89.629,91.743,93.175,93.869,96.006,97.788,99.88,99.908,102.424,106.415,108.2,108.353,112.882,113.856,115.302,120.293,124.436,124.395,127.997,126.828,120.149,109.922,108.766,113.315,119.289
