"","Table 1#1#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"11","4","    Durable goods","DDURRL1",-17.2,-13.6,-24,-2.6,14.4,21,22.2,5.2,-17.1,18.5,14.5,15.4,-36.5,-10.2,-7.8,11.1,80.6,17.3,6.6,8.1,21.2,-8.3,-2.2,11.7,-0.4,21.3,-3.7,0.9,-7.6,11.8,2,-3.4,11.4,9.2,9.3,12.4,8.3,1.5,11.1,3.7,-2.6,10,12.4,10.5,-6.4,0.2,12.5,8.8,5.2,-0.5,-8,1,-0.2,14.3,14.3,10,9.6,2,5.7,2.2,-0.4,-5.4,5.7,7.5,8,3.9,7.5,8.2,12.2,13,8.8,5.4,7.6,6,6.6,5.2,4.1,4.3,-4.5,-3.9
"12","5","    Nondurable goods","DNDGRL1",-5.2,-1.1,-8.8,-0.4,8.2,5.8,11.4,2.5,1.4,4.5,4.3,6,0.3,0.6,2.1,6.2,9,-0.6,0.7,1.5,3.3,1.5,3.8,3.1,1.6,5.2,3.5,2,1.3,4.5,1.7,2,3.1,2.2,4.7,5,5.6,2.1,4.2,2.8,2.2,1.9,4,2.9,-2.4,0.9,4.8,2.3,3.6,2.6,-0.2,1.3,1,3.3,4.1,3,3.6,1.7,2.6,2.7,1.2,-0.3,1.9,2.5,3.9,2.5,2.9,2.9,3.8,5.1,3.2,1.8,2,3.7,3.2,3.4,2.8,2.5,-0.8,-1
"13","6","  Services","DSERRL1",-2.1,-2.6,-6,-3.7,4.9,3.5,6.1,4.7,-0.8,3.9,3.9,5.9,5.5,8,5.6,5.4,4.5,0.4,2.7,2.4,4.4,5.9,4.5,4.2,3.5,5,4.8,3.5,3.3,5,3.9,3.7,4.7,4.2,6,5.5,5,4.1,5.3,4.5,3.9,3.5,5.8,4.7,1.9,3.8,4.3,4.1,4.7,3.1,1.5,1.8,1.9,5.2,3.9,5.2,3,4,4.2,3,3,1.5,3.6,3.2,3,2.5,2.9,3.1,4.4,4.1,5,2.5,1.9,1.9,2.9,3,2.7,2.4,0.7,0.1
"14","7","Gross private domestic investment","A006RL1",-33.3,-37.2,-69.8,47.3,80.6,85.2,28.2,24.9,-33.9,28.6,39.3,22.1,-47.2,-41,23.5,32,156.4,-3.9,27.7,-23.7,41.2,0.3,-9.6,4.7,-4.6,24.3,-1.4,-4.4,-8.3,20.2,0,-0.7,12.7,6.7,8.2,14,8.8,-4.6,5.8,5.8,-6.6,11.4,11.8,11.7,-7.4,-17.7,20.2,15.1,12.1,3.2,-11,9,-14,9.3,29.5,-0.9,-0.7,3.1,2.4,4,-3.4,-8.1,8.1,8.9,13.6,3.1,8.8,12.4,10,8.8,6.8,-7,-1.4,3.6,10,5.5,2.7,-3.8,-7.3,-23.2
"15","8","  Fixed investment","A007RL1",-23.4,-30.7,-41.9,-11.6,29.3,29.6,33.2,17.2,-20.8,20,20.1,14.1,-43.6,-22.8,22.8,36.9,84.4,20.3,10.1,-8.6,19.4,-4.2,-1.9,7,1.6,13,0.4,-1.1,-7.2,14,0.9,-0.3,9,7.7,9.7,10.2,5.7,-1.8,7,6.2,-2.1,7.6,12,9.1,-6.3,-10.7,9.9,14.4,12.1,5.6,-6.5,2.2,-7,7.3,16.9,5.3,1.2,0.5,3.3,3,-2.1,-6.5,5.9,8.6,9.4,6.4,9,9.2,10.9,9.3,7.4,-1.9,-4.2,3.2,7.3,6.5,2.3,-2.1,-5.1,-18.3
"16","9","    Nonresidential","A008RL1",-17.6,-34.5,-40.1,-9.9,27.4,26.7,35.2,19.8,-26.7,11.6,23.8,17.7,-41.1,-16.4,32.8,40.5,47.5,16.4,5.2,-9.2,9.2,4.6,-1.9,9,-2.1,11.1,5.7,1.5,-11,8,5.7,-0.6,8.7,5.6,11.9,17.4,12.5,-1.3,4.5,7.6,-0.5,0,9.2,14.6,0.8,-9.9,4.9,11.3,15,10.1,-0.3,5.7,-3.8,-1.3,17.6,6.6,-2.9,-0.1,5.2,5.6,0.5,-5.4,3.2,8.7,9.2,10.5,9.3,12.1,12,10.4,9.8,-2.8,-7.9,0.9,6,6.7,7.9,6.2,1.6,-17.8
"17","10","      Structures","A009RL1",-14.4,-35.6,-38.8,-22.4,12.7,10.9,31.3,26.8,-20,5.5,13.5,18.8,-38.2,-27.3,30.9,34.8,97.5,-9.1,5.2,-3.3,7.2,7.7,-0.4,8.9,3.4,7.2,10.5,-0.1,-5.5,2.4,8,1.4,4.6,1.2,10.4,15.9,6.8,-2.5,1.4,5.4,0.3,-1.6,3.1,8.2,-2.2,-10.5,2.4,4.1,14.4,12.7,5.9,8,-1.6,-10.8,13.9,7.1,-11,-2.9,0.7,2,1.5,-11.1,-6,-0.6,1.8,6.4,5.7,7.3,5.1,0.1,7.8,-1.5,-17.7,-3.8,1.1,1.4,9.2,14.9,10.3,-19.8
"18","11","      Equipment and software","A010RL1",-20.7,-33.3,-41.5,2.4,38.2,36.3,37.2,16.2,-30.4,15.4,29.6,17.3,-42.6,-10.2,33.7,43.2,24.7,35.9,5.3,-12.4,10.4,2.9,-2.9,9,-5.6,13.7,2.7,2.6,-14.6,11.9,4.2,-1.9,11.6,8.4,12.8,18.3,16,-0.7,6.2,8.8,-1,1,12.9,18.3,2.6,-9.5,6.3,15.1,15.2,8.7,-3.6,4.3,-5.2,5.4,19.8,6.4,1.9,1.4,7.5,7.3,0,-2.6,7.3,12.5,11.9,12,10.6,13.8,14.5,14.1,10.5,-3.2,-4.2,2.5,7.7,8.5,7.4,2.6,-2.6,-16.6
"19","12","    Residential","A011RL1",-39.2,-16.4,-47.2,-18.3,36.8,39.9,26.6,8.7,0.5,41.7,12.8,6.3,-49.4,-40.6,-13.9,17.6,319.7,28.9,19.7,-7.6,36.8,-16.3,-1.8,3.5,8.3,16.2,-8.1,-6.1,1.1,25.4,-7.1,0.3,9.6,11.8,5.8,-2.9,-8.9,-3.1,13.6,3,-6,27.4,17.8,-0.6,-20.6,-13,23.5,21.5,6.3,-3.7,-21.2,-8,-18.2,41.4,14.8,1.6,12.3,2,-1,-3,-8.6,-9.6,13.8,8.2,9.7,-3.3,8,1.9,7.7,6.3,1,0.6,5.2,8.2,9.8,6.2,-7.3,-18.5,-22.9,-20.5
"20","13","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Exports","A020RL1",-17.3,-16.9,-21.7,0.6,11.2,5.4,5,25.9,-1.1,5.6,13.8,2.5,-33.9,-15.7,7.4,40.1,116,14,-21.2,-0.9,-12.4,22.5,-4.3,-6.7,4.8,10.7,16.5,8.7,-13.5,10.3,17.4,0.5,5,7.2,11.8,2.8,6.9,2.3,7.9,4.8,10.7,1.7,7.5,18.9,7.9,-0.6,4.4,2.4,10.5,9.9,10.8,1.2,-7.6,-2.6,8.2,3,7.7,10.8,16,11.5,9,6.6,6.9,3.3,8.7,10.1,8.3,11.9,2.3,4.4,8.6,-5.6,-2,1.6,9.5,6.7,9,8.7,5.4,-9.6
"23","16","    Goods","A253RL1",-17.8,-17.3,-22.5,-0.4,10.2,4.8,5.2,25.7,1.6,5.5,14.9,2.6,-38.6,-21.9,7.3,50.1,131.1,15,-22.6,-0.6,-13.6,21.8,-5.2,-6.8,5.7,10.5,17.3,7.9,-15.2,-0.7,23.4,0.5,4.4,7.9,13.7,0.5,6.9,0.5,7.9,5.2,11.4,-0.4,10.8,23,7.9,-2.3,4.7,1.3,11.2,11.8,11.9,-1.1,-9,-2.9,7.9,3.7,5.1,11.1,18.8,11.9,8.4,6.9,7.5,3.3,9.7,11.7,8.8,14.4,2.2,3.8,11.1,-6.2,-3.6,1.8,8.5,7.5,9.4,7.4,5.9,-12.2
"24","17","    Services","A646RL1",-13,-14.1,-16.7,7.5,18,9.5,4.1,27.4,-15,5.8,7.9,2.4,-11.6,5.6,7.6,12.3,62.4,8.7,-12.7,-2.6,-6.4,26.4,-0.3,-6.4,1.3,11.4,13.1,12.4,-6.3,54.8,1.6,0.6,6.9,5.1,6,10.2,6.9,7.9,7.7,3.7,8.9,7.7,-0.6,7.1,7.8,6.1,3,6.5,8.4,3.1,6.2,10.7,-2.8,-1.7,8.9,1.2,14.5,10,9,10.3,10.5,6,5.4,3.3,6.4,6.3,7,5.9,2.4,5.7,2.7,-4.1,1.9,1.2,11.9,5,7.9,11.8,4.2,-4.1
"25","18","  Imports","A021RL1",-13,-12.8,-17,4.2,2.1,31.1,-1.2,12.6,-22.3,5,2.4,23,-9.2,26.1,4.7,6.3,-17.1,-5.1,16.7,-3.6,18.2,3.9,8.8,9.4,-4.9,12,8.1,4.2,4.8,10.5,1.3,-0.7,11.4,2.7,5.3,10.6,14.9,7.3,14.9,5.7,4.3,5.3,11.3,4.6,-2.3,-11.1,19.6,10.9,8.7,1.7,-6.6,2.6,-1.3,12.6,24.3,6.5,8.5,5.9,3.9,4.4,3.6,-0.1,7,8.6,11.9,8,8.7,13.5,11.7,11.5,13,-2.8,3.4,4.4,11,6.1,6.1,2,-3.2,-13.9
"26","19","    Goods","A255RL1",-15.7,-12.7,-19.1,12.3,2.2,37.4,-3.7,11.8,-23.8,8.9,4.9,18.1,-30.6,15.7,3.7,-0.4,15.6,-4,14.6,-3.9,22.1,-2,2,5.8,-7.7,11.7,8.9,2.9,2.8,17.4,-1.7,-0.1,14.8,4,6.6,14.1,15.8,5.3,20.6,5.5,3.9,8.4,13.6,7.1,-2.8,-12.6,22.6,12.2,9,1.7,-7.4,2.1,-2.5,13.6,24.2,6.3,10.2,4.6,4,4.3,2.9,0.5,9.4,10,13.4,9,9.4,14.4,11.8,12.5,13.4,-3.2,3.7,4.9,11,6.8,5.9,1.7,-3.9,-16
"27","20","    Services","A656RL1",-2.8,-13.1,-11.5,-15.9,1.8,7.4,10.9,15.6,-16.6,-6.7,-5.9,41.9,63,41.4,5.8,14.5,-52.2,-8,23.4,-2.4,6.3,27.2,30.4,18.2,1.1,12.9,6.5,6.9,8.6,-2,7.8,-1.7,4.7,-0.1,2.6,2.9,12.7,12.2,1.8,6.3,5.2,-2.8,4.2,-3.4,-0.1,-4.3,6.9,5,7.1,1.4,-2.2,5.8,5.3,8.1,25.1,7.6,1.1,11.8,3.4,4.8,6.5,-2.6,-2.7,2.7,5.3,3,5.2,8.7,10.9,6.8,11,-0.8,1.8,1.9,11.2,2.8,7.1,3.5,0.7,-3.6
"28","21","Government consumption expenditures and gross investment","A822RL1",10.2,4.2,-3.3,-3.3,12.8,2.7,16.7,-4.2,7.7,8.8,2.8,66.2,135.3,48.8,12.5,-12.7,-65.6,-15.1,7.3,11.9,0.1,36.6,20.4,7.2,-6.8,-3.7,0.1,4.5,3.2,3.4,0.2,5,6.2,2.6,2.2,3,8.8,7.7,3.1,-0.2,-2.4,-2.2,-0.7,-0.4,2.5,2.3,0.4,1.1,2.9,1.9,1.9,0.9,1.8,3.7,3.4,7,6.1,2.4,1.3,2.7,3.2,1.1,0.5,-0.8,0,0.6,1,1.9,2.1,3.6,2,3.8,4.7,2.2,1.4,0.3,1.4,1.7,3.1,1.8
"29","22","  Federal","A823RL1",10.8,3.4,2.3,23.7,34.2,1.8,51,-10,10.4,7.2,12,163.9,207.2,58.2,14.1,-14.1,-73.1,-26.1,7.9,9.7,-5.5,66,30.1,8.1,-13.1,-9,-1.7,3.6,0,3.1,-2.7,4.2,8.5,0.1,-1.3,0,11.1,10,0.8,-3.4,-7.4,-7.7,-4.1,-4.2,0.9,0.3,0,2.1,2.5,2.4,4.7,4.8,3.9,6.6,3.1,7.8,5.7,3.6,-1.6,1.6,2,-0.2,-1.8,-3.9,-3.8,-2.7,-1.2,-1,-1.1,1.9,0.5,4.1,7.3,6.6,4.1,1.3,2.1,1.3,7.7,5.2
"30","23","    National defense","A824RL1",7.3,0.3,0.4,-3.1,-11.5,22.1,19.1,0.7,4.4,10.1,74.9,440.8,265.3,62.9,14.1,-13.9,-76.1,-32.6,0.9,5,-1.3,93.1,32.9,6.4,-14.3,-9.6,-0.7,4.2,-0.5,-2,-1.6,4.4,6,-2.4,-4,-2.1,14.3,13.1,1.6,-4.9,-9.1,-11.3,-7.8,-5.5,-0.8,-0.9,-0.3,1.2,0.9,3,4.4,6.3,7.6,7.2,4.9,8.5,6.4,4.7,-0.5,-0.5,0,-1.1,-5,-5.3,-4.9,-3.7,-1.3,-2.8,-2.1,1.9,-0.5,3.8,7.4,8.7,5.7,1.5,1.6,2.2,7.8,5.4
"31","24","    Nondefense","A825RL1",14.7,6.7,4.2,50.2,62.1,-5,64.5,-13.1,12.5,6.3,-8.5,-11,-20.2,-21.3,13.5,-23.1,43.8,17,37,24,-16,-15,12.1,20.8,-4.8,-5.7,-7.8,-0.8,3.1,36,-7.9,3,20.7,10.7,8.7,6.8,1,-0.9,-2.4,2.7,-1.1,4.7,7.1,-0.6,5.2,3.4,1,4.3,6.2,1.1,5.6,1.3,-4.8,5.2,-1.9,5.9,3.4,-0.1,-5.3,8.3,8.2,2.3,6.6,-0.7,-1.4,-0.4,-0.8,2.7,0.8,2.1,2.4,4.6,7.2,2.8,1,0.9,3.2,-0.6,7.3,4.8
"32","25","  State and local","A829RL1",10.1,4.3,-4.7,-10.4,5.1,3.2,0.6,0,5.9,9.9,-3.3,-6.3,-9.3,-9.1,-3.6,3.5,10,13.8,6.4,15.2,8.2,0.8,1.7,4.9,8.7,7.2,3.2,5.9,8.5,3.8,4.4,6.2,3.1,6,6.8,6.7,6.3,5.1,5.9,3.4,2.8,3.1,2.2,2.9,3.8,3.7,0.7,0.4,3.3,1.5,-0.1,-2,0,1.2,3.6,6.2,6.4,1.4,3.7,3.7,4.1,2.1,2.2,1.5,2.6,2.7,2.3,3.6,3.9,4.5,2.8,3.7,3.3,-0.1,-0.2,-0.2,0.9,2,0.5,-0.2
