"","Table 1#4#3# Real Gross Domestic Product, Real Gross Domestic Pu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2010    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2010 9:09:21 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","Gross domestic product","B191RA3",7.73,7.064,6.606,5.743,5.669,6.285,6.844,7.737,8.134,7.854,8.489,9.233,10.809,12.804,14.9,16.103,15.923,14.181,14.054,14.672,14.596,15.872,17.1,17.754,18.572,18.455,19.783,20.175,20.581,20.395,21.858,22.399,22.921,24.31,25.373,26.841,28.565,30.426,31.195,32.705,33.721,33.786,34.92,36.775,38.905,38.691,38.609,40.68,42.55,44.924,46.328,46.2,47.373,46.453,48.552,52.041,54.194,56.071,57.866,60.244,62.397,63.568,63.419,65.571,67.441,70.188,71.953,74.645,77.972,81.367,85.295,88.825,89.783,91.412,93.688,97.036,100,102.673,104.872,105.331,102.761
"9","2","Less: Exports of goods and services","B020RA3",2.908,2.404,1.998,1.565,1.575,1.751,1.846,1.939,2.442,2.416,2.551,2.902,2.975,1.965,1.656,1.779,2.493,5.384,6.138,4.834,4.789,4.194,5.139,4.917,4.587,4.809,5.323,6.202,6.742,5.831,6.432,7.548,7.588,7.971,8.541,9.547,9.815,10.495,10.737,11.58,12.14,13.445,13.674,14.7,17.471,18.852,18.732,19.55,20.021,22.132,24.326,26.946,27.277,25.193,24.543,26.546,27.352,29.451,32.619,37.844,42.193,45.989,49.042,52.41,54.127,58.847,64.805,70.186,78.55,80.343,83.849,91.054,85.946,84.224,85.574,93.698,100,108.962,118.472,124.842,112.823
"10","3","Plus: Imports of goods and services","B021RA3",2.423,2.107,1.838,1.525,1.589,1.623,2.127,2.102,2.366,1.839,1.931,1.978,2.432,2.208,2.784,2.914,3.098,2.568,2.438,2.845,2.744,3.244,3.371,3.668,4.012,3.815,4.274,4.621,4.815,5.044,5.575,5.649,5.611,6.248,6.416,6.757,7.476,8.587,9.213,10.586,11.189,11.666,12.289,13.672,14.306,13.982,12.428,14.858,16.483,17.911,18.208,16.999,17.446,17.226,19.4,24.122,25.687,27.883,29.532,30.693,32.045,33.191,33.142,35.466,38.532,43.129,46.58,50.631,57.45,64.165,71.55,80.871,78.596,81.27,84.857,94.231,100,106.086,108.188,104.721,90.146
