"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","          Value added","W102RA3",34.471,33.026,32.571,31.904,31.796,31.294,31.541,31.764,31.714,31.681,31.522,31.012,30.618,31.103,31.732,34.226,35.186,37.765,39.623,40.01,40.766,41.377,41.679,41.621,41.947,42.158,42.311,42.133,42.067,42.091,42.246,42.358,42.317,42.112,42.387,42.603,42.681,42.886,43.374,43.67,43.794,44.047,44.359,44.046,43.946,44.239,44.807,45.022,44.807,44.961,45.194,45.496,45.965,46.721,46.861,47.158,47.615,47.896,48.466,49.333,49.735,50.109,50.447,50.561,50.955,51.481,52.073,52.333,52.756,53.289,53.739,54.177,54.248,54.864,55.612,56.435,57.167,58.103,59.29,60.437,61.14,61.458,62.236,62.641,63.506,64.24,64.723,64.719,65.229,65.747,66.26,66.51,66.12,66.149,66.22,66.268,66.358,66.226,66.276,66.334,65.948,65.93,66.225,66.612,66.396,66.346,66.393,66.769,67.435,67.687,67.924,68.273,68.752,68.864,69.006,69.083,69.248,69.338,69.621,69.897,69.955,70.04,70.397,70.62,71.061,71.262,71.814,72.268,72.351,72.187,72.181,72.734,73.127,73.561,73.568,73.357,73.428,73.556,74.012,74.238,74.398,74.604,74.573,74.667,74.922,75.025,75.151,75.047,75.261,75.705,76.28,76.629,77.183,77.75,78.642,78.997,79.369,79.78,80.218,80.898,81.184,81.526,81.85,82.714,83.413,83.62,84.053,84.692,85.128,85.626,86.285,86.752,87.591,87.956,88.44,88.6,89.229,89.14,88.951,88.937,89.244,89.325,89.503,89.381,89.624,89.591,89.619,89.409,89.548,89.645,89.706,89.428,89.731,89.855,89.849,89.147,89.106,90.053,90.019,89.982,90.173,90.353,90.65,90.713,91.059,91.385,91.703,91.844,92.036,92.071,92.393,92.822,93.375,94.236,94.001,94.133,94.784,95.429,95.982,96.326,96.925,97.454,97.864,97.995,98.526,98.798,98.795,98.805,99.048,99.178,99.364,99.72,99.893,99.879,100.069,100.159,100.078,100.252,100.848,101.188,101.424,101.762,102.232,102.657,103.365,103.917,104.611,105.095,105.409,106.107,106.381,106.773
"12","4","            Compensation of general government employees","A194RA3",31.207,30,30.11,29.855,30.293,30.153,31.045,31.881,32.144,32.452,32.572,32.184,31.914,32.816,33.887,37.591,39.007,42.671,45.236,45.553,46.321,46.871,47.023,46.614,46.759,46.749,46.741,46.242,45.871,45.735,45.788,45.844,45.693,45.336,45.661,45.929,45.981,46.206,46.797,47.172,47.291,47.579,47.971,47.466,47.281,47.642,48.356,48.599,48.151,48.244,48.468,48.744,49.267,50.204,50.287,50.58,51.139,51.404,52.109,53.154,53.531,53.923,54.225,54.245,54.648,55.248,55.923,56.128,56.595,57.209,57.732,58.224,58.25,58.986,59.887,60.918,61.783,62.921,64.374,65.77,66.553,66.835,67.72,68.121,69.149,70.012,70.543,70.456,71.067,71.698,72.317,72.595,72.051,72.06,72.144,72.229,72.367,72.25,72.36,72.528,72.068,72.093,72.509,73.042,72.813,72.768,72.85,73.333,74.202,74.52,74.804,75.234,75.822,75.922,76.069,76.108,76.262,76.333,76.648,76.959,76.983,77.037,77.445,77.678,78.208,78.404,79.059,79.585,79.631,79.339,79.243,79.879,80.293,80.755,80.665,80.296,80.29,80.361,80.848,81.04,81.138,81.29,81.133,81.124,81.318,81.302,81.313,81.005,81.097,81.476,82.006,82.241,82.717,83.204,84.093,84.294,84.529,84.809,85.12,85.734,85.856,86.066,86.259,87.133,87.806,87.869,88.215,88.818,89.172,89.598,90.216,90.598,91.431,91.686,92.098,92.12,92.723,92.452,92.071,91.914,92.156,92.139,92.245,91.995,92.192,92.067,92.023,91.702,91.815,91.873,91.894,91.502,91.822,91.917,91.849,90.934,90.817,91.903,91.788,91.671,91.829,91.966,92.239,92.229,92.558,92.85,93.126,93.18,93.287,93.206,93.471,93.863,94.403,95.317,94.923,94.977,95.663,96.328,96.887,97.197,97.807,98.334,98.723,98.783,99.318,99.54,99.445,99.356,99.507,99.535,99.634,99.942,100.044,99.921,100.027,100.009,99.786,99.858,100.422,100.69,100.838,101.088,101.48,101.805,102.444,102.934,103.621,104.089,104.271,104.877,104.96,105.077
"13","5","            Consumption of general government fixed capital \2\","A265RA3",32.854,31.284,29.929,28.701,27.688,26.661,25.756,24.891,24.309,23.684,23.061,22.441,21.913,21.538,21.23,21.055,21.012,21.153,21.398,21.812,22.382,22.969,23.471,24.048,24.629,25.192,25.604,26.049,26.561,26.876,27.192,27.388,27.562,27.694,27.82,27.894,28.005,28.132,28.327,28.414,28.52,28.66,28.76,28.876,28.968,29.07,29.237,29.357,29.655,29.905,30.114,30.416,30.688,30.922,31.162,31.415,31.568,31.837,32.01,32.333,32.721,32.988,33.352,33.653,33.964,34.232,34.538,34.883,35.13,35.387,35.592,35.829,36.001,36.226,36.487,36.672,36.965,37.253,37.594,37.938,38.333,38.692,39.082,39.438,39.757,40.048,40.334,40.557,40.727,40.87,41.025,41.165,41.253,41.332,41.358,41.294,41.236,41.079,40.948,40.678,40.558,40.408,40.309,40.208,40.056,39.991,39.932,39.945,39.932,39.964,40.041,40.113,40.224,40.35,40.462,40.641,40.822,40.96,41.115,41.254,41.411,41.579,41.746,41.914,42.039,42.236,42.419,42.604,42.794,43.041,43.312,43.553,43.846,44.153,44.45,44.746,45.046,45.336,45.649,45.957,46.29,46.643,46.999,47.4,47.82,48.291,48.777,49.34,49.94,50.575,51.268,51.987,52.777,53.59,54.439,55.332,56.183,57.055,57.938,58.832,59.725,60.555,61.364,62.157,62.923,63.686,64.445,65.208,65.951,66.722,67.524,68.315,69.155,69.958,70.722,71.455,72.175,72.855,73.493,74.099,74.682,75.2,75.699,76.147,76.592,76.97,77.316,77.613,77.868,78.145,78.388,78.628,78.847,79.101,79.378,79.662,79.974,80.267,80.609,80.946,81.289,81.676,82.076,82.486,82.91,83.4,83.919,84.484,85.09,85.706,86.308,86.915,87.533,88.118,88.694,89.227,89.696,90.235,90.755,91.278,91.817,92.351,92.873,93.389,93.902,94.452,94.983,95.562,96.345,97.079,97.776,98.412,99.006,99.637,100.32,101.038,101.795,102.571,103.355,104.121,104.873,105.723,106.655,107.668,108.778,109.699,110.433,111.009,112.094,113.336,114.75,116.791
"14","6","          Intermediate goods and services purchased \3\","W104RA3",4.63,5.803,5.746,5.442,5.565,7.001,7.368,8.249,8.706,9.623,9.35,8.842,9.438,10.055,7.66,8.37,11.728,12.546,15.044,15.478,17.124,19.048,19.227,20.091,21.238,21.862,21.068,21.682,19.252,17.761,17.066,17.033,17.206,17.545,17.677,16.731,15.956,17.39,15.266,16.969,18.352,18.313,18.283,19.711,18.282,20.412,18.56,19.707,18.06,19.447,20.339,20.41,18.339,18.4,19.189,19.515,18.514,19.479,19.767,19.941,21.074,21.584,22.828,23.1,23.013,22.313,24.407,24.042,24.046,23.835,23.593,22.882,23.187,23.666,25.512,26.856,27.139,29.106,29.265,29.114,32.406,32.444,32.537,33.136,34.909,34.565,34.526,35.449,34.332,35.093,34.854,34.779,33.988,32.999,33.185,33.383,33.435,33.667,33.619,33.622,35.562,36.494,34.536,34.053,34.379,34.723,33.595,33.745,34.922,34.447,34.713,35.063,35.467,36.096,35.654,35.791,35.21,35.959,35.45,35.26,36.148,37.116,37.756,37.425,37.553,38.41,38.542,38.688,39.179,39.794,38.406,39.298,39.479,40.715,40.019,39.876,40.852,42.045,42.081,42.354,43.079,42.786,44.233,45.766,46.44,47.3,48.922,46.067,46.14,48.25,48.594,49.798,50.893,52.23,54.369,55.388,56.308,58.923,60.579,59.624,59.692,59.521,58.515,59.872,59.329,58.988,58.666,60.985,59.499,61.577,61.661,61.998,62.578,62.328,61.879,63.323,64.31,64.353,64.243,63.309,63.88,64.18,65.861,66.235,65.205,64.76,65.176,66.059,65.801,66.375,67.933,67.667,67.67,67.761,68.187,67.317,67.896,68.82,68.575,69.907,69.662,71.677,71.429,72.968,71.584,74.092,75.295,75.839,76.457,77.268,79.349,81.282,78.947,81.557,81.382,82.543,84.843,86.775,87.938,90.079,92.178,93.404,94.534,95.672,94.352,97.825,97.35,97.675,98.892,99.232,100.499,99.019,99.71,99.305,101.429,99.555,102.117,101.208,101.248,101.278,100.8,102.432,104.497,104.817,105.975,106.291,108.591,108.721,107.478,108.879,109.528,109.197
"15","7","            Durable goods","W105RA3",5.57,5.361,5.584,5.349,9.349,8.67,9.385,11.164,10.005,11.126,12.485,11.603,15.885,16.123,18.793,20.302,26.729,35.883,42.617,52.926,60.43,67.135,70.472,75.385,79.765,84.911,72.399,67.944,59.485,61.058,52.407,52.758,50.066,52.004,47.597,42.739,43.448,48.956,44.515,46.63,47.059,49.954,48.538,47.911,49.726,52.567,48.341,49.015,35.302,36.515,37.96,37.171,32.315,31.162,32.494,31.677,26.211,26.806,27.997,28.209,32.765,33.406,34.229,33.741,34.954,34.155,34.092,34.574,31.312,30.883,30.022,30.612,30.99,34.043,32.04,33.825,38.252,45.635,43.505,51.704,44.999,44.162,43.888,43.702,50.709,49.578,50.342,50.544,46.438,43.771,43.792,41.733,41.386,40.642,40.468,40.859,35.908,33.338,32.735,30.938,41.117,41.865,40.461,39.068,40.05,39.859,37.163,39.103,36.491,39.126,32.445,35.864,37.326,36.922,37.72,36.97,34.616,37.715,33.478,36.04,39.22,45.749,40.424,41.645,44.734,47.05,45.364,45.07,45.965,49.94,47.543,50.924,50.326,50.857,51.677,48.285,53.828,57.666,54.96,58.717,56.683,59.422,60.876,64.789,67.985,70.723,70.024,70.807,72.849,73.038,67.77,72.298,71.737,74.539,80.516,78.273,74.656,83.442,86.174,82.106,82.211,84.593,90.016,88.348,88.475,87.411,87.269,91.791,86.622,89.73,88.444,84.455,86.99,85.649,84.867,86.418,84.896,86.077,84.016,81.618,79.874,77.881,79.709,79.811,75.237,82.981,71.838,71.243,68.915,68.435,72.277,68.368,68.413,64.905,72.413,64.489,65.612,70.439,70.573,67.21,69.197,72.429,70.09,71.422,71.125,73.078,77.182,76.687,75.045,80.846,84.37,80.782,82.142,82.49,83.607,82.497,82.466,86.734,89.96,85.381,86.654,88.834,91.799,89.321,87.539,93.92,94.396,94.577,95.601,99.44,100.449,98.752,97.366,99.189,101.578,101.867,103.667,103.663,106.037,108.787,106.959,110.942,115.688,117.58,119.748,124.57,128.7,130.886,125.031,132.221,138.284,133.958
"16","8","            Nondurable goods","W106RA3",5.628,7.725,7.254,6.898,5.722,8.987,10.097,11.537,14.301,13.903,14.497,14.218,12.581,14.183,6.848,8.954,12.525,12.178,13.156,12.531,13.748,15.625,15.553,17.062,25.13,27.189,25.152,25.334,21.405,19.524,18.847,23.79,15.509,18.982,18.521,16.214,13.816,13.98,11.027,12.297,15.295,11.196,11.634,17.661,11.592,15.864,15.314,17.908,19.421,24.045,24.862,23.337,16.38,17.723,18.806,19.863,15.043,18.372,19.55,19.417,18.356,22.157,26.115,25.205,22.375,19.613,25.073,21.703,23.217,23.45,24.391,21.966,21.662,22.077,27.75,28.312,25.946,30.904,25.93,24.746,36.391,36.373,35.404,36.273,40.792,41.135,40.966,42.548,42.186,43.537,45.007,41.243,38.507,36.441,36.268,37.638,35.513,37.047,38.414,37.508,40.103,40.33,37.715,37.29,35.723,34.974,34.721,36.357,36.517,34.329,36.642,36.603,37.137,38.166,35.29,37.081,38.023,38.216,38.744,39.089,39.601,39.807,42.025,42.196,40.66,41.544,42.762,42.957,42.231,41.611,41.978,41.681,41.682,43.822,41.639,42.921,43.544,46.819,46.061,45.684,44.482,44.323,44.165,44.873,45.028,48.324,54.482,39.639,39.451,46.647,47.186,47.723,48.547,49.714,49.786,49.972,52.749,56.651,58.802,60.695,55.737,54.036,49.31,55.861,50.057,49.322,47.904,52.748,55.225,57.146,57.472,55.997,55.498,55.973,56.46,59.332,61.306,59.222,58.996,58.364,59.533,61.926,62.396,62.452,63.945,63.813,64.74,64.264,64.546,65.284,65.393,67.429,68.036,67.734,68.672,68.457,68.926,69.464,69.988,70.111,72.244,72.719,74.002,75.021,76.871,78.035,79.94,80.811,80.078,81.736,83.554,83.079,85.18,85.619,86.335,87.822,90.289,93.7,93.498,95.659,96.249,97.89,97.213,97.65,96.977,97.625,96.146,97.362,99.226,99.016,99.387,98.277,100.372,99.027,100.382,100.219,100.185,99.445,100.682,99.406,100.816,101.561,102.869,102.061,102.976,103.565,104.037,104.639,104.771,105.807,104.814,103.667
"17","9","            Services","W107RA3",3.818,4.698,4.809,4.541,4.735,5.501,5.453,5.908,5.516,6.961,6.081,5.554,6.612,6.781,6.046,5.985,8.606,8.695,11.116,10.61,11.495,12.633,12.423,12.373,10.162,9.487,10.955,12.471,11.682,9.969,10.495,8.224,12.548,11.238,12.291,12.553,12.288,13.622,12.26,14.057,14.868,16.102,16.094,15.875,15.887,17.008,15.009,15.617,14.631,14.648,15.485,16.399,16.932,16.642,17.212,17.426,18.844,18.866,18.622,18.917,20.384,19.511,19.719,20.612,21.436,21.598,22.697,23.422,23.377,23.02,22.399,22.154,22.697,22.765,23.743,25.335,25.998,25.826,28.48,27.371,28.995,29.2,29.769,30.391,30.265,29.775,29.654,30.445,29.524,30.617,29.709,31.3,31.152,30.523,30.896,30.636,32.267,32.483,32.02,32.611,33.059,34.257,32.455,32.096,33.006,33.836,32.62,31.936,34.072,33.822,34.261,34.322,34.513,35.129,35.543,35.107,34.146,34.779,34.395,33.568,34.269,34.716,35.593,34.824,35.19,35.817,35.781,35.976,36.913,37.543,35.543,36.597,36.981,37.896,37.689,37.344,37.824,37.622,38.445,38.517,40.548,39.748,41.918,43.467,43.989,43.511,43.541,45.197,45.051,45.351,46.492,47.461,48.947,50.142,52.525,54.361,55.229,56.45,57.777,56.326,58.11,58.101,57.466,57.436,58.635,58.53,58.557,59.724,57.378,59.357,59.533,61.092,61.795,61.443,60.719,61.632,62.605,63.25,63.441,62.593,63.258,63.159,65.222,65.738,64.342,62.735,64.48,65.99,65.825,66.483,68.21,67.67,67.475,68.143,67.522,67.316,67.86,68.43,67.886,70.189,68.889,71.265,70.779,72.506,69.986,72.966,73.624,74.187,75.456,75.454,77.456,80.76,76.594,80.172,79.564,80.861,83.351,84.556,85.95,88.784,91.432,92.437,93.943,95.662,94.171,98.275,98.023,98.076,99.1,99.288,100.883,99.298,99.692,99.419,101.803,99.085,102.705,101.648,101.014,101.287,100.226,101.981,104.097,104.723,105.891,105.699,108.669,108.428,107.084,108.12,108.897,109.205
"18","10","        Less: Own-account investment \4\","W108RA3",9.386,9.735,10.096,10.487,11.242,12.829,14.76,16.014,15.678,17.62,19.485,19.377,17.737,17.974,21.585,21.891,22.476,26.234,28.952,28.814,32.891,34.363,35.565,35.73,36.345,34.334,33.942,32.998,33.846,33.5,32.804,31.261,30.831,30.229,30.082,29.453,30.64,32.508,33.623,32.02,33.14,33.541,33.959,34.708,34.4,35.024,37.079,39.695,44.214,46.792,46.032,44.577,41.988,43.884,43.047,43.4,47.031,40.883,43.195,49.101,45.361,42.01,49.518,50.681,47.831,49.489,50.786,48.288,47.654,48.334,48.459,48.41,46.782,49.368,51.128,51.302,52.335,54.13,52.543,53.617,52.974,48.503,47.409,47.383,49.222,51.295,48.708,49.033,48.701,48.931,49.633,48.97,48.768,49.186,51.534,49.588,50.815,50.861,49.047,50.382,50.801,50.699,47.712,50.906,48.835,46.774,47.07,49.471,47.732,51.4,50.637,48.188,49.467,45.567,47.065,47.402,41.092,43.66,45.255,41.865,39.224,40.696,39.868,36.044,33.796,40.185,45.365,49.609,43.706,47.904,50.565,51.829,51.638,50.732,50.251,51.058,49.089,49.307,48.954,50.169,49.314,51.383,51.546,51.73,49.639,50.577,53.839,53.734,53.136,55.78,60.338,61.69,60.609,62.735,64.357,65.142,63.362,66.338,68.738,68.399,68.468,68.558,70.63,70.601,70.387,72.303,72.792,74.343,75.987,79.135,82.265,85.366,86.339,84.168,82.957,84.081,85.213,87.559,88.472,89.37,91.277,87.965,85.864,82.968,84.273,86.665,87.08,85.46,82.415,82.993,86.637,85.349,85.915,85.435,85.831,82.846,83.086,84.354,85.142,84.678,93.977,91.218,86.955,84.017,87.656,93.203,93.376,87.495,84.143,93.699,92.077,92.96,91.175,89.202,92.311,91.62,98.818,103.894,101.082,101.61,102.945,101.842,102.24,101.206,98.44,97.828,98.935,99.841,97.829,100.038,100.145,99.43,98.448,100.066,100.149,101.337,99.915,102.594,102.847,102.894,104.05,104.926,105.82,106.337,107.321,109.457,109.904,109.021,109.221,110.964,110.565,107.952
"19","11","              Sales to other sectors","W109RA3",12.858,11.388,7.746,7.658,9.515,7.905,7.883,9.421,8.087,8.385,9.235,8.916,9.167,13.295,9.011,8.983,16.701,9.269,9.228,9.104,8.97,9.865,9.142,9.527,9.629,9.586,9.604,9.763,9.837,11.686,10.288,10.843,12.4,20.783,12.806,12.939,12.375,13.944,12.292,12.535,13.932,14.918,15.362,15.701,14.743,18.544,14.535,16.255,16.761,15.001,15.331,16.5,16.256,16.189,16.161,15.964,16.247,16.922,17.032,16.969,18.242,18.742,18.739,18.885,21.421,19.69,20.549,20.735,22.228,21.352,22.643,23.07,23.893,24.035,25.492,25.662,27.507,28.862,27.547,27.807,28.297,28.884,29.537,29.871,30.527,31.331,31.924,32.619,32.535,33.147,33.35,33.356,33.913,34.129,34.32,35.176,35.967,36.825,37.776,38.282,40.384,41.734,41.733,43.194,43.496,44.929,43.578,44.048,45.467,45.263,44.055,44.115,45.384,44.953,41.915,43.275,43.871,45.912,46.679,45.032,47.064,47.687,48.679,47.818,48.612,49.772,51.232,51.512,51.867,52.373,52.472,55.133,52.291,53.104,53.796,53.684,54.107,54.255,56.133,54.803,55.727,55.577,55.891,56.772,56.583,56.991,58.127,58.3,57.321,57.404,58.121,57.658,58.378,59.087,59.792,60.314,60.55,61.419,61.567,61.983,62.314,62.444,62.886,62.819,63.357,64.015,64.896,64.17,65.115,65.79,66.128,65.692,66.21,66.134,67.321,68.555,69.049,68.427,70.473,69.977,71.371,71.953,73.072,72.093,74.204,74.865,75.631,75.189,77.374,79.232,77.797,79.551,79.563,79.371,79.83,81.26,80.689,81.15,82.278,82.277,82.13,82.901,83.439,84.648,85.12,84.695,89.449,85.717,86.14,87.461,88.294,88.725,90.916,91.449,92.775,95.047,95.591,96.02,96.827,97.89,97.699,97.201,98.244,97.489,97.424,98.183,98.071,97.786,98.166,98.465,99.357,99.163,100.019,99.34,100.244,100.397,99.91,100.545,100.705,100.529,101.427,102.099,103.201,103.283,104.349,104.788,105.81,104.992,105.199,105.475,105.542,105.544
"20","12","Federal consumption expenditures \1\","A957RA3",31.197,31.291,31.288,29.83,29.607,31.765,32.608,33.677,34.114,34.981,33.513,31.683,31.598,32.109,29.922,34.462,39.548,46.323,53.046,54.249,58.384,61.398,63.019,63.979,65.893,67.424,65.718,66.552,61.775,58.516,57.4,57.178,56.104,53.892,56.451,54.838,53.748,55.544,52.651,55.523,57.485,57.06,56.691,57.999,55.084,57.316,55.561,56.842,53.447,56.025,57.288,57.107,54.141,54.52,55.745,56.195,54.286,55.629,56.883,57.905,59.972,60.793,62.611,62.654,62.118,61.685,64.694,63.943,63.36,63.38,62.713,61.401,61.196,61.788,64.346,66.785,67.085,70.304,72.042,72.563,78.315,78.242,78.453,79.056,81.653,81.3,80.866,81.07,79.304,80.116,79.576,78.798,75.917,73.765,72.913,72.126,71.289,70.526,69.549,68.639,69.492,69.632,67.002,66.012,65.715,65.117,63.057,62.843,64.253,63.187,63.467,63.607,62.996,63.345,63.068,63.009,62.448,62.833,61.893,62.131,62.568,63.559,64.126,63.963,64.199,65.082,64.997,65.063,65.737,66.564,64.967,65.71,67.286,69.637,68.788,68.586,70.307,72.031,71.724,72.429,73.066,72.615,74.431,76.151,76.765,78.054,79.974,75.935,76.356,78.97,79.014,80.34,81.465,82.551,84.604,84.758,84.575,86.967,88.753,87.547,88.404,88.636,88.184,90.537,89.072,87.916,87.126,90.332,88.048,90.387,90.439,90.729,91.64,91.392,90.43,91.528,93.104,92.576,90.856,89.253,89.027,88.737,89.838,90.12,87.667,86.419,85.93,86.311,84.414,83.565,85.263,83.32,82.796,82.598,82.395,78.928,79.82,80.979,79.699,80.491,79.656,81.184,80.123,80.4,77.52,79.487,78.124,79.515,79.152,78.217,79.801,81.624,78.705,82.464,80.484,80.319,82.324,83.848,84.33,85.311,87.336,88.929,89.986,91.93,92.026,96.506,96.379,97.058,98.547,98.827,100.235,99.094,99.754,99.425,101.426,99.394,102.313,100.957,101.292,101.024,99.804,101.119,103.511,104.322,106.25,107.351,110.659,111.933,111.206,113.899,115.958,116.476
"21","13","      Gross output of general government","W110RA3",32.424,32.108,31.122,29.649,29.991,31.61,32.445,33.882,33.834,34.691,33.456,31.52,31.4,32.977,29.773,34.229,41.439,46.06,52.717,53.864,57.884,61.133,62.535,63.566,65.499,66.91,65.207,65.979,61.331,58.578,56.994,56.821,56.11,56.154,56.448,54.831,53.605,55.808,52.537,55.337,57.626,57.433,57.141,58.449,55.21,58.317,55.518,57.185,53.919,55.997,57.27,57.403,54.281,54.672,55.834,56.236,54.366,55.707,56.888,57.845,59.928,60.823,62.608,62.636,62.42,61.542,64.689,63.802,63.547,63.163,62.729,61.416,61.225,61.767,64.54,66.825,67.556,70.918,72.139,72.569,78.084,77.963,78.238,78.694,81.212,80.882,80.463,80.756,78.883,79.811,79.262,78.429,75.684,73.505,72.575,71.85,70.98,70.272,69.387,68.454,69.741,69.996,67.278,66.517,66.112,65.839,63.618,63.313,65.027,64.042,64.078,64.202,63.803,63.992,63.102,63.156,62.475,63.25,62.448,62.049,62.948,64.093,64.831,64.19,64.533,65.612,65.782,65.753,66.37,67.182,65.578,66.924,67.785,70.267,69.546,69.155,70.779,72.355,72.431,72.666,73.453,72.926,74.724,76.551,76.916,78.12,80.267,76.366,76.639,79.269,79.527,80.598,81.738,82.846,84.972,85.09,84.815,87.323,89.053,87.936,88.822,89.044,88.707,90.935,89.563,88.533,87.949,90.726,88.608,91.023,91.132,91.192,92.211,91.817,91.16,92.489,94.021,93.13,91.957,89.934,89.976,89.584,90.773,90.324,88.306,87.141,86.692,86.578,85.27,84.982,85.886,84.307,83.447,82.94,82.769,79.646,80.203,81.461,80.542,81.022,79.91,81.423,80.157,80.43,77.725,79.4,79.664,79.249,78.778,78.43,80.02,81.532,78.889,82.353,80.502,80.693,82.363,83.659,84.143,85.301,87.227,88.549,89.983,91.579,91.665,96.356,96.128,96.665,98.058,98.403,100.101,98.846,99.786,99.214,101.508,99.493,102.103,100.894,101.158,100.634,99.589,100.86,103.352,103.912,105.796,106.907,110.493,111.483,110.902,113.603,115.677,116.195
"22","14","        Value added","W111RA3",75.281,70.392,68.528,66.039,65.688,64.01,64.494,64.671,63.723,62.791,61.497,59.241,57.778,59.199,61.113,69.187,72.078,80.314,86.174,87.034,89.319,91.056,91.627,90.888,91.464,91.601,91.422,90.19,89.417,88.975,88.904,88.569,87.955,86.659,86.671,86.48,86.14,85.582,86.201,86.31,86.212,86.342,86.39,84.245,83.167,82.953,83.791,83.673,82.579,82.604,82.668,82.914,83.45,84.967,84.315,84.395,84.59,85.109,86.09,88.424,89.509,89.813,89.885,89.248,89.598,90.382,90.94,90.759,90.699,91.226,91.724,91.65,91.027,91.258,92.078,93.374,94.834,96.586,99.179,101.374,103.798,103.941,104.926,104.808,105.484,106.638,106.875,105.592,105.966,106.511,106.996,106.378,103.723,102.458,101.296,100.13,99.229,97.756,96.557,95.294,93.661,92.196,92.033,92.118,90.529,89.27,88.204,88.173,88.998,88.826,88.581,88.645,88.511,88.238,88.146,88.176,88.359,88.363,88.437,88.51,88.407,88.537,88.852,88.838,89.39,89.8,90.073,89.837,89.682,89.627,89.766,89.639,90.194,91.434,91.602,91.166,91.923,92.275,92.788,93.027,93.256,93.732,94.279,94.77,95.505,96.013,96.601,96.659,97.347,98.104,98.82,99.21,100.045,100.91,101.783,101.945,102.453,102.686,103.149,103.575,104.523,105.031,106.152,106.958,106.96,106.489,106.87,107.583,107.643,107.975,108.598,108.966,109.933,110.128,110.55,110.483,112.249,111.394,110.382,109.725,109.43,108.889,108.377,107.758,107.821,107.07,106.287,104.957,104.615,103.581,102.767,101.303,100.621,100.281,99.614,96.179,96.315,97.225,96.695,95.552,95.301,94.944,94.677,93.599,93.621,93.509,93.569,93.489,93.465,92.715,92.474,92.47,93.121,95.023,93.285,92.804,93.635,94.054,94.168,93.857,94.906,95.552,96.168,96.492,97.726,98.532,98.589,98.578,99.048,98.941,99.356,99.996,100.136,99.866,99.803,100.194,99.468,99.503,100.367,100.393,100.152,100.041,101.049,101.512,102.618,103.735,105.376,106.925,108.183,110.327,112.191,113.506
