"","Table 6#9B# Hours Worked by Full-Time and Part-Time Employees by","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"16","9","    Manufacturing","B4709C0",30409,27750,30123,32600,33219,34716,31815,33621,34139,33570,30636,32734,32607,31762,33201,33510,34212,36047,38540,38440,38928,39544,37004,35478,36964,39065,38270,34579,36241,37684,39384,40185,38157,38084,34701,35038,37378,37039,36414,36650
"17","10","      Durable goods","J4710C0",16411,14469,16213,18385,19003,20243,17956,19241,19673,19373,17063,18534,18457,17717,18819,19117,19642,20981,22876,22768,22968,23385,21438,20248,21421,23201,22856,20192,21161,22291,23713,24474,22917,22856,20376,20477,22370,22314,21668,21582
"18","11","      Nondurable goods","J4711C0",13998,13281,13910,14215,14216,14473,13859,14380,14466,14197,13573,14200,14150,14045,14382,14393,14570,15066,15664,15672,15960,16159,15566,15230,15543,15864,15414,14387,15080,15393,15670,15712,15240,15228,14325,14561,15009,14725,14746,15068
"19","12","    Transportation and public utilities","B4712C0",8506,7931,7848,8266,8233,8330,7946,8140,8338,8285,7735,7809,7802,7613,7640,7660,7788,7966,8235,8301,8440,8691,8738,8606,8716,9020,8996,8569,8587,8853,9223,9529,9426,9394,9119,8984,9413,9721,9697,9987
"20","13","      Transportation","J4713C0",6113,5543,5466,5789,5720,5730,5336,5471,5558,5481,5025,5125,5087,4926,4949,4953,5026,5118,5277,5290,5375,5432,5309,5202,5234,5428,5388,5047,5088,5253,5448,5573,5357,5222,4869,4824,5245,5542,5561,5870
"21","14","      Communication","B4714C0",1367,1347,1330,1394,1429,1493,1500,1550,1639,1658,1549,1530,1553,1526,1533,1541,1588,1654,1748,1779,1810,1970,2094,2050,2112,2182,2193,2133,2117,2189,2295,2429,2509,2573,2618,2501,2485,2447,2422,2390
"22","15","      Electric, gas, and sanitary services","J4715C0",1026,1041,1052,1083,1084,1107,1110,1119,1141,1146,1161,1154,1162,1161,1158,1166,1174,1194,1210,1232,1255,1289,1335,1354,1370,1410,1415,1389,1382,1411,1481,1527,1560,1599,1632,1659,1684,1732,1714,1727
"23","16","    Wholesale trade","J4716C0",5461,5282,5304,5608,5701,5749,5684,5818,6037,6058,6021,6198,6335,6360,6472,6563,6721,6996,7277,7395,7545,7816,7940,7958,8206,8556,8581,8403,8673,9018,9554,10020,10039,10300,10043,9949,10413,10781,10719,10962
"24","17","    Retail trade","J4717C0",13213,13210,13563,14362,14449,14465,14371,14712,15084,15035,14855,15387,15807,15599,15959,16351,16848,17411,17956,18305,18792,19444,19684,20077,20680,21542,21513,21588,22421,23172,24105,24520,24192,24417,24277,24927,26519,27063,27146,28610
"25","18","    Finance, insurance, and real estate","J4718C0",3280,3327,3469,3620,3750,3896,4023,4212,4390,4488,4575,4687,4826,4932,5039,5177,5331,5532,5695,5863,6166,6453,6650,6791,7002,7352,7532,7590,7757,8125,8684,9104,9424,9667,9628,9816,10356,10971,11373,11857
"26","19","    Services","J4719C0",12532,12479,12940,13184,13112,13316,13180,14051,14764,15095,15422,15906,16481,16809,17346,17813,18427,19129,19896,20504,21027,21876,21966,22401,23529,24706,25037,25547,26330,27493,29016,30243,31127,32218,33375,34964,36654,37659,39450,41362
"27","20","  Government","B4720C0",13110,14026,14462,18132,19663,19514,19182,18904,19029,19372,19414,19229,19768,20455,21264,21637,22336,23071,24983,26324,27135,27621,27467,27350,27319,27616,28080,28555,28681,28862,29483,29714,30091,29699,29609,29408,29685,30270,30996,31418
"28","21","    General government","B4721C0",11624,12457,12899,16500,17873,17764,17431,17144,17256,17558,17549,17312,17785,18430,19207,19559,20209,20879,22650,23917,24664,25084,24831,24691,24676,24927,25305,25756,25892,26113,26647,26779,27097,26709,26629,26476,26674,27162,27772,28128
"29","22","    Government enterprises","B4722C0",1486,1569,1563,1632,1790,1750,1751,1760,1773,1814,1865,1917,1983,2025,2057,2078,2127,2192,2333,2407,2471,2537,2636,2659,2643,2689,2775,2799,2789,2749,2836,2935,2994,2990,2980,2932,3011,3108,3224,3290
"30","23","Rest of the world","B4723C0",15,-31,-8,-114,-141,-162,-264,-287,-295,-277,-266,-279,-297,-260,-189,-150,-131,-44,-31,-31,-33,-46,-42,-40,-44,-50,-44,-52,-52,-48,-58,-46,-50,-129,-133,-146,-152,-147,-137,-137
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
