"","Table 6#3B# Wage and Salary Accruals by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"21","14","      Durable goods","J4114C0",26385,24281,28163,35104,38746,44031,40462,44941,48637,50672,47047,52785,54496,53878,58872,61688,66024,72032,81125,84702,92101,99639
"22","15","        Lumber and wood products","J4115C0",1945,1733,2056,2358,2363,2370,2246,2514,2613,2397,2342,2650,2578,2463,2620,2767,3043,3209,3399,3484,3932,4315
"23","16","        Furniture and fixtures","J4116C0",926,881,1082,1139,1213,1286,1218,1377,1464,1496,1448,1603,1617,1574,1715,1790,1953,2114,2363,2400,2660,2871
"24","17","        Stone, clay, and glass products","J4117C0",1630,1559,1786,2108,2096,2293,2258,2533,2735,2788,2760,3119,3221,3158,3343,3508,3756,3960,4237,4295,4634,5103
"25","18","        Primary metal industries","J4118C0",4190,3692,4378,5354,5369,6143,5391,6554,7109,7409,6459,7155,7386,7117,7571,7839,8585,9343,10027,9873,10634,11614
"26","19","        Fabricated metal products","J4119C0",3557,3311,3911,4741,5182,5930,5474,6035,6506,6871,6282,6921,7144,7038,7655,7992,8624,9408,10561,11254,12342,13402
"27","20","        Machinery, except electrical","J4120C0",4770,4146,4589,6261,6964,7445,6764,7217,8316,8584,7580,8673,8956,8853,9731,10278,11411,12740,14704,15495,16382,18131
"28","21","        Electric and electronic equipment","J4121C0",3083,2744,3271,4063,4671,5447,5034,5499,6151,6552,6403,7617,8255,8609,9497,9580,9839,10728,12491,13509,14483,15749
"29","22","        Motor vehicles and equipment","J4122C0",2560,2656,3221,3563,3642,4526,3958,4870,4383,4427,3780,4386,4730,4255,5001,5600,6041,6955,7303,7050,8519,8966
"30","23","        Other transportation equipment","J4123C0",1700,1652,1696,2964,4457,5422,5048,5100,5791,6417,6309,6652,6437,6612,7281,7711,7887,8303,10101,10995,11662,12024
"31","24","        Instruments and related products","J4124C0",856,819,965,1257,1458,1674,1626,1730,1951,2116,2097,2311,2415,2445,2588,2698,2823,3067,3559,3867,4177,4591
"32","25","        Miscellaneous manufacturing industries","J4125C0",1168,1088,1208,1296,1331,1495,1445,1512,1618,1615,1587,1698,1757,1754,1870,1925,2062,2205,2380,2480,2676,2873
"33","26","      Nondurable goods","J4126C0",20760,20357,22153,24253,25436,27222,27112,28948,30852,31843,31672,34152,35280,36034,37921,39052,41274,43646,47081,49611,53946,58079
"34","27","        Food and kindred products","J4127C0",5118,5207,5499,6052,6376,6769,6936,7249,7709,7921,7986,8421,8795,8988,9247,9451,9906,10231,10767,11320,11988,12718
"35","28","        Tobacco manufactures","B4128C0",202,214,224,259,277,292,303,314,329,337,342,358,377,370,389,397,422,423,436,454,484,500
"36","29","        Textile mill products","J4129C0",3426,3048,3460,3581,3461,3490,3129,3327,3391,3282,3118,3467,3448,3399,3610,3639,3883,4242,4630,4758,5323,5652
"37","30","        Apparel and other textile products","J4130C0",2924,2809,3006,3126,3253,3449,3326,3517,3733,3770,3670,4012,4092,4120,4476,4620,4926,5274,5646,5946,6573,6928
"38","31","        Paper and allied products","J4131C0",1501,1465,1686,1923,2004,2224,2292,2499,2712,2812,2868,3152,3288,3464,3678,3828,4028,4250,4616,4876,5267,5768
"39","32","        Printing and publishing","B4132C0",2519,2653,2814,3033,3251,3530,3703,3942,4246,4471,4565,4849,5162,5331,5546,5723,6093,6436,6970,7427,7969,8695
"40","33","        Chemicals and allied products","J4133C0",2142,2126,2343,2838,3094,3475,3556,3815,4232,4540,4573,4907,5162,5350,5625,5896,6238,6628,7329,7890,8603,9450
"41","34","        Petroleum and coal products","J4134C0",912,919,961,1088,1176,1257,1271,1329,1409,1491,1462,1495,1462,1473,1447,1478,1471,1500,1558,1617,1755,1910
"42","35","        Rubber and miscellaneous plastics products","J4135C0",1035,976,1152,1332,1442,1595,1498,1771,1852,1960,1869,2156,2194,2225,2539,2656,2864,3158,3527,3679,4184,4658
"43","36","        Leather and leather products","J4136C0",981,940,1008,1021,1102,1141,1098,1185,1239,1259,1219,1335,1300,1314,1364,1364,1443,1504,1602,1644,1800,1800
"44","37","    Transportation and public utilities","A4137C0",13587,13385,14081,15977,16961,18004,17679,18757,20274,21248,20820,21976,22783,22903,23846,24627,26087,27598,29697,31594,34148,37540
"45","38","      Transportation","J4138C0",9783,9349,9863,11321,11833,12378,11772,12478,13460,14027,13410,14223,14629,14458,15059,15472,16317,17276,18579,19715,21346,23176
"46","39","        Railroad transportation","B4139C0",5422,4995,5187,5962,5995,6004,5476,5622,6015,6050,5556,5593,5498,5197,5241,5206,5300,5446,5542,5592,5726,5935
"47","40","        Local and interurban passenger transit","J4140C0",1203,1180,1164,1221,1254,1276,1229,1222,1240,1277,1248,1274,1307,1311,1321,1337,1374,1427,1503,1594,1708,1775
"48","41","        Trucking and warehousing \1\","B4141C0",1617,1689,1994,2295,2534,2878,2919,3299,3620,3820,3868,4396,4592,4667,5038,5345,5754,6265,6834,7173,7938,8765
"49","42","        Water transportation","J4142C0",880,800,832,1024,1094,1194,1091,1184,1272,1410,1223,1278,1379,1356,1422,1453,1552,1584,1795,1878,1980,2048
"50","43","        Transportation by air \1\","J4143C0",319,331,350,419,512,568,600,677,799,930,983,1124,1268,1329,1425,1504,1669,1852,2133,2637,3091,3645
"51","44","        Pipelines, except natural gas","B4144C0",123,121,117,132,147,148,147,148,158,166,162,164,160,161,158,156,154,153,156,158,166,175
"52","45","        Transportation services","J4145C0",219,233,219,268,297,310,310,326,356,374,370,394,425,437,454,471,514,549,616,683,737,833
"53","46","      Communication","A4146C0",2120,2222,2280,2532,2815,3109,3270,3519,3857,4095,4073,4239,4464,4611,4814,5011,5403,5759,6305,6735,7256,8299
"54","47","        Telephone and telegraph","J4147C0",199,219,249,291,325,367,417,450,496,527,557,584,624,635,671,713,776,826,901,972,1071,1180
"55","48","        Radio and television","J4148C0",1921,2003,2031,2241,2490,2742,2853,3069,3361,3568,3516,3655,3840,3976,4143,4298,4627,4933,5404,5763,6185,7119
"56","49","      Electric, gas, and sanitary services","J4149C0",1684,1814,1938,2124,2313,2517,2637,2760,2957,3126,3337,3514,3690,3834,3973,4144,4367,4563,4813,5144,5546,6065
"57","50","    Wholesale trade","J4150C0",9303,9155,9739,10937,11509,12226,12532,13344,14801,15566,15973,17057,18027,18567,19510,20496,21905,23541,25715,27568,29866,32846
"58","51","    Retail trade","J4151C0",14682,15069,16111,17479,18454,19673,20083,21462,22880,23934,24285,26114,27770,28168,29912,31645,34040,36714,39643,42445,46776,51321
"59","52","    Finance, insurance, and real estate","J4152C0",4921,5147,5683,6241,6756,7365,7980,8662,9454,10091,10750,11624,12330,13221,13876,14722,15820,16915,18243,20031,22613,25063
"60","53","      Banking","J4153C0",1228,1298,1399,1556,1716,1873,1999,2140,2341,2526,2704,2866,3104,3305,3508,3735,4000,4258,4611,5093,5702,6531
"61","54","      Credit agencies other than banks","J4154C0",320,351,401,456,522,587,656,747,848,930,986,1086,1209,1317,1409,1562,1686,1809,1908,2015,2166,2355
"62","55","      Security and commodity brokers","J4155C0",248,244,314,342,342,353,447,547,562,571,660,834,848,1092,1021,989,1092,1228,1491,1887,2558,2808
"63","56","      Insurance carriers","B4156C0",1620,1755,1914,2102,2310,2568,2740,2892,3150,3458,3692,3913,4149,4346,4571,4854,5203,5480,5804,6322,6893,7355
"64","57","      Insurance agents, brokers, and service","J4157C0",344,373,411,469,511,565,615,655,728,786,851,906,977,1047,1120,1188,1283,1379,1482,1606,1740,1921
"65","58","      Real estate","J4158C0",1095,1059,1180,1247,1272,1334,1430,1579,1710,1695,1716,1861,1882,1936,2057,2200,2342,2520,2681,2823,3190,3641
"66","59","      Holding and other investment offices","B4159C0",66,67,64,69,83,85,93,102,115,125,141,158,161,178,190,194,214,241,266,285,364,452
"67","60","    Services","J4160C0",12878,13275,14102,15350,16434,17640,18309,20119,22109,23796,25173,27228,29523,31341,33783,36032,39113,42503,47001,51894,57756,65530
"68","61","      Hotels and other lodging places","B4161C0",918,922,932,996,1065,1125,1145,1196,1263,1353,1367,1455,1549,1576,1662,1780,1946,2121,2344,2587,2852,3199
"69","62","      Personal services","J4162C0",1778,1787,1837,1959,2059,2159,2217,2315,2466,2574,2611,2741,2859,2949,3095,3222,3452,3701,3991,4258,4504,4729
"70","63","      Business services","J4163C0",1051,1083,1201,1385,1571,1766,1897,2128,2496,2793,3010,3414,3829,4238,4747,5127,5801,6496,7422,8305,9242,10695
"71","64","      Auto repair, services, and parking","B4164C0",562,531,521,547,582,614,615,657,727,793,839,942,1032,1082,1165,1256,1372,1484,1599,1735,1918,2163
"72","65","      Miscellaneous repair services","B4165C0",356,318,302,379,415,415,380,413,475,517,500,569,622,646,676,709,767,843,949,1044,1123,1240
"73","66","      Motion pictures","J4166C0",655,660,658,680,697,689,723,775,789,783,746,776,773,816,793,808,865,969,1043,1103,1176,1281
"74","67","      Amusement and recreation services","J4167C0",594,601,607,631,665,716,757,815,869,930,1025,1115,1224,1296,1388,1474,1572,1647,1767,1922,2087,2243
"75","68","      Health services","J4168C0",1505,1637,1851,2086,2318,2573,2810,3087,3322,3689,4095,4427,4841,5232,5693,6296,6971,7652,8592,9995,11748,13994
"76","69","      Legal services","J4169C0",224,240,270,301,336,376,404,440,485,519,561,610,666,712,772,834,915,993,1087,1185,1332,1548
"77","70","      Educational services","J4170C0",809,858,899,934,965,1021,1090,1180,1307,1450,1577,1746,1920,2157,2442,2686,2966,3347,3765,4130,4735,5525
"78","71","      Social services and membership organizations","J4171C0",1478,1688,1816,1981,2123,2346,2533,2735,2946,3198,3467,3894,4315,4686,5101,5365,5660,6050,6669,7285,7993,9069
"79","72","        Social services","B4172C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","73","        Membership organizations","B4173C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","74","      Miscellaneous professional services","J4174C0",587,597,639,823,1037,1163,1187,1350,1722,1900,1898,2014,2131,2253,2481,2689,2957,3279,3809,4223,4728,5468
"82","75","      Private households","B411RC0",2361,2353,2569,2648,2601,2677,2551,3028,3242,3297,3477,3525,3762,3698,3768,3786,3869,3921,3964,4122,4318,4376
"83","76","  Government","A553RC0",19020,20827,22633,29229,33378,34338,34905,36596,38802,41013,44122,46054,49182,52471,56347,60026,64925,69910,78389,86483,96689,105600
"84","77","    Federal","A4177C0",10230,11110,12250,17864,20823,20698,20020,20582,21162,21594,22732,23100,24045,25070,26630,27931,29901,31500,35840,39112,43146,46040
"85","78","      General government","A4178C0",8618,9325,10400,15810,18474,18389,17679,18113,18601,18916,19771,20057,20764,21582,22979,23970,25695,26976,30862,33783,37210,39582
"86","79","        Civilian","B4179C0",4487,4863,5147,6878,7744,7765,7407,7932,8431,8713,9431,9691,10349,11006,11723,12466,13288,14046,15438,16715,18365,19573
"87","80","        Military \2\","B4180C0",4131,4462,5253,8932,10730,10624,10272,10181,10170,10203,10340,10366,10415,10576,11256,11504,12407,12930,15424,17068,18845,20009
"88","81","      Government enterprises","B4181C0",1612,1785,1850,2054,2349,2309,2341,2469,2561,2678,2961,3043,3281,3488,3651,3961,4206,4524,4978,5329,5936,6458
"89","82","    State and local","A4182C0",8790,9717,10383,11365,12555,13640,14885,16014,17640,19419,21390,22954,25137,27401,29717,32095,35024,38410,42549,47371,53543,59560
"90","83","      General government","A4183C0",8157,9019,9634,10520,11517,12532,13735,14788,16378,18105,19964,21336,23363,25604,27712,29977,32682,35878,39841,44474,50195,55847
"91","84","        Education","B4184C0",3599,3983,4292,4740,5244,5739,6361,6909,7734,8692,9719,10617,11857,13022,14287,15707,17390,19221,21603,24248,27569,30857
"92","85","        Other","B4185C0",4558,5036,5342,5780,6273,6793,7374,7879,8644,9413,10245,10719,11506,12582,13425,14270,15292,16657,18238,20226,22626,24990
"93","86","      Government enterprises","B4186C0",633,698,749,845,1038,1108,1150,1226,1262,1314,1426,1618,1774,1797,2005,2118,2342,2532,2708,2897,3348,3713
"94","87","Rest of the world","A4187C0",86,58,78,14,2,-7,-57,-70,-82,-78,-72,-81,-155,-144,-95,-63,-54,5,24,30,12,22
"95","88","  Receipts from the rest of the world","B4188C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,159,167,173,178,187,196,205,213,223,237
"96","89","  Less:  Payments to the rest of the world","B4189C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,314,311,268,241,241,191,181,183,211,215
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","1. Beginning with 1987, reflects the reclassification of air couriers from trucking and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","2. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
