"","Table 7#2# Quantity and Price Indexes for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"14","5","  Current dollars","A190RT",1.31,1.18,1,0.79,0.74,0.86,0.93,1.06,1.15,1.11,1.18,1.27,1.57,2.05,2.56,2.83,2.88,2.78,3.15,3.39,3.47,3.71,4.23,4.56,4.86,4.92,5.27,5.58,5.92,6.02,6.47,6.73,6.97,7.46,7.88,8.47,9.13,9.97,10.59,11.59,12.54,13.33,14.39,15.82,17.6,19.11,21.09,23.21,25.81,29.17,32.74,36,39.85,42.07,45.49,49.69,53.85,57.13,60.58,65.4,70.17,74.37,76.92,80.99,85.07,89.83,94.66,100,106.07,111.89,118.39,125.41,130.31,134.17
"15","6","  Chain-type quantity index","B190RA",10.68,9.95,9.37,8.31,8.05,8.8,9.36,10.59,11.04,10.88,11.69,12.46,14.46,17.47,20.62,22.32,22.12,19.06,19.49,19.85,20.31,21.49,22.99,24.24,25.44,25.5,26.9,27.52,28.22,28,29.78,30.56,31.29,33.01,34.48,36.54,38.65,41,42.25,44.33,45.69,46.11,47.39,49.95,52.6,52.43,52.92,55.1,57.54,60.68,62.88,63.32,64.11,63.66,66.23,69.74,73.22,75.97,78.23,81.62,84.35,86.03,85.85,88.24,90.5,93.61,96.52,100,104.01,108.33,112.99,117.19,118.95,121.09
"16","7","  Chain-type price index","B190RG",12.34,11.86,10.68,9.49,9.27,9.75,9.94,10.06,10.42,10.27,10.13,10.2,10.87,11.76,12.41,12.7,13.04,14.58,16.15,17.08,17.1,17.25,18.42,18.82,19.09,19.3,19.59,20.26,20.97,21.49,21.72,22.03,22.28,22.59,22.84,23.19,23.62,24.3,25.06,26.15,27.45,28.91,30.37,31.67,33.45,36.43,39.85,42.12,44.85,48.06,52.07,56.86,62.16,66.08,68.69,71.25,73.55,75.2,77.44,80.12,83.18,86.46,89.6,91.79,94,95.97,98.07,100,101.98,103.28,104.79,107.02,109.55,110.8
"17","8","  Implicit price deflator","A190RD",12.3,11.82,10.65,9.46,9.24,9.72,9.91,10.02,10.39,10.23,10.09,10.21,10.87,11.76,12.41,12.7,13.04,14.58,16.15,17.08,17.1,17.25,18.42,18.82,19.09,19.3,19.59,20.26,20.98,21.49,21.73,22.04,22.28,22.59,22.84,23.19,23.63,24.31,25.07,26.16,27.45,28.92,30.38,31.67,33.45,36.44,39.85,42.13,44.86,48.07,52.07,56.86,62.16,66.08,68.69,71.25,73.54,75.2,77.44,80.12,83.18,86.45,89.6,91.79,94,95.96,98.07,100,101.98,103.28,104.79,107.02,109.55,110.8
"18",NA,"Gross domestic purchases:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","  Current dollars","A712RT",1.31,1.15,0.97,0.74,0.71,0.83,0.93,1.06,1.16,1.08,1.15,1.26,1.59,2.05,2.54,2.81,2.83,2.72,2.96,3.34,3.32,3.72,4.27,4.53,4.82,4.82,5.25,5.51,5.79,5.92,6.44,6.64,6.86,7.39,7.79,8.34,9.06,9.96,10.54,11.55,12.48,13.14,14.32,15.8,17.53,19.03,20.52,23.11,26.01,29.38,32.78,35.57,39.82,41.5,45.39,51.06,54.76,58.02,61.82,65.99,70.48,74.34,76.02,80.32,84.82,90.37,94.72,100,106.4,113.05,120.53,128.95,132,137.56
"20","10","  Chain-type quantity index","B712RA",10.61,9.73,9.13,7.95,7.85,8.67,9.53,10.73,11.25,10.75,11.63,12.57,14.84,17.77,20.9,22.6,22.18,18.89,18.54,19.81,19.67,21.69,23.16,24.23,25.52,25.24,27.05,27.48,27.97,27.95,30.08,30.59,31.28,33.24,34.61,36.48,38.97,41.66,42.81,45,46.37,46.31,47.98,50.67,53.11,52.35,51.7,55.1,58.04,61.18,62.72,61.55,63.15,62.22,65.73,71.46,74.45,77.15,79.55,82.12,84.47,85.61,84.64,87.27,90.11,94.08,96.45,100,104.68,110.37,115.92,121,121.5,125.15
"21","11","  Chain-type price index","B712RG",12.33,11.82,10.65,9.41,9.15,9.6,9.77,9.9,10.28,10.07,9.96,10.02,10.66,11.51,12.15,12.41,12.76,14.36,15.92,16.86,16.89,17.1,18.31,18.65,18.87,19.1,19.37,20.02,20.7,21.18,21.41,21.71,21.94,22.23,22.5,22.85,23.26,23.91,24.61,25.66,26.92,28.37,29.84,31.17,32.99,36.35,39.69,41.93,44.8,48.02,52.26,57.79,63.05,66.71,69.05,71.46,73.56,75.22,77.7,80.36,83.45,86.85,89.81,92.03,94.14,96.06,98.2,100,101.64,102.43,103.97,106.58,108.65,109.9
"22","12","  Implicit price deflator","A712RD",12.33,11.84,10.62,9.35,9.09,9.59,9.77,9.89,10.33,10.02,9.93,10.06,10.72,11.54,12.16,12.42,12.78,14.42,15.95,16.88,16.88,17.13,18.42,18.67,18.88,19.09,19.41,20.06,20.7,21.17,21.42,21.72,21.94,22.23,22.5,22.85,23.26,23.92,24.62,25.67,26.92,28.38,29.85,31.18,33,36.36,39.69,41.94,44.81,48.03,52.26,57.78,63.05,66.71,69.05,71.45,73.55,75.21,77.71,80.35,83.45,86.84,89.81,92.03,94.13,96.06,98.2,100,101.64,102.43,103.97,106.58,108.65,109.91
"23",NA,"Final sales to domestic purchasers:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","13","  Current dollars","A713RT",1.29,1.16,0.99,0.78,0.73,0.84,0.92,1.05,1.13,1.09,1.16,1.24,1.54,2.03,2.56,2.83,2.86,2.66,2.98,3.28,3.37,3.66,4.16,4.5,4.81,4.86,5.21,5.48,5.8,5.94,6.42,6.63,6.85,7.34,7.75,8.31,8.98,9.83,10.45,11.48,12.42,13.17,14.27,15.74,17.39,18.93,20.68,22.98,25.82,29.17,32.68,35.78,39.59,41.85,45.63,50.42,54.69,58.16,61.71,66.01,70.4,74.44,76.31,80.43,84.88,89.92,94.66,100,106,112.55,120.23,128.64,133.27,138.03
"25","14","  Chain-type quantity index","B713RA",10.77,10.06,9.5,8.44,8.18,8.93,9.57,10.79,11.21,10.94,11.75,12.47,14.59,17.84,21.27,23,22.64,18.67,18.89,19.68,20.13,21.59,22.92,24.33,25.69,25.65,27.08,27.6,28.24,28.27,30.18,30.74,31.44,33.25,34.66,36.6,38.86,41.36,42.71,44.97,46.36,46.63,48.04,50.73,52.94,52.31,52.33,55.02,57.84,60.94,62.73,62.12,62.99,62.9,66.26,70.75,74.5,77.44,79.55,82.24,84.45,85.78,85.03,87.45,90.21,93.65,96.42,100,104.26,109.81,115.54,120.56,122.52,125.43
"26","15","  Chain-type price index","B713RG",12.05,11.55,10.42,9.23,9,9.46,9.65,9.77,10.15,9.99,9.87,9.94,10.57,11.41,12.04,12.3,12.64,14.23,15.75,16.68,16.73,16.94,18.13,18.49,18.72,18.95,19.22,19.87,20.54,21.02,21.26,21.56,21.79,22.08,22.35,22.7,23.11,23.76,24.46,25.52,26.78,28.23,29.7,31.03,32.85,36.18,39.51,41.76,44.63,47.86,52.09,57.6,62.85,66.54,68.87,71.27,73.41,75.09,77.57,80.26,83.36,86.78,89.75,91.98,94.09,96.02,98.17,100,101.68,102.5,104.06,106.7,108.78,110.04
"27","16","  Implicit price deflator","A713RD",12.01,11.51,10.39,9.2,8.97,9.43,9.61,9.74,10.11,9.95,9.84,9.94,10.57,11.41,12.04,12.3,12.65,14.23,15.75,16.68,16.73,16.94,18.13,18.49,18.73,18.95,19.23,19.87,20.55,21.02,21.26,21.56,21.79,22.08,22.35,22.7,23.11,23.77,24.47,25.53,26.78,28.23,29.7,31.03,32.85,36.18,39.52,41.77,44.64,47.87,52.09,57.6,62.85,66.54,68.87,71.27,73.41,75.09,77.57,80.26,83.36,86.78,89.75,91.98,94.09,96.02,98.17,100,101.68,102.5,104.06,106.7,108.78,110.04
"28",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,"  Final sales of computers: \1\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","17","    Current dollars","BB01RT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.02,20.1,25.78,32.88,36.08,43.19,54.57,58.13,58.32,62.04,69.01,72.56,66.88,67.2,70.07,70.04,73.64,89.94,100,109.94,109.6,112.03,118.98,101.79,90.86
"31","18","    Chain-type quantity index","BB01RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,1.2,1.96,2.8,3.4,4.97,7.75,9.81,11.5,14.19,17.08,19.36,20.45,22.91,28.58,34.91,41.92,64.41,100,150.85,210.18,297.29,385.1,420.15,474.7
"32","19","    Chain-type price index","BB01RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.12,1669.92,1314.96,1171.92,1062.37,869.44,704.84,593.16,507.22,437.11,404.05,374.68,327.02,293.27,245.17,200.6,175.7,139.64,100,72.88,52.15,37.68,30.9,24.23,19.27
"33","20","    Implicit price deflator","BB01RD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988.66,1672.98,1313.22,1172.52,1061.6,869.51,704.56,592.79,507.07,437.17,404.08,374.78,327,293.32,245.14,200.59,175.69,139.64,100,72.88,52.15,37.68,30.9,24.23,19.14
"34",NA,"  Gross domestic product less final sales of computers:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","21","    Current dollars","BB00RT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.53,32.98,35.88,40.15,41.77,45.26,50.29,53.88,56.98,60.68,65.34,70.23,74.35,76.71,80.98,85.17,90.46,94.77,100,106.43,112.42,118.77,125.81,129.32,134.13
"36","22","    Chain-type quantity index","BB00RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.34,65.2,64.83,66.24,64.78,67.38,71.99,74.59,77.04,79.51,82.7,85.52,86.99,86.49,88.98,91.2,94.77,96.95,100,104.03,108.15,112.26,116.22,116.43,119.2
"37","23","    Chain-type price index","BB00RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.62,50.58,55.36,60.61,64.48,67.18,69.86,72.23,73.97,76.33,79.02,82.12,85.48,88.69,91.02,93.39,95.45,97.76,100,102.31,103.95,105.8,108.26,111.08,112.53
"38","24","    Implicit price deflator","BB00RD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.62,50.58,55.35,60.61,64.48,67.18,69.86,72.23,73.96,76.33,79.02,82.12,85.47,88.69,91.02,93.38,95.45,97.75,100,102.31,103.95,105.8,108.25,111.07,112.53
"39",NA,"  Gross domestic purchases less final sales of computers:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","25","    Current dollars","BB05RT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.64,33.04,35.83,40.07,41.74,45.58,51.22,54.93,58.21,62,66.18,70.66,74.62,76.29,80.57,85.05,90.58,94.77,100,106.34,112.99,120.44,128.91,132.27,137.87
"41","26","    Chain-type quantity index","BB05RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.59,65.07,63.71,65.22,64.15,67.56,73.2,76.14,78.78,81.08,83.6,85.87,87.02,85.91,88.37,91.04,94.87,96.87,100,104.22,109.4,114.42,119.18,119.61,122.99
"42","27","    Chain-type price index","BB05RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.61,50.77,56.25,61.44,65.07,67.47,69.97,72.15,73.9,76.47,79.16,82.29,85.77,88.8,91.17,93.43,95.48,97.83,100,102.04,103.28,105.26,108.17,110.59,112.09
"43","28","    Implicit price deflator","BB05RD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.61,50.78,56.23,61.44,65.07,67.47,69.96,72.15,73.89,76.47,79.16,82.29,85.75,88.8,91.16,93.42,95.48,97.83,100,102.03,103.28,105.26,108.16,110.58,112.09
"44",NA,"  Chain-type price indexes for gross domestic product:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","29","    Food","BB10RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.77,75.15,77.62,80.33,84.36,87.85,90.59,91.55,93.02,94.36,96.62,100,101.47,102.75,104.67,107.11,110.45,112.6
"46","30","    Energy goods and services","BB11RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.69,80.69,79.33,83,85.85,91.02,93.92,94.55,97.63,99.27,98.61,100,102.24,100.05,98.74,103.66,114.15,104.54
"47","31","    Gross domestic product less food and energy","BB03RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.24,75.11,77.5,80.08,83.02,86.17,89.37,91.77,94.04,96.08,98.27,100,101.99,103.37,104.9,106.99,109.17,110.67
"48",NA,"  Chain-type price indexes for gross domestic purchases:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","32","    Food","B981RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.18,70.6,72.91,74.11,76.08,78.55,80.61,84.48,88.43,91.39,92.4,93.82,95.33,97.37,100,102.05,103.75,105.79,108.27,111.48,113.59
