"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"20","12","    Engines and turbines","B668RA",19.58,17.28,11.17,5.16,4.3,6.37,8.96,15.59,21.99,15.12,18.54,20.44,17.4,7.51,14.07,26.26,55.71,12.95,33.08,47.77,45.99,61.25,44.04,61.44,57.04,82.5,72.51,65.74,82.4,81.83,70.54,67.03,59.06,55.54,55.57,55.51,57.94,69.72,93.16,109.16,122.24,129.19,137.27,154.01,149.59,152.66,123.2,107.38,95.59,91.78,88.65,74.6,82.75,69.47,60.84,66.33,74.58,62.77,82.28,86.7,96.03,82.99,97.97,92.16,90.47,98.7,83.64,100,94.52,106.09,126.34,154,204.01
"21","13","    Metalworking machinery","B271RA",9.59,6.65,4.24,1.86,1.99,3.33,6,8.89,11,6.12,8.48,17.52,23.19,21.34,20.09,16.39,20.2,24.3,30.43,23.11,14.7,20.95,26.98,28.25,35.54,39.17,31.78,39.35,36.99,24.67,26.28,29.84,26.78,29.56,35.54,38.87,48.65,58.75,70.87,63.76,63.53,61.07,49.42,54.41,69.82,77.59,64.77,65.39,68.63,79.04,86.29,86.12,82.73,68.28,55.1,66.64,71.5,70.82,64.66,69.15,78.4,72.46,67.8,71.81,78.53,88.76,98.81,100,104.7,108.77,106.16,109.15,96.23
"22","14","    Special industry machinery, n.e.c.","B272RA",19.68,14.82,11.55,7.97,8.91,9.57,11.68,15.9,17.17,12.73,13.55,14.46,14.43,11.8,9.31,14.34,20.9,27.99,41.89,40.29,31.4,35.61,37.24,32.84,34.43,30.43,35.36,38.53,36,31.82,33.78,38.25,36.62,39.95,39.23,44.89,56.56,61.21,55.43,55.1,57.19,57.1,52.6,56.73,63.14,61.9,50.34,49.22,49.78,61.58,63.17,62.56,60.93,60.99,60.94,67.84,71.99,72.78,76.55,80.77,88.62,80.75,73.15,72.81,79.97,85.2,97.41,100,102.3,105.24,107.42,124.24,114
"23","15","    General industrial, including materials handling, equipment","B273RA",20.28,15.47,11.76,7.46,7.24,8.83,11.96,16.51,17.86,12.9,14.38,14.9,15.27,9.98,11.62,20.2,29.18,27.37,32.28,30.79,21.91,21.77,23.95,22.78,26.81,26.67,30.92,32.96,33.02,27.55,28.56,31.12,29.61,31.83,36.13,41.4,45.76,51.35,45.96,44.12,49.34,49.12,45.83,48.11,58.15,65.51,55.14,55.64,66.49,76.17,82.43,76.55,74.29,69.42,61.26,74.4,79.33,84.74,76.16,79.69,79.71,77.23,69.95,72.28,81.74,88.23,96.62,100,102.62,107.74,104.61,111.94,104.04
"24","16","    Electrical transmission, distribution, and industrial apparatus","B276RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.89,19.09,17.68,15.8,18.91,22.92,27.11,28.17,28.94,28.9,32.52,34.1,28.44,29.31,31.92,31.56,32.69,33.54,38.76,43.53,51.67,49.54,48.13,50.36,51.67,47.41,52.15,62.21,68.13,55.1,54.3,62.25,63.57,68.09,65.56,67.32,63.18,64.08,77.42,77.46,73.14,77.92,80.03,83.83,80.67,75.37,75.68,80.89,88.22,96.09,100,109.03,112.31,118.68,130.92,137.39
"25","17","  Transportation equipment","B681RA",13.09,10.16,6.22,3.41,4.19,6.31,8.31,11.53,12.77,7.77,9.77,13.29,15.26,5.16,4.62,4.81,7.76,13.18,18.55,19.31,19.2,21.25,20.41,16.85,20.05,17.56,22.35,20.08,21.46,15.65,20.74,21.37,20.2,24.9,24.11,27.27,34.16,37.58,36.33,43.68,45.43,37.27,40.26,46.77,56.24,50.91,43.86,48.76,59.26,65.48,68.37,55.84,54.26,48.06,54.31,64.72,67.62,65.71,63.37,67.38,61.09,62.89,63.17,66.45,74.43,86.69,92.29,100,108.33,121.1,139.06,134.32,117.8
"26","18","    Trucks, buses, and truck trailers","B279RA",6.3,4.9,3.59,2.05,2.66,4.29,5.67,7.39,7.2,4.47,6.2,7.08,8.38,1.56,1.86,4.15,9.98,11.5,15.26,16.92,13.76,16.34,17.06,12.78,12.69,12.01,15.85,15.47,13.74,11.58,14.24,14.32,14.84,19.09,20.34,21.21,26.05,30.15,26.51,31.47,37,30.67,33.49,42.16,49.49,46.64,32.73,39.73,48.19,54.39,54.92,39.1,36.54,33.73,38.81,50.71,57.17,49.96,52.26,53.09,50.4,46,43.42,52.19,64.85,79.37,89.22,100,110.84,128.4,144.31,136.75,116.18
"27","19","    Autos","B280RA",13.43,8.95,6.47,3.82,5.13,6.41,9.59,12.18,12.4,7.38,10.22,13.27,14.51,2.23,2.13,1.17,1.23,8.58,12,12.42,14.79,18.72,14.2,11.18,18.03,17.16,22.3,15.66,17.32,12.67,17.77,18.5,17.36,21.41,20.4,21.62,26.94,25.7,24.72,31.38,32.4,25.97,35.24,37.69,43.17,37.89,37.4,45.49,57.01,60.46,53.69,43.83,51.92,52.22,69.5,82.71,81.58,83.69,71.46,79.43,69.01,73.89,78.18,76.17,78.54,102.09,93.1,100,99.42,95.02,102.88,98.85,85.62
"28","20","    Aircraft","B281RA",4.89,2.21,1.24,0.12,1.13,2.19,1.16,1.03,2.55,1.92,2.95,4.95,4.04,0.65,0,0.72,4.58,15.7,9.94,4.23,7.82,4.99,4.89,11.44,10.77,12.06,8.58,18.73,24.24,17.33,38.46,34.63,35.89,33.3,19.9,35.06,52.33,73.11,96.48,138.12,100.1,82.89,43.49,61.49,92.57,68.21,60.01,54.53,73.33,85.76,125.57,128.25,112.81,93.86,93.37,83.47,88,106.81,113.37,119.44,92.76,124.88,130.73,128.14,120.39,77.3,107.93,100,120.12,162.01,232.38,240.99,245.45
"29","21","    Ships and boats","B282RA",60.47,76.42,63.02,17.13,10.72,15.18,6.41,40.21,42.25,79.28,37.48,87.42,110.32,113.95,132.85,71.61,111.68,113.45,230.58,99.32,59.25,54.39,106.36,114.13,99.59,51.84,77.1,111.27,136.08,127.76,115.68,104.29,90.66,94.69,81.56,94.08,107.18,113.2,115.61,151.24,163.25,160.07,148.13,181.12,259.05,212.14,275.52,260.27,266.93,255.04,289.85,284.79,334.27,209.89,125.87,106.81,78.47,86.39,104.7,89.73,79.77,80.38,80.53,58.13,102.19,84.06,79.81,100,114.57,113.18,115.52,131.67,128.06
