"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"50","41","    Photocopy and related equipment","B285RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.34,38.86,42.4,41.73,40.34,42.19,41.63,41.68,41.94,42.16,42.23,45.23,46.27,46.74,47.08,48.13,49.08,48.92,48.74,49.36,49.27,50.49,48.86,47.93,48.13,48.13,47.54,47.74,48.84,50.81,52.83,53.51,55.56,58.02,65.45,68.05,68.61,69.95,70.83,72.4,76.26,79.35,82.14,84.86,86.67,88.39,91.35,93.18,94.56,97.03,100,100.05,98.71,98.66,99.72,100.18
"51","42","    Office and accounting equipment","B936RG",47.04,47.38,47.22,45.72,43.01,43.2,42.11,42.81,43.75,43.58,43.79,44.01,44.99,47.24,46.18,44.76,44.25,45.61,48.98,50.21,51.21,52.11,55.29,55.47,56.94,57.62,58.51,60.48,62.91,62.63,63.98,64.13,64.29,63.97,64.49,64.81,65.08,65.59,67.14,67.37,68.34,69.95,70.83,70.94,72.44,75.23,80.05,79.66,83.08,82.05,80.07,81.38,82.97,84.82,85.56,85.77,84.78,89.54,93.95,96.09,97.09,96.45,96.54,97.15,98.56,100.05,101.07,100,99.41,99.3,99.38,99.15,97.76
"52","43","  Industrial equipment","B680RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.27,11.05,11.97,12.52,13.05,14.71,14.82,15.23,15.5,16.06,17.74,19.07,19.51,19.95,20.34,20.17,20.17,20.23,20.41,20.72,21.27,22.19,23.12,23.9,25.09,26.22,26.75,27.5,30.09,36.28,39.33,42.91,46.67,51.26,57.93,63.48,66.52,67.89,68.65,69.8,73,76.16,79.59,82.5,86.48,89.58,91.6,92.87,94.74,97.98,100,100.71,101.33,101.98,102.55,103.4
"53","44","    Fabricated metal products","B263RG",9.94,9.78,8.59,8.2,7.87,9.22,9.31,8.9,9.94,9.95,9.63,9.38,9.78,10.26,10.34,10.34,10.5,11.29,13.92,15.59,15.74,15.98,18.21,18.45,18.93,18.93,19.56,21.71,22.82,22.74,23.14,23.83,23.27,23.26,23.39,23.31,23.33,23.59,24.18,24.8,25.5,26.69,28.13,29.14,30.08,33.45,40.84,43.1,47.14,52.56,58.64,66.55,72.13,77.46,79.08,78.82,79.53,78.81,78.42,83.69,87.93,90.29,92,93.23,92.52,92.76,96.89,100,100.09,99.95,99.58,99.36,101.88
"54","45","    Engines and turbines","B668RG",6.41,6.05,5.41,5.41,5.4,6.2,6.48,6.41,6.77,6.77,6.77,7.05,7.48,8.05,7.76,8.05,8.05,8.97,10.05,10.51,10.51,10.43,11.87,11.84,12.67,12.82,13.49,15.73,17.82,18.72,19.24,19.29,18.78,17.79,17.7,17.88,18.05,18.2,18.96,20.02,20.99,22.76,24.61,25.43,26.28,27.66,32.89,38.32,42.24,46.83,49.22,60.14,65.6,66.02,67.58,67.82,68,69.19,70.88,72.89,78.94,87.25,90.86,92.4,92.45,95.32,98.18,100,101.99,102.97,105.02,105.82,106.37
"55","46","    Metalworking machinery","B271RG",7.66,7.07,6.62,5.95,5.88,6.92,6.84,6.92,7.66,7.89,7.96,8.56,9.08,9.3,9.3,9.37,9.37,10.19,8.56,9.45,10.04,10.94,12.35,12.94,13.17,13.32,14.06,15.62,16.74,17.04,17.56,18.29,18.47,18.85,18.93,19.17,19.64,20.26,21.08,22.04,22.85,24.16,24.82,25.32,26.03,28.57,34.02,36.35,39.79,43.61,48.7,55.5,60.75,64.29,65.12,65.89,67.37,71.88,75.51,78.76,81,84.48,87.95,90.1,91.94,94.43,97.88,100,100.42,101.18,101.59,102.04,102.65
"56","47","    Special industry machinery, n.e.c.","B272RG",5.98,5.62,5.26,4.82,4.9,5.62,5.62,5.62,6.19,6.26,6.34,6.7,7.13,7.27,7.2,7.27,7.34,7.99,8.57,9.29,9.72,10.15,11.38,11.38,11.59,11.88,12.53,13.46,14.54,14.9,15.24,15.64,15.68,15.83,16.2,16.57,16.85,17.34,18.26,19.08,19.95,20.94,21.94,22.54,23.38,26.54,31.86,34.66,38.18,41.83,46.24,51.92,57.59,60.2,62.29,63.93,65.32,69.67,73.83,77.66,80.05,84.18,87.89,90.61,92.22,94.22,97.62,100,101.03,101.88,103.06,103.33,103.85
"57","48","    General industrial, including materials handling, equipment","B273RG",6.87,6.43,6.06,5.69,5.69,6.2,6.35,6.43,7.09,7.17,7.09,7.31,7.61,7.9,7.91,7.98,8.05,8.64,10.05,10.93,11.89,12.34,13.96,13.89,14.33,14.77,15.37,16.84,18.1,18.76,19.53,19.91,19.94,19.95,20.08,20.32,20.82,21.69,22.49,23.37,24.21,25.55,26.9,27.52,28.21,30.27,37.01,40.81,44.46,47.82,52.31,58.8,64.51,66.26,66.99,67.48,68.35,71.96,75.73,79.77,82.31,86.46,89.43,91.72,93.41,95.5,98.22,100,101.1,101.92,102.87,103.61,104.71
"58","49","    Electrical transmission, distribution, and industrial apparatus","B276RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.04,19.67,20.42,20.76,21.61,24.22,23.97,24.82,25.32,25.15,28.11,30.13,30.72,31.26,31.18,30.19,29.72,29.07,28.85,28.8,29.09,30.63,31.87,32.27,33.06,34.18,33.87,34.4,36.82,44.25,47.93,51.36,54.18,57.59,63.86,69.75,73.31,75.11,75.81,77.11,78.87,81.23,82.61,86.4,90.52,93.1,94.07,94.85,96.07,99.02,100,100.15,100.29,100.31,101.65,102.21
"59","50","  Transportation equipment","B681RG",11.58,11.06,10.56,10.01,9.18,9.48,9.37,9.4,9.73,10.26,10.17,10.42,11.34,13.71,14,14.92,15.61,16.45,19.08,20.44,21.39,21.77,23.15,24.53,23.61,24.65,24.17,26.53,27.72,28.13,28.72,28.67,28.61,28.3,28.17,27.92,27.85,27.81,28.27,29.06,29.94,31.37,32.92,33.64,34,37.16,41.31,44.28,47.72,52.03,56.48,62.38,67.07,70.13,71.25,72.09,74.23,78.64,80.03,81.28,84.08,86.7,90.63,93.27,94.91,97.79,98.39,100,100.64,99.97,100.81,101.67,101.32
"60","51","    Trucks, buses, and truck trailers","B279RG",10.11,9.39,8.89,8.53,7.73,7.73,7.37,7.37,7.8,8.74,8.59,8.88,9.46,11.06,10.11,10.76,12.06,13,14.59,15.82,16.54,16.47,17.77,18.71,18.64,18.56,19.28,20.8,21.96,23.11,23.6,23.03,23.03,22.95,22.7,22.62,22.95,23.04,23.53,24.19,24.84,26,27.8,28.75,29.1,31.98,36.05,39.21,43.2,47.07,51.04,56.16,63.74,67.7,69.72,72.4,73.61,76.4,76.54,78.22,81.42,82.39,85.18,88.97,93.12,96.91,99.4,100,99.25,98.13,99.91,100.85,99.61
"61","52","    Autos","B280RG",19.93,18.98,18.26,17.18,15.64,16.47,16.23,16.35,16.59,17.18,16.95,17.31,19.33,27.32,28.75,34.6,33.88,29.6,36.76,38.93,41.08,41.52,43.72,47.88,42.84,46.48,43.51,48.79,50.05,48.84,49.9,50.03,49.49,48.09,47.6,46.82,45.66,44.93,44.98,46.19,47.31,49.06,50.89,50.52,49.68,53.01,55.74,57.87,60.53,66.57,71.59,78.78,77.95,76.96,76.46,74.97,78.52,86.33,89.46,89.9,91.7,95.5,100.72,101.83,99.72,101.27,97.2,100,103.39,103.11,101.34,99.23,96.46
"62","53","    Aircraft","B281RG",6.9,6.33,5.97,6.68,5.85,5.63,5.68,5.56,6.12,6.42,6.42,6.48,7.12,7.61,7.83,8.06,8.61,9.33,10.68,11.47,11.89,12.54,14.31,14.23,14.59,14.67,15.24,16.73,17.51,17.8,18.42,18.5,18.68,19.29,20.17,19.73,20.17,20.43,21.22,21.83,22.62,24.02,25.08,25.61,26.57,29.46,31.57,35.51,38.31,41.24,45.87,51.4,56.37,62.48,64.38,65.77,67.46,69.3,70.51,71.96,75.15,79.8,84.42,88.07,90.16,92.96,96.84,100,101.36,101.56,102.84,107.58,112.99
"63","54","    Ships and boats","B282RG",6.73,6.49,6.03,5.48,5.42,6.19,6.28,6.34,6.88,6.88,6.8,6.8,7.5,7.73,7.81,8.12,7.81,10.05,11.36,12.29,12.6,12.91,13.91,14.53,15.31,15.7,16,17.24,18.4,18.86,18.82,19.47,19.49,19.55,19.85,20.15,20.41,20.9,21.51,22.35,23.45,24.83,25.99,27.21,29.05,33.03,36.89,39.02,41.9,45.34,49.6,54.33,59.54,66.66,68.72,71.6,73.74,76.4,77.94,79.83,83.24,86.45,88.75,90.53,93.61,95.87,97.5,100,102.35,103.79,105.06,107.92,110.53
"64","55","    Railroad equipment","B283RG",7.02,6.97,6.69,6.52,6.42,6.41,7.13,7.08,7.41,7.63,7.91,8.13,8.4,9.23,9.73,9.67,9.68,11,11.83,12.61,13.05,14.04,14.76,14.98,15.37,15.48,15.92,17.08,18.3,19.18,19.7,20.23,20.57,20.57,20.57,20.57,20.57,20.66,20.92,21.45,22.41,23.89,24.41,26.5,27.99,31.21,40.63,44.73,49.35,53.06,57.81,64.41,70.59,73.4,75.07,75.57,76.61,76.24,75.84,78.54,83.82,86.45,88.28,88.48,89.08,92.05,97.58,100,98.33,98.82,98.83,99.27,99.21
"65","56","  Other equipment","B682RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,14.39,15.62,16.15,16.53,17.88,17.95,18.33,18.53,18.77,19.42,20.32,20.75,21.09,21.33,21.35,21.48,21.61,21.91,22.16,22.66,23.3,24.12,25.1,26.12,27.17,27.94,28.9,32.34,37.93,40.78,44.01,47.66,52.21,58.51,64.96,69.35,71,72.31,73.68,76,78.37,81.69,84.72,87.83,90.26,92.08,93.75,95.79,98.15,100,101.08,101.84,102.67,103.29,104.36
"66","57","    Furniture and fixtures","B667RG",12.2,12.28,11.74,10.96,10.65,10.88,10.65,10.34,11.11,10.88,10.65,10.81,11.5,12.59,12.44,12.59,12.44,13.37,15.86,16.79,17.24,17.83,19.76,19.38,19.72,19.89,20.5,21.65,22.77,23.19,23.36,23.45,23.34,23.36,23.32,23.62,23.73,24.2,25.11,26.07,27.4,28.57,29.63,30.42,32.39,36.98,40.77,42.77,46.42,50.86,54.95,58.67,62.88,65.97,67.93,69.86,72.38,74.91,77.24,81.53,84.65,87.82,89.62,90.54,92,95,97.75,100,101.73,102.29,102.76,103.64,104.98
"67","58","    Tractors","B669RG",10.9,11.19,10.61,10.38,11.06,10.45,10.46,10.25,10.39,10.24,9.66,9.51,9.58,9.87,9.73,9.51,9.51,10.25,10.39,11.45,11.96,12.2,12.73,13.08,13.66,13.78,13.76,14.02,15.11,15.67,16.29,16.53,16.91,17.2,17.5,17.9,18.19,18.7,19.25,20.12,21.05,21.96,23,23.85,24.45,28.04,33.48,36.21,39.36,42.68,47.36,54.14,60.66,66.55,69.54,70.7,71.24,74.38,76.7,79.56,83.18,86.53,90.2,93.96,95.19,97.74,98.89,100,100.54,101.29,102.39,102.61,102.92
"68","59","    Agricultural machinery, except tractors","B268RG",7.98,8.05,8.12,7.99,8.74,8.46,7.78,7.91,8.12,8.33,8.19,8.26,8.33,8.67,8.67,8.67,8.74,9.22,10.46,11.98,12.94,13.42,14.38,14.8,15,15.14,15.28,15.69,16.24,16.93,17.43,17.82,18.06,18.46,18.78,19.09,19.73,20.36,21.1,21.56,22.42,23.27,24.36,25.54,26.39,29.94,34.96,37.78,40.9,44.08,48.64,55.59,62.36,68.16,71.25,73.36,73.85,75.32,76.54,78.67,81.99,84.73,87.66,90.25,92.55,95.05,97.5,100,101.29,102.34,103.64,104.46,106.16
"69","60","    Construction machinery, except tractors","B269RG",4.72,4.72,4.5,4.09,4.43,4.71,4.65,4.65,5.14,5.28,5.28,5.49,5.98,6.4,6.55,6.69,6.97,7.67,8.87,10.07,10.63,10.91,12.18,12.32,12.53,12.74,13.23,14.01,14.92,15.63,16.14,16.55,16.75,16.81,17.08,17.54,17.9,18.43,19.04,20.06,21.02,22.08,23.33,24.23,25.11,27.68,34.48,37.54,41.99,45.76,50.27,56.42,62.41,65.56,66.75,67.01,67.8,70.46,74.82,79.09,81.91,85.83,88.26,90.42,92.76,94.85,97.8,100,101.67,103.47,105.86,106.7,107.33
"70","61","    Mining and oilfield machinery","B270RG",5.41,5.33,5.18,4.81,4.96,5.03,5.03,4.96,5.41,5.71,5.56,5.78,6.24,6.61,6.76,6.99,7.21,7.81,9.01,9.84,10.59,11.34,12.62,12.62,13.22,13.82,14.35,15.32,16.45,16.83,16.98,17.44,17.38,17.61,17.64,17.89,18.04,18.31,19.02,19.82,20.8,21.78,22.58,23.27,24.1,27.02,34.6,38.73,43.55,47.74,52.6,62.19,72.66,78.2,75.81,75.37,76.16,76.29,76,79.52,82.39,86.01,89.59,90.86,92.13,94.12,97.44,100,101.92,103.34,104.23,105.69,109.52
"71","62","    Service industry machinery","B570RG",17.18,16.93,16.35,13.61,12.62,12.88,12.71,12.13,13.28,13.7,13.46,13.78,15.19,16.93,17.44,17.86,18.1,19.93,24.5,25.41,25.24,24.58,26.41,26.32,26.24,26.24,26.07,26.4,26.99,27.07,27.75,27.81,27.41,27.36,27.36,27.51,27.47,27.85,28.45,29.33,30.11,31.18,32.27,32.64,33.18,35.85,41.34,44.08,47.04,50.06,53.57,59.55,64.89,68.45,70.55,72.17,74.1,75.96,77.65,80.34,83.76,87.08,89.74,91.78,93.57,95.29,97.95,100,101.69,102.6,103.64,104.39,105.48
"72","63","    Electrical equipment, n.e.c.","B670RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.25,25.69,28.11,27.88,29.18,30.69,29.75,32.25,31.39,30.82,31.06,31.4,32.11,32.01,31.69,31.31,30.92,30.34,30.22,30.03,30.51,30.26,30.97,31.89,33.31,34.47,34.23,35.03,38.2,43.98,46.97,49.51,54.11,60.91,67.26,74.62,78.55,80.65,82.42,83.69,86.78,89.91,92.16,93.43,94.99,96.75,98.63,99.4,99.29,100.38,100,98.37,97.55,96.25,94.78,94.24
"73","64","    Other","B286RG",15.07,14.58,13.44,13.27,13.11,13.61,13.28,13.12,15.22,15.07,14.83,15.55,16.68,17.82,18.54,19.1,19.68,21.37,23.25,24.54,24.62,25.76,28.18,27.53,27.77,28.59,28.83,29.48,30.53,30.05,29.7,29.77,29.7,29.73,29.84,30,30.1,30.58,31.11,31.77,32.73,33.8,34.53,35.13,36.1,40,44.65,46.86,47.18,50.32,54.67,61.07,68.02,72.84,73.9,74.89,75.75,77.76,79.53,82.46,85.53,88.45,90.82,92.21,94.16,95.74,98.05,100,100.81,101.56,102.39,103.59,105.23
"74","65","  Less: Sale of equipment scrap, excluding autos","B287RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.55,18.89,23.67,16.91,20.59,24.09,23.19,21.13,18.7,23.73,27.98,23.74,19.36,21.18,18.36,19.11,16.31,16.1,19.1,20.54,20.66,18.66,17.84,21.49,25.1,20.74,21.65,32.77,55.62,37.89,41.59,38.83,42.01,48.2,52.16,55.79,55.31,56.85,58.38,58.1,57.35,68.46,96.98,94.46,92.36,81.97,78.48,83.15,97.45,111.05,100,102.19,86.99,79.33,87.74,79.17
"75","66","Residential equipment","B013RG",41.41,40.85,36.48,30.97,31.66,32.64,31.3,32.17,33.44,33.6,32.78,32.05,34.22,38.34,38.52,40.11,45.64,51.03,56.71,59.92,57.9,57.65,61.66,61.5,61.33,60.32,58.54,56.08,55.56,54.72,54.66,54.06,53.08,51.92,51.04,50.51,49.45,48.7,48.79,49.84,50.96,51.95,52.8,52.97,53.29,56.59,62.03,65.18,67.28,70.54,74.58,79.44,85.17,90.42,92.67,93.41,92.85,93.33,94.66,95.6,96.47,97.18,96.76,96.68,97.21,99.06,99.4,100,99.98,99.55,98.08,98.1,98.5
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77"," n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78"," 1. Includes new computers and peripheral equipment only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79"," 2. Annual chain-type indexes for computers and peripheral equipment: 1959, .00003; 1960, .00034; 1961, .00063; 1962, .00117; ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1963, .00378; 1964, .00571;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","  1965, .00867; 1966, .01806; 1967, .02446; 1968, .02592; 1969, .04133; 1970, .05133; 1971, .06870.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82"," 3. Excludes software ``embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83"," 4. For 1929-45, includes electrical transmission, distribution, and industrial apparatus (lines 16 and 49) and electrical ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","equipment n.e.c. (lines 30 and 63).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
