"","Table 1#11# Percentage Shares of Gross Domestic Income          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2015 1:59:51 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Gross domestic income","A261RE1",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"9","2","Compensation of employees, paid","A4002E1",57.5,58.4,57.6,57.5,57.3,57.8,56.7,56.6,56.6,56.6,57.2,57.7,56.6,56.8,56.2,55.4,55.6,56.4,56.4,56.2,56.2,56.8,56.8,57.2,56.9,56,55.5,55,54.9,55.5,55.9,56.5,56.4,55.7,55.3,54.9,54.1,53.4,54.7,55.3,54.4,53.4,53.2,52.6,52.1
"10","3","  Wages and salaries","A4102E1",50.9,51.5,50.5,50.1,49.8,50.1,48.6,48.5,48.1,48,48.4,48.7,47.6,47.6,46.8,46.1,46.2,46.6,46.7,46.5,46.2,46.6,46.3,46.2,45.8,45.2,45.2,45,45.2,45.8,46,46.5,46.2,45.3,44.7,44.2,43.4,43.1,44.3,44.8,43.6,42.8,42.7,42.4,42
"11","4","      To persons","W270RE1",50.9,51.5,50.4,50.1,49.8,50.1,48.6,48.4,48.1,48,48.4,48.7,47.6,47.5,46.8,46.1,46.1,46.6,46.7,46.4,46.2,46.5,46.2,46.1,45.8,45.1,45.1,44.9,45.1,45.7,45.9,46.4,46.1,45.2,44.5,44.1,43.3,43,44.2,44.6,43.5,42.7,42.6,42.3,41.9
"12","5","      To the rest of the world","B4189E1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"13","6","  Supplements to wages and salaries","A038RE1",6.6,6.9,7.1,7.4,7.5,7.7,8.1,8.2,8.5,8.6,8.8,9,8.9,9.2,9.4,9.3,9.5,9.8,9.7,9.7,10,10.2,10.5,11,11,10.8,10.4,10,9.7,9.8,9.8,9.9,10.2,10.4,10.6,10.7,10.6,10.3,10.4,10.6,10.7,10.6,10.5,10.2,10.1
