"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2015 2:27:12 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",98.4,86.2,100.6,117.2,133.4,125.7,138.9,174.3,205.8,238.6,249,223.6,247.5,229.9,279.8,337.9,354.5,324.4,366
"9","2","Domestic industries","A445RC1",91.8,79.1,92.8,107.7,118.5,108.2,124.2,157.8,186.7,215.7,214.4,188.1,217.8,197.3,244.7,301.3,316.4,284.9,318
"10","3","  Financial","A587RC1",13.5,15.3,17.6,19.4,21.2,20.8,20,24.7,31.5,39.9,40.3,32.4,27.9,24,34.2,32.4,45.3,54.7,58.6
"11","4","  Nonfinancial","A463RC1",78.3,63.9,75.2,88.3,97.2,87.4,104.3,133,155.1,175.8,174,155.7,189.9,173.3,210.5,268.9,271.1,230.2,259.4
"12","5","Rest of the world","B394RC1",6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.6,35.1,36.6,38.1,39.5,48
"13","6","  Receipts from the rest of the world","B933RC1",8,8.7,9.8,11.8,17.6,20.4,17.9,20.9,23.8,29,42.6,43.8,38.1,36.7,41.1,46.1,46.8,48.7,58.9
"14","7","  Less:  Payments to the rest of the world","B934RC1",1.5,1.6,1.9,2.2,2.7,2.9,3.3,4.4,4.7,6.1,7.9,8.4,8.4,4.1,6,9.5,8.7,9.2,10.9
"15","8","    Corporate profits with inventory valuation adjustment","A052RC1",90.8,79.7,94.7,109.3,126.6,123.3,144.2,182.1,212.8,246.7,261,240.6,252,224.8,256.4,294.3,289.7,273.3,314.6
"16","9","Domestic industries","A390RC1",84.2,72.6,86.8,99.7,111.7,105.8,129.6,165.6,193.7,223.8,226.4,205.2,222.3,192.2,221.4,257.7,251.6,233.8,266.5
"17","10","  Financial","A392RC1",13.6,15.5,17.9,19.5,21.1,20.8,20.4,25.6,32.6,40.8,41.8,35.2,30.3,27.2,36.2,34.7,46.5,56.4,60.3
"18","11","    Federal Reserve banks","B397RC1",3.1,3.5,3.3,3.3,4.5,5.7,5.6,5.9,6.1,7.6,9.4,11.8,14.4,15.2,14.6,16.4,16.3,15.5,16.2
"19","12","    Other","B398RC1",10.6,12,14.6,16.1,16.6,15.1,14.8,19.7,26.5,33.1,32.3,23.5,15.9,12,21.6,18.3,30.2,40.8,44.1
"20","13","  Nonfinancial","A399RC1",70.6,57.1,69,80.3,90.6,85.1,109.2,140,161.1,183.1,184.6,169.9,192,165,185.2,223,205.1,177.4,206.2
