"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"11","3","  Personal current taxes","W055RC1",102.6,105.7,104.1,105.6,104.6,105.5,100.7,101.5,98.3,100.7,102.3,105.5,119.8,123.4,124.3,127.1,126.4,129.2,134.1,140,142.8,148.9,154.9,157.6,158,121.1,152.8,158.5,162.1,169,175.8,182.4,188.4,195.3,198.2,208.1,211.7,222.8,236,247,253.4,261.8,274.6,285,284.2,291.5,301.5,318.2,330.3,342.1,356.3,352,351.9,359.1,349.5,355.9,350.3,359,344.9,355.1,360.7,369.9,383.6,395.4,431.8,388.1,421.1,428.4,425.7,428.8,438.9,455.4,450.2,511.1,488.4,506.4,501.1,496.8,505.7,516.2,551.3,565,569.9,578.2,580.5,592.6,598.8,598.9,578.5,583.7,588,596.4,586.5,604.9,613.9,636.9,614.6,641.3,657,673.3,671.1,695.3,692.8,702.9,720,742.2,747.7,765.7,796.5,834.4,838.4,858.4,896.4,910.5,935.4,962.2,990.1,1016.4,1037.2,1062,1073.5,1090.8,1116.2,1149.6,1204.7,1226.1,1243.6,1254.6,1297.6,1304.5,1109.5,1227.7,1065.2,1045,1048.8,1042.4,1017.9,1014.7,950.7,1020.1,1008.3,1023.3,1062.9,1089.4,1167.8,1193,1221.9,1251.4,1315.7,1344.2,1354,1394.5,1457.3,1482.7,1494.8,1516.7,1529.4,1337,1442.4,1432,1195.5,1125.2,1126.4,1132.6,1145.6,1167.9,1209.4,1242.9,1372.9,1390.6,1418.1,1420.9,1464.7,1479.5,1505.1,1565.4,1636.8,1660.6,1661.5,1688.1,1711.8,1715.3,1750.1,1798.6,1846.8
"12","4","  Taxes on production and imports","W056RC1",80.6,82.9,85.2,86.7,88.5,90.5,92.5,94.1,97.7,98.9,101.7,103.7,104.6,106.8,108.9,111.5,114.6,116.2,118.4,119.7,120.8,124.1,127.1,127.7,128.8,133,138.2,141.1,141.7,144.9,147.7,151.3,154.8,158,161.5,164.3,166.9,173.1,169.7,173.9,176.4,178.5,180.9,184.6,189.5,196.9,204.3,210.6,230.8,235.5,237.5,238.8,237.4,238.3,241.8,246.3,250.7,261.2,267.5,273.7,281.6,287.7,292.2,297.5,301,305.7,311.9,313.9,317.5,319.5,326.2,330.4,336,344.4,352.4,357.4,365.1,372.6,377.6,382.5,391.1,397.4,403.8,403.2,419.4,419.5,426.9,434.2,444.3,451.6,461.2,471.3,476.2,481.1,485.9,490.3,489.8,497.9,505,519.8,531.9,544.2,550.2,554.7,554.9,553.7,559.2,563.9,570.8,577.7,581.6,592.9,595.6,610.3,616.6,624,629.1,635.5,643,650.3,657.5,667.1,679,690.8,698.6,707.3,711.3,717.1,724.1,724.1,725.4,737.2,745,756.6,771.8,777,788.6,800.7,814.8,828,843.4,855.5,868.6,888.4,908.4,929.5,944.7,955.6,975.7,988.3,996.9,1007,1022,1032,1038.8,1045.5,1038.1,1047.9,1049.2,1032.4,1014.1,1019.4,1030.1,1041,1042.2,1054.2,1063.1,1069,1087.6,1104.2,1104,1114.6,1129.5,1132,1127.7,1138.9,1154.8,1152.2,1167.1,1175.7,1184.5,1197.9,1212.4,1217.9,1217.1
"13","5","  Taxes on corporate income","W025RC1",41.2,40.1,38.8,38.5,34.1,34.3,35.3,33.8,37.4,38.1,37.5,37.9,40,40.3,41.5,45.7,49,49.6,48.1,50.5,48.8,51.4,56.6,50.3,43.1,46.2,56.5,57.8,65.3,64.4,64.1,63.1,67.4,73.1,75.6,76.1,71.3,85.2,86.3,91.2,88.5,89.1,88.4,85.9,94.7,74.9,80.9,88.6,88.3,79.4,82.9,73.9,62.7,64.7,65.2,59.7,61,75.8,85,87.2,100.3,99.4,87.6,88.8,95.9,94.1,99.3,96.8,103.1,103.4,104.2,115.2,115.9,129.5,134.2,128.8,124.7,131.9,142.6,149.4,153.9,140.7,135.9,135.3,135,140,144.6,142.8,136.8,131.7,132.4,133.5,142.8,144.1,138.3,147.3,152.8,164.6,156.4,187.7,168.1,177.5,194.7,206.5,210.6,208.2,214.6,210.5,214.2,225.4,225.9,229,230,234.5,246.9,237.2,239.8,236.5,242.6,237.8,246.3,244.5,248.6,255.7,264.1,262.6,244.7,247.4,214.8,207,185.7,166.6,169.1,175.3,182.3,198.6,219.8,215.4,235.3,256.6,264.2,284,306.5,313.3,389.1,379.7,386.9,427.9,443.5,456.4,477.3,439.8,452,443.4,405.4,382,327.1,315.4,285,196.8,191.5,217.4,262.5,312.6,321.3,328,363.4,372.6,370.5,354.5,320.6,352.7,420.3,441.6,408.9,419.9,442,425.9,433.6,459.3,525.9,570.3,564.2,558.1,584.7
"14","6","  Taxes from the rest of the world","W008RC1",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1,1,1,1.1,1.2,1.3,1.5,1.6,1.7,1.7,1.6,1.5,1.5,1.5,1.3,1.3,1.3,1.5,1.2,1.2,1.2,1.2,1.3,1.3,1.2,1.3,1.4,1.8,2.2,2.3,1.5,1.6,1.7,2.1,1.9,2,1.9,2.4,2.1,2.7,2.4,2.2,3,2.5,2.7,2.8,2.7,2.9,3,3.5,2.7,2.7,2.6,2.5,2.7,2.6,2.6,2.7,2.8,2.6,2.7,2.8,3,3.2,3.2,3.2,3.6,3.7,4.2,4.2,4.6,4.8,5.4,5.8,4.8,4.9,5.1,5.6,4.8,5.1,5.6,7.3,5.4,6,6.3,6,6.9,7.6,7.3,7.5,7.6,7,7.7,8.3,7.2,7.5,7.5,8.1,7.5,10.6,8,9.7,9.7,9.1,8.4,12.7,11.4,10.4,13.6,13.2,11.5,11.9,12.7,22.4,13.6,15.1,14.4,18,16.5,16.3,17.3,25.1,15.9,15.7,13.3,14.4,14.1,15.3,14.5,18.9,15.5,15.2,18,18.2,16.6,17.4,17.4,20.6,18.6,18.6,19.9,19.6,20.4,17.8,19.3,18,21.1
"15","7","Contributions for government social insurance","W782RC1",43.1,43.9,44.8,45.5,46.2,46.5,46.9,46.7,50.8,51.4,51.6,52.2,58.5,59.2,59.9,60.8,74.1,75.3,76.6,78.1,83.7,85.3,86.9,87.1,88.2,88.6,90.3,92.4,99.6,101.1,102.8,104.4,110,112.8,115.1,117.5,127,131,133.6,136.9,149.7,151.8,155.1,158.1,164.1,164.2,167.6,172.9,192.8,195.3,198.8,200.6,208.4,209.6,211,211.4,221.6,224.9,228.5,233.9,252.3,257.2,261.3,264.5,276.8,280.3,284.2,289.8,299.4,302.2,306.5,311.5,317.9,321.7,326.1,332.8,353.8,360.8,366.1,372,381.5,384.5,388.1,393.7,406,410.3,416.1,415.9,426.5,429.8,434.7,438,450.8,455.8,459.9,461.8,469.6,477.7,482.3,488.9,500.7,508.8,513.1,520,528.4,532.8,538,542.7,547,554.8,561.4,568.2,578.4,585.2,593.3,604.1,614.9,623.5,632.1,640.5,655.6,659.7,665.6,677.4,700.9,702.4,714.8,719.5,739.2,737.8,735.3,735.5,749.1,755.9,757.2,758.7,768.2,778.1,787.4,799.1,814.6,828.3,843.1,848.3,864.4,871.8,883.9,892,920,923.4,926.5,938.9,962.3,962.8,964.6,974.9,991.4,992,995.5,993.4,966.2,971.2,968.4,971.6,976.9,989,993.3,996.9,918.1,920.7,928.5,921.6,948.6,949.4,951.5,973.7,1096,1107.5,1113.2,1122.9,1152.2,1159.8,1171.8,1187.2,1201.4
"16","8","Income receipts on assets","W058RC1",6.7,7,7.3,7.6,8,8.3,8.5,8.6,8.8,9.1,9.1,9.4,9.3,9.5,9.8,10.2,10.9,11.5,12,12.7,13.7,14.5,15.1,15.5,16.1,16.4,16.7,16.6,16.5,16.6,16.8,16.7,17.7,18.4,19.1,19.6,21.2,22.9,24.2,26.1,28.6,30.2,32.3,34.2,37.2,39.3,41.8,44.2,47.2,49.7,52.5,55.3,58.1,59.6,60.9,61.9,63.6,64.8,66.9,69.3,71.4,74.7,76.4,79,82.1,84.4,87.5,89,91,91,92.7,89.6,88.1,87.5,86.6,84.7,93.6,88.9,89.9,93.2,93.7,94.8,97.7,95.4,95.8,95.2,96.9,107.8,100.4,97.6,97.4,93.5,92.3,90,88.4,88.1,88.7,88.2,87.8,86.2,86.2,86.6,87.5,88.1,90,92.3,93.3,96.1,98.4,99.2,101.8,101.9,103.1,104.1,104.1,103.1,102.8,102.6,102.9,102.7,103.1,104.4,107,110.8,116.6,119.6,120.6,121.2,120.6,117.7,114.8,109.2,104.4,100.7,99,97.2,95.2,97.3,97.6,99.2,98.2,100.3,102.8,107.4,109.8,113.7,117.8,122.1,128.4,134.5,138,143.7,149.1,151.1,153.4,151.8,147.9,144.5,137.7,128.2,134.5,139,133.6,138.2,132.2,136.1,140,140.4,138.1,136,135.1,133.2,132.9,131.8,131.9,132.5,152.8,378.9,173.5,272.4,187.3,159.5,142.1,147.1,130.8
"17","9","  Interest and miscellaneous receipts","W059RC1",6.7,7,7.3,7.6,8,8.3,8.5,8.6,8.8,9.1,9.1,9.4,9.3,9.5,9.8,10.2,10.9,11.4,12,12.7,13.7,14.5,15,15.5,16,16.4,16.6,16.5,16.5,16.5,16.8,16.7,17.7,18.4,19.1,19.6,21.2,22.8,24.2,26,28.5,30.1,32.2,34.1,37.1,39.2,41.7,44.1,47.1,49.6,52.3,55.2,58,59.5,60.7,61.7,63.5,64.6,66.7,69.1,71.2,74.5,76.3,78.9,81.9,84.2,87.3,88.9,90.9,90.8,92.5,89.5,88,87.4,86.4,84.5,93.5,88.7,89.8,93,93.6,94.6,97.5,95.2,95.6,95,96.6,107.4,100.1,97.3,97.1,93.1,91.9,89.6,87.9,87.6,88.1,87.6,87.2,85.5,85.5,85.9,86.7,87.2,89.2,91.4,92.3,95,97.2,97.9,100.3,100.5,101.6,102.6,102.5,101.5,101.2,101,101.2,101.1,101.5,102.9,105.5,109.3,115.2,118.3,119.4,119.8,119.1,116.3,113.4,107.8,103,99.2,97.4,95.6,93.4,95.6,95.9,97.5,96.5,98.6,100.9,104.6,107.6,111.5,115.6,119.8,126.1,132.1,135.6,141.3,146.7,148.8,151,149.4,145.1,141.8,134.9,123.8,119.5,116.2,112.5,113.6,115,117.4,119.2,119.8,117.1,115.2,113.6,110.8,108.8,107.2,107.3,107.9,107.6,108.5,110.2,111.1,112.5,114.3,115.4,115.7,115.2
"18","10","    Interest receipts \1\","Y703RC1",5.6,5.9,6.2,6.5,6.8,7.1,7.2,7.4,7.4,7.7,7.7,7.9,7.8,8,8.3,8.7,9.2,9.7,10.1,10.8,11.6,12.4,12.9,13.3,13.8,14.1,14.3,14.2,14.1,14.1,14.4,14.2,15.3,15.8,16.5,17,18.5,20,21.3,23,24.8,26.3,28.1,29.8,31.3,33.2,35.4,37.6,40,42.1,44.4,46.8,49.3,50.7,52.2,53.5,55.1,56.2,58.1,60.2,61.7,64.8,66.3,68.7,71.9,74.2,77.5,79.1,81.1,81.2,83.1,80.3,78.9,78.7,78.2,76.9,85.8,81.4,82.7,86,86.5,87.6,90.4,88.1,88.5,87.8,88,99.7,92,89,88.7,84.8,83.1,81.6,79.9,79.6,80,79.4,78.9,77.1,77,77.5,78.7,79.7,81.9,84.2,84.6,87.3,88.8,89.3,91.3,91.6,92.3,93.3,93,92.4,92.1,92.3,92.2,92.4,93.1,94.2,96.1,99.3,104.2,106.7,106.2,105.5,103.6,100.8,98.1,94.7,89.9,86.3,84.2,82.5,80.4,81,80.9,81.5,80.4,81.6,83.9,86.2,88.8,92.1,95.6,100.2,105.5,110.8,116,121.6,126,127.8,127.5,124,118.4,113,108.5,102.2,99.8,97.6,95.6,95.8,97.1,98.4,99.6,99.5,96.3,93.9,91.2,88.7,86.6,84.6,84.8,85.1,86.1,87.1,88,89.3,90.4,91.5,91.8,92.3,92.2
"19","11","    Rents and royalties","Y704RC1",1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.7,1.8,1.8,1.9,2.1,2.1,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.5,2.6,2.6,2.7,2.8,2.9,3,3.7,3.9,4.1,4.3,5.8,6,6.3,6.6,7.2,7.6,7.9,8.3,8.7,8.7,8.6,8.2,8.4,8.4,8.6,9,9.5,9.8,10,10.1,10,10,9.9,9.8,9.8,9.6,9.4,9.2,9.1,8.7,8.2,7.6,7.7,7.3,7.1,7,7.1,7.1,7.1,7.1,7.1,7.2,8.6,7.7,8.1,8.3,8.4,8.3,8.8,8,8,8,8.2,8.2,8.3,8.5,8.5,8.3,8,7.5,7.3,7.2,7.7,7.7,8.4,8.5,9.1,8.9,9.4,9.2,9.4,9.2,9.1,8.7,9,8.7,8.4,8.7,9.4,10,11,11.6,13.2,14.4,15.5,15.5,15.3,13,13.1,12.9,13.2,13.1,13,14.6,15,16,16.1,17,17,18.5,18.8,19.4,20,19.6,20.6,21.3,19.6,19.8,20.8,21,23.5,25.4,26.8,28.8,26.4,21.5,19.7,18.6,16.9,17.8,17.8,19,19.6,20.4,20.9,21.3,22.4,22.1,22.2,22.5,22.5,22.8,21.5,21.4,22.2,21.8,22.1,22.8,23.7,23.4,23
"20","12","  Dividends","W065RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,1,1.1,1.2,1.3,1.5,1.4,1.4,1.5,1.6,1.6,1.6,1.6,1.7,1.6,1.6,1.5,1.5,1.5,1.5,1.3,1.2,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.8,1.7,1.7,1.7,1.7,1.7,1.9,2.7,2.1,2.2,2.2,2.3,2.3,2.4,2.3,2.3,2.4,2.3,2.4,2.5,2.8,2.7,2.8,4.5,15,22.8,21.1,24.6,17.3,18.6,20.8,20.6,21,20.7,21.6,22.4,24.1,24.6,24.6,24.6,45.2,270.4,63.3,161.3,74.8,45.3,26.7,31.5,15.5
"21","13","Current transfer receipts","W060RC1",2.5,2.6,2.6,2.7,2.7,2.8,2.7,2.7,2.8,2.9,2.9,3,3.3,3.4,3.5,3.6,3.8,3.8,3.4,3.5,3.9,4.1,4.2,4.3,4.5,4.6,4.7,4.9,5.3,5.4,5.5,5.7,6,6.2,6.7,6.9,7.4,7.7,7.9,8.1,8.6,8.8,8.9,9.1,9.6,9.9,10,11.7,11.7,11.4,11.7,11.9,13.3,13.8,14.2,14.7,15.2,15.7,16.2,16.9,17.9,18.5,18.9,19.2,20.1,26.2,21.1,21.5,30.1,22.8,22.3,24.8,25.4,26.7,26.3,26.7,25.7,26.3,27.5,28.6,29.9,30.8,32.6,33,33.4,33.9,35.7,38.4,41.5,42.8,44.6,46.4,47.4,47.8,49.1,54,53.2,53.5,54.1,56.1,58.8,58.4,59.6,58.4,57.8,57.5,57.5,57.4,58.7,60.4,62.1,81.4,65,66.5,72,68.6,70.2,69.7,71.8,84.9,77.9,79.7,80.8,83.6,87.9,90,91.4,93.4,94.4,95.7,97.6,99.5,101.8,101.9,102.6,104.2,105.7,107.3,109.7,112.5,116.3,118.8,120.7,121.3,122.4,124.3,125.5,127.9,131.8,133.9,136,138.1,140.7,141.6,143,146.5,149.3,149.8,149,165.1,169.1,183.8,166.5,168.6,169.4,168.4,173,173.5,176,174.4,175.8,172.6,170.5,164.8,158.2,153.7,175.5,181.9,177,187,178.5,178.6,234.2,186.2,185.1
"22","14","  From business (net)","W061RC1",1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.5,1.4,1.5,1.5,1.6,1.7,1.7,1.7,1.9,2,1.6,1.6,2,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.5,2.4,2.4,2.5,2.7,2.8,3.2,3.3,3.7,3.9,4,4.1,4.4,4.5,4.6,4.6,5,5.1,5,6.4,6.1,5.6,5.6,5.7,6.6,6.9,7,7.2,7.5,7.7,7.9,8.4,9.1,9.4,9.6,9.7,10.3,16,10.5,10.5,18.7,11.1,10.2,12,12.7,13.8,12.8,13,11.5,11.6,12.4,13.2,14,14.5,15.9,16,16.1,16,17,18.8,20.6,20.7,21.5,22.2,22.4,22,22.7,27.1,25.1,25.1,25.4,26.9,28.7,27.7,28.4,26.8,25.9,25.1,24.6,23.9,24.7,25.8,26.8,45.5,27.8,28.5,33.4,29.6,31.1,30.4,31.8,43.9,35.6,36.2,36.2,37.8,41,41.8,42,42.8,42.8,43.2,44.2,45.2,46.6,45.9,45.9,46.6,47.2,47.6,48.6,49.7,51.5,52.5,53,52.5,52.2,53.1,53.4,54.9,56.7,57.7,58.8,59.9,60.9,60.9,61.6,64.5,67.1,67.2,66,82,85.8,100.3,82.9,84.9,85.4,84.5,89.2,89.7,91.8,89.6,90,85.5,81.9,75,67.7,62.8,84.7,91,85.5,94.8,85.2,84.3,139,90,87.3
"23","15","  From persons","W062RC1",1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.7,1.8,1.8,1.9,1.8,1.8,1.8,1.9,1.9,2,2.1,2.2,2.3,2.4,2.6,2.7,2.8,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.3,4.4,4.5,4.6,4.8,5,5.3,5.6,5.9,6.1,6.3,6.7,6.9,7.2,7.5,7.7,8,8.3,8.5,8.8,9.1,9.3,9.5,9.9,10.2,10.6,11,11.3,11.7,12.1,12.7,12.7,12.9,13.5,13.7,14.2,14.8,15.1,15.4,15.9,16.3,16.7,17.1,17.3,17.9,18.7,19.6,20.9,22.1,23.1,24.2,25,25.8,26.4,26.8,28,28.3,28.7,29.2,30.1,30.7,31.2,31.6,31.9,32.3,32.9,33.5,34,34.6,35.2,35.8,37.2,38,38.6,39,39.1,39.3,40,41.1,42.3,43.5,44.7,45.8,46.9,48.1,49.3,50.6,51.5,52.5,53.4,54.3,55.2,56,56.8,57.6,58.5,59.7,61.1,62.7,64.8,66.4,67.7,68.7,70.3,71.2,72.1,73,75.1,76.1,77.2,78.1,79.8,80.6,81.4,82,82.2,82.7,83,83.2,83.3,83.5,83.6,83.7,84,83.9,83.8,83.7,84.2,84.8,85.8,87.1,88.6,89.8,90.5,90.9,90.8,91,91.5,92.2,93.3,94.3,95.3,96.2,97.8
"24","16","Current surplus of government enterprises \2\","A108RC1",0,0,0,0,-0.7,-1.3,-1.3,-1.5,-1.9,-1.4,-1.8,-1.7,-1.6,-1.3,-1.1,-0.7,-1.6,-2,-2.4,-2.8,-2.7,-2.1,-2.7,-3.2,-4,-4.2,-4.6,-4.7,-2.7,-2.7,-2.6,-2.7,-3,-3.1,-3.6,-3.7,-3.6,-3.2,-1.9,-2.7,-2.8,-2.9,-3.1,-4,-4.1,-4.8,-5.1,-6.2,-6.6,-4.6,-5.1,-4.4,-3.8,-3.7,-3.9,-3.8,-3,-2.5,-2.1,-1.6,-2.1,-1.6,-1.3,-0.5,0.2,1.5,1.8,1.6,1.9,2,2,2.1,2.5,2.2,2,2,1.7,5.9,6,6.5,6.5,6.7,6.6,6.8,4.6,3.3,2.8,2.2,5.5,8,8.2,9.6,9.4,10.2,10.7,9.4,9.1,11.3,11.1,11.6,12.2,12.1,11.7,11.3,15.7,15.4,15.6,15.8,16.5,16.7,17.2,17.3,17.4,18.1,17.3,17.1,16.4,16.7,16.6,15.4,17.3,16.7,16.2,14.5,14.2,12.8,9.4,6.5,5.8,4,8.8,2.2,4.3,4.8,9.8,9.1,6.1,4.5,3,2,0.1,-0.9,-2.7,-3.7,-4.9,-5.7,-7.3,-7.6,-5.9,-8.1,-10.4,-12.8,-15.7,-15.7,-15.6,-18.8,-20.2,-21.2,-21.5,-21.9,-21.8,-20.4,-19.5,-20.7,-21.2,-22.6,-23.5,-24.3,-24.5,-24.1,-24.6,-24.9,-23.9,-24.5,-25.4,-27.3,-27.8,-29.6,-30.1,-31,-31.1,-33.6,-36.3,-35.7,-34.5
"25","17","    Current expenditures","W022RC1",271.2,280.2,287.4,295.3,301.8,315.9,322.2,330.1,339.8,352,355.3,362.5,377.6,381.8,385.2,398.9,405.3,414.9,418.4,427.8,441.3,460.5,475.8,495.7,517.8,544.6,549.5,562.1,569.4,573.6,587.9,597.4,609.1,620.6,635.7,655.1,669.1,681.2,699.4,717.5,734.4,749.8,773.9,801.5,833.3,859,898.9,927,959.5,981.4,1014.3,1043.7,1066,1086.1,1121.5,1164.9,1178.3,1201.8,1219.1,1220.2,1244,1272.5,1297.1,1327.9,1354.6,1377.4,1405.6,1427.8,1446.1,1475.9,1502.1,1511.6,1525.6,1547.2,1559.7,1594,1617.2,1628.4,1647.8,1690.2,1728.7,1767.1,1793.7,1826.4,1870.2,1902.8,1929.4,1970.7,1941.1,2016.9,2061.3,2110,2164.2,2203.9,2235.8,2260.6,2269.1,2283.8,2312.8,2330.9,2327.9,2352.5,2387.7,2430.4,2464.5,2491.9,2507.2,2499,2545.7,2570.3,2573.8,2603.2,2616.4,2639.1,2652.8,2687,2676.8,2703.8,2715.8,2757.9,2777,2802.1,2839.5,2891.4,2895.7,2959.8,2982.9,3028.6,3098.8,3158.5,3191.5,3227.3,3291.4,3337.4,3372.1,3432.8,3497.3,3567.1,3586.1,3618,3710.9,3743,3792.5,3844.2,3947.8,3997.2,4064.6,4130,4189.6,4250,4314.5,4318.9,4461.2,4520.1,4560.5,4621.3,4705.8,4883.1,4901.5,4872.8,4972.1,5252.6,5307.9,5306.2,5392.8,5437.6,5474,5499.6,5505.7,5585.1,5533.6,5526.1,5567.5,5628.1,5611.5,5643.5,5612.9,5678.4,5695.3,5665,5730.5,5791.3,5885.6,5843.9,5838.1
"26","18","Consumption expenditures","A955RC1",173.5,178.5,184.1,187.3,190.4,191.9,196,199.3,205.6,209.6,212.5,215.5,224.2,228,227.1,230.9,235.1,239.3,241,247.4,255.2,261.1,270.2,281.3,288.6,296.5,301.5,307.4,310,314.2,316.2,324.4,331.3,338.8,345.5,354.8,361.2,368.3,374.3,383.5,393.1,400.3,406.5,421.9,435.5,452.2,457.5,474.4,489.5,503.6,509.5,526.9,537.2,544.4,557,573.7,584.2,593.7,606.2,594.2,610.3,629.4,638.6,649.6,666.7,679.8,697.8,709.9,715.6,731.2,746.7,752.1,760.6,771.3,777,795.6,803.5,812.3,819.7,843.6,853.4,878.6,889.6,904.4,927.4,940.1,949.7,974.7,996.4,1001.4,1006.8,1011.6,1026.6,1040.9,1061.1,1068.3,1063.1,1067.5,1079.2,1086.9,1090.7,1102.1,1122.1,1123.5,1134.5,1145.6,1150.6,1147.3,1158.2,1174.6,1178.8,1194.4,1201.9,1222.2,1228.5,1246,1242.1,1267.6,1276.8,1302,1319.7,1339.4,1369.7,1401.5,1407.4,1442.9,1453.4,1472.9,1510.2,1536.9,1558.8,1574.7,1613.9,1641.2,1659.8,1690.6,1722.6,1755.8,1759,1784.9,1827.8,1856,1887.4,1904.6,1944,1960.1,2002.2,2013.9,2057.9,2076.9,2099.6,2124.9,2160.1,2191.8,2227.1,2260,2312.5,2350.6,2410.1,2401.1,2392.6,2434.6,2461.1,2479.9,2500.3,2526.1,2534.2,2528.2,2516.2,2544.7,2539.4,2523.1,2542.9,2535.6,2570.3,2550,2543.6,2544.9,2555.9,2545.9,2564.5,2572.1,2616.2,2589.6,2582.2
"27","19","Current transfer payments","A084RC1",61.4,64.1,64.2,66.8,67.9,78.8,79.3,83.1,85.8,93.6,93.3,96.3,100.1,99.5,101.7,110.5,111.5,115.3,116.2,117.7,123.1,135.2,139.1,146.1,158.7,175.7,173.3,177.4,180.2,179.1,189.6,188.4,191.5,193.2,198.5,200.6,205,206.5,214.6,217.6,222.8,227.6,243.2,250.3,261.7,264.7,297.4,303,305.7,308.8,328.1,329.9,335.8,343.7,360.7,378.5,377.6,384.3,380.4,387.6,387.8,390.9,395.2,407.2,413,416.8,424.1,427.8,434.4,444.7,452.9,454.5,456.4,462.7,464.6,473.7,485.6,487.5,494.7,506.7,523.7,529.6,542.4,556.8,573.5,589.4,598,608.7,552,617.6,654.1,691.8,730.3,752.2,762.3,780.3,786.5,794.3,811.5,826,823.7,830.4,837.9,867.7,875.8,882.5,888.5,882.7,918.8,930.5,927.1,940.2,946.2,947.2,953.7,971.1,968.2,971.7,975.9,996.6,1002.1,1005.9,1015.9,1035,1036.1,1064.8,1079.1,1103.5,1127.6,1159.5,1167.6,1219.2,1257.6,1270.5,1282.6,1303.8,1329,1347.4,1369.9,1372.3,1424.8,1433,1441.4,1463.9,1516.5,1523.5,1544.6,1566.2,1603.7,1626.7,1653.6,1654,1737.6,1717.4,1744.5,1787.4,1825.7,1960.7,1897.1,1935.1,2048.1,2202.1,2209.7,2207.9,2283.7,2278.1,2310.6,2328.5,2333.5,2335.3,2321.3,2331.3,2353.7,2374,2381.6,2388.7,2417.1,2430.7,2454.2,2447.9,2489.7,2489.8,2570.2,2585.4,2641.1
