"","Table 5#5#4# Price Indexes for Private Fixed Investment in Equip","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","4","    Computers, software, and communication","W175RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537.241,527.051,511.304,490.791,462.221,451.235,430.422,394.039,379.573,375.157,378.115,379.192,363.625,351.587,352.766,354.068,369.965,366.131,350.249,322.865,312.794,304.419,307.064,306.398,291.489,272.634,257.778,242.735,229.901,223.553,215.147,206.111,199.771,183.917,174.16,164.608,153.888,138.988,126.423,112.239,103.575,100,94.399,89.779,85.484,81.695,78.649
"12","5","      Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262389.608,206016.973,152198.265,107961.791,70908.676,59316.144,49013.29,34354.846,27913.278,23819.752,21566.993,19372.365,14750.214,11897.438,11279.976,9209.691,8519.406,7115.332,6191.973,4188.316,3470.456,2708.602,2380.406,2130.131,1775.924,1436.769,1221.439,1052.188,896.227,832.476,777.36,705.322,633.63,540.749,459.505,404.107,338.192,257.899,198.813,147.625,114.709,100,82.192,70.95,63.234,58.599,51.407
"13","6","      Software \1\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.443,139.782,137.303,132.029,127.025,128.064,124.805,120.825,119.298,119.461,120.538,122.538,119.62,117.496,119.764,124.434,129.662,129.953,131.216,128.314,132.104,135.367,140.241,143.969,142.527,140.105,137.647,132.634,131.707,130.238,123.807,119.504,119,109.084,108.383,104.808,104.179,101.689,98.755,95.82,97.047,100,100.496,98.792,96.705,94.503,94.067
"14","7","      Communication equipment \2\","B275RG3",30.378,27.107,24.353,23.097,21.867,25.113,25.498,25.369,25.604,25.362,24.984,25.235,25.987,27.12,26.873,26.742,27.112,41.866,51.277,50.739,50.746,51.805,53.95,52.221,50.207,50.471,50.346,51.147,53.162,53.83,54.114,53.734,53.406,52.945,53.309,54.077,53.84,54.406,56.185,58.963,62.185,65.066,68.333,71.551,73.29,79.424,87.334,92,89.414,93.198,95.017,101.479,109.675,115.872,119.055,122.789,125.139,125.616,126.54,126.54,126.605,126.552,126.984,126.007,124.649,122.632,118.896,116.717,115.83,109.17,104.105,100,95.996,93.429,89.448,83.957,82.213
"15","8","    Medical equipment and instruments","W176RG3",20.287,19.719,19.16,19.884,16.96,17.539,16.793,16.87,16.301,16.974,16.959,17.791,19.126,20.17,19.693,19.048,18.566,17.235,18.859,19.988,20.087,21.001,22.89,22.324,22.874,23.429,24.418,25.719,27.587,28.463,29.172,29.522,29.601,29.692,29.628,29.462,29.599,30.434,31.111,31.914,32.855,34.385,35.391,35.692,36.613,39.445,45.582,48.521,51.271,55.327,60.143,66.267,72.479,76.539,78.955,80.919,81.311,84.776,88.431,90.252,92.187,94.746,96.843,99.324,101.08,101.907,103.143,103.568,102.196,101.307,100.633,100,100.436,101.04,102.379,102.321,102.456
"16","9","    Nonmedical instruments","W177RG3",16.2,15.747,15.3,15.879,13.544,14.006,13.41,13.471,13.017,13.554,13.543,14.207,15.273,16.107,15.726,15.21,14.826,13.763,15.06,16.051,16.197,16.888,18.484,18.178,18.789,19.086,19.773,20.84,22.44,23.274,23.94,24.66,25.035,25.375,25.63,25.45,25.499,26.612,27.983,28.946,29.9,30.97,32.416,33.103,33.648,35.808,40.881,43.775,46.817,49.438,52.329,56.372,61.28,65.282,68.801,69.33,71.348,73.966,76.356,79.134,81.699,84.859,87.28,89.724,91.585,93.099,94.723,96.247,97.888,98.597,98.953,100,100.864,102.057,103.365,104.385,106.003
"17","10","    Photocopy and related equipment","B285RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.028,62.717,68.423,67.338,65.102,68.087,67.174,67.264,67.687,68.036,68.146,72.994,74.671,75.467,76.016,77.711,79.248,78.989,78.699,79.696,79.547,81.515,78.884,77.388,77.707,77.706,76.751,77.084,78.848,82.029,85.3,86.39,89.709,93.68,105.666,109.861,110.77,112.935,114.363,116.892,123.121,128.109,132.62,137.004,139.936,142.702,147.485,142.469,140.134,142.521,132.337,122.017,108.369,103.857,100,97.273,91.648,91.042,90.327,90.045
"18","11","    Office and accounting equipment","B936RG3",50.543,50.904,50.734,49.119,46.215,46.41,45.242,45.99,47.006,46.818,47.046,47.28,48.333,50.758,49.617,48.092,47.537,49.009,52.627,53.949,55.022,55.985,59.41,59.596,61.176,61.903,62.859,64.984,67.587,67.295,67.658,67.661,67.831,67.428,67.975,68.316,68.585,68.992,70.503,70.577,71.378,72.964,73.887,73.848,75.381,78.009,82.615,81.857,85.373,83.778,81.233,82.152,83.663,85.546,86.284,86.448,85.445,90.423,95.048,97.153,98.24,97.419,97.629,98.754,100.39,102.059,103.119,101.801,101.023,100.802,100.552,100,98.356,97.998,98.055,98.787,98.601
"19","12","  Industrial equipment","B680RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.952,10.782,11.684,12.246,12.749,14.378,14.469,14.879,15.154,15.708,17.349,18.647,19.089,19.522,19.912,19.747,19.746,19.808,19.985,20.283,20.821,21.726,22.638,23.404,24.567,25.664,26.188,26.924,29.457,35.5,38.474,41.964,45.642,50.122,56.645,62.054,65.009,66.344,67.086,68.199,71.305,74.381,77.725,80.549,84.409,87.418,89.356,90.578,92.423,95.578,97.561,98.226,98.823,99.425,100,100.677,100.852,101.652,104.249,108.064
"20","13","    Fabricated metal products","B263RG3",9.982,9.817,8.624,8.23,7.904,9.26,9.347,8.94,9.978,9.985,9.664,9.422,9.821,10.299,10.378,10.378,10.541,11.338,13.971,15.649,15.806,16.049,18.285,18.522,19.003,19.002,19.641,21.796,22.915,22.834,23.188,23.877,23.319,23.308,23.441,23.358,23.382,23.64,24.234,24.848,25.554,26.741,28.186,29.2,30.141,33.515,40.93,43.188,47.236,52.673,58.764,66.689,72.277,77.621,79.245,78.982,79.701,78.979,78.581,83.87,88.119,90.475,92.193,93.43,92.686,92.905,97.105,100.447,100.728,100.694,100.239,100,101.599,103.256,105.012,112.514,120.503
"21","14","    Engines and turbines","B668RG3",6.272,5.924,5.294,5.292,5.287,6.071,6.346,6.273,6.621,6.621,6.625,6.899,7.321,7.874,7.598,7.881,7.88,8.78,9.831,10.223,10.169,10.055,11.452,11.327,12.162,12.303,12.989,15.208,17.161,17.996,18.526,18.567,18.077,17.126,17.036,17.216,17.381,17.526,18.256,19.271,20.21,21.915,23.69,24.484,25.296,26.625,31.662,36.886,40.667,45.088,47.386,57.901,63.153,63.562,65.061,65.289,65.466,66.611,68.241,70.173,75.998,83.999,87.475,88.958,89.029,91.769,94.471,96.156,97.584,98.018,99.483,100,100.247,101.111,101.907,102.662,103.132
"22","15","    Metalworking machinery","B271RG3",7.318,6.749,6.324,5.679,5.615,6.607,6.534,6.606,7.317,7.529,7.601,8.17,8.667,8.88,8.88,8.951,8.951,9.733,8.169,9.021,9.591,10.443,11.792,12.36,12.574,12.716,13.426,14.918,15.983,16.268,16.624,17.362,17.475,17.853,17.901,18.151,18.611,19.223,19.932,20.846,21.542,22.681,23.19,23.703,24.473,27.041,32.402,34.75,38.358,42.252,47.495,54.379,59.439,62.898,63.677,64.571,65.964,70.072,73.428,76.528,78.669,82.025,85.534,87.63,89.418,91.852,95.165,97.32,97.993,98.79,99.31,100,100.263,100.002,100.167,101.881,105.611
"23","16","    Special industry machinery, n.e.c.","B272RG3",5.777,5.428,5.08,4.664,4.733,5.429,5.429,5.429,5.986,6.055,6.124,6.473,6.89,7.03,6.959,7.03,7.099,7.726,8.282,8.978,9.396,9.813,10.996,10.997,11.205,11.484,12.11,13.015,14.059,14.407,14.744,15.125,15.174,15.314,15.674,16.032,16.318,16.803,17.705,18.501,19.344,20.292,21.266,21.837,22.659,25.794,31.033,33.742,37.222,40.789,45.103,50.601,56.088,58.684,60.56,62.07,63.337,67.657,71.732,75.463,77.775,81.789,85.444,88.092,89.606,91.615,95.052,97.346,98.166,98.876,99.903,100,100.325,99.969,100.785,103.605,106.238
"24","17","    General industrial, including materials handling, equipment","B273RG3",6.957,6.508,6.134,5.759,5.759,6.283,6.434,6.508,7.181,7.257,7.182,7.406,7.706,8.004,8.005,8.08,8.154,8.752,10.174,11.072,12.044,12.493,14.139,14.063,14.512,14.96,15.56,17.056,18.328,19.001,19.562,19.969,20.015,20.058,20.207,20.409,20.855,21.596,22.46,23.349,24.284,25.695,27.004,27.606,28.223,30.211,36.388,39.733,42.995,46.199,50.387,56.53,61.986,63.831,64.757,65.359,66.341,70.038,73.698,77.484,79.875,83.73,86.52,88.632,90.307,92.383,95.124,96.917,97.779,98.58,99.386,100,101.084,101.99,103.268,106.007,110.363
"25","18","    Electrical transmission, distribution, and industrial apparatus","B276RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.02,19.645,20.404,20.743,21.585,24.198,23.945,24.79,25.293,25.127,28.077,30.1,30.691,31.18,31.05,30.059,29.581,28.898,28.681,28.608,28.95,30.539,31.809,32.109,32.85,33.908,33.502,34.005,36.447,44.005,47.757,51.15,53.916,57.224,63.424,69.458,73.139,75.006,75.619,76.943,78.506,80.786,81.968,85.853,90.014,92.488,93.289,93.895,94.928,97.743,98.537,98.538,98.538,98.503,100,100.549,99.266,99.144,99.962,102.662
"26","19","  Transportation equipment","B681RG3",11.501,10.983,10.487,9.943,9.11,9.408,9.305,9.336,9.663,10.183,10.101,10.346,11.258,13.614,13.904,14.819,15.503,16.336,18.941,20.294,21.234,21.611,22.982,24.354,23.444,24.476,23.995,26.342,27.528,27.926,28.506,28.462,28.4,28.095,27.964,27.718,27.644,27.616,28.064,28.841,29.717,31.141,32.686,33.387,33.749,36.891,41.011,43.952,47.366,51.635,56.065,61.951,66.567,69.579,70.622,71.357,73.513,78.113,79.346,80.563,83.396,86.366,90.741,93.132,94.025,96.696,96.271,98.194,99.752,99.057,99.972,100,99.211,100.236,103.988,109.923,108.882
"27","20","    Trucks, buses, and truck trailers","B279RG3",10.165,9.439,8.933,8.571,7.771,7.77,7.407,7.407,7.843,8.786,8.64,8.932,9.512,11.115,10.164,10.82,12.127,13.071,14.669,15.903,16.629,16.556,17.864,18.808,18.736,18.662,19.388,20.914,22.075,23.237,23.741,23.169,23.173,23.091,22.843,22.761,23.092,23.177,23.671,24.333,24.995,26.159,27.966,28.92,29.279,32.172,36.268,39.445,43.465,47.337,51.349,56.563,64.087,67.998,69.874,72.33,73.599,76.894,76.61,78.275,81.692,83.346,87.165,90.902,94.065,97.653,98.329,99.334,99.832,98.424,100.614,100,97.438,97.239,101.035,106.693,104.23
"28","21","      Light trucks (including utility vehicles)","W178RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.028,79.363,82.735,84.576,90.814,95.505,98.455,102.718,99.91,101.416,102.446,99.473,101.709,100,96.035,95.138,100.491,107.784,101.855
"29","22","      Other trucks, buses, and truck trailers","W179RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.254,75.461,78.814,80.296,82.329,85.346,88.53,91.509,95.469,95.877,95.464,96.77,98.888,100,99.943,101.006,101.974,104.551,108.297
"30","23","    Autos","B280RG3",20.124,19.161,18.435,17.351,15.787,16.627,16.389,16.507,16.749,17.351,17.112,17.473,19.521,27.588,29.031,34.937,34.205,29.881,37.114,39.31,41.474,41.919,44.145,48.34,43.255,46.928,43.926,49.263,50.53,49.316,50.339,50.48,49.95,48.522,48.039,47.266,46.047,45.374,45.397,46.583,47.735,49.482,51.357,50.962,50.134,53.508,56.24,58.378,61.074,67.15,72.238,79.496,78.654,77.655,77.149,75.646,79.253,87.094,90.266,90.722,92.525,96.334,101.721,102.644,100.444,102.04,97.819,100.77,104.881,104.908,102.7,100,96.905,99.637,102.704,109.516,106.819
"31","24","    Aircraft","B281RG3",6.391,5.861,5.528,6.183,5.416,5.211,5.262,5.153,5.666,5.945,5.942,5.999,6.598,7.044,7.253,7.462,7.978,8.639,9.888,10.625,11.009,11.612,13.25,13.183,13.512,13.583,14.112,15.492,16.217,16.483,17.059,17.133,17.3,17.866,18.682,18.274,18.682,18.923,19.656,20.222,20.954,22.253,23.227,23.719,24.609,27.29,29.238,32.893,35.49,38.198,42.488,47.607,52.214,57.872,59.635,60.917,62.483,64.193,65.309,66.655,69.607,73.921,78.196,81.579,83.509,86.099,89.777,92.84,94.204,94.376,95.506,100,105.229,106.927,111.684,117.581,124.57
"32","25","    Ships and boats","B282RG3",6.268,6.05,5.618,5.107,5.05,5.764,5.852,5.905,6.407,6.409,6.334,6.337,6.985,7.201,7.274,7.562,7.273,9.362,10.586,11.449,11.741,12.024,12.962,13.54,14.262,14.623,14.91,16.059,17.142,17.573,17.457,18.056,18.069,18.133,18.406,18.688,18.922,19.377,19.947,20.727,21.744,23.03,24.102,25.231,26.938,30.631,34.209,36.183,38.852,42.044,45.994,50.378,55.213,61.815,63.73,66.399,68.379,70.853,72.274,74.029,77.196,80.167,82.301,83.956,86.822,88.947,90.412,92.721,94.902,96.17,97.368,100,102.584,105.333,109.836,113.875,117.254
"33","26","    Railroad equipment","B283RG3",7.071,7.015,6.734,6.565,6.466,6.458,7.18,7.126,7.46,7.682,7.963,8.185,8.463,9.297,9.8,9.742,9.744,11.078,11.914,12.694,13.14,14.142,14.865,15.088,15.478,15.588,16.034,17.203,18.428,19.319,19.842,20.375,20.716,20.716,20.716,20.716,20.716,20.807,21.068,21.601,22.566,24.053,24.586,26.687,28.185,31.431,40.92,45.041,49.695,53.436,58.217,64.866,71.086,73.92,75.599,76.105,77.154,76.778,76.376,79.091,84.407,87.063,88.9,89.104,89.715,92.669,98.197,100.642,98.967,99.443,99.528,100,99.798,99.857,101.39,106.928,119.875
"34","27","  Other equipment","B682RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.024,13.839,14.987,15.434,15.81,17.119,17.243,17.56,17.797,18.021,18.702,19.555,19.966,20.292,20.521,20.548,20.673,20.808,21.098,21.342,21.815,22.45,23.234,24.173,25.158,26.168,26.918,27.85,31.17,36.559,39.296,42.45,45.958,50.122,56.084,62.196,66.345,67.843,69.147,70.496,72.626,74.847,78.045,81.044,84.086,86.428,88.146,89.802,91.918,94.308,96.231,97.469,98.301,99.229,100,101.161,102.052,103.389,105.621,109.47
"35","28","    Furniture and fixtures","B667RG3",11.913,11.988,11.458,10.696,10.395,10.624,10.397,10.091,10.848,10.623,10.394,10.547,11.229,12.288,12.142,12.29,12.139,13.048,15.477,16.387,16.821,17.393,19.289,18.914,19.248,19.416,20.009,21.126,22.229,22.633,22.729,22.816,22.706,22.727,22.69,22.979,23.092,23.543,24.432,25.361,26.662,27.802,28.825,29.525,31.435,35.883,39.57,41.509,45.053,49.357,53.326,56.932,61.025,64.037,65.931,67.802,70.243,72.701,74.971,79.133,82.141,85.216,86.965,87.855,89.25,92.153,94.87,97.006,98.513,98.979,99.27,100,101.253,102.101,103.644,105.78,110.234
"36","29","    Agricultural machinery","B268RG3",8.779,8.917,8.786,8.624,9.344,8.963,8.518,8.542,8.725,8.816,8.534,8.528,8.597,8.915,8.866,8.79,8.832,9.394,10.223,11.472,12.215,12.626,13.336,13.873,14.075,14.254,14.228,14.611,15.18,15.8,16.35,16.653,16.938,17.331,17.616,17.926,18.405,18.993,19.655,20.206,21.054,21.871,22.866,23.917,24.646,27.967,32.825,35.495,38.362,41.477,45.663,52.261,58.71,64.233,67.016,68.733,68.987,71.546,73.035,75.212,78.33,81.147,84.517,88.008,89.953,92.333,94.405,96.56,97.473,98.37,99.434,100,101.055,102.298,104.075,107.389,111.818
"37","30","    Construction machinery","B269RG3",4.674,4.692,4.477,4.107,4.437,4.651,4.596,4.583,5.013,5.122,5.084,5.246,5.662,6.029,6.132,6.229,6.456,7.087,8.058,9.156,9.46,9.72,10.823,10.989,11.352,11.565,11.987,12.776,13.759,14.399,14.919,15.299,15.511,15.568,15.841,16.306,16.648,17.116,17.688,18.663,19.559,20.523,21.691,22.541,23.34,26.094,32.456,35.214,39.327,42.964,47.312,53.042,58.83,62.145,63.27,63.521,64.339,66.578,70.48,74.502,77.187,80.717,82.924,84.946,87.061,89.144,91.754,93.658,95.277,96.912,99.259,100,100.751,101.85,103.655,106.621,111.185
"38","31","    Mining and oilfield machinery","B270RG3",5.035,4.965,4.827,4.476,4.617,4.684,4.686,4.615,5.035,5.315,5.176,5.385,5.805,6.153,6.296,6.504,6.714,7.272,8.392,9.162,9.862,10.56,11.748,11.748,12.308,12.868,13.359,14.266,15.316,15.665,15.795,16.219,16.165,16.383,16.412,16.642,16.782,17.03,17.688,18.432,19.351,20.263,21.001,21.65,22.417,25.132,32.18,36.026,40.511,44.403,48.929,57.846,67.59,72.739,70.522,70.112,70.841,70.963,70.695,73.973,76.643,80.004,83.338,84.514,85.645,87.531,90.468,92.916,96.177,97.76,98.704,100,103.375,104.739,106.921,111.93,120.896
"39","32","    Service industry machinery","B570RG3",17.192,16.944,16.357,13.613,12.626,12.885,12.711,12.133,13.289,13.703,13.463,13.788,15.198,16.941,17.447,17.865,18.108,19.938,24.508,25.421,25.257,24.59,26.42,26.335,26.253,26.251,26.085,26.417,27,27.082,27.248,27.304,26.907,26.865,26.859,27.007,26.966,27.338,27.929,28.792,29.562,30.618,31.695,32.044,32.577,35.19,40.552,43.234,46.157,49.136,52.291,57.977,63.085,66.417,68.337,70.069,71.947,73.648,75.066,77.545,80.712,83.742,86.171,88.032,89.766,91.48,94.074,95.981,97.463,98.218,99.297,100,100.985,101.963,102.826,104.526,107.993
"40","33","    Electrical equipment, n.e.c.","B670RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.363,31.877,34.292,33.256,34.397,36.329,35.051,37.226,36.726,36.391,36.189,36.377,36.911,37.217,36.728,36.277,35.793,35.089,34.93,34.596,34.99,34.746,35.36,36.21,37.658,38.853,39.023,40.072,43.838,50.167,53.134,56.535,60.114,64.251,69.287,74.751,77.882,78.42,80.999,82.731,84.592,88.117,90.457,92.567,94.318,95.245,96.579,96.806,97.468,99.572,100.196,100.018,99.878,99.743,100,100.288,99.863,100.279,101.364,102.66
"41","34","    Other","B286RG3",13.9,13.447,12.401,12.245,12.095,12.552,12.253,12.102,14.043,13.906,13.676,14.343,15.388,16.444,17.106,17.622,18.158,19.717,21.444,22.643,22.714,23.761,25.999,25.397,25.622,26.371,26.6,27.194,28.166,27.718,27.47,27.539,27.485,27.495,27.628,27.764,27.859,28.307,28.759,29.448,30.381,31.433,32.222,32.769,33.627,37.338,41.799,44.137,44.904,47.957,52.216,58.545,65.281,70.077,71.6,72.645,73.488,75.561,77.31,80.041,83.264,86.212,88.628,90.03,91.758,93.4,95.384,97.103,97.798,98.484,99.063,100,101.218,101.964,102.958,104.443,106.907
"42","35","  Less: Sale of equipment scrap, excluding autos","B287RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.985,21.652,27.131,19.381,23.595,27.605,26.576,24.213,21.432,27.195,32.071,27.213,22.192,24.205,20.987,21.838,18.645,18.397,21.83,23.481,23.614,21.334,20.392,24.564,28.691,23.707,24.75,37.461,63.578,43.312,47.54,44.384,48.021,55.095,59.619,63.765,63.215,64.974,66.731,66.409,65.551,78.254,110.848,107.966,105.572,93.696,89.705,95.15,111.412,126.647,114.232,116.533,99.199,90.438,100,88.671,94.133,115.277,188.302,173.922
"43","36","Residential equipment","B013RG3",40.759,40.215,35.911,30.482,31.169,32.131,30.809,31.663,32.916,33.076,32.265,31.545,33.685,37.743,37.917,39.481,44.927,50.235,55.822,58.984,56.998,56.75,60.694,60.538,60.369,59.374,57.621,55.204,54.694,53.866,56.099,55.483,54.48,53.29,52.381,51.845,50.756,49.978,50.078,51.151,52.307,53.323,54.188,54.366,54.698,58.08,63.661,66.902,69.056,72.402,76.55,81.528,87.412,92.801,95.11,95.871,95.294,95.79,97.148,98.112,99.006,99.737,99.309,99.225,99.753,101.646,101.965,102.506,102.38,101.801,100.189,100,100.118,99.558,96.799,94.223,96.852
