"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","4","        Structures","A760RG3",6.874,6.45,5.772,4.639,5.312,6.181,5.978,6.489,6.673,6.66,6.505,6.513,7.099,8.272,8.915,8.646,8.807,9.868,11.647,12.947,12.805,12.295,14.091,14.54,14.493,14.076,14.08,15.416,16.129,15.966,16.009,15.819,15.847,16.163,16.395,16.606,17.036,17.743,18.316,19.195,20.597,22.402,24.233,25.695,27.984,33.146,36.793,37.645,39.206,41.522,45.713,51.405,57.148,60.927,61.657,62.296,63.493,65.454,68.001,70.088,72.12,74.506,75.629,76.151,78.208,80.749,84.218,86.806,89.567,92.262,95.623,100,103.449,106.387,108.891,112.948,120.452
"12","5","        Equipment and software","A871RG3",28.181,27.368,25.687,25.282,24.398,25.225,27.234,25.867,26.415,25.754,25.66,26.687,29.99,26.547,25.951,24.125,22.124,24.361,27.077,28.687,29.326,30.387,32.527,32.955,32.056,32.684,33.957,36.778,38.47,38.794,39.437,39.546,40.07,40.548,40.967,41.253,40.868,41.279,42.171,43.314,45.05,48.237,50.634,60.893,61.464,64.421,69.576,74.384,78.831,83.632,87.347,92.527,99.809,105.803,107.975,108.941,107.317,103.885,101.137,101.101,102.406,104.083,105.957,105.988,107.417,108.892,109.882,108.459,105.17,101.905,100.716,100,98.195,96.437,95.569,95.967,96.481
"13","6","Federal","B823RG3",8.388,8.016,7.952,7.572,7.654,8.18,8.275,9.04,9.187,9.342,9.168,8.806,9.267,9.09,9.175,9.014,9.1,11.608,12.319,12.206,12.719,12.645,13.196,13.326,13.42,13.736,14.48,15.23,15.914,16.569,16.45,16.59,16.871,17.228,17.597,18.191,18.658,19.33,19.913,20.995,22.13,23.915,25.957,28.495,30.449,33.162,36.615,39.217,42.18,44.785,48.231,53.299,58.476,62.446,64.612,68.426,69.974,70.352,71.2,72.704,74.677,77.142,80.232,82.602,84.788,87.061,89.503,91.982,93.533,94.511,96.884,100,101.907,105.631,109.74,114.354,118.537
"14","7","    Consumption expenditures","B957RG3",6.901,6.6,6.648,6.491,6.448,6.802,6.847,7.627,7.692,7.867,7.705,7.272,7.498,7.267,7.362,7.487,7.882,10.354,10.94,10.757,11.248,11.159,11.534,11.608,11.797,12.136,12.886,13.45,14.019,14.701,14.5,14.656,14.933,15.278,15.651,16.276,16.811,17.49,18.039,19.097,20.136,21.769,23.689,25.739,27.586,30.154,33.395,35.803,38.559,40.96,44.256,49.191,54.085,57.794,59.958,64.06,66.012,66.962,68.331,70.051,72.081,74.644,77.94,80.64,82.86,85.135,87.606,90.479,92.524,93.802,96.412,100,102.314,106.777,111.536,116.647,121.216
"15","8","    Gross investment","B787RG3",18.235,17.34,15.893,13.662,14.609,16.176,16.532,17.157,17.873,17.829,17.633,18.042,19.691,19.556,19.647,18.343,16.962,18.64,20.949,22.217,22.703,22.832,24.793,25.307,24.799,24.98,25.651,27.811,29.35,29.686,30.192,30.225,30.546,30.999,31.338,31.65,31.516,32.038,32.814,33.846,35.594,38.371,40.832,49.38,51.464,54.549,58.99,62.865,66.874,70.756,74.859,80.036,86.674,92.217,94.154,95.544,94.344,91.211,89.053,89.301,90.938,92.805,94.624,95.026,97.032,99.274,101.526,101.576,99.897,98.78,99.688,100,99.337,98.416,98.468,100,101.803
"16","9","      Structures","B801RG3",5.652,5.368,4.89,4.101,4.467,5.035,4.944,5.329,5.654,5.708,5.614,5.687,6.06,7.033,7.579,7.345,7.551,8.377,10.418,11.22,11.378,10.872,12.246,12.711,12.739,12.422,12.496,13.46,14.196,14.384,14.432,14.386,14.381,14.655,14.798,15.063,15.339,15.941,16.513,17.402,18.911,20.419,22.224,23.889,26.717,30.051,33.99,35.739,38.192,40.315,45.033,49.822,54.432,57.882,58.879,60.996,62.546,63.38,65.589,67.817,71.555,73.971,75.937,76.932,79.481,82.152,85.502,87.94,89.843,92.451,95.852,100,103.742,106.03,109.083,114.211,122.032
"17","10","      Equipment and software","B872RG3",27.239,26.094,24.686,24.874,23.134,24.129,27.227,25.335,24.746,23.792,23.852,24.973,28.419,25.047,24.484,22.756,20.859,22.954,25.199,26.539,27.227,28.231,30.096,30.508,29.63,30.21,31.249,33.958,35.845,36.227,37.048,37.146,37.688,38.197,38.628,38.912,38.453,38.796,39.613,40.64,42.353,45.636,48.089,62.803,62.711,64.292,67.995,72.942,77.444,82.018,84.877,89.555,96.674,102.897,105.182,106.212,104.007,99.522,95.865,95.461,96.512,98.254,100.054,100.299,102.14,104.231,106.092,105.329,102.505,100.298,100.544,100,98.501,97.009,96.531,97.495,98.478
"18","11","  National defense","B824RG3",8.57,8.275,8.163,7.993,7.813,8.232,8.476,8.682,8.969,9.001,8.943,8.502,9.076,8.88,8.969,8.823,8.884,11.392,12.219,12.156,12.559,12.547,13.061,13.114,13.172,13.53,14.287,15.102,15.786,16.389,16.257,16.383,16.619,16.94,17.32,17.822,18.314,18.95,19.518,20.539,21.664,23.321,25.387,28.319,30.396,33.217,36.46,39.117,42.079,45.035,48.628,53.908,59.229,63.392,65.617,70.29,71.621,71.554,72.281,73.631,75.528,78.01,80.821,83.628,85.313,87.412,89.598,92.379,93.716,94.643,96.886,100,102.002,105.792,110.434,114.84,118.96
"19","12","    Consumption expenditures","B997RG3",7.334,7.099,7.052,6.954,6.786,7.095,7.305,7.495,7.598,7.636,7.597,7.032,7.343,7.123,7.204,7.359,7.718,10.175,10.86,10.745,11.118,11.065,11.406,11.408,11.57,11.95,12.714,13.338,13.91,14.529,14.32,14.468,14.69,15.002,15.4,15.961,16.488,17.131,17.687,18.694,19.721,21.241,23.186,25.471,27.437,30.17,33.271,35.685,38.407,41.109,44.596,49.814,54.883,58.768,60.928,65.957,67.782,68.449,69.868,71.512,73.486,76.101,79.079,82.232,83.792,85.783,87.919,91.05,92.856,94.038,96.396,100,102.495,107.018,112.365,117.172,121.661
"20","13","    Gross investment","B788RG3",16.392,15.103,13.698,12.374,12.344,13.757,14.171,14.374,15.833,15.819,15.653,15.99,17.636,17.405,17.534,16.327,15.101,16.871,19.597,20.789,21.281,21.782,23.755,24.137,23.581,23.832,24.543,26.683,28.14,28.516,28.962,28.951,29.288,29.672,29.919,29.901,29.987,30.393,30.919,31.728,33.44,35.861,38.15,50.819,52.721,54.731,58.071,62.512,67.029,71.705,75.388,79.98,86.475,92.335,94.827,96.543,94.707,90.456,87.439,87.18,88.662,90.454,92.36,93.191,95.646,98.449,100.972,101.472,99.599,98.703,100.16,100,98.763,97.835,98.019,99.922,101.749
"21","14","      Structures","B808RG3",4.564,4.182,3.812,3.206,3.411,3.831,3.866,4.026,4.382,4.345,4.278,4.482,4.856,5.732,6.195,6,6.135,6.885,8.714,9.141,9.232,8.815,10.342,10.649,10.607,10.309,10.418,11.221,11.78,12.079,12.123,12.084,11.983,12.229,12.314,12.498,12.539,13.198,13.619,14.514,16.206,17.472,19.194,20.839,25.024,28.196,30.903,32.312,35.452,36.937,43.696,47.24,50.063,52.304,53.059,56.702,58.482,58.618,61.484,63.887,68.681,70.778,72.926,74.425,78.746,81.421,84.908,87.345,89.931,92.46,96.057,100,103.91,106.463,110.097,115.448,122.349
"22","15","      Equipment and software","B873RG3",21.064,19.597,17.636,17.924,16.385,18.057,19.216,18.602,21.078,21.418,21.362,20.809,23.751,20.251,19.867,18.411,16.897,18.956,21.533,22.894,23.5,24.374,26.083,26.395,25.631,26.202,27.126,29.562,31.214,31.524,32.118,32.126,32.638,33.024,33.307,33.215,33.309,33.6,34.131,34.885,36.489,39.102,41.297,59.294,58.745,59.584,62.746,67.963,72.6,78.002,80.611,85.289,92.474,99.009,101.839,103.085,100.537,95.481,91.362,90.591,91.497,93.247,95.14,95.899,98.135,100.957,103.319,103.483,100.862,99.456,100.638,100,98.231,97,96.906,98.548,100.037
"23","16","  Nondefense","B825RG3",8.398,7.936,7.918,7.332,7.609,8.189,8.227,9.192,9.292,9.491,9.277,8.941,9.213,9.479,9.226,8.649,9.651,11.784,12.107,11.821,12.616,12.358,13.016,13.699,14.055,14.065,14.668,14.96,15.589,16.549,16.591,16.798,17.296,17.808,18.116,19.036,19.408,20.19,20.815,22.116,23.251,25.478,27.4,28.78,30.394,32.819,36.746,39.209,42.152,43.983,47.099,51.683,56.516,60.02,62.038,63.577,65.74,67.395,68.616,70.609,72.826,75.26,79.1,80.411,83.728,86.375,89.351,91.216,93.192,94.268,96.88,100,101.739,105.345,108.473,113.498,117.808
"24","17","    Consumption expenditures","B542RG3",6.819,6.419,6.579,6.339,6.424,6.814,6.768,7.829,7.884,8.108,7.903,7.513,7.603,7.679,7.656,6.854,8.213,10.522,10.748,10.307,11.114,10.888,11.391,11.982,12.35,12.423,13.045,13.238,13.744,14.798,14.771,14.959,15.498,15.979,16.236,17.095,17.644,18.448,18.952,20.197,21.26,23.299,25.099,26.392,27.895,30.018,33.59,35.978,38.863,40.607,43.471,47.792,52.32,55.629,57.801,59.464,61.781,63.519,64.761,66.735,68.952,71.426,75.603,77.238,80.939,83.831,86.998,89.312,91.861,93.393,96.493,100,101.986,106.342,110.014,115.72,120.453
"25","18","    Gross investment","B798RG3",20.285,19.451,17.886,15.168,16.437,18.184,18.568,19.355,19.816,19.757,19.534,19.971,21.462,22.777,20.989,22.826,20.98,21.123,21.645,22.959,23.382,22.79,24.483,25.824,26.046,25.343,25.226,26.599,28.229,28.155,28.929,29.255,29.389,30.098,30.761,32.103,31.422,32.165,33.578,35.211,36.778,40.28,42.888,44.744,47.017,51.821,58.221,60.761,63.56,65.863,70.635,76.735,83.392,87.994,88.389,88.829,89.693,90.612,91.633,93.679,95.794,97.848,99.366,98.649,99.639,100.707,102.405,101.632,100.298,98.848,98.965,100,100.272,99.364,99.181,99.993,101.723
"26","19","      Structures","B830RG3",7.985,7.634,6.954,5.83,6.367,7.18,7.03,7.62,8.027,8.15,8.013,7.944,8.169,7.953,8.129,7.931,8.668,10.158,11.709,12.775,12.985,12.41,13.498,14.273,14.577,14.362,14.229,15.327,16.328,16.166,16.211,16.16,16.324,16.61,16.818,17.144,17.572,18.162,18.849,19.738,21.055,22.761,24.615,26.274,28.017,31.476,36.286,38.265,40.385,42.877,46.785,52.275,57.868,62.079,63.261,64.112,65.449,66.938,68.487,70.483,72.996,75.659,77.496,78.22,79.898,82.57,85.843,88.28,89.777,92.427,95.735,100,103.647,105.8,108.58,113.597,121.926
"27","20","      Equipment and software","B880RG3",31.45,31.008,31.424,31.235,29.767,30.041,34.226,31.544,28.751,26.845,27,29.926,34.142,38.899,32.812,38.656,32.841,32.481,33.196,34.12,34.97,36.188,37.555,39.364,38.354,35.908,36.191,35.874,37.518,38.916,47.25,52.201,51.274,53.542,55.92,60.833,55.557,56.105,58.997,61.972,63.185,70.247,73.283,73.96,75.901,81.079,87.341,89.552,92.282,91.883,95.798,99.761,105.557,109.064,108.018,107.802,107.912,107.94,108.071,109.961,111.667,113.181,114.375,112.435,112.752,112.241,112.439,109.103,105.828,101.936,100.357,100,99.047,96.992,95.63,94.917,94.621
"28","21","State and local","B829RG3",5.857,5.694,5.354,4.819,5.003,5.399,5.437,5.413,5.547,5.504,5.425,5.474,5.842,6.456,6.935,7.203,7.442,8.132,9.115,10.191,10.277,10.371,11.435,11.927,12.159,12.36,12.601,13.408,13.987,14.174,14.475,14.738,15.093,15.564,15.911,16.234,16.685,17.507,18.488,19.475,20.78,22.488,24.087,25.524,27.477,30.5,33.481,35.563,37.872,40.359,43.944,48.858,53.709,57.14,59.666,62.336,64.739,66.624,69.361,71.485,73.94,77.357,79.681,81.3,83.294,85.472,87.778,89.709,91.414,92.934,95.667,100,102.868,105.435,109.303,113.022,119.186
"29","22","  Consumption expenditures","B991RG3",5.061,5.01,4.83,4.536,4.574,4.828,4.927,4.736,4.862,4.819,4.779,4.849,5.099,5.546,5.961,6.229,6.459,7.059,7.839,8.769,8.921,9.154,9.923,10.421,10.74,11.134,11.426,11.989,12.542,12.893,13.301,13.727,14.182,14.701,15.077,15.441,15.885,16.732,17.843,18.847,20.108,21.748,23.261,24.688,26.568,28.989,31.727,34.017,36.435,38.869,42.27,46.913,51.454,54.745,57.546,60.611,63.253,65.09,67.868,70.01,72.588,76.249,78.82,80.723,82.773,84.963,87.175,89.165,90.895,92.489,95.403,100,103.034,105.774,110.213,114.116,120.395
"30","23","  Gross investment","B799RG3",8.767,8.243,7.389,6.006,6.859,7.984,7.684,8.311,8.487,8.435,8.231,8.219,9.097,10.618,11.349,11.12,11.056,12.093,14.153,15.798,15.542,15.033,17.27,17.73,17.622,17.15,17.242,18.897,19.599,19.273,19.259,19.008,19.052,19.398,19.678,19.895,20.401,21.21,21.87,22.876,24.418,26.471,28.487,30.019,32.356,38.267,42.476,43.485,45.173,47.913,52.438,58.727,65.172,69.305,70.105,70.477,71.59,73.698,76.2,78.217,80.053,82.31,83.487,83.783,85.51,87.626,90.366,92.021,93.616,94.813,96.763,100,102.199,104.081,105.704,108.699,114.409
"31","24","    Structures","B842RG3",7.346,6.887,6.152,4.91,5.715,6.741,6.472,7.043,7.157,7.113,6.935,6.909,7.671,9.015,9.725,9.49,9.382,10.246,11.958,13.392,13.147,12.642,14.572,14.987,14.888,14.431,14.405,15.849,16.542,16.257,16.298,16.061,16.1,16.426,16.681,16.877,17.34,18.068,18.641,19.52,20.911,22.765,24.603,26.03,28.22,33.72,37.314,38,39.384,41.739,45.821,51.681,57.646,61.491,62.161,62.484,63.607,65.798,68.414,70.47,72.224,74.607,75.613,76.069,78.052,80.575,84.063,86.672,89.541,92.245,95.602,100,103.428,106.411,108.875,112.858,120.34
"32","25","    Equipment and software","B881RG3",20.716,20.166,18.894,18.492,18.09,18.655,18.407,18.287,20.092,19.995,19.734,20.287,21.593,23.251,22.846,23.031,23.778,26.326,31.498,34.222,34.362,35.469,39.169,39.391,39.408,40.168,43.992,46.076,44.527,44.098,42.378,42.539,42.588,42.445,42.535,42.721,42.969,43.686,44.782,46.302,47.715,49.799,51.651,52.686,54.398,59.801,67.828,71.986,75.896,80.922,86.855,93.084,100.195,104.787,106.328,106.945,107.685,108.724,109.931,111.289,113.33,114.683,116.653,116.059,116.327,116.383,115.693,113.073,109.052,104.202,100.955,100,97.782,95.655,94.212,93.742,93.523
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
