"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"11","3","  Nonfarm \2\","A358RC1",733.2,742.3,753.8,755.8,763.2,776.1,788.1,786.6,822.1,837.7,853.2,858.6,892.1,920.6,937,960.2,1002.7,1025.4,1035.8,1058.6,1075.1,1114.4,1132.9,1158.6,1168.4,1194.4,1238.8,1279,1334.4,1362.2,1389,1425,1469.4,1529.5,1582.3,1604.7,1638.6,1745.8,1790.7,1859.7,1886.8,1944.1,2000.7,2041.9,2097,2094.3,2125.4,2222.2,2340.5,2357.1,2427.5,2431,2407.1,2450.5,2467.5,2492.8,2550.7,2648.3,2752.3,2833.3,2904.8,2987,3037.2,3076.2,3140.4,3186.8,3257.1,3297.8,3352.3,3378,3421.6,3456.3,3506.5,3566,3622.6,3707,3750.8,3848.7,3910.1,4008.1,4068.5,4145.6,4204.6,4229.2,4321.2,4383.9,4411.1,4390.4,4401,4465.4,4525.9,4559.6,4630.1,4704.9,4781.7,4878.7,4913.9,4971.3,5034.1,5131.6,5198.1,5307.6,5378.4,5481.3,5525.5,5561.2,5643.1,5704.8,5764.9,5899,5987.4,6096.4,6181.9,6315.2,6422.1,6500.2,6578.5,6654.3,6773.8,6919.9,7010.1,7090,7222.1,7389.1,7449.7,7651.8,7694.6,7771.6,7768.4,7874.4,7834,7873,7963.3,8033.7,8105.6,8139.6,8199.7,8289.2,8529.3,8623.1,8749.1,8895.4,9032,9188.9,9381.8,9486.3,9681.2,9824.5,10043,10156.4,10218.2,10346.6,10449.9,10639.1,10739.1,10797.9,10750.3,10852.8,10822.4,10503.7,10368.2,10342,10407.8,10549.3,10710.6,10822.2,10973.2,11068.4
"12","4","  Farm","B359RC1",20.9,22.4,23.3,24.7,24.1,23,24.2,23.4,24.6,25,25.1,26.8,24.5,27.6,29.9,36.6,36.8,44.6,47.6,58.1,49.1,40.6,42.4,44.9,42.1,43.1,47.8,49.5,45,42.6,42,42.5,43.8,42,39.6,48.8,47.6,51.9,53.1,50.4,60.3,58.5,61.1,60.5,52.4,40,51.6,61.4,61.9,63.7,71.2,63,61.2,60.2,61.6,58.7,57,46.8,35.1,40.9,62.5,64.5,63.4,66.2,67,63.4,61,62.3,56,55.9,63.9,62.1,60.6,60.6,61.3,63.4,68,60.5,64.3,50.2,76.8,72.3,70.8,75.1,79.5,77.9,77.1,74.5,69.9,72.2,67.3,73,78.9,82,83,77.7,67.8,75.1,63.3,79.3,91.6,86.5,81.4,76.1,66.1,63.8,68.2,78.4,91.7,102.6,88.6,90.3,95.2,82.4,88.4,85.7,80.6,77.4,76.1,82.7,82,71.6,67.1,64,68.8,76.7,73.6,75.4,75.9,74.2,77.2,77.6,67,63.9,76.3,82,83.8,92.2,93.8,99.8,122.8,122.7,111.9,115.7,104.1,103.5,102.2,98.3,86.7,90.6,93.6,101.3,109.7,109.5,112.4,128,144.9,133.7,130.5,115.5,103.4,100.6,100.3,111.6,112.6,116,129.5,140.2
"13","5","Households and institutions","A193RC1",82,84.1,86.5,88.9,89.9,91.4,93.4,95.7,98.8,100.9,103.2,105.9,108.2,110.3,112.2,114.7,117.4,120.2,123,126.1,128.9,131.9,135.1,138.6,142.4,145.7,149.3,152.7,155.5,158.5,161.9,165.9,168.7,172.5,177.8,183,183.5,193.1,201.8,209,213,216.3,222.7,231.2,240.8,250.3,257,266.1,274.9,282.7,291.5,301.2,308.8,314.6,323.7,330.4,336.4,343.7,351.1,361.5,367.8,374.1,385.3,393.9,398.3,406.5,413.1,422.5,431,438.4,446.5,453.1,463.7,472.5,486.4,508.7,512.4,523.9,534.2,548.2,557.6,569,579.7,590.5,602.7,618.3,634.1,640.7,650.9,660.1,670,682.8,690.6,708.1,718.2,727.7,741.8,748.7,754.9,762.9,776.8,791.4,809.1,822.7,837.4,848.2,854.5,868.1,879.3,889.9,902.5,916.3,928.9,942.2,955.9,970,982.2,999.8,1020.3,1038.2,1053,1076.4,1088.6,1113.7,1130.5,1146.3,1164.6,1187.3,1206.2,1221.5,1245,1258.9,1278.2,1301.6,1303.4,1309,1332,1337.1,1333.7,1386,1389.5,1408.3,1440.8,1456.6,1477.2,1498.6,1513.9,1536.1,1570.4,1599.3,1619.6,1622,1650.8,1665,1694.5,1733.1,1768,1799,1823,1842.1,1833.3,1829.9,1843,1846.1,1833.8,1836.8,1840.4,1854.1
"14","6","  Households","B701RC1",54.2,55.4,56.5,57.6,58.3,59,60.2,61.8,63.3,64.7,66.3,67.8,69.2,70.2,71.3,72.5,74.1,75.6,77.2,79,80.7,82,83.7,85.7,87.9,89.8,91.6,93.6,95.4,97.4,99.7,102.2,103.8,106.2,109.5,112.1,116.8,119.1,122.3,127,130.7,132.7,137.1,143.3,149.1,155.1,158.1,163.9,169.5,174.6,180.4,186.8,191,194,199.1,202.6,206,210.1,213.7,220.3,223.5,226,234.2,240.3,243,248.8,252,257.5,262.1,265.8,270.3,273.7,278.3,282.7,291.9,299.2,305.6,308.4,314.8,323.5,328.2,334.9,340.4,345.5,351.7,360.2,368.7,372.8,377.5,380,385.3,392,394.7,403.3,409.5,413.6,423.6,426.7,428.7,434,444.1,455.8,468.5,476.7,483.9,490.2,492.6,502.1,508.6,515.6,523.4,531.4,539.6,547,554.6,562.4,569.2,578.3,589.9,598.1,610.1,622.1,633.5,648,659.4,666.7,676.7,691.1,699.6,712,730.8,735.7,741.1,753.2,745.4,744.3,759.3,757.6,747.6,786.2,787.4,795.9,813.6,827.3,845.9,859.4,866.9,885.3,906,924.3,938.4,930.4,946.9,953,973,999.4,1020.6,1045.7,1060.1,1068.8,1066.4,1052.2,1060.5,1056.8,1046.4,1044.7,1041,1041.9
"15","7","  Nonprofit institutions serving households \3\","B702RC1",27.8,28.7,29.9,31.2,31.6,32.4,33.2,34,35.4,36.2,36.9,38.1,39,40.1,40.9,42.1,43.3,44.6,45.8,47.1,48.2,49.9,51.4,52.9,54.4,55.8,57.6,59,60.2,61.1,62.3,63.7,65,66.3,68.3,70.9,66.7,74,79.6,82,82.2,83.5,85.6,87.9,91.7,95.1,98.9,102.2,105.4,108.1,111.1,114.4,117.7,120.6,124.6,127.8,130.4,133.6,137.4,141.2,144.3,148.2,151.1,153.6,155.3,157.8,161.1,164.9,168.9,172.5,176.2,179.5,185.3,189.9,194.5,209.5,206.8,215.5,219.4,224.7,229.4,234.1,239.3,245,251,258.1,265.5,268,273.3,280.1,284.7,290.8,295.8,304.8,308.7,314.2,318.2,322,326.2,328.9,332.7,335.6,340.6,345.9,353.5,358,361.9,366,370.7,374.3,379.1,384.9,389.3,395.2,401.3,407.6,413,421.5,430.4,440.1,442.9,454.3,455,465.8,471.1,479.6,487.9,496.1,506.7,509.4,514.2,523.1,537.1,548.4,557.9,564.8,572.8,579.5,586.1,599.8,602.1,612.4,627.2,629.2,631.3,639.1,646.9,650.7,664.4,675,681.2,691.6,703.8,712,721.5,733.7,747.4,753.3,762.8,773.4,766.9,777.6,782.5,789.3,787.4,792.1,799.4,812.2
"16","8","General government \4\","A765RC1",124.7,127.3,132.7,135.1,139.8,142.5,144.9,147,152.6,155.3,157.5,160,165.3,167.1,170.1,175.2,178.3,181.2,184.4,189.1,193.5,197.9,203.2,210.6,216.6,221.9,226.6,232.7,236.9,241,244.8,251.1,256.6,261.3,266.2,274.4,279.4,283.9,289.6,297,303.2,307.6,315.2,325.8,333.9,343.4,351.1,365.5,374.2,380.8,386.8,399.5,407.9,415.7,421.6,430.7,436.9,443.5,448.6,452.4,472.3,480.7,490.1,497.5,511.4,518.9,527.2,536.1,543,551.1,559.4,571.7,580.3,587.6,594.3,604,617.4,626.2,634.3,644.5,657.5,666.7,677.8,686.9,704.7,717.3,728.3,740.3,758.4,764.3,770.5,777.2,791.2,800.2,806.9,809.5,821,827.6,836,840,849.8,858.8,862.9,868.1,878.6,882.5,886.7,891.2,902.3,908.6,914.3,919.9,931,937,943.5,949.7,959.3,967.2,977,986.7,1003.5,1014.5,1027.4,1040.9,1060.5,1074.4,1084.6,1095.6,1114.6,1131.3,1149,1163.7,1190.2,1202.7,1216.5,1236.3,1272.8,1289.5,1298.9,1307.6,1335.8,1352,1365.8,1383.7,1416.4,1428.4,1444.3,1456.8,1483.2,1501.6,1521.4,1541.6,1579.2,1594.5,1612.3,1632.4,1665.2,1686.3,1709,1729.9,1744.8,1762,1763.6,1770.3,1789.4,1803.7,1802,1808.7
"17","9","  Federal","A766RC1",57.9,58.4,61.6,61.8,63.8,64,64.1,64.2,67,67.5,67.7,68.6,71.2,70.6,70.9,73.4,73.2,73.1,73.6,75.7,77.1,78.1,79.7,83.4,85.2,86.1,87.3,90.7,91.6,92.6,93.8,97.3,99.5,100.9,101.7,106,107.1,108.5,109.9,113.3,114.4,115.8,117.5,122.8,125.3,128.9,130.9,139.8,142.8,145.2,146.9,154.6,157.1,159.9,161.8,166.2,168,170.8,172.7,173.4,187.9,190.9,194,195.5,202.5,204.4,204.9,208.3,209.9,211.6,213.4,215.4,220.5,221.9,224.3,226.4,231.4,233.7,236,237.9,244.3,245.9,248,247.7,254.4,257.8,259.2,263.7,274.8,274.4,274.9,275.2,281.7,283.4,283.1,279.8,284.6,284.9,286.5,284.8,286.7,287.5,284,282.5,286,283.8,283,281.6,287.6,287.9,287.8,286.9,291.2,290.4,290,288.5,291.7,291.8,292.4,293.1,299.5,299.3,300.3,302.4,312.3,316.3,316.2,315.5,320.6,322.9,326.4,329.8,348.4,350.1,350.8,358,378.7,383.1,384.2,385.7,405.4,410.9,413.9,417.9,437.5,436.9,439.5,441,455.8,459.7,462.4,464.7,481.2,484.8,487.6,490.5,505.9,513.6,520.7,528.2,543,551.9,553.1,558.6,572.7,580.6,579.9,583.3
"18","10","  State and local","A767RC1",66.8,68.9,71.1,73.3,76,78.5,80.7,82.8,85.6,87.7,89.8,91.4,94.1,96.4,99.2,101.8,105,108.1,110.8,113.3,116.4,119.8,123.5,127.2,131.4,135.8,139.3,142.1,145.4,148.4,151.1,153.8,157.1,160.4,164.5,168.4,172.3,175.4,179.7,183.7,188.9,191.8,197.7,203.1,208.7,214.5,220.3,225.7,231.4,235.6,239.9,244.9,250.8,255.8,259.8,264.6,268.9,272.7,275.9,279,284.4,289.8,296.1,302,308.9,314.6,322.3,327.9,333.1,339.5,346,356.3,359.8,365.7,369.9,377.5,386,392.6,398.3,406.6,413.2,420.8,429.8,439.2,450.3,459.5,469.1,476.6,483.6,490,495.6,501.9,509.5,516.8,523.8,529.7,536.5,542.7,549.5,555.2,563.1,571.3,578.9,585.7,592.7,598.7,603.7,609.6,614.7,620.7,626.5,633,639.9,646.5,653.5,661.2,667.6,675.4,684.5,693.6,704,715.2,727,738.5,748.2,758.1,768.4,780.1,794.1,808.3,822.5,833.8,841.8,852.6,865.7,878.3,894.1,906.3,914.7,921.9,930.3,941.2,952,965.8,978.9,991.5,1004.8,1015.7,1027.5,1041.9,1059,1076.9,1097.9,1109.8,1124.6,1141.9,1159.3,1172.7,1188.3,1201.7,1201.7,1210.1,1210.5,1211.7,1216.7,1223.1,1222.1,1225.4
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009C1",69,70.5,72.1,73.5,74.6,75.7,77.3,79.1,81,82.9,85,86.9,88.7,90.2,91.8,93.5,95.5,97.3,99.2,101.3,103.5,105.4,107.8,110.7,113.7,115.9,118.3,120.9,122.9,125,127.7,130.8,135.7,138.7,141.9,145.6,151.1,153.7,156.3,161,165.8,168.8,174.5,182.8,189.4,197.1,202.3,210.6,217.9,224.5,231.7,241.1,247.7,251.2,259.1,265,269,274.6,280.5,286.8,290.5,294.6,304.5,315.7,320.9,328.4,337.4,345.6,351,358.2,362.8,367,375.2,379.4,389.7,397.7,406.3,409.9,417.6,427.4,432.5,440.3,446.9,453.8,462.2,473.3,484.5,491.1,498.3,503,510.9,520.1,525.7,536.3,543.7,548.6,558,561.1,563.1,569.6,582.1,595.7,611,621.5,630.9,638.6,641.3,652,658.7,666.2,675.5,684.7,695.1,704.2,713,721.9,728.5,738.7,752.3,761.6,776.5,790.9,804.4,821.5,833.8,841.7,853.5,870.6,881,895.3,917.8,923.6,930,943.5,931,925.4,938.4,932.7,917.5,964.3,966.8,977,998.1,1012.8,1033.1,1047.7,1056.1,1079.2,1104.9,1127.8,1146.7,1143.7,1168.6,1182.4,1209.5,1242,1265.9,1294.8,1317,1332.9,1335.1,1324.4,1335.1,1332.2,1324.2,1323.8,1322.4,1325.4
