"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2004 4:58:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8","1","    Government consumption expenditures and gross investment","A822RX1",1530,1547.2,1555.3,1541.1,1541.3,1549.7,1564.9,1594,1624.4,1686.9,1721.6,1780.3,1857.9,1909.4
"9","2","      Consumption expenditures \1\","A955RX1",1277.2,1293.6,1299.4,1295.5,1299.2,1301.9,1306.7,1329.9,1351.2,1393.1,1417.1,1461,1519.4,1563.7
"10","3","      Gross investment \2\","A782RX1",253,254.1,256.4,246.5,243.3,248.8,258.6,264.5,273.6,294,304.5,319.3,338.6,345.7
"11","4","        Structures","A760RX1",151.2,154.7,157.2,154.5,154.7,159.5,166.7,173.1,172.7,183.3,189.3,198.5,209.2,210.4
"12","5","        Equipment and software","A871RX1",99.1,97.5,97.5,91.4,88.6,89.5,92.4,92.4,101.1,110.7,115.2,120.9,129.5,135.8
"13","6","Federal","A823RX1",659.1,658,646.6,619.6,596.4,580.3,573.5,567.6,561.2,573.7,578.8,601.4,646.6,689.6
"14","7","    Consumption expenditures","A957RX1",562.5,564.1,552.2,533.5,517.9,502.9,493.4,494.6,484.7,492.8,499.3,519.8,557.2,594.5
"15","8","    Gross investment","A787RX1",95.4,93.3,93.4,85.9,78.9,77.6,79.9,73.3,76.8,81,79.5,81.5,89.5,95.1
"16","9","      Structures","A801RX1",19,18.2,20.2,20.5,19.7,20,20.3,17.3,17,16.3,13.3,12.4,13.5,14.2
"17","10","      Equipment and software","A872RX1",75.8,74.4,73,65.6,59.6,58.1,60,56.3,59.9,64.8,66.2,69.1,76,80.9
"18","11","  National defense","A824RX1",479.4,474.2,450.7,425.3,404.6,389.2,383.8,373,365.3,372.2,370.3,384.9,414.6,451.8
"19","12","    Consumption expenditures","A997RX1",404.9,404.4,383.5,367.2,350.6,338.1,332.2,328.1,319.8,324.6,321.5,334.1,358.2,390.3
"20","13","    Gross investment","A788RX1",72.9,68.7,66.1,57.7,53.8,50.9,51.3,45.1,45.6,47.6,48.8,50.8,56.6,61.6
"21","14","      Structures","A808RX1",8.6,6.4,7,6.4,7.1,7.4,7.7,6.4,5.5,5.2,5,4.4,4.2,4.8
