TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--June 2006

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)
Data adjusted for seasonal variations, holiday, and trading-day differences, but not price changes.
              
                 (In Millions of dollars)


                                                                     2006     2006     2006     2005     2005
   NAICS(1)                    Kind of Business                      Jun(3)   May      Apr      Jun      May
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   363,806  364,104  363,611  343,692  338,488

                 Total (excl. motor vehicle &  parts)............   290,084  289,335  287,240  267,257  264,452

                   Retail .......................................   328,417  328,782  328,369  310,743  305,736

                GAFO(4)..........................................       (*)   93,229   92,905   88,690   87,662

   441          Motor vehicle & parts dealers....................    73,722   74,769   76,371   76,435   74,036
   4411,4412     Auto & other motor veh. dealers.................    67,422   68,512   70,113   70,352   68,040

   442          Furniture & home furnishings stores..............    10,109    9,975    9,915    9,247    9,120

   443          Electronics & appliance stores....................    8,684    8,741    8,738    8,347    8,262
   44311,13      Appl., T.V. &  camera...........................       (*)    7,170    7,158    6,689    6,616
   44312         Computer & software stores......................       (*)    1,571    1,580    1,658    1,646

   444          Building material & garden eq. & supplies dealers    29,759   30,048   30,206   27,360   27,110
   4441          Building mat. & supplies dealers................       (*)   26,600   26,684   24,147   23,925

   445          Food & beverage stores...........................    45,297   45,131   44,887   43,108   42,999
   4451          Grocery stores..................................    40,262   40,086   39,876   38,531   38,457
   4453          Beer, wine & liquor stores......................       (*)    3,191    3,162    2,903    2,860

   446          Health & personal care stores....................    18,601   18,472   18,261   17,209   17,241
   44611         Pharmacies & drug stores........................       (*)   15,415   15,252   14,443   14,459

   447          Gasoline stations................................    37,775   37,368   36,678   31,372   30,725

   448          Clothing & clothing accessories stores...........    17,681   17,620   17,555   16,848   16,585
   44811         Men's clothing stores...........................       (*)      795      796      798      792
   44812         Women's clothing stores.........................       (*)    3,242    3,225    3,084    3,027
   4482          Shoe stores.....................................       (*)    2,108    2,126    2,035    2,032

   451          Sporting goods, hobby, book & music stores.......     7,435    7,408    7,354    6,768    6,853

   452          General merchandise stores.......................    46,083   45,941   45,813   44,048   43,423
   4521          Department stores (ex. L.D.)....................    17,736   17,788   17,777   18,139   17,823
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   28,153   28,036   25,909   25,600
   45291          Warehouse clubs & supercenters.................       (*)   24,707   24,587   22,520   22,253
   45299          All other gen. merchandise stores..............       (*)    3,446    3,449    3,389    3,347

   453          Miscellaneous store retailers....................    10,002    9,968    9,936    9,289    9,254

   454          Nonstore retailers...............................    23,269   23,341   22,655   20,712   20,128
   4541          Electronic shopping & mail-order houses.........       (*)   14,919   14,799   13,435   13,198

   722          Food services & drinking places..................    35,389   35,322   35,242   32,949   32,752
 
 
 
 
1B.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--June 2006

Data not adjusted for seasonal variations, holiday, trading-day differences, and price changes.

                 (In Millions of dollars and Annual Percent Change)

                                                                       6 month total
                                                                                 % Chg.   2006     2006     2006     2005     2005
   NAICS(1)                    Kind of Business                        2006       from    Jun(2)   May      Apr      Jun      May
   Code                                                                           2005    (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   2,120,222      7.6   375,406  380,087  357,334  353,605  347,570

                 Total (excl. motor vehicle &  parts)............   1,659,229      9.5   292,080  297,456  280,102  267,446  268,459

                   Retail .......................................   1,910,788      7.5   338,885  343,493  321,775  320,030  313,573

                GAFO(3)..........................................         (*)       (*)      (*)   90,302   86,846   84,515   84,275

   441          Motor vehicle & parts dealers....................     460,993      1.5    83,326   82,631   77,232   86,159   79,111
   4411,4412     Auto & other motor veh. dealers.................     423,357      1.2    76,591   76,117   71,024   79,638   73,007
   44111          New car dealers................................         (*)       (*)      (*)   60,141   55,942   64,394   58,425
   4413          Auto parts, acc. & tire stores..................         (*)       (*)      (*)    6,514    6,208    6,521    6,104

   442          Furniture & home furnishings stores..............      56,526      9.8    10,079    9,766    9,033    9,127    8,792
   4421          Furniture stores................................         (*)       (*)      (*)    5,015    4,753    4,812    4,644
   4422          Home furnishings stores.........................         (*)       (*)      (*)    4,751    4,280    4,315    4,148

   443          Electronics & appliance stores....................     48,235      6.3     8,125    8,084    7,454    7,806    7,540
   44311,13      Appl., T.V. &  camera...........................         (*)       (*)      (*)    6,661    6,034    6,221    6,067
   44312         Computer & software stores......................         (*)       (*)      (*)    1,423    1,420    1,585    1,473

   444          Building material & garden eq. & supplies dealers     182,619     14.1    34,047   36,370   32,846   31,404   31,891
   4441          Building mat. & supplies dealers................         (*)       (*)      (*)   30,085   27,084   26,900   26,317

   445          Food & beverage stores...........................     263,186      4.8    45,639   46,486   43,968   43,309   43,796
   4451          Grocery stores..................................     235,003      3.9    40,544   41,329   39,158   38,724   39,226
   4453          Beer, wine & liquor stores......................         (*)       (*)      (*)    3,197    2,963    2,894    2,811

   446          Health & personal care stores....................     109,552      7.1    18,489   19,100   17,804   17,020   17,448
   44611         Pharmacies & drug stores........................         (*)       (*)      (*)   16,001   14,947   14,241   14,661

   447          Gasoline stations................................     210,840     19.0    39,664   39,349   36,421   32,752   31,954

   448          Clothing & clothing accessories stores...........      94,623      6.1    16,538   17,176   16,930   15,621   16,032
   44811         Men's clothing stores...........................         (*)       (*)      (*)      754      755      776      753
   44812         Women's clothing stores.........................         (*)       (*)      (*)    3,381    3,419    3,010    3,124
   44814         Family clothing stores..........................         (*)       (*)      (*)    6,318    6,510    5,956    5,951
   4482          Shoe stores.....................................         (*)       (*)      (*)    2,116    2,290    1,923    2,028

   451          Sporting goods, hobby, book & music stores.......      38,989      8.3     6,848    6,586    6,288    6,152    6,010

   452          General merchandise stores.......................     255,277      6.2    44,691   45,308   44,151   42,701   42,706
   4521          Department stores (ex. L.D.)....................      95,618     -0.7    16,645   16,968   16,773   17,108   16,905
   4521          Department stores (incl. L.D.)(4)...............         (*)       (*)      (*)   17,396   17,195   17,574   17,370
   4529          Other general merchandise stores................         (*)       (*)      (*)   28,340   27,378   25,593   25,801
   45291          Warehouse clubs & supercenters.................         (*)       (*)      (*)   24,880   24,046   22,272   22,431
   45299          All other gen. merchandise stores..............         (*)       (*)      (*)    3,460    3,332    3,321    3,370

   453          Miscellaneous store retailers....................      57,503      9.2    10,165   10,649    9,165    9,315    9,673

   454          Nonstore retailers...............................     132,445     13.3    21,274   21,988   20,483   18,664   18,620
