TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--June 2009

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2009     2009     2009     2008     2008
   NAICS(1)                    Kind of Business                      Jun(3)   May      Apr      Jun      May
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   342,138  339,932  338,344  375,914  376,662

                 Total (excl. motor vehicle &  parts)............   285,101  284,195  282,979  309,546  307,634

                   Retail .......................................   304,027  301,491  300,117  337,909  338,906

                GAFO(4)..........................................       (*)   93,167   93,446   98,221   98,573

   441          Motor vehicle & parts dealers....................    57,037   55,737   55,365   66,368   69,028
   4411,4412     Auto & other motor veh. dealers.................    50,497   49,207   48,824   59,709   62,459

   442          Furniture & home furnishings stores..............     7,782    7,799    7,842    8,908    9,119

   443          Electronics & appliance stores....................    8,433    8,356    8,431    9,527    9,678
   44311,13      Appl., T.V. &  camera...........................       (*)    6,495    6,580    7,578    7,773
   44312         Computer & software stores......................       (*)    1,861    1,851    1,949    1,905

   444          Building material & garden eq. & supplies dealers    24,036   24,262   24,163   27,643   27,442
   4441          Building mat. & supplies dealers................       (*)   20,262   20,077   23,509   23,456

   445          Food & beverage stores...........................    49,159   49,039   48,862   49,249   48,751
   4451          Grocery stores..................................    43,799   43,691   43,559   44,102   43,698
   4453          Beer, wine & liquor stores......................       (*)    3,510    3,494    3,452    3,407

   446          Health & personal care stores....................    20,969   21,036   21,051   20,591   20,325
   44611         Pharmacies & drug stores........................       (*)   17,475   17,538   16,958   16,845

   447          Gasoline stations................................    29,933   28,519   27,172   43,758   42,865

   448          Clothing & clothing accessories stores...........    17,361   17,360   17,238   18,504   18,602
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    2,940    2,944    3,216    3,240
   4482          Shoe stores.....................................       (*)    2,109    2,095    2,328    2,307

   451          Sporting goods, hobby, book & music stores.......     7,233    7,167    7,290    7,432    7,516

   452          General merchandise stores.......................    49,013   49,219   49,413   50,533   50,325
   4521          Department stores (ex. L.D.)....................    15,435   15,632   15,798   17,031   16,971
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   33,587   33,615   33,502   33,354
   45291          Warehouse clubs & supercenters.................       (*)   29,719   29,768   29,688   29,557
   45299          All other gen. merchandise stores..............       (*)    3,868    3,847    3,814    3,797

   453          Miscellaneous store retailers....................     9,344    9,417    9,615    9,953    9,855

   454          Nonstore retailers...............................    23,727   23,580   23,675   25,443   25,400
   4541          Electronic shopping & mail-order houses.........       (*)   16,969   16,983   17,230   17,142

   722          Food services & drinking places..................    38,111   38,441   38,227   38,005   37,756
 
 
