TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--January 2007

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2007     2006     2006     2006     2005
   NAICS(1)                    Kind of Business                      Jan(3)   Dec      Nov      Jan      Dec
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   370,418  370,447  366,065  362,135  350,494

                 Total (excl. motor vehicle &  parts)............   293,807  292,846  289,219  284,212  276,343

                   Retail .......................................   333,252  333,006  329,738  326,833  316,267

                GAFO(4)..........................................       (*)   95,910   95,032   93,077   90,247

   441          Motor vehicle & parts dealers....................    76,611   77,601   76,846   77,923   74,151
   4411,4412     Auto & other motor veh. dealers.................    70,436   71,293   70,612   71,436   67,844

   442          Furniture & home furnishings stores..............    10,099   10,014   10,016   10,124    9,549

   443          Electronics & appliance stores....................    9,359    9,468    9,299    9,041    8,408
   44311,13      Appl., T.V. &  camera...........................       (*)    7,507    7,466    7,452    6,778
   44312         Computer & software stores......................       (*)    1,961    1,833    1,589    1,630

   444          Building material & garden eq. & supplies dealers    29,507   29,283   29,090   30,457   28,568
   4441          Building mat. & supplies dealers................       (*)   25,602   25,400   26,930   25,193

   445          Food & beverage stores...........................    46,944   46,626   46,328   44,149   44,189
   4451          Grocery stores..................................    41,518   41,253   40,981   39,171   39,357
   4453          Beer, wine & liquor stores......................       (*)    3,292    3,268    3,102    3,041

   446          Health & personal care stores....................    19,474   19,360   19,315   18,015   17,894
   44611         Pharmacies & drug stores........................       (*)   16,310   16,263   14,979   14,903

   447          Gasoline stations................................    34,095   34,340   33,146   35,106   33,138

   448          Clothing & clothing accessories stores...........    18,413   18,225   18,035   17,609   17,177
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,329    3,232    3,260    3,121
   4482          Shoe stores.....................................       (*)    2,212    2,217    2,226    2,110

   451          Sporting goods, hobby, book & music stores.......     7,133    7,096    7,132    7,359    6,923

   452          General merchandise stores.......................    47,974   47,343   46,760   45,427   44,763
   4521          Department stores (ex. L.D.)....................    18,050   17,801   17,719   17,988   17,825
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   29,542   29,041   27,439   26,938
   45291          Warehouse clubs & supercenters.................       (*)   26,011   25,531   23,916   23,539
   45299          All other gen. merchandise stores..............       (*)    3,531    3,510    3,523    3,399

   453          Miscellaneous store retailers....................    10,025   10,139   10,101    9,840    9,313

   454          Nonstore retailers...............................    23,618   23,511   23,670   21,783   22,194
   4541          Electronic shopping & mail-order houses.........       (*)   15,918   15,762   14,536   14,274

   722          Food services & drinking places..................    37,166   37,441   36,327   35,302   34,227
  
 
