TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--January 2008

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2008     2007     2007     2007     2006
   NAICS(1)                    Kind of Business                      Jan(3)   Dec      Nov      Jan      Dec
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   382,906  381,654  383,365  368,694  368,177

                 Total (excl. motor vehicle &  parts)............   306,178  305,368  306,241  291,816  290,838

                   Retail .......................................   344,594  343,150  345,270  331,983  331,128

                GAFO(4)..........................................       (*)   98,049   99,032   97,654   96,254

   441          Motor vehicle & parts dealers....................    76,728   76,286   77,124   76,878   77,339
   4411,4412     Auto & other motor veh. dealers.................    70,518   70,035   70,788   70,687   71,131

   442          Furniture & home furnishings stores..............    10,012   10,063   10,152   10,466   10,218

   443          Electronics & appliance stores....................    9,265    9,359    9,671    9,416    9,369
   44311,13      Appl., T.V. &  camera...........................       (*)    7,567    7,853    7,528    7,431
   44312         Computer & software stores......................       (*)    1,792    1,818    1,888    1,938

   444          Building material & garden eq. & supplies dealers    28,213   28,701   29,431   29,636   29,466
   4441          Building mat. & supplies dealers................       (*)   24,597   25,143   26,137   25,848

   445          Food & beverage stores...........................    49,241   48,970   48,731   46,601   46,355
   4451          Grocery stores..................................    43,737   43,595   43,393   41,532   41,252
   4453          Beer, wine & liquor stores......................       (*)    3,459    3,415    3,246    3,231

   446          Health & personal care stores....................    20,134   19,974   19,907   19,353   19,362
   44611         Pharmacies & drug stores........................       (*)   16,629   16,616   16,490   16,414

   447          Gasoline stations................................    40,108   39,325   39,328   32,596   32,925

   448          Clothing & clothing accessories stores...........    18,781   18,518   18,953   18,793   18,455
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,348    3,413    3,391    3,379
   4482          Shoe stores.....................................       (*)    2,268    2,288    2,279    2,298

   451          Sporting goods, hobby, book & music stores.......     7,302    7,400    7,586    7,298    7,196

   452          General merchandise stores.......................    48,862   48,833   48,731   47,709   47,083
   4521          Department stores (ex. L.D.)....................    17,050   17,236   17,307   17,904   17,653
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   31,597   31,424   29,805   29,430
   45291          Warehouse clubs & supercenters.................       (*)   28,058   27,817   26,252   25,886
   45299          All other gen. merchandise stores..............       (*)    3,539    3,607    3,553    3,544

   453          Miscellaneous store retailers....................    10,280   10,175   10,184   10,030   10,211

   454          Nonstore retailers...............................    25,668   25,546   25,472   23,207   23,149
   4541          Electronic shopping & mail-order houses.........       (*)   17,116   17,139   15,799   16,062

   722          Food services & drinking places..................    38,312   38,504   38,095   36,711   37,049
 
 
