TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--March 2007

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2007     2007     2007     2006     2006
   NAICS(1)                    Kind of Business                      Mar(3)   Feb      Jan      Mar      Feb
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   371,567  369,070  367,230  358,001  356,451

                 Total (excl. motor vehicle &  parts)............   294,144  291,950  290,762  283,005  282,142

                   Retail .......................................   334,711  332,661  330,598  323,007  321,754

                GAFO(4)..........................................       (*)   96,411   97,055   92,645   92,901

   441          Motor vehicle & parts dealers....................    77,423   77,120   76,468   74,996   74,309
   4411,4412     Auto & other motor veh. dealers.................    71,184   71,001   70,364   68,864   68,139

   442          Furniture & home furnishings stores..............    10,440   10,378   10,365   10,035    9,975

   443          Electronics & appliance stores....................    9,026    9,205    9,275    8,968    8,879
   44311,13      Appl., T.V. &  camera...........................       (*)    7,372    7,433    7,217    7,160
   44312         Computer & software stores......................       (*)    1,833    1,842    1,751    1,719

   444          Building material & garden eq. & supplies dealers    29,715   29,293   29,346   31,078   30,894
   4441          Building mat. & supplies dealers................       (*)   25,602   25,829   27,676   27,605

   445          Food & beverage stores...........................    46,931   46,826   46,500   44,388   44,405
   4451          Grocery stores..................................    41,761   41,748   41,448   39,644   39,582
   4453          Beer, wine & liquor stores......................       (*)    3,236    3,222    3,068    3,103

   446          Health & personal care stores....................    19,402   19,385   19,315   18,461   18,122
   44611         Pharmacies & drug stores........................       (*)   16,508   16,506   15,416   15,301

   447          Gasoline stations................................    34,414   33,377   32,888   32,723   33,149

   448          Clothing & clothing accessories stores...........    18,887   18,445   18,797   17,488   17,434
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,315    3,330    3,237    3,179
   4482          Shoe stores.....................................       (*)    2,214    2,317    2,176    2,271

   451          Sporting goods, hobby, book & music stores.......     7,276    7,197    7,183    7,347    7,332

   452          General merchandise stores.......................    47,825   47,326   47,549   45,185   45,616
   4521          Department stores (ex. L.D.)....................    17,457   17,489   17,738   17,789   17,840
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   29,837   29,811   27,396   27,776
   45291          Warehouse clubs & supercenters.................       (*)   26,335   26,223   23,936   24,287
   45299          All other gen. merchandise stores..............       (*)    3,502    3,588    3,460    3,489

   453          Miscellaneous store retailers....................     9,922    9,867    9,880    9,887    9,891

   454          Nonstore retailers...............................    23,450   24,242   23,032   22,451   21,748
   4541          Electronic shopping & mail-order houses.........       (*)   15,852   15,641   15,143   14,572

   722          Food services & drinking places..................    36,856   36,409   36,632   34,994   34,697
 
 
 
