TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--June 2007

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2007     2007     2007     2006     2006
   NAICS(1)                    Kind of Business                      Jun(3)   May      Apr      Jun      May
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   373,946  377,287  371,651  360,358  359,363

                 Total (excl. motor vehicle &  parts)............   298,737  299,818  295,041  286,591  285,736

                   Retail .......................................   336,727  340,096  334,693  325,223  324,199

                GAFO(4)..........................................       (*)   98,039   96,819   93,860   93,261

   441          Motor vehicle & parts dealers....................    75,209   77,469   76,610   73,767   73,627
   4411,4412     Auto & other motor veh. dealers.................    68,917   71,124   70,404   67,648   67,569

   442          Furniture & home furnishings stores..............    10,022   10,331   10,299   10,207   10,016

   443          Electronics & appliance stores....................    9,179    9,305    9,202    9,018    8,954
   44311,13      Appl., T.V. &  camera...........................       (*)    7,528    7,401    7,292    7,211
   44312         Computer & software stores......................       (*)    1,777    1,801    1,726    1,743

   444          Building material & garden eq. & supplies dealers    29,727   30,417   29,042   29,764   29,992
   4441          Building mat. & supplies dealers................       (*)   26,700   25,633   26,302   26,722

   445          Food & beverage stores...........................    47,552   47,375   47,189   45,122   44,853
   4451          Grocery stores..................................    42,225   42,141   42,063   40,281   40,028
   4453          Beer, wine & liquor stores......................       (*)    3,400    3,298    3,131    3,117

   446          Health & personal care stores....................    19,974   19,745   19,653   18,662   18,573
   44611         Pharmacies & drug stores........................       (*)   16,643   16,631   15,790   15,696

   447          Gasoline stations................................    35,845   36,262   34,842   35,148   34,837

   448          Clothing & clothing accessories stores...........    18,711   18,980   18,518   17,856   17,626
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,467    3,339    3,308    3,248
   4482          Shoe stores.....................................       (*)    2,255    2,223    2,235    2,232

   451          Sporting goods, hobby, book & music stores.......     7,535    7,507    7,368    7,256    7,280

   452          General merchandise stores.......................    48,028   47,897   47,418   45,849   45,721
   4521          Department stores (ex. L.D.)....................    17,367   17,550   17,323   17,738   17,668
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   30,347   30,095   28,111   28,053
   45291          Warehouse clubs & supercenters.................       (*)   26,777   26,572   24,610   24,593
   45299          All other gen. merchandise stores..............       (*)    3,570    3,523    3,501    3,460

   453          Miscellaneous store retailers....................    10,140   10,302   10,059    9,922    9,954

   454          Nonstore retailers...............................    24,805   24,506   24,493   22,652   22,766
   4541          Electronic shopping & mail-order houses.........       (*)   16,554   16,242   15,086   14,916

   722          Food services & drinking places..................    37,219   37,191   36,958   35,135   35,164
 
   
 
 
