TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--January 2005

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2005     2004     2004     2004     2003
   NAICS(1)                    Kind of Business                      Jan(3)   Dec      Nov      Jan      Dec
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   347,665  348,767  344,877  324,420  320,943

                 Total (excl. motor vehicle &  parts)............   268,515  266,899  266,141  249,472  245,532

                   Retail .......................................   313,730  315,078  311,555  292,856  290,012

                GAFO(4)..........................................       (*)   86,359   86,173   83,569   82,478

   441          Motor vehicle & parts dealers....................    79,150   81,868   78,736   74,948   75,411
   4411,4412     Auto & other motor veh. dealers.................    71,550   74,364   71,487   68,084   68,448

   442          Furniture & home furnishings stores..............     8,764    8,777    8,732    8,517    8,429

   443          Electronics & appliance stores....................    8,401    8,449    8,542    8,323    8,280
   44311,13      Appl., T.V. &  camera...........................       (*)    6,097    6,113    5,930    5,870
   44312         Computer & software stores......................       (*)    2,352    2,429    2,393    2,410

   444          Building material & garden eq. & supplies dealers    31,877   31,960   31,409   27,943   27,935
   4441          Building mat. & supplies dealers................       (*)   28,366   27,848   24,728   24,711

   445          Food & beverage stores...........................    45,151   45,004   44,903   43,218   42,663
   4451          Grocery stores..................................    40,652   40,435   40,268   38,779   38,324
   4453          Beer, wine & liquor stores......................       (*)    2,792    2,826    2,756    2,753

   446          Health & personal care stores....................    17,218   17,120   17,174   16,635   16,625
   44611         Pharmacies & drug stores........................       (*)   14,496   14,590   14,135   14,138

   447          Gasoline stations................................    28,149   27,641   28,243   23,998   22,765

   448          Clothing & clothing accessories stores...........    16,238   15,953   15,985   15,640   15,417
   44811         Men's clothing stores...........................       (*)      994      997      931      911
   44812         Women's clothing stores.........................       (*)    3,029    3,036    2,966    3,003
   4482          Shoe stores.....................................       (*)    1,931    1,926    1,945    1,942

   451          Sporting goods, hobby, book & music stores.......     6,803    6,761    6,793    6,793    6,711

   452          General merchandise stores.......................    43,590   43,204   42,839   40,947   40,337
   4521          Department stores (ex. L.D.)....................    18,039   17,983   17,918   17,787   17,711
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   25,221   24,921   23,160   22,626
   45291          Warehouse clubs & superstores..................       (*)   21,627   21,355   19,705   19,207
   45299          All other gen. merchandise stores..............       (*)    3,594    3,566    3,455    3,419

   453          Miscellaneous store retailers....................     9,588    9,504    9,511    9,006    8,890

   454          Nonstore retailers...............................    18,801   18,837   18,688   16,888   16,549
   4541          Electronic shopping & mail-order houses.........       (*)   11,742   11,620   10,760   10,593

   722          Food services & drinking places..................    33,935   33,689   33,322   31,564   30,931
 
  
