TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--August 2007

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2007     2007     2007     2006     2006
   NAICS(1)                    Kind of Business                      Aug(3)   Jul      Jun      Aug      Jul
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   377,615  376,578  374,740  364,006  363,633

                 Total (excl. motor vehicle &  parts)............   300,491  301,562  299,480  289,092  287,587

                   Retail .......................................   339,883  338,863  337,273  328,303  328,408

                GAFO(4)..........................................       (*)   99,052   97,958   94,280   94,131

   441          Motor vehicle & parts dealers....................    77,124   75,016   75,260   74,914   76,046
   4411,4412     Auto & other motor veh. dealers.................    70,766   68,723   68,956   68,789   69,870

   442          Furniture & home furnishings stores..............    10,442   10,393   10,213   10,230   10,213

   443          Electronics & appliance stores....................    9,346    9,309    9,206    9,069    9,047
   44311,13      Appl., T.V. &  camera...........................       (*)    7,478    7,419    7,309    7,346
   44312         Computer & software stores......................       (*)    1,831    1,787    1,760    1,701

   444          Building material & garden eq. & supplies dealers    29,691   29,987   29,739   29,715   29,648
   4441          Building mat. & supplies dealers................       (*)   26,242   26,076   26,253   26,199

   445          Food & beverage stores...........................    47,846   47,854   47,585   45,582   45,240
   4451          Grocery stores..................................    42,490   42,567   42,322   40,655   40,361
   4453          Beer, wine & liquor stores......................       (*)    3,477    3,457    3,151    3,146

   446          Health & personal care stores....................    20,023   19,963   19,736   18,938   18,709
   44611         Pharmacies & drug stores........................       (*)   16,794   16,586   16,056   15,903

   447          Gasoline stations................................    34,755   35,623   35,762   35,717   35,706

   448          Clothing & clothing accessories stores...........    19,078   19,090   18,798   17,927   17,978
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,417    3,390    3,248    3,352
   4482          Shoe stores.....................................       (*)    2,305    2,260    2,278    2,231

   451          Sporting goods, hobby, book & music stores.......     7,653    7,630    7,581    7,156    7,202

   452          General merchandise stores.......................    48,706   48,545   48,116   46,108   45,907
   4521          Department stores (ex. L.D.)....................    17,603   17,640   17,406   17,550   17,556
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   30,905   30,710   28,558   28,351
   45291          Warehouse clubs & supercenters.................       (*)   27,351   27,164   25,039   24,837
   45299          All other gen. merchandise stores..............       (*)    3,554    3,546    3,519    3,514

   453          Miscellaneous store retailers....................    10,511   10,495   10,647    9,844    9,921

   454          Nonstore retailers...............................    24,708   24,958   24,630   23,103   22,791
   4541          Electronic shopping & mail-order houses.........       (*)   16,958   16,677   15,347   14,982

   722          Food services & drinking places..................    37,732   37,715   37,467   35,703   35,225
 
 
 
