TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--November 2007

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey,and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2007     2007     2007     2006     2006
   NAICS(1)                    Kind of Business                      Nov(3)   Oct      Sep      Nov      Oct
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   385,753  381,088  380,231  362,964  363,019

                 Total (excl. motor vehicle &  parts)............   308,090  302,604  301,264  286,768  287,293

                   Retail .......................................   347,518  342,974  342,381  326,820  326,897

                GAFO(4)..........................................       (*)   98,695   98,648   95,111   95,616

   441          Motor vehicle & parts dealers....................    77,663   78,484   78,967   76,196   75,726
   4411,4412     Auto & other motor veh. dealers.................    71,209   71,981   72,578   70,091   69,545

   442          Furniture & home furnishings stores..............    10,367   10,265   10,268   10,178   10,221

   443          Electronics & appliance stores....................    9,716    9,478    9,424    9,256    9,111
   44311,13      Appl., T.V. &  camera...........................       (*)    7,622    7,568    7,394    7,379
   44312         Computer & software stores......................       (*)    1,856    1,856    1,862    1,732

   444          Building material & garden eq. & supplies dealers    29,498   29,136   29,362   29,251   29,368
   4441          Building mat. & supplies dealers................       (*)   25,121   25,426   25,694   25,881

   445          Food & beverage stores...........................    48,837   48,350   48,153   45,970   46,311
   4451          Grocery stores..................................    43,417   43,003   42,805   40,885   41,225
   4453          Beer, wine & liquor stores......................       (*)    3,415    3,439    3,215    3,189

   446          Health & personal care stores....................    20,060   19,939   19,944   19,361   19,264
   44611         Pharmacies & drug stores........................       (*)   16,750   16,700   16,404   16,405

   447          Gasoline stations................................    39,438   36,919   35,806   31,562   31,389

   448          Clothing & clothing accessories stores...........    19,312   18,830   18,928   18,110   18,353
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)    (S)  
   44812         Women's clothing stores.........................       (*)    3,435    3,433    3,257   3,314 
   4482          Shoe stores.....................................       (*)    2,203    2,239    2,314   2,337

   451          Sporting goods, hobby, book & music stores.......     7,786    7,619    7,601    7,112   7,230 

   452          General merchandise stores.......................    48,876   48,421   48,390   46,543   46,673
   4521          Department stores (ex. L.D.)....................    17,495   17,324   17,423   17,566   17,663
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   31,097   30,967   28,977   29,010
   45291          Warehouse clubs & supercenters.................       (*)   27,502   27,402   25,442   25,516
   45299          All other gen. merchandise stores..............       (*)    3,595    3,565    3,535    3,494

   453          Miscellaneous store retailers....................    10,354   10,406   10,522   10,139   10,114

   454          Nonstore retailers...............................    25,611   25,127   25,016   23,142   23,137
   4541          Electronic shopping & mail-order houses.........       (*)   17,038   16,924   15,666   15,710

   722          Food services & drinking places..................    38,235   38,114   37,850   36,144   36,122
 
 

TABLE 1B.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--November 2007

Estimates not adjusted for seasonal variations and holiday and trading-day differences and price changes.
                 (In Millions of dollars and Annual Percent Change)


                                                                      11 month total
                                                                                 % Chg.   2007     2007     2007     2006     2006
   NAICS(1)                    Kind of Business                        2007       from    Nov(2)   Oct      Sep      Nov      Oct
   Code                                                                           2006    (a)      (p)      (r)

                Retail & food services, total....................   4,077,509      4.3   385,489  374,724  359,497  360,754  352,353

                 Total (excl. motor vehicle &  parts)............   3,224,012      4.7   316,481  299,042  284,784  292,924  281,738

                   Retail .......................................   3,667,185      4.2   348,860  336,648  322,366  326,634  316,195

                GAFO(3)..........................................         (*)       (*)      (*)   93,475   89,976  104,565   90,296

   441          Motor vehicle & parts dealers....................     853,497      2.9    69,008   75,682   74,713   67,830   70,615
   4411,4412     Auto & other motor veh. dealers.................     783,655      2.9    62,735   68,886   68,586   61,890   64,329
   44111          New car dealers................................         (*)       (*)      (*)   56,881   56,371   51,698   53,368
   4413          Auto parts, acc. & tire stores..................         (*)       (*)      (*)    6,796    6,127    5,940    6,286

   442          Furniture & home furnishings stores..............     111,636      2.2    11,341   10,162    9,898   11,063    9,976
   4421          Furniture stores................................         (*)       (*)      (*)    5,286    5,394    5,639    5,213
   4422          Home furnishings stores.........................         (*)       (*)      (*)    4,876    4,504    5,424    4,763

   443          Electronics & appliance stores....................     96,638      3.4    11,091    8,421    8,403   10,452    8,063
   44311,13      Appl., T.V. &  camera...........................         (*)       (*)      (*)    6,723    6,690    8,400    6,464
   44312         Computer & software stores......................         (*)       (*)      (*)    1,698    1,713    2,052    1,599

   444          Building material & garden eq. & supplies dealers     328,779     -1.3    28,234   30,315   27,802   28,026   29,924
   4441          Building mat. & supplies dealers................         (*)       (*)      (*)   26,653   24,689   25,077   26,890

   445          Food & beverage stores...........................     518,722      5.8    49,265   47,672   46,822   46,177   45,222
   4451          Grocery stores..................................     463,125      5.6    43,634   42,487   41,778   41,008   40,359
   4453          Beer, wine & liquor stores......................         (*)       (*)      (*)    3,319    3,274    3,295    3,055

   446          Health & personal care stores....................     214,946      6.0    19,759   19,979   18,648   18,954   18,937
   44611         Pharmacies & drug stores........................         (*)       (*)      (*)   16,884   15,631   16,125   16,241

   447          Gasoline stations................................     392,007      5.0    37,624   37,325   35,770   30,015   31,609

   448          Clothing & clothing accessories stores...........     193,758      5.8    21,194   17,925   17,002   19,580   17,379
   44811         Men's clothing stores...........................         (*)       (*)      (*)      837      769      920      873
   44812         Women's clothing stores.........................         (*)       (*)      (*)    3,373    3,230    3,449    3,238
   44814         Family clothing stores..........................         (*)       (*)      (*)    7,080    6,604    8,016    7,000
   4482          Shoe stores.....................................         (*)       (*)      (*)    2,104    2,053    2,270    2,204

   451          Sporting goods, hobby, book & music stores.......      77,264      3.6     8,495    6,720    7,031    7,631    6,312

   452          General merchandise stores.......................     505,546      4.8    54,309   46,142   43,830   51,758   44,587
   4521          Department stores (ex. L.D.)....................     179,851     -1.0    21,141   16,348   15,257   21,179   16,620
   4521          Department stores (incl. L.D.)(4)...............         (*)       (*)      (*)   16,762   15,650   21,761   17,067
   4529          Other general merchandise stores................         (*)       (*)      (*)   29,794   28,573   30,579   27,967
   45291          Warehouse clubs & supercenters.................         (*)       (*)      (*)   26,264   25,347   26,638   24,546
   45299          All other gen. merchandise stores..............         (*)       (*)      (*)    3,530    3,226    3,941    3,421

   453          Miscellaneous store retailers....................     110,779      3.6    10,518   10,477   10,001   10,182   10,042

   454          Nonstore retailers...............................     263,613      9.3    28,022   25,828   22,446   24,966   23,529
   4541          Electronic shopping & mail-order houses.........         (*)       (*)      (*)   17,413   15,333   16,982   15,867

