TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--October 2006

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2006     2006     2006     2005     2005
   NAICS(1)                    Kind of Business                      Oct(3)   Sep      Aug      Oct      Sep
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   363,673  364,482  367,406  347,916  346,582

                 Total (excl. motor vehicle &  parts)............   286,828  288,095  291,556  278,145  275,075

                   Retail .......................................   327,273  328,188  331,490  314,161  313,145

                GAFO(4)..........................................       (*)   95,092   94,011   90,800   88,718

   441          Motor vehicle & parts dealers....................    76,845   76,387   75,850   69,771   71,507
   4411,4412     Auto & other motor veh. dealers.................    70,281   69,939   69,501   63,647   65,413

   442          Furniture & home furnishings stores..............     9,986   10,056   10,076    9,536    9,590

   443          Electronics & appliance stores....................    8,833    8,837    8,830    8,552    8,468
   44311,13      Appl., T.V. &  camera...........................       (*)    7,305    7,257    6,903    6,843
   44312         Computer & software stores......................       (*)    1,532    1,573    1,649    1,625

   444          Building material & garden eq. & supplies dealers    28,983   29,081   29,600   28,460   27,944
   4441          Building mat. & supplies dealers................       (*)   25,439   26,021   25,117   24,683

   445          Food & beverage stores...........................    45,967   45,515   45,743   43,985   43,764
   4451          Grocery stores..................................    40,693   40,281   40,579   39,219   39,045
   4453          Beer, wine & liquor stores......................       (*)    3,261    3,231    2,984    2,961

   446          Health & personal care stores....................    19,125   18,874   18,888   17,634   17,660
   44611         Pharmacies & drug stores........................       (*)   15,806   15,830   14,686   14,683

   447          Gasoline stations................................    31,357   33,354   37,537   35,838   36,313

   448          Clothing & clothing accessories stores...........    18,489   18,462   17,938   17,191   16,524
   44811         Men's clothing stores...........................       (*)      798      781      777      763
   44812         Women's clothing stores.........................       (*)    3,360    3,250    3,126    3,063
   4482          Shoe stores.....................................       (*)    2,284    2,197    2,126    2,036

   451          Sporting goods, hobby, book & music stores.......     7,386    7,401    7,274    6,961    6,653

   452          General merchandise stores.......................    46,512   46,634   46,220   45,072   44,058
   4521          Department stores (ex. L.D.)....................    17,634   17,752   17,628   17,986   17,464
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   28,882   28,592   27,086   26,594
   45291          Warehouse clubs & supercenters.................       (*)   25,364   25,107   23,650   23,189
   45299          All other gen. merchandise stores..............       (*)    3,518    3,485    3,436    3,405

   453          Miscellaneous store retailers....................    10,249   10,034    9,907    9,489    9,416

   454          Nonstore retailers...............................    23,541   23,553   23,627   21,672   21,248
   4541          Electronic shopping & mail-order houses.........       (*)   15,613   15,410   13,961   13,554

   722          Food services & drinking places..................    36,400   36,294   35,916   33,755   33,437
 
 
      
1B.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--October 2006
Data not adjusted for seasonal variations, holiday, trading-day differences, and price changes.
                 (In Millions of dollars and Annual Percent Change)

                                                                      10 month total
                                                                                 % Chg.   2006     2006     2006     2005     2005
   NAICS(1)                    Kind of Business                        2006       from    Oct(2)   Sep      Aug      Oct      Sep
   Code                                                                           2005    (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   3,576,173      6.4   354,525  352,344  382,600  339,826  336,696

                 Total (excl. motor vehicle &  parts)............   2,806,673      7.9   283,562  278,516  298,748  275,623  266,658

                   Retail .......................................   3,220,179      6.3   318,125  316,340  345,319  305,801  303,761

                GAFO(3)..........................................         (*)       (*)      (*)   88,306   94,295   87,041   82,063

   441          Motor vehicle & parts dealers....................     769,500      1.4    70,963   73,828   83,852   64,203   70,038
   4411,4412     Auto & other motor veh. dealers.................     705,536      1.1    64,307   67,561   76,938   58,110   63,974
   44111          New car dealers................................         (*)       (*)      (*)   55,283   62,997   47,051   52,130
   4413          Auto parts, acc. & tire stores..................         (*)       (*)      (*)    6,267    6,914    6,093    6,064

   442          Furniture & home furnishings stores..............      96,669      8.4     9,766    9,945   10,620    9,355    9,446
   4421          Furniture stores................................         (*)       (*)      (*)    5,186    5,544    4,939    5,051
   4422          Home furnishings stores.........................         (*)       (*)      (*)    4,759    5,076    4,416    4,395

   443          Electronics & appliance stores....................     81,458      5.6     8,008    8,152    8,776    7,781    7,807
   44311,13      Appl., T.V. &  camera...........................         (*)       (*)      (*)    6,648    7,126    6,178    6,179
   44312         Computer & software stores......................         (*)       (*)      (*)    1,504    1,650    1,603    1,628

   444          Building material & garden eq. & supplies dealers     302,817     10.6    29,767   28,567   31,665   28,657   28,193
   4441          Building mat. & supplies dealers................         (*)       (*)      (*)   25,770   28,623   25,795   25,646

   445          Food & beverage stores...........................     446,442      4.7    44,859   44,995   46,594   43,508   43,050
   4451          Grocery stores..................................     397,748      4.0    39,838   39,918   41,472   38,905   38,498
   4453          Beer, wine & liquor stores......................         (*)       (*)      (*)    3,222    3,228    2,939    2,914

   446          Health & personal care stores....................     183,396      7.4    18,838   18,044   18,869   17,281   16,971
   44611         Pharmacies & drug stores........................         (*)       (*)      (*)   15,205   15,830   14,422   14,184

   447          Gasoline stations................................     359,939     11.0    32,862   34,555   41,178   37,594   37,330

   448          Clothing & clothing accessories stores...........     163,497      7.0    17,685   16,824   17,914   16,579   15,015
   44811         Men's clothing stores...........................         (*)       (*)      (*)      716      790      778      687
   44812         Women's clothing stores.........................         (*)       (*)      (*)    3,229    2,990    3,101    2,940
   44814         Family clothing stores..........................         (*)       (*)      (*)    6,646    7,074    6,644    5,775
   4482          Shoe stores.....................................         (*)       (*)      (*)    2,138    2,588    2,045    1,879

   451          Sporting goods, hobby, book & music stores.......      66,671      7.3     6,426    7,127    7,820    6,077    6,314

   452          General merchandise stores.......................     431,528      5.4    44,653   42,588   45,133   43,906   40,059
   4521          Department stores (ex. L.D.)....................     161,013     -1.0    16,653   15,773   16,963   17,406   15,460
   4521          Department stores (incl. L.D.)(4)...............         (*)       (*)      (*)   16,146   17,370   17,855   15,867
   4529          Other general merchandise stores................         (*)       (*)      (*)   26,815   28,170   26,500   24,599
   45291          Warehouse clubs & supercenters.................         (*)       (*)      (*)   23,614   24,831   23,153   21,473
   45299          All other gen. merchandise stores..............         (*)       (*)      (*)    3,201    3,339    3,347    3,126

   453          Miscellaneous store retailers....................      97,199      8.4    10,310    9,775   10,190    9,350    9,272

