TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--July 2009

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2009     2009     2009     2008     2008
   NAICS(1)                    Kind of Business                      Jul(3)   Jun      May      Jul      Jun
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   342,309  342,497  339,873  373,327  376,055

                 Total (excl. motor vehicle &  parts)............   283,614  285,205  283,656  310,006  309,181

                   Retail .......................................   303,950  304,304  301,595  335,340  338,088

                GAFO(4)..........................................       (*)   92,232   92,797   98,534   98,185

   441          Motor vehicle & parts dealers....................    58,695   57,292   56,217   63,321   66,874
   4411,4412     Auto & other motor veh. dealers.................    52,240   50,797   49,701   56,762   60,221

   442          Furniture & home furnishings stores..............     7,734    7,803    7,806    8,882    8,908

   443          Electronics & appliance stores....................    8,156    8,275    8,295    9,554    9,527
   44311,13      Appl., T.V. &  camera...........................       (*)    6,450    6,448    7,615    7,578
   44312         Computer & software stores......................       (*)    1,825    1,847    1,939    1,949

   444          Building material & garden eq. & supplies dealers    23,626   24,122   24,257   27,695   27,516
   4441          Building mat. & supplies dealers................       (*)   19,901   20,255   23,426   23,403

   445          Food & beverage stores...........................    48,995   49,130   49,055   49,410   49,238
   4451          Grocery stores..................................    43,741   43,877   43,744   44,210   44,058
   4453          Beer, wine & liquor stores......................       (*)    3,440    3,487    3,495    3,480

   446          Health & personal care stores....................    21,316   21,168   21,062   20,476   20,486
   44611         Pharmacies & drug stores........................       (*)   17,575   17,472   16,938   16,940

   447          Gasoline stations................................    29,500   30,132   28,353   43,727   43,798

   448          Clothing & clothing accessories stores...........    17,131   17,027   17,290   18,540   18,583
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    2,897    2,927    3,204    3,219
   4482          Shoe stores.....................................       (*)    2,113    2,113    2,298    2,315

   451          Sporting goods, hobby, book & music stores.......     6,998    7,136    7,103    7,473    7,432

   452          General merchandise stores.......................    48,370   48,747   49,032   50,743   50,438
   4521          Department stores (ex. L.D.)....................    15,129   15,372   15,569   17,102   16,977
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   33,375   33,463   33,641   33,461
   45291          Warehouse clubs & supercenters.................       (*)   29,526   29,605   29,806   29,659
   45299          All other gen. merchandise stores..............       (*)    3,849    3,858    3,835    3,802

   453          Miscellaneous store retailers....................     9,371    9,447    9,462   10,131    9,932

   454          Nonstore retailers...............................    24,058   24,025   23,663   25,388   25,356
   4541          Electronic shopping & mail-order houses.........       (*)   17,109   17,053   17,111   17,157

   722          Food services & drinking places..................    38,359   38,193   38,278   37,987   37,967
 
 
