TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--July 2010

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2010     2010     2010     2009     2009
   NAICS(1)                    Kind of Business                      Jul(3)   Jun      May      Jul      Jun
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   362,688  361,204  362,219  343,705  343,411

                 Total (excl. motor vehicle &  parts)............   299,701  299,210  299,400  285,671  286,150

                   Retail .......................................   323,328  321,908  322,912  305,441  305,079

                GAFO(4)..........................................       (*)   95,106   95,002   91,978   92,082

   441          Motor vehicle & parts dealers....................    62,987   61,994   62,819   58,034   57,261
   4411,4412     Auto & other motor veh. dealers.................    56,455   55,536   56,396   51,835   50,982

   442          Furniture & home furnishings stores..............     7,460    7,485    7,606    7,421    7,428

   443          Electronics & appliance stores....................    8,711    8,716    8,610    8,065    8,140
   44311,13      Appl., T.V. &  camera...........................       (*)    6,829    6,742    6,469    6,490
   44312         Computer & software stores......................       (*)    1,887    1,868    1,596    1,650

   444          Building material & garden eq. & supplies dealers    23,286   23,356   23,547   22,402   22,658
   4441          Building mat. & supplies dealers................       (*)   19,311   19,562   19,156   19,298

   445          Food & beverage stores...........................    48,425   48,590   48,769   47,945   48,029
   4451          Grocery stores..................................    43,227   43,316   43,515   42,815   42,897
   4453          Beer, wine & liquor stores......................       (*)    3,436    3,421    3,329    3,321

   446          Health & personal care stores....................    21,841   21,840   21,627   21,121   21,195
   44611         Pharmacies & drug stores........................       (*)   18,660   18,463   18,158   18,191

   447          Gasoline stations................................    35,348   34,563   35,277   31,502   31,755

   448          Clothing & clothing accessories stores...........    17,988   18,108   18,133   17,333   17,246
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    2,993    3,002    2,937    2,967
   4482          Shoe stores.....................................       (*)    2,286    2,271    2,166    2,155

   451          Sporting goods, hobby, book & music stores.......     7,244    7,249    7,221    6,885    6,922

   452          General merchandise stores.......................    50,256   50,380   50,254   49,064   49,108
   4521          Department stores (ex. L.D.)....................    15,405   15,559   15,396   15,529   15,600
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   34,821   34,858   33,535   33,508
   45291          Warehouse clubs & supercenters.................       (*)   30,460   30,555   29,609   29,586
   45299          All other gen. merchandise stores..............       (*)    4,361    4,303    3,926    3,922

   453          Miscellaneous store retailers....................    10,032    9,949    9,860    9,248    9,213

   454          Nonstore retailers...............................    29,750   29,678   29,189   26,421   26,124
   4541          Electronic shopping & mail-order houses.........       (*)   22,347   21,973   19,493   19,170

   722          Food services & drinking places..................    39,360   39,296   39,307   38,264   38,332
 
 
 
