TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--October 2005

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, 
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                      Oct(3)   Sept     Aug      Oct      Sept
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   351,561  351,777  350,742  332,693  329,876

                 Total (excl. motor vehicle &  parts)............   281,860  279,462  275,739  256,411  253,770

                   Retail .......................................   317,010  317,547  316,807  300,390  297,797

                GAFO(4)..........................................       (*)   89,683   89,148   85,236   84,572

   441          Motor vehicle & parts dealers....................    69,701   72,315   75,003   76,282   76,106
   4411,4412     Auto & other motor veh. dealers.................    63,551   66,238   68,914   70,603   70,508

   442          Furniture & home furnishings stores..............     9,466    9,403    9,252    8,682    8,611

   443          Electronics & appliance stores....................    8,503    8,467    8,374    7,931    7,955
   44311,13      Appl., T.V. &  camera...........................       (*)    6,905    6,795    6,377    6,382
   44312         Computer & software stores......................       (*)    1,562    1,579    1,554    1,573

   444          Building material & garden eq. & supplies dealers    28,906   28,298   27,826   25,550   25,769
   4441          Building mat. & supplies dealers................       (*)   25,068   24,614   22,503   22,754

   445          Food & beverage stores...........................    44,492   44,169   43,895   41,919   41,812
   4451          Grocery stores..................................    39,715   39,481   39,283   37,657   37,590
   4453          Beer, wine & liquor stores......................       (*)    2,882    2,856    2,701    2,668

   446          Health & personal care stores....................    18,555   18,478   18,269   17,293   17,226
   44611         Pharmacies & drug stores........................       (*)   15,724   15,654   14,810   14,758

   447          Gasoline stations................................    35,768   36,047   34,303   28,147   26,526

   448          Clothing & clothing accessories stores...........    17,212   16,693   16,748   16,154   15,852
   44811         Men's clothing stores...........................       (*)      808      831      804      793
   44812         Women's clothing stores.........................       (*)    3,139    3,119    3,005    2,939
   4482          Shoe stores.....................................       (*)    2,053    2,021    1,994    1,972

   451          Sporting goods, hobby, book & music stores.......     6,782    6,743    6,810    6,709    6,716

   452          General merchandise stores.......................    45,556   45,027   44,651   42,529   42,196
   4521          Department stores (ex. L.D.)....................    17,904   17,641   17,743   18,004   18,042
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   27,386   26,908   24,525   24,154
   45291          Warehouse clubs & supercenters.................       (*)   23,890   23,468   21,225   20,883
   45299          All other gen. merchandise stores..............       (*)    3,496    3,440    3,300    3,271

   453          Miscellaneous store retailers....................     9,508    9,611    9,395    9,088    9,009

   454          Nonstore retailers...............................    22,561   22,296   22,281   20,106   20,019
   4541          Electronic shopping & mail-order houses.........       (*)   13,837   13,912   12,579   12,501

   722          Food services & drinking places..................    34,551   34,230   33,935   32,303   32,079
 
 
TABLE 1B.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--October 2005


Data not adjusted for seasonal variations, holiday, trading-day differences, and price changes.
                 

        (In Millions of dollars and Annual Percent Change)

                                                                      10 month total
                                                                                 % Chg.   2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                        2005       from    Oct(2)   Sept     Aug      Oct      Sept
   Code                                                                           2004    (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   3,414,156      7.4   343,963  342,347  364,805  325,699  319,134

                 Total (excl. motor vehicle &  parts)............   2,640,329      8.3   279,803  270,851  281,065  255,412  243,939

                   Retail .......................................   3,076,414      7.5   309,066  308,630  329,580  292,750  287,953

                GAFO(3)..........................................         (*)       (*)      (*)   82,400   89,201   82,355   77,389

   441          Motor vehicle & parts dealers....................     773,827      4.4    64,160   71,496   83,740   70,287   75,195
   4411,4412     Auto & other motor veh. dealers.................     713,023      4.1    58,022   65,443   77,115   64,602   69,591
   44111          New car dealers................................         (*)       (*)      (*)   53,941   63,587   54,522   59,517
   4413          Auto parts, acc. & tire stores..................         (*)       (*)      (*)    6,053    6,625    5,685    5,604

   442          Furniture & home furnishings stores..............      87,757      5.2     9,438    9,271    9,622    8,699    8,413
   4421          Furniture stores................................         (*)       (*)      (*)    5,088    5,209    4,756    4,587
   4422          Home furnishings stores.........................         (*)       (*)      (*)    4,183    4,413    3,943    3,826

   443          Electronics & appliance stores....................     76,884      5.9     7,718    7,799    8,354    7,250    7,293
   44311,13      Appl., T.V. &  camera...........................         (*)       (*)      (*)    6,242    6,734    5,746    5,712
   44312         Computer & software stores......................         (*)       (*)      (*)    1,557    1,620    1,504    1,581

   444          Building material & garden eq. & supplies dealers     278,866      9.6    29,408   28,685   29,642   25,775   26,028
   4441          Building mat. & supplies dealers................         (*)       (*)      (*)   26,146   26,854   23,246   23,664

   445          Food & beverage stores...........................     429,375      4.8    44,006   43,494   44,103   41,835   41,016
   4451          Grocery stores..................................     385,682      4.4    39,358   38,968   39,519   37,657   36,989
   4453          Beer, wine & liquor stores......................         (*)       (*)      (*)    2,850    2,853    2,712    2,599

   446          Health & personal care stores....................     179,083      6.2    18,258   17,813   18,342   17,016   16,537
   44611         Pharmacies & drug stores........................         (*)       (*)      (*)   15,189   15,623   14,662   14,227

   447          Gasoline stations................................     323,284     21.7    37,163   37,237   37,184   29,329   27,083

   448          Clothing & clothing accessories stores...........     152,788      5.8    16,673   15,015   16,751   15,558   14,209
   44811         Men's clothing stores...........................         (*)       (*)      (*)      722      842      811      707
   44812         Women's clothing stores.........................         (*)       (*)      (*)    2,988    2,891    3,011    2,795
   44814         Family clothing stores..........................         (*)       (*)      (*)    5,674    6,475    6,084    5,360
   4482          Shoe stores.....................................         (*)       (*)      (*)    1,872    2,383    1,894    1,793

   451          Sporting goods, hobby, book & music stores.......      61,591      1.4     5,921    6,338    7,389    5,978    6,246

   452          General merchandise stores.......................     415,198      6.3    44,578   40,656   43,461   41,707   38,074
   4521          Department stores (ex. L.D.)....................     162,600     -0.4    17,407   15,468   17,155   17,447   16,006
   4521          Department stores (incl. L.D.)(4)...............         (*)       (*)      (*)   15,619   17,317   17,654   16,199
   4529          Other general merchandise stores................         (*)       (*)      (*)   25,188   26,306   24,260   22,068
   45291          Warehouse clubs & supercenters.................         (*)       (*)      (*)   22,003   23,069   21,013   19,108
   45299          All other gen. merchandise stores..............         (*)       (*)      (*)    3,185    3,237    3,247    2,960

   453          Miscellaneous store retailers....................      91,963      5.8     9,267    9,518    9,768    8,997    8,777

   454          Nonstore retailers...............................     205,798     11.8    22,476   21,308   21,224   20,319   19,082
