TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--February 2005

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2005     2005     2004     2004     2004
   NAICS(1)                    Kind of Business                      Feb(3)   Jan      Dec      Feb      Jan
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   352,138  350,369  349,308  326,875  324,217

                 Total (excl. motor vehicle &  parts)............   271,135  269,925  267,121  250,181  249,276

                   Retail .......................................   317,660  316,301  315,514  295,000  292,620

                GAFO(4)..........................................       (*)   87,384   86,483   83,956   83,639

   441          Motor vehicle & parts dealers....................    81,003   80,444   82,187   76,694   74,941
   4411,4412     Auto & other motor veh. dealers.................    73,408   72,777   74,678   69,699   68,084

   442          Furniture & home furnishings stores..............     8,961    8,897    8,820    8,519    8,498

   443          Electronics & appliance stores....................    8,819    8,681    8,509    8,268    8,293
   44311,13      Appl., T.V. &  camera...........................       (*)    6,323    6,149    5,940    5,905
   44312         Computer & software stores......................       (*)    2,358    2,360    2,328    2,388

   444          Building material & garden eq. & supplies dealers    31,750   32,163   31,984   28,061   27,871
   4441          Building mat. & supplies dealers................       (*)   28,541   28,338   24,820   24,639

   445          Food & beverage stores...........................    45,481   45,296   44,979   43,027   43,246
   4451          Grocery stores..................................    40,709   40,623   40,389   38,603   38,817
   4453          Beer, wine & liquor stores......................       (*)    2,799    2,791    2,757    2,759

   446          Health & personal care stores....................    17,631   17,585   17,186   16,404   16,552
   44611         Pharmacies & drug stores........................       (*)   14,852   14,567   13,996   14,051

   447          Gasoline stations................................    28,339   28,081   27,580   24,348   23,972

   448          Clothing & clothing accessories stores...........    16,462   16,277   16,001   15,680   15,580
   44811         Men's clothing stores...........................       (*)      979    1,001      919      932
   44812         Women's clothing stores.........................       (*)    3,105    3,028    2,958    2,966
   4482          Shoe stores.....................................       (*)    1,965    1,948    1,952    1,945

   451          Sporting goods, hobby, book & music stores.......     6,656    6,651    6,705    6,925    6,836

   452          General merchandise stores.......................    43,925   43,633   43,231   41,202   41,074
   4521          Department stores (ex. L.D.)....................    18,180   18,083   18,026   18,020   17,840
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   25,550   25,205   23,182   23,234
   45291          Warehouse clubs & superstores..................       (*)   21,984   21,609   19,709   19,771
   45299          All other gen. merchandise stores..............       (*)    3,566    3,596    3,473    3,463

   453          Miscellaneous store retailers....................     9,524    9,482    9,418    8,890    9,019

   454          Nonstore retailers...............................    19,109   19,111   18,914   16,982   16,738
   4541          Electronic shopping & mail-order houses.........       (*)   11,954   11,778   10,778   10,695

   722          Food services & drinking places..................    34,478   34,068   33,794   31,875   31,597
 
 
