TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--December 2006

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2006     2006     2006     2005     2005
   NAICS(1)                    Kind of Business                      Dec(3)   Nov      Oct      Dec      Nov
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   369,865  366,633  364,538  351,025  350,460

                 Total (excl. motor vehicle &  parts)............   292,642  289,620  287,492  276,486  276,890

                   Retail .......................................   332,441  330,055  328,091  316,798  316,329

                GAFO(4)..........................................       (*)   95,188   94,692   90,109   90,680

   441          Motor vehicle & parts dealers....................    77,223   77,013   77,046   74,539   73,570
   4411,4412     Auto & other motor veh. dealers.................    70,878   70,716   70,678   68,199   67,238

   442          Furniture & home furnishings stores..............    10,169   10,098   10,087    9,448    9,595

   443          Electronics & appliance stores....................    9,665    9,384    8,866    8,406    8,587
   44311,13      Appl., T.V. &  camera...........................       (*)    7,563    7,367    6,762    6,942
   44312         Computer & software stores......................       (*)    1,821    1,499    1,644    1,645

   444          Building material & garden eq. & supplies dealers    28,431   28,758   28,893   28,669   28,706
   4441          Building mat. & supplies dealers................       (*)   25,057   25,250   25,221   25,304

   445          Food & beverage stores...........................    46,614   46,298   46,122   44,112   43,983
   4451          Grocery stores..................................    41,229   40,920   40,771   39,285   39,175
   4453          Beer, wine & liquor stores......................       (*)    3,277    3,243    3,041    3,023

   446          Health & personal care stores....................    19,636   19,401   19,217   17,815   17,806
   44611         Pharmacies & drug stores........................       (*)   16,281   16,199   14,877   14,791

   447          Gasoline stations................................    34,544   33,286   32,356   33,415   33,635

   448          Clothing & clothing accessories stores...........    18,114   18,003   18,138   17,175   17,249
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,216    3,256    3,131    3,195
   4482          Shoe stores.....................................       (*)    2,229    2,231    2,098    2,157

   451          Sporting goods, hobby, book & music stores.......     7,237    7,242    7,242    7,010    6,881

   452          General merchandise stores.......................    47,040   46,625   46,474   44,645   44,954
   4521          Department stores (ex. L.D.)....................    17,708   17,669   17,660   17,801   18,026
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   28,956   28,814   26,844   26,928
   45291          Warehouse clubs & supercenters.................       (*)   25,482   25,343   23,449   23,558
   45299          All other gen. merchandise stores..............       (*)    3,474    3,471    3,395    3,370

   453          Miscellaneous store retailers....................     9,832   10,093   10,066    9,372    9,503

   454          Nonstore retailers...............................    23,936   23,854   23,584   22,192   21,860
   4541          Electronic shopping & mail-order houses.........       (*)   15,893   15,754   14,295   14,211

   722          Food services & drinking places..................    37,424   36,578   36,447   34,227   34,131
 
   
   
