TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--June 2011

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2011     2011     2011     2010     2010
   NAICS(1)                    Kind of Business                      Jun(3)   May      Apr      Jun      May
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   387,789  387,255  387,705  358,864  359,262

                 Total (excl. motor vehicle &  parts)............   321,266  321,238  320,500  297,760  297,419

                   Retail .......................................   347,217  346,531  347,316  320,111  320,633

                GAFO(4)..........................................       (*)   97,067   97,313   93,927   93,702

   441          Motor vehicle & parts dealers....................    66,523   66,017   67,205   61,104   61,843
   4411,4412     Auto & other motor veh. dealers.................    59,829   59,394   60,610   54,743   55,476

   442          Furniture & home furnishings stores..............     7,348    7,407    7,441    7,314    7,348

   443          Electronics & appliance stores....................    8,277    8,290    8,439    8,478    8,420
   44311,13      Appl., T.V. &  camera...........................       (*)    6,429    6,555    6,632    6,598
   44312         Computer & software stores......................       (*)    1,861    1,884    1,846    1,822

   444          Building material & garden eq. & supplies dealers    25,140   24,806   24,676   23,330   23,498
   4441          Building mat. & supplies dealers................       (*)   19,954   19,856   19,353   19,679

   445          Food & beverage stores...........................    51,263   51,118   51,178   48,156   48,293
   4451          Grocery stores..................................    45,984   45,859   45,920   43,053   43,212
   4453          Beer, wine & liquor stores......................       (*)    3,627    3,615    3,494    3,473

   446          Health & personal care stores....................    22,805   22,853   22,592   21,908   21,573
   44611         Pharmacies & drug stores........................       (*)   19,165   18,850   18,605   18,333

   447          Gasoline stations................................    44,517   45,096   44,864   36,005   36,803

   448          Clothing & clothing accessories stores...........    18,841   18,705   18,707   17,696   17,709
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,135    3,113    3,037    3,048
   4482          Shoe stores.....................................       (*)    2,247    2,217    2,187    2,181

   451          Sporting goods, hobby, book & music stores.......     7,296    7,345    7,372    7,063    6,968

   452          General merchandise stores.......................    52,492   52,290   52,361   50,458   50,336
   4521          Department stores (ex. L.D.)....................    15,614   15,404   15,509   15,486   15,477
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   36,886   36,852   34,972   34,859
   45291          Warehouse clubs & supercenters.................       (*)   32,350   32,286   30,570   30,481
   45299          All other gen. merchandise stores..............       (*)    4,536    4,566    4,402    4,378

   453          Miscellaneous store retailers....................     9,919    9,912    9,923    9,383    9,300

   454          Nonstore retailers...............................    32,796   32,692   32,558   29,216   28,542
   4541          Electronic shopping & mail-order houses.........       (*)   24,962   24,723   22,449   21,892

   722          Food services & drinking places..................    40,572   40,724   40,389   38,753   38,629
 
 
