TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--November 2005

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                      Nov(3)   Oct      Sep      Nov      Oct
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   353,866  352,960  351,802  333,002  332,904

                 Total (excl. motor vehicle &  parts)............   280,502  281,434  279,319  258,161  256,295

                   Retail .......................................   318,928  318,334  317,487  300,717  300,569

                GAFO(4)..........................................       (*)   90,678   89,620   85,359   85,180

   441          Motor vehicle & parts dealers....................    73,364   71,526   72,483   74,841   76,609
   4411,4412     Auto & other motor veh. dealers.................    67,186   65,411   66,410   69,116   70,913

   442          Furniture & home furnishings stores..............     9,226    9,250    9,352    8,695    8,716

   443          Electronics & appliance stores....................    8,570    8,530    8,475    7,996    7,930
   44311,13      Appl., T.V. &  camera...........................       (*)    6,956    6,917    6,419    6,370
   44312         Computer & software stores......................       (*)    1,574    1,558    1,577    1,560

   444          Building material & garden eq. & supplies dealers    29,419   28,861   28,343   25,703   25,631
   4441          Building mat. & supplies dealers................       (*)   25,528   25,077   22,684   22,569

   445          Food & beverage stores...........................    44,439   44,280   44,036   42,232   41,949
   4451          Grocery stores..................................    39,624   39,548   39,325   37,942   37,695
   4453          Beer, wine & liquor stores......................       (*)    2,895    2,885    2,688    2,699

   446          Health & personal care stores....................    18,611   18,408   18,472   17,392   17,346
   44611         Pharmacies & drug stores........................       (*)   15,654   15,684   14,894   14,855

   447          Gasoline stations................................    33,631   35,742   35,952   28,805   28,012

   448          Clothing & clothing accessories stores...........    17,213   17,181   16,739   16,040   16,127
   44811         Men's clothing stores...........................       (*)      827      808      818      808
   44812         Women's clothing stores.........................       (*)    3,176    3,139    2,972    3,038
   4482          Shoe stores.....................................       (*)    2,134    2,059    1,948    1,994

   451          Sporting goods, hobby, book & music stores.......     6,808    6,849    6,712    6,675    6,672

   452          General merchandise stores.......................    45,576   45,509   44,997   42,718   42,518
   4521          Department stores (ex. L.D.)....................    18,065   17,977   17,697   18,008   18,043
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   27,532   27,300   24,710   24,475
   45291          Warehouse clubs & supercenters.................       (*)   24,036   23,813   21,375   21,182
   45299          All other gen. merchandise stores..............       (*)    3,496    3,487    3,335    3,293

   453          Miscellaneous store retailers....................     9,644    9,734    9,648    9,287    9,047

   454          Nonstore retailers...............................    22,427   22,464   22,278   20,333   20,012
   4541          Electronic shopping & mail-order houses.........       (*)   13,995   13,770   12,689   12,554

   722          Food services & drinking places..................    34,938   34,626   34,315   32,285   32,335
 
 

TABLE 1B.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--November 2005

Data not adjusted for seasonal variations, holiday, trading-day differences, and price changes.
                 (In Millions of dollars and Annual Percent Change)

                                                                      11 month total
                                                                                 % Chg.   2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                        2005       from    Nov(2)   Oct      Sep      Nov      Oct
   Code                                                                           2004    (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   3,766,631      7.4   351,267  345,316  342,202  330,108  325,699

                 Total (excl. motor vehicle &  parts)............   2,926,354      8.4   286,371  279,708  270,600  263,375  255,412

                   Retail .......................................   3,395,678      7.4   318,146  310,378  308,436  299,470  292,750

                GAFO(3)..........................................         (*)       (*)      (*)   87,286   82,268   93,285   82,355

   441          Motor vehicle & parts dealers....................     840,277      4.0    64,896   65,608   71,602   66,733   70,287
   4411,4412     Auto & other motor veh. dealers.................     773,551      3.7    58,922   59,524   65,547   61,237   64,602
   44111          New car dealers................................         (*)       (*)      (*)   48,821   54,061   51,984   54,522
   4413          Auto parts, acc. & tire stores..................         (*)       (*)      (*)    6,084    6,055    5,496    5,685

   442          Furniture & home furnishings stores..............      97,584      5.0    10,139    9,176    9,221    9,573    8,699
   4421          Furniture stores................................         (*)       (*)      (*)    4,929    5,034    5,078    4,756
   4422          Home furnishings stores.........................         (*)       (*)      (*)    4,247    4,187    4,495    3,943

   443          Electronics & appliance stores....................     86,442      6.1     9,530    7,748    7,797    8,873    7,250
   44311,13      Appl., T.V. &  camera...........................         (*)       (*)      (*)    6,226    6,239    7,247    5,746
   44312         Computer & software stores......................         (*)       (*)      (*)    1,522    1,558    1,626    1,504

   444          Building material & garden eq. & supplies dealers     306,904     10.0    28,276   29,169   28,686   24,733   25,775
   4441          Building mat. & supplies dealers................         (*)       (*)      (*)   26,319   26,155   22,457   23,246

   445          Food & beverage stores...........................     473,288      4.9    44,310   43,783   43,320   41,782   41,835
   4451          Grocery stores..................................     424,788      4.4    39,466   39,192   38,774   37,487   37,657
   4453          Beer, wine & liquor stores......................         (*)       (*)      (*)    2,875    2,850    2,752    2,712

   446          Health & personal care stores....................     197,023      6.1    18,183   18,021   17,807   17,044   17,016
   44611         Pharmacies & drug stores........................         (*)       (*)      (*)   15,419   15,182   14,611   14,662

   447          Gasoline stations................................     355,906     21.4    32,319   37,493   37,210   27,624   29,329

   448          Clothing & clothing accessories stores...........     171,172      5.9    18,519   16,537   15,016   17,210   15,558
   44811         Men's clothing stores...........................         (*)       (*)      (*)      819      722      905      811
   44812         Women's clothing stores.........................         (*)       (*)      (*)    3,138    2,991    3,109    3,011
   44814         Family clothing stores..........................         (*)       (*)      (*)    6,524    5,674    6,944    6,084
   4482          Shoe stores.....................................         (*)       (*)      (*)    2,034    1,872    1,860    1,894

   451          Sporting goods, hobby, book & music stores.......      69,145      1.5     7,516    6,041    6,256    7,342    5,978

   452          General merchandise stores.......................     465,424      6.4    50,266   44,536   40,658   46,925   41,707
   4521          Department stores (ex. L.D.)....................     183,744     -0.2    21,151   17,400   15,468   20,760   17,447
   4521          Department stores (incl. L.D.)(4)...............         (*)       (*)      (*)   17,568   15,619   21,003   17,654
   4529          Other general merchandise stores................         (*)       (*)      (*)   27,136   25,190   26,165   24,260
   45291          Warehouse clubs & supercenters.................         (*)       (*)      (*)   23,724   22,003   22,486   21,013
   45299          All other gen. merchandise stores..............         (*)       (*)      (*)    3,412    3,187    3,679    3,247

   453          Miscellaneous store retailers....................     102,134      6.0     9,755    9,639    9,562    9,421    8,997

