TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--August 2005

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                      Aug(3)   Jul      Jun      Aug      Jul
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   350,106  357,629  351,320  324,501  323,929

                 Total (excl. motor vehicle &  parts)............   274,921  272,225  270,962  251,368  251,186

                   Retail .......................................   316,346  323,857  317,623  292,943  292,296

                GAFO(4)..........................................       (*)   88,614   88,776   83,834   84,053

   441          Motor vehicle & parts dealers....................    75,185   85,404   80,358   73,133   72,743
   4411,4412     Auto & other motor veh. dealers.................    69,109   79,355   74,302   67,569   67,185

   442          Furniture & home furnishings stores..............     9,155    9,077    9,075    8,673    8,838

   443          Electronics & appliance stores....................    8,354    8,327    8,297    7,867    7,886
   44311,13      Appl., T.V. &  camera...........................       (*)    6,734    6,724    6,326    6,318
   44312         Computer & software stores......................       (*)    1,593    1,573    1,541    1,568

   444          Building material & garden eq. & supplies dealers    27,615   27,465   27,530   25,473   25,249
   4441          Building mat. & supplies dealers................       (*)   24,321   24,369   22,569   22,389

   445          Food & beverage stores...........................    43,800   43,534   43,455   41,509   41,373
   4451          Grocery stores..................................    39,222   38,927   38,888   37,307   37,185
   4453          Beer, wine & liquor stores......................       (*)    2,849    2,834    2,658    2,652

   446          Health & personal care stores....................    18,509   18,289   18,140   17,121   17,070
   44611         Pharmacies & drug stores........................       (*)   15,623   15,518   14,714   14,592

   447          Gasoline stations................................    34,152   32,728   31,471   26,415   26,670

   448          Clothing & clothing accessories stores...........    16,650   16,649   16,801   15,614   15,684
   44811         Men's clothing stores...........................       (*)      833      849      790      790
   44812         Women's clothing stores.........................       (*)    3,090    3,112    2,894    2,884
   4482          Shoe stores.....................................       (*)    2,018    2,001    1,915    1,933

   451          Sporting goods, hobby, book & music stores.......     6,869    6,836    6,787    6,743    6,729

   452          General merchandise stores.......................    44,522   44,409   44,492   41,730   41,688
   4521          Department stores (ex. L.D.)....................    17,741   17,793   18,064   17,864   17,863
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   26,616   26,428   23,866   23,825
   45291          Warehouse clubs & superstores..................       (*)   23,214   22,983   20,642   20,570
   45299          All other gen. merchandise stores..............       (*)    3,402    3,445    3,224    3,255

   453          Miscellaneous store retailers....................     9,591    9,581    9,562    8,895    8,871

   454          Nonstore retailers...............................    21,944   21,558   21,655   19,770   19,495
   4541          Electronic shopping & mail-order houses.........       (*)   13,598   13,567   12,480   12,339

   722          Food services & drinking places..................    33,760   33,772   33,697   31,558   31,633
 
 


TABLE 1B.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--August 2005

Data not adjusted for seasonal variations, holiday, trading-day differences, and price changes.
                 (In Millions of dollars and Annual Percent Change)

                                                                       8 month total
                                                                                 % Chg.   2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                        2005       from    Aug(2)   Jul      Jun      Aug      Jul
   Code                                                                           2004    (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   2,726,448      7.6   363,263  360,510  359,578  331,754  333,020

                 Total (excl. motor vehicle &  parts)............   2,089,647      7.8   280,915  270,151  271,553  253,816  252,710

                   Retail .......................................   2,457,471      7.7   328,186  324,644  325,140  298,902  299,236

                GAFO(3)..........................................         (*)       (*)      (*)   83,999   84,805   83,569   80,227

   441          Motor vehicle & parts dealers....................     636,801      6.9    82,348   90,359   88,025   77,938   80,310
   4411,4412     Auto & other motor veh. dealers.................     588,201      6.8    75,743   84,116   81,509   72,029   74,374
   44111          New car dealers................................         (*)       (*)      (*)   70,509   66,778   60,826   62,452
   4413          Auto parts, acc. & tire stores..................         (*)       (*)      (*)    6,243    6,516    5,909    5,936

   442          Furniture & home furnishings stores..............      68,969      4.0     9,558    8,941    8,948    8,855    8,873
   4421          Furniture stores................................         (*)       (*)      (*)    4,888    4,832    4,851    4,936
   4422          Home furnishings stores.........................         (*)       (*)      (*)    4,053    4,116    4,004    3,937

   443          Electronics & appliance stores....................     61,381      5.7     8,360    7,786    7,802    7,805    7,446
   44311,13      Appl., T.V. &  camera...........................         (*)       (*)      (*)    6,290    6,287    6,244    5,952
   44312         Computer & software stores......................         (*)       (*)      (*)    1,496    1,515    1,561    1,494

   444          Building material & garden eq. & supplies dealers     220,701      8.9    29,559   28,301   31,926   26,545   26,974
   4441          Building mat. & supplies dealers................         (*)       (*)      (*)   25,270   27,440   24,126   24,068

   445          Food & beverage stores...........................     341,903      4.6    44,160   44,901   43,600   41,350   43,223
   4451          Grocery stores..................................     307,414      4.3    39,614   40,095   39,005   37,232   38,784
   4453          Beer, wine & liquor stores......................         (*)       (*)      (*)    2,986    2,831    2,600    2,840

   446          Health & personal care stores....................     143,454      6.2    18,750   17,722   17,886   16,933   16,848
   44611         Pharmacies & drug stores........................         (*)       (*)      (*)   15,092   15,254   14,376   14,329

   447          Gasoline stations................................     249,009     19.0    37,260   34,888   32,698   28,370   28,857

   448          Clothing & clothing accessories stores...........     120,965      5.5    16,604   15,248   15,607   15,556   14,636
   44811         Men's clothing stores...........................         (*)       (*)      (*)      735      816      799      706
   44812         Women's clothing stores.........................         (*)       (*)      (*)    2,750    3,059    2,665    2,616
   44814         Family clothing stores..........................         (*)       (*)      (*)    6,014    5,848    5,972    5,693
   4482          Shoe stores.....................................         (*)       (*)      (*)    2,002    1,909    2,281    1,952

   451          Sporting goods, hobby, book & music stores.......      49,439      1.9     7,460    6,269    6,129    7,181    6,177

   452          General merchandise stores.......................     329,955      6.2    43,453   42,710   43,316   40,727   40,111
   4521          Department stores (ex. L.D.)....................     129,704     -0.1    17,134   16,271   17,108   17,203   16,440
   4521          Department stores (incl. L.D.)(4)...............         (*)       (*)      (*)   16,429   17,292   17,404   16,651
   4529          Other general merchandise stores................         (*)       (*)      (*)   26,439   26,208   23,524   23,671
   45291          Warehouse clubs & superstores..................         (*)       (*)      (*)   23,214   22,822   20,477   20,549
   45299          All other gen. merchandise stores..............         (*)       (*)      (*)    3,225    3,386    3,047    3,122

   453          Miscellaneous store retailers....................      73,387      6.2     9,983    9,187    9,631    9,126    8,749

