TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--July 2007

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2007     2007     2007     2006     2006
   NAICS(1)                    Kind of Business                      Jul(3)   Jun      May      Jul      Jun
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   376,051  374,957  377,689  364,225  360,488

                 Total (excl. motor vehicle &  parts)............   301,017  299,711  300,186  288,257  286,789

                   Retail .......................................   338,064  337,457  340,409  329,068  325,387

                GAFO(4)..........................................       (*)   97,998   98,224   94,139   93,933

   441          Motor vehicle & parts dealers....................    75,034   75,246   77,503   75,968   73,699
   4411,4412     Auto & other motor veh. dealers.................    68,709   68,937   71,162   69,804   67,586

   442          Furniture & home furnishings stores..............    10,290   10,236   10,375   10,234   10,217

   443          Electronics & appliance stores....................    9,303    9,207    9,302    9,049    9,017
   44311,13      Appl., T.V. &  camera...........................       (*)    7,412    7,515    7,346    7,284
   44312         Computer & software stores......................       (*)    1,795    1,787    1,703    1,733

   444          Building material & garden eq. & supplies dealers    29,837   29,764   30,438   29,722   29,735
   4441          Building mat. & supplies dealers................       (*)   26,077   26,655   26,276   26,302

   445          Food & beverage stores...........................    47,735   47,541   47,368   45,319   45,116
   4451          Grocery stores..................................    42,491   42,281   42,133   40,440   40,281
   4453          Beer, wine & liquor stores......................       (*)    3,444    3,411    3,152    3,118

   446          Health & personal care stores....................    19,872   19,726   19,685   18,748   18,737
   44611         Pharmacies & drug stores........................       (*)   16,572   16,583   15,903   15,855

   447          Gasoline stations................................    35,684   35,956   36,438   36,004   35,314

   448          Clothing & clothing accessories stores...........    19,050   18,797   19,022   18,010   17,859
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,384    3,475    3,337    3,298
   4482          Shoe stores.....................................       (*)    2,242    2,250    2,252    2,237

   451          Sporting goods, hobby, book & music stores.......     7,576    7,549    7,539    7,194    7,272

   452          General merchandise stores.......................    48,626   48,179   47,989   45,875   45,872
   4521          Department stores (ex. L.D.)....................    17,734   17,459   17,611   17,520   17,769
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   30,720   30,378   28,355   28,103
   45291          Warehouse clubs & supercenters.................       (*)   27,164   26,804   24,837   24,610
   45299          All other gen. merchandise stores..............       (*)    3,556    3,574    3,518    3,493

   453          Miscellaneous store retailers....................    10,346   10,643   10,292    9,912    9,868

   454          Nonstore retailers...............................    24,711   24,613   24,458   23,033   22,681
   4541          Electronic shopping & mail-order houses.........       (*)   16,636   16,504   15,187   15,086

   722          Food services & drinking places..................    37,987   37,500   37,280   35,157   35,101
 


 
