TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--September 2011

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2011     2011     2011     2010     2010
   NAICS(1)                    Kind of Business                      Sep(3)   Aug      Jul      Sep      Aug
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   395,472  391,038  389,934  366,371  363,666

                 Total (excl. motor vehicle &  parts)............   326,679  324,667  323,028  302,974  300,875

                   Retail .......................................   353,826  349,905  348,967  327,405  324,572

                GAFO(4)..........................................       (*)   98,053   97,884   94,451   94,343

   441          Motor vehicle & parts dealers....................    68,793   66,371   66,906   63,397   62,791
   4411,4412     Auto & other motor veh. dealers.................    61,854   59,478   60,129   56,851   56,251

   442          Furniture & home furnishings stores..............     7,573    7,488    7,437    7,335    7,375

   443          Electronics & appliance stores....................    8,433    8,420    8,395    8,430    8,337
   44311,13      Appl., T.V. &  camera...........................       (*)    6,679    6,613    6,539    6,420
   44312         Computer & software stores......................       (*)    1,741    1,782    1,891    1,917

   444          Building material & garden eq. & supplies dealers    25,215   25,231   24,943   23,669   23,384
   4441          Building mat. & supplies dealers................       (*)   20,367   20,315   19,232   19,064

   445          Food & beverage stores...........................    51,630   51,750   51,552   48,934   48,720
   4451          Grocery stores..................................    46,301   46,460   46,257   43,768   43,564
   4453          Beer, wine & liquor stores......................       (*)    3,661    3,664    3,542    3,541

   446          Health & personal care stores....................    23,184   23,116   22,969   22,212   22,123
   44611         Pharmacies & drug stores........................       (*)   19,296   19,120   18,648   18,665

   447          Gasoline stations................................    45,681   45,124   44,763   37,976   37,115

   448          Clothing & clothing accessories stores...........    19,124   18,879   18,948   17,767   17,832
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,022    3,168    3,061    3,065
   4482          Shoe stores.....................................       (*)    2,298    2,294    2,197    2,219

   451          Sporting goods, hobby, book & music stores.......     7,464    7,487    7,324    7,060    7,041

   452          General merchandise stores.......................    53,196   52,812   52,795   50,897   50,858
   4521          Department stores (ex. L.D.)....................    15,491   15,317   15,401   15,335   15,436
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   37,495   37,394   35,562   35,422
   45291          Warehouse clubs & supercenters.................       (*)   32,865   32,774   31,105   30,969
   45299          All other gen. merchandise stores..............       (*)    4,630    4,620    4,457    4,453

   453          Miscellaneous store retailers....................    10,378   10,288   10,261    9,616    9,342

   454          Nonstore retailers...............................    33,155   32,939   32,674   30,112   29,654
   4541          Electronic shopping & mail-order houses.........       (*)   25,061   24,975   23,343   22,995

   722          Food services & drinking places..................    41,646   41,133   40,967   38,966   39,094
 
 
 
