TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--September 2010

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2010     2010     2010     2009     2009
   NAICS(1)                    Kind of Business                      Sep(3)   Aug      Jul      Sep      Aug
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   367,670  365,403  362,829  342,540  351,128

                 Total (excl. motor vehicle &  parts)............   304,336  303,052  300,140  288,823  287,815

                   Retail .......................................   327,835  325,669  323,473  304,417  312,940

                GAFO(4)..........................................       (*)   95,665   95,331   93,205   92,923

   441          Motor vehicle & parts dealers....................    63,334   62,351   62,689   53,717   63,313
   4411,4412     Auto & other motor veh. dealers.................    56,565   55,689   56,251   47,547   57,093

   442          Furniture & home furnishings stores..............     7,665    7,627    7,601    7,434    7,371

   443          Electronics & appliance stores....................    8,724    8,598    8,673    8,260    8,219
   44311,13      Appl., T.V. &  camera...........................       (*)    6,642    6,736    6,596    6,621
   44312         Computer & software stores......................       (*)    1,956    1,937    1,664    1,598

   444          Building material & garden eq. & supplies dealers    23,663   23,526   23,399   22,060   22,209
   4441          Building mat. & supplies dealers................       (*)   19,014   19,169   19,140   19,057

   445          Food & beverage stores...........................    49,558   49,377   48,516   48,253   47,957
   4451          Grocery stores..................................    44,253   44,074   43,277   43,058   42,746
   4453          Beer, wine & liquor stores......................       (*)    3,472    3,410    3,377    3,383

   446          Health & personal care stores....................    22,224   22,108   21,943   21,414   21,108
   44611         Pharmacies & drug stores........................       (*)   18,771   18,597   18,334   18,146

   447          Gasoline stations................................    35,664   35,515   35,068   32,970   32,761

   448          Clothing & clothing accessories stores...........    18,124   18,160   18,077   17,564   17,602
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,008    3,015    2,983    2,995
   4482          Shoe stores.....................................       (*)    2,320    2,281    2,216    2,215

   451          Sporting goods, hobby, book & music stores.......     7,221    7,208    7,192    7,077    7,064

   452          General merchandise stores.......................    50,940   50,919   50,650   49,669   49,445
   4521          Department stores (ex. L.D.)....................    15,488   15,500   15,419   15,616   15,701
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   35,419   35,231   34,053   33,744
   45291          Warehouse clubs & supercenters.................       (*)   30,998   30,849   29,989   29,755
   45299          All other gen. merchandise stores..............       (*)    4,421    4,382    4,064    3,989

   453          Miscellaneous store retailers....................    10,213   10,070   10,015    9,324    9,308

   454          Nonstore retailers...............................    30,505   30,210   29,650   26,675   26,583
   4541          Electronic shopping & mail-order houses.........       (*)   23,067   22,543   19,919   19,799

   722          Food services & drinking places..................    39,835   39,734   39,356   38,123   38,188
 
 
