TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--August 2006

Data adjusted for seasonal variations, holiday, and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2006     2006     2006     2005     2005
   NAICS(1)                    Kind of Business                      Aug(3)   Jul      Jun      Aug      Jul
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   368,233  367,351  362,439  345,226  350,635

                 Total (excl. motor vehicle &  parts)............   291,772  291,215  289,465  271,502  268,229

                   Retail .......................................   332,686  332,041  327,208  312,031  317,599

                GAFO(4)..........................................       (*)   93,739   93,386   88,936   88,365

   441          Motor vehicle & parts dealers....................    76,461   76,136   72,974   73,724   82,406
   4411,4412     Auto & other motor veh. dealers.................    70,100   69,773   66,668   67,601   76,346

   442          Furniture & home furnishings stores..............    10,016   10,049   10,051    9,404    9,255

   443          Electronics & appliance stores....................    8,837    8,827    8,764    8,391    8,349
   44311,13      Appl., T.V. &  camera...........................       (*)    7,303    7,223    6,735    6,673
   44312         Computer & software stores......................       (*)    1,524    1,541    1,656    1,676

   444          Building material & garden eq. & supplies dealers    29,743   29,721   29,634   27,498   27,290
   4441          Building mat. & supplies dealers................       (*)   26,137   26,131   24,223   24,145

   445          Food & beverage stores...........................    45,913   45,617   45,428   43,475   43,229
   4451          Grocery stores..................................    40,706   40,505   40,358   38,850   38,611
   4453          Beer, wine & liquor stores......................       (*)    3,228    3,204    2,928    2,919

   446          Health & personal care stores....................    18,797   18,685   18,634   17,413   17,373
   44611         Pharmacies & drug stores........................       (*)   15,669   15,583   14,605   14,512

   447          Gasoline stations................................    37,688   38,068   37,465   33,956   32,360

   448          Clothing & clothing accessories stores...........    17,887   17,933   17,765   16,775   16,597
   44811         Men's clothing stores...........................       (*)      786      789      787      785
   44812         Women's clothing stores.........................       (*)    3,325    3,269    3,076    3,035
   4482          Shoe stores.....................................       (*)    2,126    2,125    2,016    2,046

   451          Sporting goods, hobby, book & music stores.......     7,306    7,249    7,285    6,867    6,856

   452          General merchandise stores.......................    46,221   46,040   45,940   44,078   43,906
   4521          Department stores (ex. L.D.)....................    17,539   17,574   17,672   17,782   17,834
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   28,466   28,268   26,296   26,072
   45291          Warehouse clubs & supercenters.................       (*)   24,981   24,800   22,926   22,724
   45299          All other gen. merchandise stores..............       (*)    3,485    3,468    3,370    3,348

   453          Miscellaneous store retailers....................     9,950    9,915    9,960    9,242    9,312

   454          Nonstore retailers...............................    23,867   23,801   23,308   21,208   20,666
   4541          Electronic shopping & mail-order houses.........       (*)   15,174   15,071   13,779   13,590

   722          Food services & drinking places..................    35,547   35,310   35,231   33,195   33,036
 



TABLE 1B.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--August 2006

Data not adjusted for seasonal variations, holiday, trading-day differences, and price changes.
                 (In Millions of dollars and Annual Percent Change)

                                                                       8 month total
                                                                                 % Chg.   2006     2006     2006     2005     2005
   NAICS(1)                    Kind of Business                        2006       from    Aug(2)   Jul      Jun      Aug      Jul
   Code                                                                           2005    (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   2,870,259      7.0   383,460  368,706  373,279  358,936  354,414

                 Total (excl. motor vehicle &  parts)............   2,244,246      9.0   298,327  286,975  291,742  276,998  266,100

                   Retail .......................................   2,587,174      6.9   346,633  331,842  336,885  324,612  319,462

                GAFO(3)..........................................         (*)       (*)      (*)   88,042   89,566   88,966   83,701

   441          Motor vehicle & parts dealers....................     626,013      0.2    85,133   81,731   81,537   81,938   88,314
   4411,4412     Auto & other motor veh. dealers.................     574,891     -0.2    78,161   75,215   74,802   75,307   82,072
   44111          New car dealers................................         (*)       (*)      (*)   61,078   59,569   61,325   67,945
   4413          Auto parts, acc. & tire stores..................         (*)       (*)      (*)    6,516    6,735    6,631    6,242

   442          Furniture & home furnishings stores..............      76,760      9.0    10,437    9,828   10,051    9,808    9,125
   4421          Furniture stores................................         (*)       (*)      (*)    5,151    5,149    5,181    4,873
   4422          Home furnishings stores.........................         (*)       (*)      (*)    4,677    4,902    4,627    4,252

   443          Electronics & appliance stores....................     65,293      6.1     8,773    8,183    8,228    8,362    7,788
   44311,13      Appl., T.V. &  camera...........................         (*)       (*)      (*)    6,770    6,761    6,668    6,233
   44312         Computer & software stores......................         (*)       (*)      (*)    1,413    1,467    1,694    1,555

   444          Building material & garden eq. & supplies dealers     244,163     12.5    31,341   30,266   33,982   29,133   27,808
   4441          Building mat. & supplies dealers................         (*)       (*)      (*)   26,764   29,162   26,330   24,773

   445          Food & beverage stores...........................     356,651      5.0    46,665   46,666   45,744   43,824   44,635
   4451          Grocery stores..................................     318,024      4.2    41,520   41,437   40,600   39,238   39,847
   4453          Beer, wine & liquor stores......................         (*)       (*)      (*)    3,322    3,252    2,916    3,047

   446          Health & personal care stores....................     146,413      7.2    18,722   18,106   18,522   17,448   16,852
   44611         Pharmacies & drug stores........................         (*)       (*)      (*)   15,183   15,458   14,561   14,062

   447          Gasoline stations................................     292,825     17.5    41,419   40,847   39,376   37,284   34,884

   448          Clothing & clothing accessories stores...........     129,033      6.5    17,978   16,341   16,606   16,757   15,271
   44811         Men's clothing stores...........................         (*)       (*)      (*)      690      772      800      698
   44812         Women's clothing stores.........................         (*)       (*)      (*)    2,956    3,223    2,845    2,713
   44814         Family clothing stores..........................         (*)       (*)      (*)    6,607    6,397    6,592    6,131
   4482          Shoe stores.....................................         (*)       (*)      (*)    2,049    2,010    2,393    1,997

   451          Sporting goods, hobby, book & music stores.......      53,239      7.1     7,949    6,517    6,717    7,464    6,266

   452          General merchandise stores.......................     344,242      5.8    45,107   43,862   44,684   42,843   42,106
   4521          Department stores (ex. L.D.)....................     128,530     -0.9    16,922   15,969   16,666   17,155   16,286
   4521          Department stores (incl. L.D.)(4)...............         (*)       (*)      (*)   16,362   17,082   17,601   16,712
   4529          Other general merchandise stores................         (*)       (*)      (*)   27,893   28,018   25,688   25,820
   45291          Warehouse clubs & supercenters.................         (*)       (*)      (*)   24,631   24,602   22,513   22,656
   45299          All other gen. merchandise stores..............         (*)       (*)      (*)    3,262    3,416    3,175    3,164

   453          Miscellaneous store retailers....................      77,144      8.6    10,222    9,433   10,153    9,511    8,910

   454          Nonstore retailers...............................     175,398     13.4    22,887   20,062   21,285   20,240   17,503
