TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--October 2007

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2007     2007     2007     2006     2006
   NAICS(1)                    Kind of Business                      Oct(3)   Sep      Aug      Oct      Sep
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   380,259  379,635  377,173  361,621  362,062

                 Total (excl. motor vehicle &  parts)............   300,912  300,416  299,373  286,039  286,915

                   Retail .......................................   342,120  341,743  339,509  325,499  326,059

                GAFO(4)..........................................       (*)   98,361   98,751   95,319   95,939

   441          Motor vehicle & parts dealers....................    79,347   79,219   77,800   75,582   75,147
   4411,4412     Auto & other motor veh. dealers.................    72,866   72,834   71,462   69,395   68,914

   442          Furniture & home furnishings stores..............    10,064   10,157   10,294   10,253   10,298

   443          Electronics & appliance stores....................    9,355    9,346    9,361    9,019    9,095
   44311,13      Appl., T.V. &  camera...........................       (*)    7,512    7,545    7,296    7,369
   44312         Computer & software stores......................       (*)    1,834    1,816    1,723    1,726

   444          Building material & garden eq. & supplies dealers    29,602   29,420   29,551   29,223   29,429
   4441          Building mat. & supplies dealers................       (*)   25,420   25,668   25,806   25,866

   445          Food & beverage stores...........................    48,310   48,104   47,750   46,264   45,257
   4451          Grocery stores..................................    42,990   42,751   42,486   41,183   40,280
   4453          Beer, wine & liquor stores......................       (*)    3,451    3,431    3,176    3,182

   446          Health & personal care stores....................    20,011   19,970   19,938   19,245   18,996
   44611         Pharmacies & drug stores........................       (*)   16,755   16,694   16,323   16,078

   447          Gasoline stations................................    35,664   35,378   34,759   30,659   32,338

   448          Clothing & clothing accessories stores...........    19,031   19,012   18,984   18,233   18,537
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,417    3,453    3,307    3,351
   4482          Shoe stores.....................................       (*)    2,266    2,312    2,325    2,383

   451          Sporting goods, hobby, book & music stores.......     7,455    7,486    7,588    7,230    7,421

   452          General merchandise stores.......................    48,271   48,333   48,470   46,582   46,710
   4521          Department stores (ex. L.D.)....................    17,273   17,367   17,503   17,637   17,833
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   30,966   30,967   28,945   28,877
   45291          Warehouse clubs & supercenters.................       (*)   27,402   27,410   25,436   25,342
   45299          All other gen. merchandise stores..............       (*)    3,564    3,557    3,509    3,535

   453          Miscellaneous store retailers....................    10,504   10,564   10,476   10,065    9,951

   454          Nonstore retailers...............................    24,506   24,754   24,538   23,144   22,880
   4541          Electronic shopping & mail-order houses.........       (*)   16,695   16,628   15,741   15,470

   722          Food services & drinking places..................    38,139   37,892   37,664   36,122   36,003



