TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--April 2005

Data adjusted for seasonal variations, holiday, trading-day differences, and price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                      Apr(3)   Mar      Feb      Apr      Mar
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   344,895  340,179  338,991  317,706  320,815

                 Total (excl. motor vehicle &  parts)............   266,803  263,984  263,382  246,725  247,227

                   Retail .......................................   311,615  307,196  305,757  286,573  289,651

                GAFO(4)..........................................       (*)   86,800   87,437   82,768   83,698

   441          Motor vehicle & parts dealers....................    78,092   76,195   75,609   70,981   73,588
   4411,4412     Auto & other motor veh. dealers.................    72,067   70,304   69,613   65,485   67,954

   442          Furniture & home furnishings stores..............     8,846    8,841    8,863    8,582    8,646

   443          Electronics & appliance stores....................    8,251    8,261    8,295    7,835    7,750
   44311,13      Appl., T.V. &  camera...........................       (*)    6,704    6,754    6,290    6,227
   44312         Computer & software stores......................       (*)    1,557    1,541    1,545    1,523

   444          Building material & garden eq. & supplies dealers    27,127   26,801   26,306   25,248   25,417
   4441          Building mat. & supplies dealers................       (*)   23,910   23,262   22,292   22,450

   445          Food & beverage stores...........................    43,066   42,747   42,734   40,936   40,852
   4451          Grocery stores..................................    38,571   38,324   38,291   36,794   36,743
   4453          Beer, wine & liquor stores......................       (*)    2,763    2,794    2,640    2,600

   446          Health & personal care stores....................    17,968   17,840   17,820   16,923   17,043
   44611         Pharmacies & drug stores........................       (*)   15,259   15,200   14,512   14,558

   447          Gasoline stations................................    30,407   29,850   29,211   25,371   25,193

   448          Clothing & clothing accessories stores...........    16,722   16,265   16,636   15,500   16,003
   44811         Men's clothing stores...........................       (*)      842      838      761      771
   44812         Women's clothing stores.........................       (*)    2,986    3,023    2,833    2,946
   4482          Shoe stores.....................................       (*)    1,932    2,066    1,984    2,058

   451          Sporting goods, hobby, book & music stores.......     6,723    6,746    6,717    6,581    6,606

   452          General merchandise stores.......................    44,060   43,396   43,692   41,027   41,462
   4521          Department stores (ex. L.D.)....................    18,066   17,832   18,190   17,784   18,186
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   25,564   25,502   23,243   23,276
   45291          Warehouse clubs & superstores..................       (*)   22,211   22,070   19,995   19,896
   45299          All other gen. merchandise stores..............       (*)    3,353    3,432    3,248    3,380

   453          Miscellaneous store retailers....................     9,354    9,342    9,326    8,899    8,776

   454          Nonstore retailers...............................    20,999   20,912   20,548   18,690   18,315
   4541          Electronic shopping & mail-order houses.........       (*)   13,024   12,951   12,055   11,975

   722          Food services & drinking places..................    33,280   32,983   33,234   31,133   31,164
 
 
 
                
TABLE 1B.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--April 2005

Data not adjusted for seasonal variations, holiday, trading-day differences, and price changes.
                 (In Millions of dollars and Annual Percent Change)

                                                                       4 month total
                                                                                 % Chg.   2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                        2005       from    Apr(2)   Mar      Feb      Apr      Mar
   Code                                                                           2004    (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   1,288,513      6.5   341,863  346,355  301,281  318,847  322,390

                 Total (excl. motor vehicle &  parts)............     992,602      6.9   261,153  263,432  232,531  244,520  242,659

                   Retail .......................................   1,160,426      6.5   308,117  312,877  270,872  287,527  290,883

                GAFO(3)..........................................         (*)       (*)      (*)   83,055   75,107   77,586   78,102

   441          Motor vehicle & parts dealers....................     295,911      4.9    80,710   82,923   68,750   74,327   79,731
   4411,4412     Auto & other motor veh. dealers.................     272,850      4.8    74,589   76,702   63,348   68,628   73,866
   44111          New car dealers................................         (*)       (*)      (*)   62,660   52,020   56,855   61,897
   4413          Auto parts, acc. & tire stores..................         (*)       (*)      (*)    6,221    5,402    5,699    5,865

   442          Furniture & home furnishings stores..............      32,837      2.8     8,289    8,753    7,932    8,024    8,551
   4421          Furniture stores................................         (*)       (*)      (*)    4,896    4,605    4,390    4,724
   4422          Home furnishings stores.........................         (*)       (*)      (*)    3,857    3,327    3,634    3,827

   443          Electronics & appliance stores....................     29,807      5.5     7,055    7,786    7,425    6,688    7,283
   44311,13      Appl., T.V. &  camera...........................         (*)       (*)      (*)    6,148    6,018    5,284    5,704
   44312         Computer & software stores......................         (*)       (*)      (*)    1,638    1,407    1,404    1,579

   444          Building material & garden eq. & supplies dealers      98,145      8.1    30,099   26,762   20,644   28,715   25,339
   4441          Building mat. & supplies dealers................         (*)       (*)      (*)   23,695   18,796   23,696   22,203

   445          Food & beverage stores...........................     165,234      4.2    41,861   43,298   38,659   40,404   40,111
   4451          Grocery stores..................................     149,297      4.0    37,568   39,052   34,883   36,352   36,339
   4453          Beer, wine & liquor stores......................         (*)       (*)      (*)    2,561    2,333    2,529    2,376

   446          Health & personal care stores....................      70,786      5.1    17,788   18,607   16,965   17,008   17,605
   44611         Pharmacies & drug stores........................         (*)       (*)      (*)   15,900   14,501   14,541   14,966

   447          Gasoline stations................................     112,043     16.9    31,015   29,880   25,355   25,828   25,243

   448          Clothing & clothing accessories stores...........      57,446      4.7    15,677   15,775   13,904   15,032   14,728
   44811         Men's clothing stores...........................         (*)       (*)      (*)      792      651      736      692
   44812         Women's clothing stores.........................         (*)       (*)      (*)    3,090    2,461    3,051    2,943
   44814         Family clothing stores..........................         (*)       (*)      (*)    5,975    4,802    5,469    5,468
   4482          Shoe stores.....................................         (*)       (*)      (*)    2,019    1,797    2,139    1,992

   451          Sporting goods, hobby, book & music stores.......      23,461      0.4     5,849    6,058    5,340    5,673    5,939

   452          General merchandise stores.......................     157,119      5.7    41,370   41,611   37,515   39,274   38,621
   4521          Department stores (ex. L.D.)....................      62,257     -0.3    16,612   16,561   14,915   16,713   16,470
   4521          Department stores (incl. L.D.)(4)...............         (*)       (*)      (*)   16,724   15,071   16,934   16,689
   4529          Other general merchandise stores................         (*)       (*)      (*)   25,050   22,600   22,561   22,151
   45291          Warehouse clubs & superstores..................         (*)       (*)      (*)   21,767   19,686   19,355   18,981
   45299          All other gen. merchandise stores..............         (*)       (*)      (*)    3,283    2,914    3,206    3,170

   453          Miscellaneous store retailers....................      34,625      4.7     8,818    9,089    8,462    8,533    8,418

   454          Nonstore retailers...............................      83,012     10.8    19,586   22,335   19,921   18,021   19,314
