TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--January 2006

Data adjusted for seasonal variations, holiday, trading-day differences, and price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2006     2005     2005     2005     2004
   NAICS(1)                    Kind of Business                      Jan(3)   Dec      Nov      Jan      Dec
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   365,369  357,003  355,673  335,918  337,429

                 Total (excl. motor vehicle &  parts)............   287,156  280,958  280,533  261,353  260,131

                   Retail .......................................   328,955  321,706  320,662  303,137  304,545

                GAFO(4)..........................................       (*)   90,588   90,684   86,191   85,793

   441          Motor vehicle & parts dealers....................    78,213   76,045   75,140   74,565   77,298
   4411,4412     Auto & other motor veh. dealers.................    71,801   69,683   68,832   68,564   71,407

   442          Furniture & home furnishings stores..............     9,574    9,230    9,330    8,785    8,788

   443          Electronics & appliance stores....................    8,633    8,463    8,547    8,083    7,975
   44311,13      Appl., T.V. &  camera...........................       (*)    6,888    6,980    6,556    6,446
   44312         Computer & software stores......................       (*)    1,575    1,567    1,527    1,529

   444          Building material & garden eq. & supplies dealers    30,228   29,242   29,289   26,365   26,531
   4441          Building mat. & supplies dealers................       (*)   25,833   25,863   23,326   23,437

   445          Food & beverage stores...........................    44,427   44,354   44,211   42,602   42,304
   4451          Grocery stores..................................    39,582   39,571   39,415   38,292   38,061
   4453          Beer, wine & liquor stores......................       (*)    2,943    2,941    2,667    2,645

   446          Health & personal care stores....................    18,988   18,728   18,666   17,691   17,429
   44611         Pharmacies & drug stores........................       (*)   15,808   15,822   15,123   14,741

   447          Gasoline stations................................    35,312   33,482   33,713   28,787   28,728

   448          Clothing & clothing accessories stores...........    17,905   17,184   17,195   16,272   16,091
   44811         Men's clothing stores...........................       (*)      819      827      823      820
   44812         Women's clothing stores.........................       (*)    3,199    3,222    3,001    2,981
   4482          Shoe stores.....................................       (*)    2,121    2,158    1,980    2,011

   451          Sporting goods, hobby, book & music stores.......     7,013    6,912    6,799    6,597    6,628

   452          General merchandise stores.......................    46,459   45,502   45,498   43,253   43,151
   4521          Department stores (ex. L.D.)....................    18,134   17,845   18,027   18,014   18,183
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   27,657   27,471   25,239   24,968
   45291          Warehouse clubs & supercenters.................       (*)   24,196   24,004   21,917   21,600
   45299          All other gen. merchandise stores..............       (*)    3,461    3,467    3,322    3,368

   453          Miscellaneous store retailers....................     9,741    9,512    9,648    9,388    9,203

   454          Nonstore retailers...............................    22,462   23,052   22,626   20,749   20,419
   4541          Electronic shopping & mail-order houses.........       (*)   14,459   14,191   12,989   12,784

   722          Food services & drinking places..................    36,414   35,297   35,011   32,781   32,884
 
 
 
