TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--September 2007

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2007     2007     2007     2006     2006
   NAICS(1)                    Kind of Business                      Sep(3)   Aug      Jul      Sep      Aug
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   380,230  378,028  376,906  362,103  364,172

                 Total (excl. motor vehicle &  parts)............   301,577  300,312  301,648  286,923  289,303

                   Retail .......................................   342,466  340,263  339,152  326,064  328,469

                GAFO(4)..........................................       (*)   99,041   98,884   95,885   94,244

   441          Motor vehicle & parts dealers....................    78,653   77,716   75,258   75,180   74,869
   4411,4412     Auto & other motor veh. dealers.................    72,233   71,384   68,961   68,985   68,727

   442          Furniture & home furnishings stores..............    10,293   10,356   10,362   10,391   10,200

   443          Electronics & appliance stores....................    9,500    9,417    9,339    9,073    9,074
   44311,13      Appl., T.V. &  camera...........................       (*)    7,585    7,501    7,345    7,309
   44312         Computer & software stores......................       (*)    1,832    1,838    1,728    1,765

   444          Building material & garden eq. & supplies dealers    29,541   29,514   29,904   29,318   29,703
   4441          Building mat. & supplies dealers................       (*)   25,642   26,081   25,866   26,229

   445          Food & beverage stores...........................    48,281   47,901   47,978   45,185   45,635
   4451          Grocery stores..................................    43,005   42,650   42,704   40,199   40,695
   4453          Beer, wine & liquor stores......................       (*)    3,433    3,465    3,176    3,164

   446          Health & personal care stores....................    20,197   20,006   19,974   18,956   18,957
   44611         Pharmacies & drug stores........................       (*)   16,715   16,759   16,028   16,105

   447          Gasoline stations................................    35,551   34,851   35,793   32,433   35,847

   448          Clothing & clothing accessories stores...........    18,936   19,020   19,049   18,490   17,918
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,441    3,400    3,373    3,224
   4482          Shoe stores.....................................       (*)    2,334    2,309    2,338    2,274

   451          Sporting goods, hobby, book & music stores.......     7,565    7,620    7,624    7,277    7,175

   452          General merchandise stores.......................    48,526   48,573   48,445   46,782   46,063
   4521          Department stores (ex. L.D.)....................    17,461   17,545   17,592   17,850   17,526
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   31,028   30,853   28,932   28,537
   45291          Warehouse clubs & supercenters.................       (*)   27,465   27,294   25,397   25,014
   45299          All other gen. merchandise stores..............       (*)    3,563    3,559    3,535    3,523

   453          Miscellaneous store retailers....................    10,396   10,528   10,445    9,964    9,866

   454          Nonstore retailers...............................    25,027   24,761   24,981   23,015   23,162
   4541          Electronic shopping & mail-order houses.........       (*)   16,841   16,944   15,569   15,440

   722          Food services & drinking places..................    37,764   37,765   37,754   36,039   35,703
 
 
 
