TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--November 2006

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2006     2006     2006     2005     2005
   NAICS(1)                    Kind of Business                      Nov(3)   Oct      Sep      Nov      Oct
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   368,861  365,075  365,319  349,459  348,095

                 Total (excl. motor vehicle &  parts)............   290,955  287,878  288,857  276,261  278,445

                   Retail .......................................   332,165  328,648  329,040  315,436  314,307

                GAFO(4)..........................................       (*)   94,870   95,168   90,482   90,681

   441          Motor vehicle & parts dealers....................    77,906   77,197   76,462   73,198   69,650
   4411,4412     Auto & other motor veh. dealers.................    71,665   70,848   70,096   66,859   63,508

   442          Furniture & home furnishings stores..............    10,071   10,086   10,159    9,595    9,507

   443          Electronics & appliance stores....................    9,279    8,874    8,873    8,544    8,587
   44311,13      Appl., T.V. &  camera...........................       (*)    7,373    7,354    6,899    6,934
   44312         Computer & software stores......................       (*)    1,501    1,519    1,645    1,653

   444          Building material & garden eq. & supplies dealers    29,817   29,289   29,152   28,607   28,520
   4441          Building mat. & supplies dealers................       (*)   25,533   25,397   25,227   25,141

   445          Food & beverage stores...........................    46,546   46,151   45,576   43,913   43,985
   4451          Grocery stores..................................    41,143   40,814   40,340   39,096   39,219
   4453          Beer, wine & liquor stores......................       (*)    3,250    3,248    3,026    2,996

   446          Health & personal care stores....................    19,337   19,163   18,941   17,787   17,652
   44611         Pharmacies & drug stores........................       (*)   16,136   15,842   14,821   14,582

   447          Gasoline stations................................    32,786   32,061   33,868   33,564   36,044

   448          Clothing & clothing accessories stores...........    18,332   18,341   18,454   17,185   17,173
   44811         Men's clothing stores(5)........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,278    3,316    3,177    3,129
   4482          Shoe stores.....................................       (*)    2,224    2,259    2,159    2,128

   451          Sporting goods, hobby, book & music stores.......     7,353    7,292    7,356    6,855    6,993

   452          General merchandise stores.......................    46,599   46,409   46,562   44,886   44,952
   4521          Department stores (ex. L.D.)....................    17,643   17,641   17,736   18,018   17,983
   4521          Department stores (incl. L.D.)(6)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   28,768   28,826   26,868   26,969
   45291          Warehouse clubs & supercenters.................       (*)   25,268   25,298   23,513   23,529
   45299          All other gen. merchandise stores..............       (*)    3,500    3,528    3,355    3,440

   453          Miscellaneous store retailers....................    10,126   10,089   10,037    9,493    9,558

   454          Nonstore retailers...............................    24,013   23,696   23,600   21,809   21,686
   4541          Electronic shopping & mail-order houses.........       (*)   15,888   15,710   14,094   14,004

   722          Food services & drinking places..................    36,696   36,427   36,279   34,023   33,788


