TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--May 2008

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2008     2008     2008     2007     2007
   NAICS(1)                    Kind of Business                      May(3)   Apr      Mar      May      Apr
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   385,448  381,563  380,020  376,222  370,568

                 Total (excl. motor vehicle &  parts)............   312,692  309,058  305,976  297,951  293,249

                   Retail .......................................   347,015  343,444  342,367  339,643  334,151

                GAFO(4)..........................................       (*)   98,438   97,982   96,993   96,114

   441          Motor vehicle & parts dealers....................    72,756   72,505   74,044   78,271   77,319
   4411,4412     Auto & other motor veh. dealers.................    66,120   66,078   67,643   71,902   71,041

   442          Furniture & home furnishings stores..............     9,528    9,491    9,477   10,017   10,030

   443          Electronics & appliance stores....................    9,546    9,475    9,372    9,201    9,157
   44311,13      Appl., T.V. &  camera...........................       (*)    7,656    7,550    7,378    7,309
   44312         Computer & software stores......................       (*)    1,819    1,822    1,823    1,848

   444          Building material & garden eq. & supplies dealers    28,117   27,449   26,740   29,048   27,804
   4441          Building mat. & supplies dealers................       (*)   23,734   22,949   25,694   24,693

   445          Food & beverage stores...........................    49,158   48,969   48,592   46,272   46,133
   4451          Grocery stores..................................    44,130   43,880   43,563   41,311   41,277
   4453          Beer, wine & liquor stores......................       (*)    3,444    3,434    3,308    3,213

   446          Health & personal care stores....................    20,597   20,439   20,272   19,670   19,690
   44611         Pharmacies & drug stores........................       (*)   16,855   16,765   16,515   16,532

   447          Gasoline stations................................    43,464   42,376   42,296   38,205   36,037

   448          Clothing & clothing accessories stores...........    18,977   18,886   18,872   18,997   18,495
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,389    3,339    3,466    3,298
   4482          Shoe stores.....................................       (*)    2,242    2,210    2,189    2,159

   451          Sporting goods, hobby, book & music stores.......     7,517    7,464    7,404    7,384    7,221

   452          General merchandise stores.......................    50,110   49,511   49,285   47,656   47,470
   4521          Department stores (ex. L.D.)....................    17,125   16,984   16,986   17,582   17,458
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   32,527   32,299   30,074   30,012
   45291          Warehouse clubs & supercenters.................       (*)   28,794   28,614   26,462   26,440
   45299          All other gen. merchandise stores..............       (*)    3,733    3,685    3,612    3,572

   453          Miscellaneous store retailers....................     9,803    9,867    9,829    9,971    9,751

   454          Nonstore retailers...............................    27,442   27,012   26,184   24,951   25,044
   4541          Electronic shopping & mail-order houses.........       (*)   18,456   17,893   17,362   17,149

   722          Food services & drinking places..................    38,433   38,119   37,653   36,579   36,417


