TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--September 2008

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2008     2008     2008     2007     2007
   NAICS(1)                    Kind of Business                      Sep(3)   Aug      Jul      Sep      Aug
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   375,473  379,876  381,578  379,370  374,253

                 Total (excl. motor vehicle &  parts)............   310,543  312,413  315,275  299,713  297,009

                   Retail .......................................   337,218  341,418  343,097  341,944  337,195

                GAFO(4)..........................................       (*)   98,970   99,475   97,706   97,504

   441          Motor vehicle & parts dealers....................    64,930   67,463   66,303   79,657   77,244
   4411,4412     Auto & other motor veh. dealers.................    58,496   61,029   59,845   73,287   70,898

   442          Furniture & home furnishings stores..............     8,843    9,054    9,253    9,908    9,967

   443          Electronics & appliance stores....................    9,167    9,303    9,497    9,357    9,276
   44311,13      Appl., T.V. &  camera...........................       (*)    7,541    7,682    7,462    7,428
   44312         Computer & software stores......................       (*)    1,762    1,815    1,895    1,848

   444          Building material & garden eq. & supplies dealers    27,196   27,366   27,938   27,984   27,966
   4441          Building mat. & supplies dealers................       (*)   23,092   23,687   24,413   24,577

   445          Food & beverage stores...........................    49,598   49,844   49,527   47,197   46,687
   4451          Grocery stores..................................    44,374   44,530   44,253   42,170   41,732
   4453          Beer, wine & liquor stores......................       (*)    3,611    3,578    3,333    3,318

   446          Health & personal care stores....................    20,687   20,597   20,581   20,017   19,987
   44611         Pharmacies & drug stores........................       (*)   16,999   16,986   16,620   16,604

   447          Gasoline stations................................    44,011   43,981   45,352   37,350   36,214

   448          Clothing & clothing accessories stores...........    18,801   19,244   19,151   18,868   18,791
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,334    3,327    3,415    3,399
   4482          Shoe stores.....................................       (*)    2,322    2,282    2,191    2,236

   451          Sporting goods, hobby, book & music stores.......     7,469    7,550    7,504    7,402    7,385

   452          General merchandise stores.......................    50,081   50,306   50,503   48,426   48,346
   4521          Department stores (ex. L.D.)....................    16,517   16,766   17,031   17,443   17,528
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   33,540   33,472   30,983   30,818
   45291          Warehouse clubs & supercenters.................       (*)   29,773   29,660   27,355   27,193
   45299          All other gen. merchandise stores..............       (*)    3,767    3,812    3,628    3,625

   453          Miscellaneous store retailers....................     9,990   10,046   10,302   10,118   10,065

   454          Nonstore retailers...............................    26,445   26,664   27,186   25,660   25,267
   4541          Electronic shopping & mail-order houses.........       (*)   18,239   18,312   17,864   17,653

   722          Food services & drinking places..................    38,255   38,458   38,481   37,426   37,058
 
  
